Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
UNP,LONG,2007-09-19,25.58,3737,100000.00,100000.00,97979.06,4404.45,0.0,2007-09-19,2007-09-20,24.93,97979.06,4404.45,97567.86,97567.86,-2432.14,[]
GD,LONG,2007-09-26,70.62,1312,97567.86,97567.86,97391.54,4914.42,755.35794771,2007-09-26,2007-09-27,70.02,97391.54,4914.42,96780.66,96780.66,-787.20,[]
AMZN,LONG,2007-11-29,90.77,1012,96780.66,96780.66,95141.22,4921.42,708.4,2007-11-29,2007-11-30,88.85,95141.22,4921.42,94837.62,94837.62,-1943.04,[]
UNP,LONG,2007-12-06,28.40,3172,94837.62,94837.62,97871.47,4752.82,3540.56574275,2007-12-06,2007-12-10,29.36,98439.43,242.07,97969.62,93371.99,3045.12,['AAPL']
AAPL,LONG,2007-12-07,25.78,175,97871.47,4752.82,98439.43,242.07,105.347145644,2007-12-07,2007-12-11,26.12,97969.62,93371.99,97942.99,97942.99,60.25,[]
ODFL,LONG,2008-03-25,14.69,317,102358.56,4905.73,103351.21,249.00,79.9544444444,2008-03-25,2008-03-26,14.38,103351.21,249.00,106122.64,4807.46,-98.27,['AAPL']
AAPL,LONG,2008-03-19,18.02,5163,97942.99,97942.99,95471.97,4905.73,755.758372529,2008-03-19,2008-03-27,18.99,106122.64,4807.46,102852.83,102852.83,5008.11,[]
WHR,LONG,2008-04-02,77.08,1267,102852.83,102852.83,102072.25,5192.47,566.742419283,2008-04-02,2008-04-03,75.63,102072.25,5192.47,101011.37,101011.37,-1841.46,[]
CF,LONG,2008-06-06,144.27,665,101011.37,101011.37,97112.74,5071.82,525.507658741,2008-06-06,2008-06-10,140.44,99905.28,5071.82,98461.94,98461.94,-2549.43,[]
UNP,LONG,2008-07-24,34.54,1366,98461.94,98461.94,96392.08,4534.60,830.379384828,2008-07-24,2008-07-25,33.87,96392.08,4534.60,97328.58,50801.02,-914.77,['GD']
GD,LONG,2008-07-24,76.01,615,98461.94,98461.94,97132.20,51715.79,287.430408861,2008-07-24,2008-07-29,74.31,96660.85,50801.02,96501.67,96501.67,-1045.50,[]
CF,LONG,2008-07-31,157.78,581,96501.67,96501.67,94451.63,4831.49,515.810064198,2008-07-31,2008-08-01,153.78,94451.63,4831.49,94177.67,94177.67,-2324.00,[]
CF,LONG,2008-12-17,51.28,872,94177.67,94177.67,94784.80,4764.51,1744.0,2008-12-17,2008-12-18,50.24,94784.80,4764.51,93852.96,48573.79,-906.88,['GILD']
GILD,LONG,2008-12-17,47.55,940,94177.67,94177.67,93710.94,49480.67,665.714872308,2008-12-17,2008-12-22,48.73,94660.53,48573.79,94379.99,94379.99,1109.20,[]
ODFL,LONG,2008-12-31,12.16,7373,94379.99,94379.99,97984.57,4724.31,6062.24444444,2008-12-31,2009-01-05,12.61,100606.08,4724.31,97697.84,97697.84,3317.85,[]
AAPL,LONG,2009-02-06,13.18,7041,97697.84,97697.84,99879.46,4897.46,2448.32015815,2009-02-06,2009-02-10,13.62,102536.90,4897.46,100795.88,100795.88,3098.04,[]
AAPL,LONG,2009-03-18,13.52,3543,100795.88,100795.88,101567.53,52910.29,1711.05544161,2009-03-18,2009-03-20,13.68,102222.82,5033.97,102149.41,53502.21,582.65,['NFLX']
NFLX,LONG,2009-03-18,40.99,1168,100795.88,100795.88,102303.37,5033.97,1705.28,2009-03-18,2009-03-20,41.34,102222.82,5033.97,101787.33,101787.33,408.80,[]
NFLX,LONG,2009-04-13,47.19,2049,101787.33,101787.33,106356.60,5095.02,4098.0,2009-04-13,2009-04-14,48.63,106356.60,5095.02,104737.89,104737.89,2950.56,[]
MA,LONG,2009-04-30,17.76,5679,104737.89,104737.89,106165.42,3868.53,4394.11020007,2009-04-30,2009-05-01,17.23,106165.42,3868.53,101737.85,101737.85,-3000.04,[]
MA,LONG,2009-07-16,16.99,5688,101737.85,101737.85,104757.59,5098.73,4411.72909525,2009-07-16,2009-07-21,17.69,106518.54,5098.73,105719.45,105719.45,3981.60,[]
CF,LONG,2009-09-08,82.81,1212,105719.45,105719.45,105471.21,5353.73,569.463585922,2009-09-08,2009-09-10,82.49,106795.66,5353.73,105331.61,105331.61,-387.84,[]
MA,LONG,2009-10-22,22.30,4487,105331.61,105331.61,106454.86,5271.51,1211.5146234,2009-10-22,2009-10-26,22.56,106754.96,5271.51,106498.23,106498.23,1166.62,[]
FDX,LONG,2009-11-17,82.65,1224,106498.23,106498.23,106664.04,5334.63,367.844221203,2009-11-17,2009-11-18,81.93,106664.04,5334.63,105616.95,105616.95,-881.28,[]
AAPL,LONG,2009-12-28,28.64,3539,105616.95,105616.95,105564.29,4256.82,1067.60386903,2009-12-28,2009-12-29,28.54,105564.29,4256.82,105259.88,105259.88,-357.07,[]
NFLX,LONG,2010-03-02,69.99,1429,105259.88,105259.88,103816.59,5244.17,14.29,2010-03-02,2010-03-03,66.13,103816.59,5244.17,99743.94,99743.94,-5515.94,[]
AAPL,LONG,2010-06-17,36.61,2613,99743.94,99743.94,100192.86,4092.41,813.002646045,2010-06-17,2010-06-21,36.74,100971.93,4092.41,100094.03,100094.03,350.09,[]
NFLX,LONG,2010-08-11,126.68,750,100094.03,100094.03,99936.53,5084.03,1305.0,2010-08-11,2010-08-18,128.68,104811.53,5084.03,101594.03,101594.03,1500.00,[]
AMZN,LONG,2010-09-02,132.80,726,101594.03,101594.03,103343.69,5181.23,1452.0,2010-09-02,2010-09-20,147.82,112865.18,5181.23,112656.35,107573.55,10904.52,['GOOGL']
GOOGL,LONG,2010-09-20,246.25,20,112865.18,5181.23,115186.32,256.23,40.0,2010-09-20,2010-09-29,263.27,112845.25,107573.55,112838.95,112838.95,340.40,[]
NFLX,LONG,2010-10-27,179.76,596,112838.95,112838.95,112087.99,5701.99,1192.0,2010-10-27,2010-10-28,178.00,112087.99,5701.99,111789.99,111789.99,-1048.96,[]
AMZN,LONG,2010-11-26,178.09,596,111789.99,111789.99,111259.55,5648.35,172.84,2010-11-26,2010-11-30,176.95,112624.39,5648.35,111110.55,111110.55,-679.44,[]
UNP,LONG,2011-01-10,44.26,2390,111110.55,111110.55,112810.73,5324.04,2428.82824292,2011-01-10,2011-01-18,45.44,114245.95,5324.04,113925.64,113925.64,2815.09,[]
CF,LONG,2011-05-24,141.78,763,113925.64,113925.64,112747.29,5747.50,683.468321557,2011-05-24,2011-05-26,143.78,115989.05,5747.50,115451.64,115451.64,1526.00,[]
AMZN,LONG,2011-06-28,202.78,540,115451.64,115451.64,115219.44,5950.44,54.0,2011-06-28,2011-06-29,201.29,115219.44,5950.44,114620.80,109030.86,-804.60,['AGN']
AGN,LONG,2011-06-29,68.49,82,115219.44,5950.44,116181.40,334.26,39.36,2011-06-29,2011-07-07,69.93,115029.66,5678.64,117180.00,11412.90,118.08,['GOOGL']
GOOGL,LONG,2011-07-06,267.06,387,114793.82,109030.86,115029.66,5678.64,774.0,2011-07-06,2011-07-08,266.48,117180.00,11412.90,114538.73,114538.73,-226.39,[]
MA,LONG,2011-09-16,34.55,3149,114538.73,114538.73,113642.92,5726.56,674.963260088,2011-09-16,2011-09-19,33.74,113642.92,5726.56,111963.29,111963.29,-2575.44,[]
