Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
GOOGL,LONG,2007-09-12,262.97,18,No-Exit,0.0,0.0,2007-09-12,263.97,18.00,2007-09-14,261.60,-24.66,18.00,BB Spread,[]
UNP,LONG,2007-09-19,25.58,186,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,24.70,-163.83,-163.83,BB Spread,[]
UNP,LONG-SPY-NULL,2007-10-18,26.06,181,No-Exit,0.0,0.0,2007-10-18,26.50,78.94,2007-10-26,27.65,287.79,0.0,BB Spread,[]
AAPL,LONG,2007-12-07,25.78,184,No-Exit,0.0,0.0,2007-12-07,26.05,49.78,2007-12-12,25.44,-61.77,49.78,BB Spread,['IWM']
IWM,LONG,2007-12-07,73.51,61,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-12-13,71.27,-136.69,-136.69,BB Spread,[]
UNP,LONG,2008-02-01,27.80,170,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-02-07,26.84,-163.20,-163.20,BB Spread,[]
IWM,LONG,2008-02-14,67.36,70,2008-02-14,66.06,-91.00,No-Exit,0.0,0.0,2008-02-15,65.24,-148.40,-91.00,BB Spread,[]
CVS,LONG,2008-03-25,37.86,118,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-31,37.35,-60.18,-60.18,BB Spread,['AAPL']
IWM,LONG,2008-04-02,66.39,64,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-07,66.16,-14.72,-14.72,BB Spread,['AAPL', 'GOOGL', 'CF']
AAPL,LONG,2008-03-18,17.48,272,No-Exit,0.0,0.0,2008-03-18,17.75,73.59,2008-04-08,20.77,896.70,73.59,BB Spread,['GOOGL', 'CF']
GOOGL,LONG,2008-04-02,234.95,19,No-Exit,0.0,0.0,2008-04-02,235.95,19.00,2008-04-09,233.59,-25.84,19.00,BB Spread,['CF']
AMZN,LONG,2008-04-21,80.40,56,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,77.65,-154.00,-154.00,BB Spread,['CF']
CF,LONG,2008-04-07,121.35,34,No-Exit,0.0,0.0,2008-04-07,123.24,64.12,2008-04-22,145.67,826.82,64.12,BB Spread,[]
CVS,LONG,2008-05-15,39.14,122,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-05-20,39.39,30.50,30.50,BB Spread,[]
IWM,LONG,2008-07-30,66.84,68,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-08-01,65.84,-67.98,-67.98,BB Spread,['UNP']
UNP,LONG,2008-07-24,34.54,140,No-Exit,0.0,0.0,2008-07-29,35.42,123.34,2008-08-07,35.72,165.89,123.34,BB Spread,[]
UNP,LONG,2008-08-29,37.23,129,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-02,36.28,-122.55,-122.55,BB Spread,[]
AAPL,LONG,2008-12-09,13.59,353,No-Exit,0.0,0.0,2008-12-09,13.86,95.51,2008-12-10,13.08,-180.03,95.51,BB Spread,[]
GILD,LONG,2008-12-17,47.55,100,No-Exit,0.0,0.0,2008-12-19,49.52,197.50,2008-12-22,48.73,118.00,197.50,BB Spread,[]
AAPL,LONG,2009-02-05,12.89,354,2009-02-05,12.53,-127.44,No-Exit,0.0,0.0,2009-02-12,12.96,26.06,-127.44,BB Spread,['AMZN']
AMZN,LONG,2009-02-02,59.48,80,No-Exit,0.0,0.0,2009-02-02,61.48,160.00,2009-02-13,62.95,277.60,160.00,BB Spread,[]
AAPL,LONG,2009-03-18,13.52,356,No-Exit,0.0,0.0,2009-03-18,13.79,96.32,2009-03-30,14.14,221.53,96.32,BB Spread,['FDX']
FDX,LONG,2009-03-27,44.93,103,2009-03-27,43.89,-106.73,No-Exit,0.0,0.0,2009-03-30,43.53,-143.49,-106.73,BB Spread,[]
GILD,LONG,2009-06-04,44.60,107,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-06-08,43.52,-115.74,-115.74,BB Spread,[]
AAPL,LONG,2009-07-14,19.31,249,No-Exit,0.0,0.0,2009-07-15,19.58,67.37,2009-07-21,20.74,355.24,67.37,BB Spread,['UNP', 'MA', 'IWM']
UNP,LONG,2009-07-15,24.29,193,No-Exit,0.0,0.0,2009-07-16,25.19,173.72,2009-07-22,26.17,363.08,173.72,BB Spread,['MA', 'IWM']
MA,LONG,2009-07-16,16.99,256,No-Exit,0.0,0.0,2009-07-16,17.19,50.32,2009-07-22,17.59,154.53,50.32,BB Spread,['IWM']
IWM,LONG,2009-07-16,48.71,85,No-Exit,0.0,0.0,2009-07-23,50.58,159.06,2009-08-06,52.62,332.35,159.06,BB Spread,[]
IWM,LONG,2009-09-09,55.02,88,No-Exit,0.0,0.0,2009-09-16,56.89,164.67,2009-09-25,56.05,90.64,164.67,BB Spread,[]
AAPL,LONG,2009-12-28,28.64,173,No-Exit,0.0,0.0,2009-12-28,28.91,46.81,2010-01-07,28.45,-33.02,46.81,BB Spread,[]
NFLX,LONG,2010-01-29,63.65,76,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-01,61.09,-194.56,-194.56,BB Spread,[]
FDX,LONG,2010-02-22,79.96,60,No-Exit,0.0,0.0,2010-02-26,81.91,116.66,2010-03-09,83.97,240.44,116.66,BB Spread,['AAPL']
AAPL,LONG,2010-03-01,27.83,166,No-Exit,0.0,0.0,2010-03-01,28.10,44.91,2010-03-15,30.21,394.53,44.91,BB Spread,[]
IWM,LONG,2010-04-06,65.62,74,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-04-08,65.28,-25.16,-25.16,BB Spread,[]
UNP,LONG,2010-04-09,34.59,141,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-04-21,34.97,54.02,54.02,BB Spread,[]
NFLX,LONG,2010-05-26,107.45,45,No-Exit,0.0,0.0,2010-05-28,109.45,90.00,2010-06-07,109.28,82.35,90.00,BB Spread,[]
V,LONG,2010-06-16,74.52,65,No-Exit,0.0,0.0,2010-06-18,76.45,125.55,2010-06-21,73.28,-80.60,125.55,BB Spread,['MA']
MA,LONG,2010-06-17,20.89,224,No-Exit,0.0,0.0,2010-06-17,21.09,44.11,2010-06-29,20.68,-47.42,44.11,BB Spread,[]
UNP,LONG,2010-07-26,34.14,143,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-07-30,33.59,-79.89,-79.89,BB Spread,[]
AMZN,LONG,2010-08-05,127.93,38,No-Exit,0.0,0.0,2010-08-09,129.93,76.00,2010-08-12,123.76,-158.46,76.00,BB Spread,['NFLX']
NFLX,LONG,2010-08-11,126.68,36,No-Exit,0.0,0.0,2010-08-12,128.68,72.00,2010-08-23,127.18,18.00,72.00,BB Spread,[]
AMZN,LONG,2010-09-02,132.80,36,No-Exit,0.0,0.0,2010-09-02,134.80,72.00,2010-09-22,149.84,613.44,72.00,BB Spread,['GD', 'MA', 'GOOGL']
GD,LONG,2010-09-13,55.45,83,No-Exit,0.0,0.0,2010-09-21,57.24,148.17,2010-09-23,55.65,16.25,148.17,BB Spread,['MA', 'GOOGL']
GOOGL,LONG,2010-09-20,246.64,17,No-Exit,0.0,0.0,2010-09-20,247.64,17.00,2010-09-29,263.27,282.71,17.00,BB Spread,['MA', 'V']
MA,LONG,2010-09-20,21.35,207,No-Exit,0.0,0.0,2010-09-20,21.55,40.80,2010-10-01,21.99,132.48,40.80,BB Spread,['V']
V,LONG,2010-09-24,69.97,64,No-Exit,0.0,0.0,2010-09-29,71.90,123.83,2010-10-07,71.52,99.20,123.83,BB Spread,[]
CF,LONG,2010-10-11,106.43,46,No-Exit,0.0,0.0,2010-10-11,108.34,87.84,2010-10-22,112.51,279.68,87.84,BB Spread,['GOOGL']
GOOGL,LONG,2010-10-18,300.92,15,No-Exit,0.0,0.0,2010-10-18,301.92,15.00,2010-10-27,306.24,79.80,15.00,BB Spread,[]
AMZN,LONG,2010-11-26,178.09,27,No-Exit,0.0,0.0,2010-11-29,180.09,54.00,2010-12-02,176.05,-55.08,54.00,BB Spread,[]
AAPL,LONG,2010-12-07,43.80,113,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-12-08,42.96,-95.23,-95.23,BB Spread,[]
AAPL,LONG,2010-12-09,43.58,113,No-Exit,0.0,0.0,2010-12-13,43.85,30.57,2010-12-14,43.43,-16.62,30.57,BB Spread,[]
GOOGL,LONG,2010-12-21,300.81,16,No-Exit,0.0,0.0,2010-12-21,301.81,16.00,2010-12-30,299.00,-28.96,16.00,BB Spread,[]
FDX,LONG,2011-01-11,92.66,53,No-Exit,0.0,0.0,2011-01-14,94.62,103.62,2011-01-20,91.44,-64.76,103.62,BB Spread,[]
MA,LONG,2011-02-04,24.36,202,No-Exit,0.0,0.0,2011-02-04,24.56,39.86,2011-02-09,24.52,33.12,39.86,BB Spread,[]
FDX,LONG,2011-02-16,94.37,52,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-02-22,92.29,-108.16,-108.16,BB Spread,[]
IWM,LONG,2011-03-30,78.44,62,No-Exit,0.0,0.0,2011-04-05,80.32,116.94,2011-04-08,79.76,82.11,116.94,BB Spread,[]
AMZN,LONG,2011-04-28,195.96,25,No-Exit,0.0,0.0,2011-05-02,197.96,50.00,2011-05-06,196.61,16.25,50.00,BB Spread,[]
CF,LONG,2011-05-10,137.29,36,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-05-11,133.50,-136.51,-136.51,BB Spread,[]
AMZN,LONG,2011-06-28,201.92,25,No-Exit,0.0,0.0,2011-06-29,203.92,50.00,2011-07-12,211.93,250.25,50.00,BB Spread,['GOOGL']
GOOGL,LONG,2011-07-06,267.06,17,No-Exit,0.0,0.0,2011-07-06,268.06,17.00,2011-07-14,269.56,42.50,17.00,BB Spread,[]
MA,LONG,2011-09-08,33.52,147,No-Exit,0.0,0.0,2011-09-08,33.72,29.04,2011-09-09,33.21,-46.12,29.04,BB Spread,[]
MA,LONG,2011-09-15,33.52,147,No-Exit,0.0,0.0,2011-09-15,33.72,29.04,2011-09-19,33.74,31.85,29.04,BB Spread,['GOOGL']
GOOGL,LONG,2011-09-16,273.08,17,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-19,270.18,-49.38,-49.38,BB Spread,[]
MA,LONG,2011-10-28,34.25,139,No-Exit,0.0,0.0,2011-10-28,34.45,27.47,2011-11-01,33.28,-135.17,27.47,BB Spread,['UNH']
UNH,LONG,2011-10-24,46.54,106,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-01,44.53,-213.09,-213.09,BB Spread,[]
GOOGL,LONG,2011-11-14,305.21,16,No-Exit,0.0,0.0,2011-11-14,306.21,16.00,2011-11-17,305.02,-2.96,16.00,BB Spread,[]
NFLX,LONG,2012-01-05,81.17,60,No-Exit,0.0,0.0,2012-01-06,83.17,120.00,2012-01-18,93.18,720.60,120.00,BB Spread,['AMZN']
AMZN,LONG,2012-01-18,182.36,25,No-Exit,0.0,0.0,2012-01-18,184.36,50.00,2012-01-24,185.00,66.00,50.00,BB Spread,[]
V,LONG,2012-02-03,104.35,47,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-02-08,105.31,45.01,45.01,BB Spread,[]
CF,LONG,2012-02-28,182.65,25,No-Exit,0.0,0.0,2012-02-28,184.58,48.18,2012-02-29,182.15,-12.50,48.18,BB Spread,['GD']
GD,LONG,2012-02-27,67.73,73,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-03-01,67.52,-15.33,-15.33,BB Spread,[]
CF,LONG,2012-03-26,184.11,26,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-03-27,180.72,-88.14,-88.14,BB Spread,[]
UNH,LONG,2012-03-30,56.02,88,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-16,55.25,-67.76,-67.76,BB Spread,[]
CF,LONG,2012-06-20,174.81,29,No-Exit,0.0,0.0,2012-06-25,176.75,56.02,2012-07-09,189.00,411.40,56.02,BB Spread,[]
GOOGL,LONG,2012-07-20,304.38,16,No-Exit,0.0,0.0,2012-07-20,305.38,16.00,2012-07-25,303.47,-14.56,16.00,BB Spread,[]
AAPL,LONG,2012-08-06,83.79,59,No-Exit,0.0,0.0,2012-08-06,84.06,15.96,2012-08-24,89.60,342.65,15.96,BB Spread,[]
MA,LONG,2012-09-07,43.20,115,No-Exit,0.0,0.0,2012-09-10,43.40,22.77,2012-09-20,44.31,127.14,22.77,BB Spread,['V']
V,LONG,2012-09-12,130.32,36,No-Exit,0.0,0.0,2012-09-13,132.29,70.74,2012-09-24,131.77,52.08,70.74,BB Spread,[]
URI,LONG,2012-10-18,39.91,125,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-10-22,38.02,-236.25,-236.25,BB Spread,[]
GOOGL,LONG,2012-11-29,343.89,14,No-Exit,0.0,0.0,2012-11-29,344.89,14.00,2012-12-14,349.58,79.73,14.00,BB Spread,['CP']
CP,LONG,2012-12-05,92.61,51,No-Exit,0.0,0.0,2012-12-05,94.57,99.88,2012-12-14,97.55,251.79,99.88,BB Spread,[]
CF,LONG,2013-01-10,209.52,23,No-Exit,0.0,0.0,2013-01-10,211.46,44.61,2013-01-28,222.45,297.39,44.61,BB Spread,[]
AMZN,LONG,2013-03-04,269.47,18,No-Exit,0.0,0.0,2013-03-04,271.47,36.00,2013-03-11,273.43,71.28,36.00,BB Spread,[]
NFLX,LONG,2013-03-27,192.84,26,No-Exit,0.0,0.0,2013-03-27,194.84,52.00,2013-04-02,181.93,-283.66,52.00,BB Spread,[]
NFLX,LONG,2013-04-24,218.38,22,2013-04-24,214.32,-89.32,2013-04-24,220.38,44.00,2013-04-25,214.32,-89.32,-89.32,BB Spread,['GOOGL']
GOOGL,LONG,2013-04-25,408.12,11,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-04-26,403.43,-51.64,-51.64,BB Spread,[]
CF,LONG,2013-05-10,190.86,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-05-14,185.73,-112.88,-112.88,BB Spread,['AAPL', 'URI', 'FDX']
URI,LONG,2013-05-06,54.72,87,No-Exit,0.0,0.0,2013-05-06,56.72,174.00,2013-05-14,57.04,201.84,174.00,BB Spread,['AAPL', 'FDX']
AAPL,LONG,2013-04-30,60.33,82,No-Exit,0.0,0.0,2013-04-30,60.60,22.51,2013-05-15,60.69,29.28,22.51,BB Spread,['CVS', 'FDX']
CVS,LONG,2013-05-15,59.02,77,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-05-17,57.78,-95.48,-95.48,BB Spread,['FDX']
FDX,LONG,2013-05-07,96.07,47,No-Exit,0.0,0.0,2013-05-07,98.05,93.16,2013-05-22,99.99,184.24,93.16,BB Spread,[]
AMZN,LONG,2013-06-10,278.69,17,No-Exit,0.0,0.0,2013-06-10,280.69,34.00,2013-06-20,273.37,-90.44,34.00,BB Spread,['MA']
MA,LONG,2013-06-19,58.10,82,No-Exit,0.0,0.0,2013-06-19,58.30,16.27,2013-06-20,57.51,-48.33,16.27,BB Spread,[]
UNP,LONG,2013-07-10,77.26,62,No-Exit,0.0,0.0,2013-07-12,78.23,60.25,2013-07-17,77.89,38.86,60.25,BB Spread,['NFLX', 'FDX']
FDX,LONG,2013-07-10,104.17,43,No-Exit,0.0,0.0,2013-07-18,106.16,85.36,2013-07-23,106.46,98.47,85.36,BB Spread,['NFLX', 'WHR']
NFLX,LONG,2013-07-08,229.05,21,No-Exit,0.0,0.0,2013-07-08,231.05,42.00,2013-07-23,251.40,469.35,42.00,BB Spread,['WHR']
WHR,LONG,2013-07-22,128.12,35,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-07-26,124.73,-118.80,-118.80,BB Spread,['AGN']
AGN,LONG,2013-07-26,130.01,37,No-Exit,0.0,0.0,2013-07-26,132.01,74.00,2013-08-07,135.12,189.07,74.00,BB Spread,[]
NFLX,LONG,2013-08-21,273.74,18,No-Exit,0.0,0.0,2013-08-23,275.74,36.00,2013-09-06,294.49,373.50,36.00,BB Spread,[]
AMZN,LONG,2013-09-09,297.22,17,No-Exit,0.0,0.0,2013-09-09,299.22,34.00,2013-09-25,311.81,248.03,34.00,BB Spread,['V']
V,LONG,2013-09-11,183.25,26,No-Exit,0.0,0.0,2013-09-12,185.24,51.51,2013-09-25,191.02,201.91,51.51,BB Spread,[]
