Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,9.0,8.0,803.64,12192.97,12667.74,88.88888888888889,9.0,8.0,88.88888888888889,0.0,0.0
01/31/2007--01/26/2008,5.0,4.0,-427.7,-897.5,-96.75,80.0,5.0,4.0,80.0,0.0,0.0
03/02/2007--02/25/2008,5.0,4.0,-427.76,-891.09,-96.81,80.0,5.0,4.0,80.0,0.0,0.0
04/01/2007--03/26/2008,13.0,12.0,378.92,-14209.789999999999,718.25,92.3076923076923,11.0,10.0,90.9090909090909,2.0,2.0,100.0
05/01/2007--04/25/2008,20.0,18.0,507.47999999999996,-9829.53,2134.3500000000004,90.0,18.0,16.0,88.88888888888889,2.0,2.0,100.0
05/31/2007--05/25/2008,11.0,8.0,-361.2499999999999,-1966.04,-30.299999999999997,72.72727272727273,10.0,7.0,70.0,1.0,1.0,100.0
06/30/2007--06/24/2008,21.0,18.0,417.49000000000007,-12185.6,4160.83,85.71428571428571,19.0,16.0,84.21052631578947,2.0,2.0,100.0
07/30/2007--07/24/2008,21.0,18.0,462.57,-20437.989999999998,1283.07,85.71428571428571,19.0,16.0,84.21052631578947,2.0,2.0,100.0
08/29/2007--08/23/2008,15.0,10.0,-320.90000000000003,-2127.13,10.049999999999969,66.66666666666666,13.0,9.0,69.23076923076923,2.0,1.0,50.0
09/28/2007--09/22/2008,15.0,10.0,-1319.4799999999998,-6445.240000000001,-1319.4799999999998,66.66666666666666,13.0,9.0,69.23076923076923,2.0,1.0,50.0
10/28/2007--10/22/2008,23.0,16.0,-730.8199999999995,-42446.21,-592.5499999999995,69.56521739130434,18.0,14.0,77.77777777777779,5.0,2.0,40.0
11/27/2007--11/21/2008,23.0,17.0,-628.7699999999995,-51176.34,-510.52999999999963,73.91304347826086,18.0,14.0,77.77777777777779,5.0,3.0,60.0
12/27/2007--12/21/2008,15.0,10.0,-291.13,-14495.009999999998,-253.35,66.66666666666666,11.0,8.0,72.72727272727273,4.0,2.0,50.0
01/26/2008--01/20/2009,16.0,11.0,-281.37000000000006,-14439.460000000001,-217.1,68.75,11.0,8.0,72.72727272727273,5.0,3.0,60.0
02/25/2008--02/19/2009,18.0,13.0,333.73999999999995,-36491.53999999999,399.14,72.22222222222221,13.0,10.0,76.92307692307693,5.0,3.0,60.0
03/26/2008--03/21/2009,16.0,10.0,-454.13,-12440.86,-332.06999999999994,62.5,10.0,7.0,70.0,6.0,3.0,50.0
04/25/2008--04/20/2009,10.0,6.0,-481.7900000000001,-2245.45,-349.6700000000001,60.0,4.0,3.0,75.0,6.0,3.0,50.0
05/25/2008--05/20/2009,21.0,17.0,525.6899999999999,-11220.150000000001,9117.679999999998,80.95238095238095,15.0,14.0,93.33333333333333,6.0,3.0,50.0
06/24/2008--06/19/2009,22.0,18.0,523.53,-4627.120000000001,11959.400000000001,81.81818181818183,16.0,15.0,93.75,6.0,3.0,50.0
07/24/2008--07/19/2009,13.0,9.0,-306.9000000000001,-691.99,-59.15000000000005,69.23076923076923,7.0,6.0,85.71428571428571,6.0,3.0,50.0
08/23/2008--08/18/2009,24.0,21.0,368.2900000000001,46857.590000000004,48298.19,87.5,18.0,18.0,100.0,6.0,3.0,50.0
09/22/2008--09/17/2009,23.0,21.0,1120.0200000000002,64582.99,66831.55000000002,91.30434782608695,19.0,19.0,100.0,4.0,2.0,50.0
10/22/2008--10/17/2009,15.0,13.0,194.8,-481.98999999999995,1070.55,86.66666666666667,11.0,11.0,100.0,4.0,2.0,50.0
11/21/2008--11/16/2009,16.0,14.0,201.48000000000002,-467.0999999999999,1085.38,87.5,12.0,12.0,100.0,4.0,2.0,50.0
12/21/2008--12/16/2009,29.0,27.0,1448.3700000000001,29415.819999999996,32692.249999999996,93.10344827586206,26.0,26.0,100.0,3.0,1.0,33.33333333333333
01/20/2009--01/15/2010,29.0,27.0,1462.0400000000002,37998.24,41321.03999999999,93.10344827586206,27.0,27.0,100.0,2.0,0.0,0.0
02/19/2009--02/14/2010,16.0,15.0,535.4999999999999,58.06000000000036,3248.000000000001,93.75,15.0,15.0,100.0,1.0,0.0,0.0
03/21/2009--03/16/2010,28.0,27.0,1481.8400000000001,37814.46,40283.70999999999,96.42857142857143,27.0,27.0,100.0,1.0,0.0,0.0
04/20/2009--04/15/2010,29.0,27.0,1391.65,46226.200000000004,47445.61000000001,93.10344827586206,28.0,27.0,96.42857142857143,1.0,0.0,0.0
05/20/2009--05/15/2010,16.0,13.0,526.0799999999999,-1515.3099999999997,2352.5000000000005,81.25,15.0,13.0,86.66666666666667,1.0,0.0,0.0
06/19/2009--06/14/2010,15.0,13.0,580.42,47.21999999999996,2440.9000000000005,86.66666666666667,15.0,13.0,86.66666666666667,0.0,0.0
07/19/2009--07/14/2010,25.0,22.0,1280.5200000000002,20417.520000000004,22297.340000000004,88.0,25.0,22.0,88.0,0.0,0.0
08/18/2009--08/13/2010,25.0,22.0,1279.1399999999999,17333.41,19391.079999999998,88.0,25.0,22.0,88.0,0.0,0.0
09/17/2009--09/12/2010,14.0,12.0,176.57000000000005,-1273.2699999999998,312.56,85.71428571428571,13.0,11.0,84.61538461538461,1.0,1.0,100.0
10/17/2009--10/12/2010,27.0,25.0,1207.98,35249.87,36977.45,92.5925925925926,26.0,24.0,92.3076923076923,1.0,1.0,100.0
11/16/2009--11/11/2010,31.0,29.0,1608.3700000000001,41209.51000000001,43690.72000000001,93.54838709677419,30.0,28.0,93.33333333333333,1.0,1.0,100.0
12/16/2009--12/11/2010,14.0,12.0,-62.69000000000001,-274.9800000000001,-45.91000000000001,85.71428571428571,13.0,11.0,84.61538461538461,1.0,1.0,100.0
01/15/2010--01/10/2011,14.0,12.0,-230.94,-936.9800000000001,-147.68999999999997,85.71428571428571,13.0,11.0,84.61538461538461,1.0,1.0,100.0
02/14/2010--02/09/2011,31.0,29.0,1046.67,58995.22999999999,59378.969999999994,93.54838709677419,30.0,28.0,93.33333333333333,1.0,1.0,100.0
03/16/2010--03/11/2011,28.0,27.0,937.83,24420.479999999996,25544.009999999995,96.42857142857143,27.0,26.0,96.29629629629629,1.0,1.0,100.0
04/15/2010--04/10/2011,12.0,12.0,170.47999999999996,-239.77999999999992,407.6,100.0,11.0,11.0,100.0,1.0,1.0,100.0
05/15/2010--05/10/2011,31.0,30.0,2052.6200000000003,10982.81,13597.36,96.7741935483871,30.0,29.0,96.66666666666667,1.0,1.0,100.0
06/14/2010--06/09/2011,33.0,31.0,1253.4299999999998,7089.949999999999,10321.46,93.93939393939394,31.0,30.0,96.7741935483871,2.0,1.0,50.0
07/14/2010--07/09/2011,19.0,17.0,-106.73000000000005,-278.66,898.7500000000002,89.47368421052632,17.0,16.0,94.11764705882352,2.0,1.0,50.0
08/13/2010--08/08/2011,22.0,20.0,-46.109999999999985,-645.8199999999998,1146.7400000000005,90.9090909090909,21.0,20.0,95.23809523809523,1.0,0.0,0.0
09/12/2010--09/07/2011,30.0,27.0,402.5999999999999,9421.039999999999,13447.369999999999,90.0,29.0,27.0,93.10344827586206,1.0,0.0,0.0
10/12/2010--10/07/2011,32.0,28.0,115.40999999999995,-3601.129999999999,3507.6500000000005,87.5,28.0,26.0,92.85714285714286,4.0,2.0,50.0
11/11/2010--11/06/2011,23.0,20.0,270.63,-1376.7899999999995,580.3199999999999,86.95652173913044,19.0,18.0,94.73684210526315,4.0,2.0,50.0
12/11/2010--12/06/2011,29.0,26.0,1340.9,14508.25,16673.35,89.65517241379311,25.0,24.0,96.0,4.0,2.0,50.0
01/10/2011--01/05/2012,28.0,24.0,1635.4799999999996,6052.960000000002,11303.16,85.71428571428571,23.0,22.0,95.65217391304348,5.0,2.0,40.0
02/09/2011--02/04/2012,23.0,19.0,733.9000000000002,-4608.009999999999,3086.4100000000003,82.6086956521739,18.0,17.0,94.44444444444444,5.0,2.0,40.0
03/11/2011--03/05/2012,22.0,18.0,643.3800000000001,-4038.7500000000005,3026.5099999999998,81.81818181818183,17.0,16.0,94.11764705882352,5.0,2.0,40.0
