Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,6.0,6.0,600.2,4546.81,100.0,4.0,4.0,100.0,2.0,2.0,100.0
01/31/2007--01/26/2008,5.0,5.0,286.99,-2096.49,100.0,3.0,3.0,100.0,2.0,2.0,100.0
03/02/2007--02/25/2008,5.0,5.0,286.99,-2096.49,100.0,3.0,3.0,100.0,2.0,2.0,100.0
04/01/2007--03/26/2008,14.0,13.0,-187.50000000000023,-8771.24,92.85714285714286,12.0,11.0,91.66666666666666,2.0,2.0,100.0
05/01/2007--04/25/2008,16.0,16.0,1553.7,9293.75,100.0,14.0,14.0,100.0,2.0,2.0,100.0
05/31/2007--05/25/2008,9.0,9.0,414.49,-3562.9399999999996,100.0,7.0,7.0,100.0,2.0,2.0,100.0
06/30/2007--06/24/2008,20.0,19.0,-99.41999999999996,1195.130000000001,95.0,17.0,16.0,94.11764705882352,3.0,3.0,100.0
07/30/2007--07/24/2008,23.0,21.0,430.88999999999993,3398.5400000000004,91.30434782608695,17.0,16.0,94.11764705882352,6.0,5.0,83.33333333333334
08/29/2007--08/23/2008,18.0,16.0,-274.57000000000005,-7999.14,88.88888888888889,13.0,12.0,92.3076923076923,5.0,4.0,80.0
09/28/2007--09/22/2008,21.0,19.0,-386.5400000000001,-5856.470000000002,90.47619047619048,14.0,13.0,92.85714285714286,7.0,6.0,85.71428571428571
10/28/2007--10/22/2008,24.0,22.0,124.87999999999987,-27647.07,91.66666666666666,19.0,18.0,94.73684210526315,5.0,4.0,80.0
11/27/2007--11/21/2008,31.0,29.0,349.32000000000005,-52404.53,93.54838709677419,22.0,21.0,95.45454545454545,9.0,8.0,88.88888888888889
12/27/2007--12/21/2008,21.0,19.0,-740.0400000000003,-9674.119999999999,90.47619047619048,16.0,15.0,93.75,5.0,4.0,80.0
01/26/2008--01/20/2009,23.0,21.0,-735.2900000000003,-9670.92,91.30434782608695,17.0,16.0,94.11764705882352,6.0,5.0,83.33333333333334
02/25/2008--02/19/2009,32.0,31.0,1096.68,-45877.149999999994,96.875,23.0,23.0,100.0,9.0,8.0,88.88888888888889
03/26/2008--03/21/2009,20.0,19.0,743.63,-26016.32,95.0,12.0,12.0,100.0,8.0,7.0,87.5
04/25/2008--04/20/2009,19.0,18.0,677.34,-23854.420000000006,94.73684210526315,11.0,11.0,100.0,8.0,7.0,87.5
05/25/2008--05/20/2009,27.0,26.0,1194.7899999999997,-332.67000000000075,96.29629629629629,16.0,16.0,100.0,11.0,10.0,90.9090909090909
06/24/2008--06/19/2009,28.0,26.0,1387.75,4080.700000000001,92.85714285714286,20.0,18.0,90.0,8.0,8.0,100.0
07/24/2008--07/19/2009,14.0,14.0,402.5300000000001,-2712.15,100.0,9.0,9.0,100.0,5.0,5.0,100.0
08/23/2008--08/18/2009,27.0,26.0,1822.2000000000003,56627.46,96.29629629629629,19.0,18.0,94.73684210526315,8.0,8.0,100.0
09/22/2008--09/17/2009,29.0,29.0,2065.52,74361.27,100.0,21.0,21.0,100.0,8.0,8.0,100.0
10/22/2008--10/17/2009,11.0,11.0,392.75,-2711.22,100.0,7.0,7.0,100.0,4.0,4.0,100.0
