Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,25.0,23.0,816.8799999999999,10544.679999999998,14351.37,92.0,23.0,21.0,91.30434782608695,2.0,2.0,100.0
01/31/2007--01/26/2008,19.0,17.0,-81.91999999999997,-3287.6200000000003,973.3800000000005,89.47368421052632,14.0,12.0,85.71428571428571,5.0,5.0,100.0
03/02/2007--02/25/2008,20.0,18.0,-56.959999999999944,-3168.76,1061.1500000000003,90.0,15.0,13.0,86.66666666666667,5.0,5.0,100.0
04/01/2007--03/26/2008,36.0,31.0,447.63000000000017,-7498.58,4217.7699999999995,86.11111111111111,28.0,25.0,89.28571428571429,8.0,6.0,75.0
05/01/2007--04/25/2008,46.0,42.0,670.4499999999999,2080.5200000000013,9916.59,91.30434782608695,38.0,36.0,94.73684210526315,8.0,6.0,75.0
05/31/2007--05/25/2008,30.0,24.0,-135.91,-3644.0600000000004,1121.5299999999993,80.0,23.0,19.0,82.6086956521739,7.0,5.0,71.42857142857143
06/30/2007--06/24/2008,51.0,45.0,973.4999999999999,2222.07,11715.079999999998,88.23529411764706,41.0,37.0,90.2439024390244,10.0,8.0,80.0
07/30/2007--07/24/2008,55.0,45.0,712.7499999999999,-6437.589999999998,6063.449999999999,81.81818181818183,41.0,36.0,87.8048780487805,14.0,9.0,64.28571428571429
08/29/2007--08/23/2008,46.0,35.0,75.45999999999995,-4463.579999999998,1521.3499999999997,76.08695652173914,33.0,27.0,81.81818181818183,13.0,8.0,61.53846153846154
09/28/2007--09/22/2008,39.0,27.0,99.67999999999999,-4958.280000000002,626.3300000000002,69.23076923076923,23.0,18.0,78.26086956521739,16.0,9.0,56.25
10/28/2007--10/22/2008,51.0,37.0,-711.1799999999997,-38266.53,55.02999999999997,72.54901960784314,35.0,29.0,82.85714285714286,16.0,8.0,50.0
11/27/2007--11/21/2008,52.0,38.0,-735.1499999999997,-42760.48,46.81000000000007,73.07692307692307,36.0,30.0,83.33333333333334,16.0,8.0,50.0
12/27/2007--12/21/2008,38.0,25.0,-608.0100000000002,-5124.660000000001,1682.0499999999997,65.78947368421053,24.0,20.0,83.33333333333334,14.0,5.0,35.714285714285715
01/26/2008--01/20/2009,43.0,29.0,-421.87999999999977,-6363.82,459.19999999999976,67.44186046511628,28.0,24.0,85.71428571428571,15.0,5.0,33.33333333333333
02/25/2008--02/19/2009,46.0,33.0,824.52,-29473.26,1274.6899999999998,71.73913043478261,32.0,28.0,87.5,14.0,5.0,35.714285714285715
03/26/2008--03/21/2009,42.0,28.0,-781.9899999999999,-5504.039999999999,559.88,66.66666666666666,23.0,19.0,82.6086956521739,19.0,9.0,47.368421052631575
04/25/2008--04/20/2009,36.0,22.0,-3190.0700000000006,-10745.730000000001,-1842.4299999999998,61.111111111111114,17.0,13.0,76.47058823529412,19.0,9.0,47.368421052631575
05/25/2008--05/20/2009,51.0,39.0,-919.8600000000004,13148.550000000001,22107.45999999999,76.47058823529412,33.0,30.0,90.9090909090909,18.0,9.0,50.0
06/24/2008--06/19/2009,55.0,44.0,-691.6200000000002,21986.14,30119.16,80.0,40.0,37.0,92.5,15.0,7.0,46.666666666666664
07/24/2008--07/19/2009,35.0,24.0,-1802.54,-6894.2300000000005,-1026.1899999999998,68.57142857142857,19.0,16.0,84.21052631578947,16.0,8.0,50.0
08/23/2008--08/18/2009,50.0,43.0,240.76000000000042,43684.69999999999,48525.80999999999,86.0,38.0,36.0,94.73684210526315,12.0,7.0,58.333333333333336
09/22/2008--09/17/2009,55.0,49.0,1078.91,69899.65999999999,73943.06,89.0909090909091,43.0,41.0,95.34883720930233,12.0,8.0,66.66666666666666
10/22/2008--10/17/2009,33.0,28.0,95.61,-2533.71,567.5600000000001,84.84848484848484,21.0,20.0,95.23809523809523,12.0,8.0,66.66666666666666
11/21/2008--11/16/2009,34.0,28.0,4.989999999999994,-1628.6799999999998,340.4400000000001,82.35294117647058,24.0,22.0,91.66666666666666,10.0,6.0,60.0
12/21/2008--12/16/2009,58.0,51.0,994.5300000000001,92866.22,94575.83,87.93103448275862,48.0,45.0,93.75,10.0,6.0,60.0
01/20/2009--01/15/2010,60.0,54.0,1118.75,110677.01,111130.55,90.0,51.0,48.0,94.11764705882352,9.0,6.0,66.66666666666666
02/19/2009--02/14/2010,32.0,27.0,-334.42,-91.43000000000006,918.7399999999999,84.375,26.0,24.0,92.3076923076923,6.0,3.0,50.0
03/21/2009--03/16/2010,55.0,50.0,7004.63,28435.27,32445.08,90.9090909090909,50.0,47.0,94.0,5.0,3.0,60.0
04/20/2009--04/15/2010,59.0,53.0,10591.67,30277.510000000002,33524.93000000001,89.83050847457628,54.0,50.0,92.5925925925926,5.0,3.0,60.0
05/20/2009--05/15/2010,41.0,35.0,235.08999999999978,-3831.4300000000003,5804.100000000001,85.36585365853658,36.0,32.0,88.88888888888889,5.0,3.0,60.0
06/19/2009--06/14/2010,38.0,30.0,-396.0500000000002,2603.8799999999974,6258.369999999996,78.94736842105263,33.0,28.0,84.84848484848484,5.0,2.0,40.0
07/19/2009--07/14/2010,53.0,43.0,-3.899999999999821,22528.190000000002,25136.890000000003,81.13207547169812,45.0,39.0,86.66666666666667,8.0,4.0,50.0
08/18/2009--08/13/2010,58.0,47.0,-511.57000000000016,11357.81,14969.37,81.03448275862068,51.0,44.0,86.27450980392157,7.0,3.0,42.857142857142854
09/17/2009--09/12/2010,42.0,32.0,-673.1900000000003,-3114.65,56.83999999999997,76.19047619047619,32.0,27.0,84.375,10.0,5.0,50.0
10/17/2009--10/12/2010,59.0,50.0,1296.9699999999996,27735.650000000005,31316.970000000005,84.7457627118644,49.0,45.0,91.83673469387756,10.0,5.0,50.0
11/16/2009--11/11/2010,67.0,57.0,1536.78,40438.18000000001,43942.960000000014,85.07462686567165,57.0,52.0,91.22807017543859,10.0,5.0,50.0
12/16/2009--12/11/2010,44.0,33.0,-2.9800000000000066,-992.47,287.6999999999999,75.0,32.0,28.0,87.5,12.0,5.0,41.66666666666667
01/15/2010--01/10/2011,42.0,31.0,-193.12999999999994,-1851.2200000000003,933.4099999999997,73.80952380952381,30.0,26.0,86.66666666666667,12.0,5.0,41.66666666666667
02/14/2010--02/09/2011,70.0,59.0,1840.23,51747.450000000004,54050.630000000005,84.28571428571429,59.0,54.0,91.52542372881356,11.0,5.0,45.45454545454545
03/16/2010--03/11/2011,67.0,56.0,1906.9200000000003,14605.230000000003,21801.77,83.5820895522388,56.0,51.0,91.07142857142857,11.0,5.0,45.45454545454545
04/15/2010--04/10/2011,32.0,23.0,-38.38999999999997,-3190.89,1075.1199999999997,71.875,22.0,19.0,86.36363636363636,10.0,4.0,40.0
05/15/2010--05/10/2011,61.0,53.0,3796.4500000000003,24557.61,27652.749999999993,86.88524590163934,53.0,49.0,92.45283018867924,8.0,4.0,50.0
06/14/2010--06/09/2011,65.0,53.0,3067.9700000000007,17868.01,20953.45,81.53846153846153,54.0,49.0,90.74074074074075,11.0,4.0,36.36363636363637
07/14/2010--07/09/2011,34.0,24.0,-104.09000000000007,-88.60000000000018,962.53,70.58823529411765,21.0,18.0,85.71428571428571,13.0,6.0,46.15384615384615
08/13/2010--08/08/2011,48.0,38.0,-152.08999999999992,-746.2499999999999,1564.24,79.16666666666666,38.0,34.0,89.47368421052632,10.0,4.0,40.0
