Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/30/2014--02/02/2014,0,0,0.0,0,0,0.0,0,0,0.0
03/01/2014--03/04/2014,0,0,0.0,0,0,0.0,0,0,0.0
03/31/2014--04/03/2014,0,0,0.0,0,0,0.0,0,0,0.0
04/30/2014--05/03/2014,0,0,0.0,0,0,0.0,0,0,0.0
05/30/2014--06/02/2014,0,0,0.0,0,0,0.0,0,0,0.0
06/29/2014--07/02/2014,0,0,0.0,0,0,0.0,0,0,0.0
07/29/2014--08/01/2014,0,0,0.0,0,0,0.0,0,0,0.0
08/28/2014--08/31/2014,0,0,0.0,0,0,0.0,0,0,0.0
09/27/2014--09/30/2014,0,0,0.0,0,0,0.0,0,0,0.0
10/27/2014--10/30/2014,0,0,0.0,0,0,0.0,0,0,0.0
11/26/2014--11/29/2014,0,0,0.0,0,0,0.0,0,0,0.0
12/26/2014--12/29/2014,0,0,0.0,0,0,0.0,0,0,0.0
