Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
UNP,LONG,2007-09-19,25.58,1494,No-Exit,0,0,No-Exit,0,0,2007-09-20,24.7,-1315.95,-1315.95,[],,,,,
FDX,SHORT,2007-10-22,97.63,228,No-Exit,0,0,No-Exit,0,0,2007-10-23,99.4,-404.11,-404.11,['IWM'],,,,,
IWM,SHORT,2007-10-22,73.33,509,No-Exit,0,0,No-Exit,0,0,2007-10-23,75.93,-1325.88,-1325.88,[],,,,,
AAPL,SHORT,2007-11-12,22.32,1650,No-Exit,0,0,2007-11-12,22.05,446.41,2007-11-13,22.76,-726,446.41,[],,,,,
AAPL,SHORT,2007-11-15,22.12,1653,No-Exit,0,0,2007-11-15,21.85,447.23,2007-11-20,23.22,-1818.3,447.23,[],,,,,
AAPL,LONG,2007-12-07,25.78,576,No-Exit,0,0,2007-12-07,26.05,155.84,2007-12-11,26.12,198.3,155.84,['AMZN', 'CP', 'IWM'],,,
AMZN,LONG,2007-11-29,90.77,395,No-Exit,0,0,2007-12-04,92.77,790,2007-12-11,92.72,770.25,790,['CP', 'IWM'],,,,
CP,LONG,2007-12-07,61.75,144,No-Exit,0,0,No-Exit,0,0,2007-12-12,60.3,-208.2,-208.2,['IWM'],,,,,
IWM,LONG,2007-12-07,73.51,252,No-Exit,0,0,No-Exit,0,0,2007-12-13,71.27,-564.67,-564.67,[],,,,,
AAPL,SHORT,2008-01-07,24.17,1402,No-Exit,0,0,2008-01-07,23.9,379.32,2008-01-10,24.34,-238.34,379.32,['UNP', 'GOOGL', 'UNH'],,,
UNP,SHORT,2008-01-02,27.42,1311,No-Exit,0,0,2008-01-03,26.98,573.78,2008-01-10,25.39,2661.33,573.78,['GOOGL', 'UNH'],,,,
GOOGL,SHORT,2008-01-07,326.97,54,No-Exit,0,0,2008-01-07,325.97,54,2008-01-10,326.91,3.24,54,['UNH'],,,,,
UNH,SHORT,2008-01-09,51.81,622,No-Exit,0,0,No-Exit,0,0,2008-01-11,52.47,-410.52,-410.52,[],,,,,
CF,SHORT,2008-01-18,83.97,437,No-Exit,0,0,2008-01-22,82.09,823.51,2008-01-24,91.92,-3476.11,823.51,[],,,,,
UNP,LONG,2008-02-01,27.53,1285,No-Exit,0,0,2008-02-01,27.97,562.4,2008-02-05,26.84,-886.65,562.4,[],,,,,
IWM,LONG,2008-02-14,67.36,520,2008-02-14,66.06,-676,No-Exit,0,0,2008-02-15,65.24,-1102.4,-676,[],,,,,
AAPL,SHORT,2008-03-07,16.29,2136,No-Exit,0,0,No-Exit,0,0,2008-03-10,16.61,-686.23,-686.23,['UNP', 'GOOGL'],,,,
UNP,SHORT,2008-03-07,26.39,780,No-Exit,0,0,2008-03-07,25.95,341.38,2008-03-11,27.12,-568.42,341.38,['GOOGL'],,,,,
GOOGL,SHORT,2008-03-04,225.47,152,No-Exit,0,0,2008-03-04,224.47,152,2008-03-12,220.23,797.24,152,[],,,,,
ALL,SHORT,2008-03-17,37.14,552,No-Exit,0,0,No-Exit,0,0,2008-03-18,38.63,-818.15,-818.15,['CVS'],,,,,
CVS,SHORT,2008-03-17,34.55,990,No-Exit,0,0,No-Exit,0,0,2008-03-19,36.37,-1800.11,-1800.11,['AAPL'],,,,,
AMZN,LONG,2008-03-24,73.82,291,No-Exit,0,0,2008-03-24,75.82,582,2008-03-27,71.18,-768.24,582,['AAPL'],,,,,
GOOGL,LONG,2008-04-02,234.95,46,No-Exit,0,0,2008-04-02,235.95,46,2008-04-03,228.36,-303.14,46,['VIAB', 'GILD', 'AAPL', 'IWM'],,
GILD,LONG,2008-04-01,51.21,414,No-Exit,0,0,No-Exit,0,0,2008-04-07,51.26,20.38,20.38,['VIAB', 'AAPL', 'CF', 'IWM'],,
IWM,LONG,2008-04-02,66.31,132,No-Exit,0,0,No-Exit,0,0,2008-04-07,66.16,-19.8,-19.8,['VIAB', 'AAPL', 'CF'],,,
AAPL,LONG,2008-03-18,17.48,1804,No-Exit,0,0,2008-03-18,17.75,488.08,2008-04-08,20.77,5947.26,488.08,['VIAB', 'CF'],,,,
VIAB,LONG,2008-04-02,37.92,138,No-Exit,0,0,No-Exit,0,0,2008-04-10,37.24,-93.84,-93.84,['CF'],,,,,
CF,LONG,2008-04-07,121.35,64,No-Exit,0,0,2008-04-07,123.24,120.7,2008-04-18,141.45,1286.29,120.7,['NFLX'],,,,,
NFLX,LONG,2008-04-17,39.31,822,No-Exit,0,0,No-Exit,0,0,2008-04-22,33.69,-4619.64,-4619.64,['AMZN'],,,,,
AMZN,LONG,2008-04-21,81.25,289,No-Exit,0,0,No-Exit,0,0,2008-04-22,77.65,-1040.4,-1040.4,[],,,,,
FDX,LONG,2008-05-02,95.21,211,2008-05-02,92.76,-517.77,No-Exit,0,0,2008-05-05,92.14,-648.26,-517.77,['GILD'],,,,,
GILD,LONG,2008-05-02,52.53,640,No-Exit,0,0,No-Exit,0,0,2008-05-14,52.5,-19.2,-19.2,[],,,,,
AMZN,SHORT,2008-05-15,73.78,452,2008-05-15,75.52,-786.48,No-Exit,0,0,2008-05-16,76.42,-1193.28,-786.48,[],,,,,
GD,SHORT,2008-05-27,76.07,432,No-Exit,0,0,No-Exit,0,0,2008-05-28,76.77,-302.4,-302.4,[],,,,,
GD,SHORT,2008-06-04,75.19,422,No-Exit,0,0,2008-06-06,73.5,712.93,2008-06-13,72.87,979.04,712.93,['CP'],,,,,
CP,SHORT,2008-06-03,63.74,514,No-Exit,0,0,2008-06-06,61.92,938,2008-06-16,59.3,2282.16,938,[],,,,,
AAPL,SHORT,2008-06-23,23.64,1439,No-Exit,0,0,2008-06-23,23.37,389.33,2008-06-25,23.61,54.51,389.33,[],,,,,
GD,SHORT,2008-07-08,68.98,493,No-Exit,0,0,No-Exit,0,0,2008-07-09,71.2,-1094.99,-1094.99,[],,,,,
GOOGL,SHORT,2008-07-21,239,140,No-Exit,0,0,2008-07-21,238,140,2008-07-23,245.04,-845.6,140,['FDX'],,,,,
FDX,LONG,2008-07-23,77.87,430,No-Exit,0,0,2008-07-23,79.79,826.74,2008-07-28,75.2,-1147.05,826.74,['UNP', 'GD'],,,,
GD,LONG,2008-07-24,76.01,271,2008-07-24,73.35,-720.86,No-Exit,0,0,2008-08-01,75.36,-176.15,-720.86,['UNP', 'IWM'],,,,
IWM,LONG,2008-07-30,66.85,304,No-Exit,0,0,No-Exit,0,0,2008-08-01,65.84,-307.04,-307.04,['UNP'],,,,,
UNP,LONG,2008-07-24,34.54,361,No-Exit,0,0,2008-07-29,35.42,318.04,2008-08-07,35.72,427.77,318.04,[],,,,,
UNP,LONG,2008-08-29,37.23,872,No-Exit,0,0,No-Exit,0,0,2008-09-02,36.28,-828.4,-828.4,['MA', 'GOOGL'],,,,
