Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
CP,07/01/2005,34.51,34.84,34.27,34.6,123700.0,0.0,1.0
CP,07/05/2005,34.02,34.1,33.69,33.95,445600.0,0.0,1.0
CP,07/06/2005,34.08,34.76,33.99,34.39,193100.0,0.0,1.0
CP,07/07/2005,34.2,34.45,33.96,34.19,159900.0,0.0,1.0
CP,07/08/2005,34.4,34.92,34.36,34.84,192100.0,0.0,1.0
CP,07/11/2005,35.05,35.77,35.05,35.52,183300.0,0.0,1.0
CP,07/12/2005,35.88,35.89,35.26,35.48,180000.0,0.0,1.0
CP,07/13/2005,35.52,35.55,34.62,34.62,175300.0,0.0,1.0
CP,07/14/2005,35.54,35.54,35.15,35.17,247900.0,0.0,1.0
CP,07/15/2005,34.97,35.2,34.8,34.88,260000.0,0.0,1.0
CP,07/18/2005,35.0,35.14,34.67,34.71,381200.0,0.0,1.0
CP,07/19/2005,34.76,35.07,34.48,35.07,348600.0,0.0,1.0
CP,07/20/2005,34.97,36.54,34.91,36.32,602100.0,0.0,1.0
CP,07/21/2005,36.52,36.62,36.08,36.25,298700.0,0.0,1.0
CP,07/22/2005,36.31,36.77,36.18,36.35,157900.0,0.0,1.0
CP,07/25/2005,36.7,36.7,36.14,36.42,409900.0,0.0,1.0
CP,07/26/2005,36.6,36.7,35.85,36.18,532500.0,0.0,1.0
CP,07/27/2005,36.21,36.55,35.77,36.55,560600.0,0.0,1.0
CP,07/28/2005,36.67,38.2,36.48,38.12,570900.0,0.0,1.0
CP,07/29/2005,38.1,39.26,38.1,38.84,528600.0,0.0,1.0
CP,08/01/2005,38.84,39.28,38.71,39.26,136900.0,0.0,1.0
CP,08/02/2005,39.26,39.61,38.85,38.98,201900.0,0.0,1.0
CP,08/03/2005,38.9,39.25,38.6,38.91,163600.0,0.0,1.0
CP,08/04/2005,38.8,38.94,38.55,38.56,190900.0,0.0,1.0
CP,08/05/2005,37.98,38.14,37.36,37.83,234500.0,0.0,1.0
CP,08/08/2005,38.06,38.67,37.68,38.0,306800.0,0.0,1.0
CP,08/09/2005,38.15,38.34,37.9,38.33,206500.0,0.0,1.0
CP,08/10/2005,38.55,38.8,38.35,38.8,134300.0,0.0,1.0
CP,08/11/2005,38.84,38.9,38.25,38.38,149100.0,0.0,1.0
CP,08/12/2005,38.37,39.34,38.27,39.18,367000.0,0.0,1.0
CP,08/15/2005,39.05,39.61,38.85,39.51,239900.0,0.0,1.0
CP,08/16/2005,39.45,39.92,38.96,39.15,193700.0,0.0,1.0
CP,08/17/2005,38.85,38.96,38.55,38.61,156800.0,0.0,1.0
CP,08/18/2005,38.54,38.54,37.64,37.83,188700.0,0.0,1.0
CP,08/19/2005,37.83,38.6,37.83,38.57,75900.0,0.0,1.0
CP,08/22/2005,38.55,39.3,38.55,39.25,146600.0,0.0,1.0
CP,08/23/2005,39.2,39.2,38.48,38.61,183900.0,0.0,1.0
CP,08/24/2005,38.56,39.08,38.28,38.75,194900.0,0.0,1.0
CP,08/25/2005,38.95,39.12,38.8,38.96,303500.0,0.0,1.0
CP,08/26/2005,38.95,38.95,38.34,38.35,228700.0,0.0,1.0
CP,08/29/2005,38.35,38.44,37.88,38.43,145900.0,0.0,1.0
CP,08/30/2005,38.02,38.33,37.93,38.19,151300.0,0.0,1.0
CP,08/31/2005,38.12,38.24,37.79,37.83,214500.0,0.0,1.0
CP,09/01/2005,37.73,38.09,37.57,37.7,348400.0,0.0,1.0
CP,09/02/2005,37.46,38.23,37.4,37.92,213800.0,0.0,1.0
CP,09/06/2005,38.05,38.24,37.97,38.14,197900.0,0.0,1.0
CP,09/07/2005,38.19,38.19,37.72,37.99,174100.0,0.0,1.0
CP,09/08/2005,37.93,38.18,37.9,38.07,133900.0,0.0,1.0
CP,09/09/2005,38.17,39.0,38.02,38.97,336300.0,0.0,1.0
CP,09/12/2005,38.75,39.21,38.7,39.12,208400.0,0.0,1.0
CP,09/13/2005,39.2,39.3,38.59,38.74,147000.0,0.0,1.0
CP,09/14/2005,38.8,39.28,38.7,38.82,204300.0,0.0,1.0
CP,09/15/2005,38.75,38.79,38.12,38.79,153800.0,0.0,1.0
CP,09/16/2005,39.0,39.86,38.88,39.84,239600.0,0.0,1.0
CP,09/19/2005,39.95,39.98,39.56,39.72,201000.0,0.0,1.0
CP,09/20/2005,39.97,41.82,39.95,41.58,550100.0,0.0,1.0
CP,09/21/2005,41.58,42.35,41.53,42.17,297700.0,0.0,1.0
CP,09/22/2005,42.28,42.33,40.83,40.87,543700.0,0.0,1.0
CP,09/23/2005,40.55,42.13,40.38,42.07,514100.0,0.0,1.0
CP,09/26/2005,41.9,42.27,41.61,41.92,277100.0,0.0,1.0
CP,09/27/2005,42.01,42.43,41.59,41.59,155900.0,0.0,1.0
CP,09/28/2005,41.55,41.96,41.4,41.57,231800.0,12.73,1.0
CP,09/29/2005,41.27,42.31,41.23,42.14,225300.0,0.0,1.0
CP,09/30/2005,42.12,43.4,41.93,42.96,244800.0,0.0,1.0
CP,10/03/2005,42.97,43.28,42.48,42.61,235500.0,0.0,1.0
CP,10/04/2005,42.7,43.62,42.46,43.44,261900.0,0.0,1.0
CP,10/05/2005,42.95,43.07,42.3,42.42,445600.0,0.0,1.0
CP,10/06/2005,42.1,43.56,41.58,42.87,389200.0,0.0,1.0
CP,10/07/2005,43.12,43.34,42.83,43.14,428400.0,0.0,1.0
CP,10/10/2005,43.5,43.5,42.75,42.75,97000.0,0.0,1.0
CP,10/11/2005,42.75,43.76,42.75,43.45,447800.0,0.0,1.0
CP,10/12/2005,43.65,43.87,42.97,43.21,413600.0,0.0,1.0
CP,10/13/2005,42.65,42.83,41.02,41.83,544900.0,0.0,1.0
CP,10/14/2005,41.3,42.01,41.08,41.92,259200.0,0.0,1.0
CP,10/17/2005,41.47,41.94,41.3,41.6,173700.0,0.0,1.0
CP,10/18/2005,40.9,41.42,40.7,40.73,227000.0,0.0,1.0
CP,10/19/2005,40.81,41.42,40.66,40.9,237700.0,0.0,1.0
CP,10/20/2005,40.95,41.75,40.75,40.94,441700.0,0.0,1.0
CP,10/21/2005,40.67,41.25,40.51,40.6,179800.0,0.0,1.0
CP,10/24/2005,40.61,41.94,40.61,41.93,360800.0,0.0,1.0
CP,10/25/2005,41.15,41.91,40.48,40.65,515400.0,0.0,1.0
CP,10/26/2005,40.85,41.16,40.33,40.44,471600.0,0.0,1.0
CP,10/27/2005,40.75,41.12,39.81,40.03,266000.0,0.0,1.0
CP,10/28/2005,40.03,40.54,39.78,39.84,283100.0,0.0,1.0
CP,10/31/2005,40.26,41.51,40.25,41.27,206700.0,0.0,1.0
CP,11/01/2005,41.27,41.28,40.2,40.21,462500.0,0.0,1.0
CP,11/02/2005,39.93,40.61,39.56,40.36,867000.0,0.0,1.0
CP,11/03/2005,40.5,40.78,39.98,40.43,428100.0,0.0,1.0
CP,11/04/2005,40.46,40.75,40.02,40.33,203700.0,0.0,1.0
CP,11/07/2005,40.37,41.74,40.25,41.55,348500.0,0.0,1.0
CP,11/08/2005,41.35,41.68,41.01,41.29,300900.0,0.0,1.0
CP,11/09/2005,41.17,41.61,41.05,41.3,156200.0,0.0,1.0
CP,11/10/2005,41.37,41.55,41.07,41.19,321200.0,0.0,1.0
CP,11/11/2005,41.01,41.36,40.6,41.25,197600.0,0.0,1.0
CP,11/14/2005,41.25,41.25,40.83,41.15,178300.0,0.0,1.0
CP,11/15/2005,41.05,41.49,40.86,41.25,259800.0,0.0,1.0
CP,11/16/2005,41.12,41.34,40.35,41.08,628600.0,0.0,1.0
CP,11/17/2005,40.85,41.14,40.14,40.95,911400.0,0.0,1.0
CP,11/18/2005,40.5,41.65,40.5,41.65,513600.0,0.0,1.0
CP,11/21/2005,41.45,41.46,41.01,41.31,333500.0,0.0,1.0
CP,11/22/2005,41.11,41.44,40.77,41.39,268900.0,0.0,1.0
CP,11/23/2005,41.49,41.77,41.2,41.27,145000.0,0.0,1.0
CP,11/25/2005,41.9,42.32,41.9,42.12,154600.0,0.0,1.0
CP,11/28/2005,42.3,42.68,42.2,42.29,338500.0,0.0,1.0
CP,11/29/2005,42.29,42.67,42.29,42.61,299500.0,0.0,1.0
CP,11/30/2005,42.71,43.15,42.57,43.14,663200.0,0.0,1.0
CP,12/01/2005,43.8,44.55,43.14,44.52,784000.0,0.0,1.0
CP,12/02/2005,44.62,45.34,44.08,44.5,658300.0,0.0,1.0
CP,12/05/2005,44.6,44.61,43.95,44.25,428800.0,0.0,1.0
CP,12/06/2005,44.44,45.28,44.25,44.88,592000.0,0.0,1.0
CP,12/07/2005,44.93,45.16,44.21,44.5,412300.0,0.0,1.0
CP,12/08/2005,43.5,43.74,42.63,42.75,850000.0,0.0,1.0
CP,12/09/2005,42.68,42.79,41.75,42.1,632100.0,0.0,1.0
CP,12/12/2005,42.15,42.4,40.77,41.35,1274400.0,0.0,1.0
CP,12/13/2005,41.63,42.82,41.55,42.34,843500.0,0.0,1.0
CP,12/14/2005,42.63,42.82,42.21,42.6,247700.0,0.0,1.0
CP,12/15/2005,42.24,42.38,41.56,41.78,453500.0,0.0,1.0
CP,12/16/2005,42.17,42.27,42.02,42.04,192400.0,0.0,1.0
CP,12/19/2005,42.04,42.07,41.44,41.57,158700.0,0.0,1.0
CP,12/20/2005,41.65,41.66,40.86,40.95,257500.0,0.0,1.0
CP,12/21/2005,41.11,41.9,41.11,41.67,254800.0,0.0,1.0
CP,12/22/2005,41.77,41.77,41.39,41.5,251300.0,0.0,1.0
CP,12/23/2005,41.66,42.07,41.66,42.06,164300.0,0.0,1.0
CP,12/27/2005,42.06,42.74,41.93,42.15,134600.0,0.0,1.0
CP,12/28/2005,42.27,42.39,42.07,42.27,262400.0,0.13,1.0
CP,12/29/2005,42.23,42.64,42.15,42.26,175800.0,0.0,1.0
CP,12/30/2005,42.25,42.25,41.73,41.95,97700.0,0.0,1.0
CP,01/03/2006,41.0,41.3,40.14,40.3,1443500.0,0.0,1.0
CP,01/04/2006,40.53,41.13,40.21,40.55,265000.0,0.0,1.0
CP,01/05/2006,40.31,40.35,40.02,40.18,482600.0,0.0,1.0
CP,01/06/2006,40.16,40.25,39.65,39.84,442400.0,0.0,1.0
CP,01/09/2006,39.66,39.88,39.49,39.63,305500.0,0.0,1.0
CP,01/10/2006,39.68,39.78,39.1,39.53,349100.0,0.0,1.0
CP,01/11/2006,39.56,41.17,39.55,41.0,611100.0,0.0,1.0
CP,01/12/2006,40.82,41.14,40.22,40.43,287700.0,0.0,1.0
CP,01/13/2006,40.8,41.26,40.61,40.83,294200.0,0.0,1.0
CP,01/17/2006,40.91,42.89,40.83,42.54,778000.0,0.0,1.0
CP,01/18/2006,42.0,42.16,41.34,41.92,612100.0,0.0,1.0
CP,01/19/2006,41.95,43.49,41.88,43.44,404500.0,0.0,1.0
CP,01/20/2006,43.37,44.04,43.37,43.93,561800.0,0.0,1.0
CP,01/23/2006,44.0,44.8,43.95,44.69,395000.0,0.0,1.0
CP,01/24/2006,44.52,45.3,44.3,45.07,347100.0,0.0,1.0
CP,01/25/2006,46.0,46.09,45.48,45.65,319900.0,0.0,1.0
CP,01/26/2006,45.65,47.18,45.49,46.97,411700.0,0.0,1.0
CP,01/27/2006,47.04,47.72,47.0,47.69,415200.0,0.0,1.0
CP,01/30/2006,47.69,48.22,47.06,48.16,455300.0,0.0,1.0
CP,01/31/2006,48.71,49.12,47.64,48.24,716500.0,0.0,1.0
CP,02/01/2006,47.85,48.46,47.24,47.34,472700.0,0.0,1.0
CP,02/02/2006,47.0,47.97,46.89,47.59,486400.0,0.0,1.0
CP,02/03/2006,47.14,47.61,46.93,47.54,334600.0,0.0,1.0
CP,02/06/2006,47.4,48.01,47.29,48.01,221200.0,0.0,1.0
