Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,17.0,16.0,732.45,739.4099999999996,7198.84,94.11764705882352,10.0,10.0,100.0,7.0,6.0,85.71428571428571
01/31/2007--01/26/2008,16.0,15.0,719.78,-1597.6700000000003,6372.830000000001,93.75,10.0,10.0,100.0,6.0,5.0,83.33333333333334
03/02/2007--02/25/2008,19.0,18.0,921.3699999999999,343.14999999999986,10285.76,94.73684210526315,10.0,10.0,100.0,9.0,8.0,88.88888888888889
04/01/2007--03/26/2008,21.0,20.0,1097.7199999999998,5012.42,14955.03,95.23809523809523,10.0,10.0,100.0,11.0,10.0,90.9090909090909
05/01/2007--04/25/2008,23.0,22.0,1280.7199999999998,2730.0600000000004,13327.650000000001,95.65217391304348,12.0,12.0,100.0,11.0,10.0,90.9090909090909
05/31/2007--05/25/2008,23.0,22.0,1257.6899999999998,1131.3100000000002,12787.36,95.65217391304348,12.0,12.0,100.0,11.0,10.0,90.9090909090909
06/30/2007--06/24/2008,30.0,29.0,1824.1,2697.42,16284.340000000002,96.66666666666667,16.0,16.0,100.0,14.0,13.0,92.85714285714286
07/30/2007--07/24/2008,29.0,28.0,1732.57,3629.62,17157.950000000004,96.55172413793103,16.0,16.0,100.0,13.0,12.0,92.3076923076923
08/29/2007--08/23/2008,25.0,24.0,1472.9900000000002,-1359.3200000000002,13147.1,96.0,15.0,15.0,100.0,10.0,9.0,90.0
09/28/2007--09/22/2008,24.0,23.0,1429.05,1321.6000000000006,17560.339999999997,95.83333333333334,9.0,9.0,100.0,15.0,14.0,93.33333333333333
10/28/2007--10/22/2008,18.0,18.0,1554.6499999999999,3410.8200000000006,19644.23,100.0,8.0,8.0,100.0,10.0,10.0,100.0
11/27/2007--11/21/2008,17.0,17.0,1446.8100000000002,3604.9300000000003,15035.92,100.0,7.0,7.0,100.0,10.0,10.0,100.0
12/27/2007--12/21/2008,14.0,14.0,1180.0,2209.9300000000003,13549.66,100.0,7.0,7.0,100.0,7.0,7.0,100.0
01/26/2008--01/20/2009,15.0,15.0,1269.3400000000001,-233.66000000000122,11237.01,100.0,9.0,9.0,100.0,6.0,6.0,100.0
02/25/2008--02/19/2009,15.0,15.0,1291.8600000000001,1676.8799999999997,11453.48,100.0,9.0,9.0,100.0,6.0,6.0,100.0
03/26/2008--03/21/2009,16.0,16.0,1388.22,1247.6399999999996,11549.84,100.0,9.0,9.0,100.0,7.0,7.0,100.0
04/25/2008--04/20/2009,13.0,13.0,1187.4199999999998,789.4899999999996,10005.23,100.0,6.0,6.0,100.0,7.0,7.0,100.0
05/25/2008--05/20/2009,11.0,10.0,-11.379999999999924,8658.28,15524.55,90.9090909090909,7.0,6.0,85.71428571428571,4.0,4.0,100.0
06/24/2008--06/19/2009,12.0,11.0,64.60000000000002,1302.8700000000001,7894.92,91.66666666666666,8.0,7.0,87.5,4.0,4.0,100.0
07/24/2008--07/19/2009,11.0,10.0,-2.859999999999971,1145.8200000000002,7584.01,90.9090909090909,7.0,6.0,85.71428571428571,4.0,4.0,100.0
08/23/2008--08/18/2009,13.0,12.0,49.16999999999997,1338.8899999999996,8573.93,92.3076923076923,12.0,11.0,91.66666666666666,1.0,1.0,100.0
09/22/2008--09/17/2009,16.0,14.0,115.14,6857.89,11642.000000000004,87.5,14.0,12.0,85.71428571428571,2.0,2.0,100.0
10/22/2008--10/17/2009,13.0,12.0,34.989999999999995,1012.8900000000003,5797.000000000001,92.3076923076923,11.0,10.0,90.9090909090909,2.0,2.0,100.0
11/21/2008--11/16/2009,16.0,15.0,274.88,11478.050000000001,17123.04,93.75,14.0,13.0,92.85714285714286,2.0,2.0,100.0
12/21/2008--12/16/2009,18.0,17.0,421.2800000000001,19582.25,25015.14,94.44444444444444,15.0,14.0,93.33333333333333,3.0,3.0,100.0
01/20/2009--01/15/2010,19.0,18.0,535.7800000000001,18384.440000000002,24227.47,94.73684210526315,16.0,15.0,93.75,3.0,3.0,100.0
02/19/2009--02/14/2010,18.0,17.0,440.7400000000002,17769.940000000002,24132.430000000004,94.44444444444444,16.0,15.0,93.75,2.0,2.0,100.0
03/21/2009--03/16/2010,23.0,22.0,872.2000000000002,13110.75,23383.660000000003,95.65217391304348,18.0,17.0,94.44444444444444,5.0,5.0,100.0
04/20/2009--04/15/2010,24.0,21.0,-205.64000000000016,7600.249999999999,17389.41,87.5,19.0,16.0,84.21052631578947,5.0,5.0,100.0
05/20/2009--05/15/2010,23.0,19.0,-322.25,6087.24,16468.600000000002,82.6086956521739,17.0,14.0,82.35294117647058,6.0,5.0,83.33333333333334
06/19/2009--06/14/2010,27.0,22.0,-246.86000000000013,3622.6100000000024,17459.379999999997,81.48148148148148,18.0,15.0,83.33333333333334,9.0,7.0,77.77777777777779
07/19/2009--07/14/2010,30.0,24.0,-313.16,-3377.68,10606.9,80.0,19.0,15.0,78.94736842105263,11.0,9.0,81.81818181818183
08/18/2009--08/13/2010,28.0,20.0,-1649.5100000000004,-5969.320000000001,6585.83,71.42857142857143,18.0,12.0,66.66666666666666,10.0,8.0,80.0
09/17/2009--09/12/2010,28.0,19.0,-1877.3799999999999,-9588.629999999997,3047.9900000000002,67.85714285714286,17.0,11.0,64.70588235294117,11.0,8.0,72.72727272727273
10/17/2009--10/12/2010,30.0,21.0,-1615.6100000000001,-11418.85,899.78,70.0,19.0,13.0,68.42105263157895,11.0,8.0,72.72727272727273
11/16/2009--11/11/2010,29.0,20.0,-1803.6999999999998,-4878.039999999997,6393.960000000001,68.96551724137932,18.0,12.0,66.66666666666666,11.0,8.0,72.72727272727273
12/16/2009--12/11/2010,27.0,18.0,-1946.05,-10348.2,2483.12,66.66666666666666,17.0,11.0,64.70588235294117,10.0,7.0,70.0
01/15/2010--01/10/2011,25.0,16.0,-2176.48,-8861.199999999999,3774.62,64.0,17.0,11.0,64.70588235294117,8.0,5.0,62.5
02/14/2010--02/09/2011,28.0,19.0,-2000.53,-6015.87,4403.170000000001,67.85714285714286,18.0,12.0,66.66666666666666,10.0,7.0,70.0
03/16/2010--03/11/2011,29.0,18.0,-2992.68,-3775.6100000000024,4844.509999999999,62.06896551724138,16.0,9.0,56.25,13.0,9.0,69.23076923076923
04/15/2010--04/10/2011,18.0,11.0,-1865.6499999999999,-3628.9799999999996,4641.759999999999,61.111111111111114,11.0,7.0,63.63636363636363,7.0,4.0,57.14285714285714
05/15/2010--05/10/2011,21.0,15.0,-1343.2399999999998,-1811.2799999999997,7700.3,71.42857142857143,15.0,11.0,73.33333333333333,6.0,4.0,66.66666666666666
06/14/2010--06/09/2011,23.0,17.0,-1358.1899999999998,-1018.44,8401.380000000001,73.91304347826086,15.0,11.0,73.33333333333333,8.0,6.0,75.0
07/14/2010--07/09/2011,21.0,17.0,-592.5699999999999,-547.150000000001,9294.260000000004,80.95238095238095,12.0,10.0,83.33333333333334,9.0,7.0,77.77777777777779
08/13/2010--08/08/2011,18.0,16.0,363.47000000000014,881.1899999999998,10402.810000000003,88.88888888888889,10.0,9.0,90.0,8.0,7.0,87.5
09/12/2010--09/07/2011,19.0,16.0,-109.0599999999999,-4978.01,4406.840000000001,84.21052631578947,9.0,8.0,88.88888888888889,10.0,8.0,80.0
10/12/2010--10/07/2011,18.0,13.0,-1742.63,-4447.870000000001,2098.1200000000003,72.22222222222221,8.0,6.0,75.0,10.0,7.0,70.0
11/11/2010--11/06/2011,16.0,11.0,-1926.0700000000002,-5263.51,605.9400000000005,68.75,7.0,5.0,71.42857142857143,9.0,6.0,66.66666666666666
12/11/2010--12/06/2011,18.0,13.0,-1761.85,-5895.63,1130.0200000000004,72.22222222222221,9.0,7.0,77.77777777777779,9.0,6.0,66.66666666666666
01/10/2011--01/05/2012,15.0,11.0,-1543.17,-5086.22,1456.8600000000006,73.33333333333333,9.0,7.0,77.77777777777779,6.0,4.0,66.66666666666666
02/09/2011--02/04/2012,13.0,9.0,-1719.37,-7444.65,-1136.91,69.23076923076923,8.0,6.0,75.0,5.0,3.0,60.0
03/11/2011--03/05/2012,12.0,9.0,-1124.4599999999998,-7615.629999999998,-772.1,75.0,8.0,7.0,87.5,4.0,2.0,50.0
04/10/2011--04/04/2012,10.0,7.0,-1334.1399999999999,-5116.360000000001,-966.7899999999997,70.0,6.0,5.0,83.33333333333334,4.0,2.0,50.0
05/10/2011--05/04/2012,12.0,9.0,-1191.75,-630.2000000000005,3010.9000000000005,75.0,8.0,7.0,87.5,4.0,2.0,50.0
06/09/2011--06/03/2012,12.0,9.0,-1189.6399999999999,-2779.8900000000003,2274.2900000000004,75.0,8.0,7.0,87.5,4.0,2.0,50.0
07/09/2011--07/03/2012,18.0,15.0,-536.1799999999998,-3406.5499999999993,4382.43,83.33333333333334,12.0,11.0,91.66666666666666,6.0,4.0,66.66666666666666
08/08/2011--08/02/2012,16.0,14.0,-240.2000000000001,-3122.9999999999995,5187.380000000001,87.5,12.0,11.0,91.66666666666666,4.0,3.0,75.0
