Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ABT,07/01/2005,49.23,49.64,48.97,49.03,7019500.0,17.86,0.0,1.0
ABT,07/05/2005,48.92,49.4,48.86,48.95,5530800.0,17.83,0.0,1.0
ABT,07/06/2005,48.95,49.35,48.83,49.14,7731900.0,17.9,0.0,1.0
ABT,07/07/2005,48.85,49.2,48.72,48.97,12606200.0,17.84,0.0,1.0
ABT,07/08/2005,48.98,49.46,48.8,49.35,6682300.0,17.98,0.0,1.0
ABT,07/11/2005,49.6,49.75,49.45,49.65,8614400.0,18.09,0.0,1.0
ABT,07/12/2005,49.72,50.0,49.45,49.99,13182900.0,18.21,0.0,1.0
ABT,07/13/2005,49.0,49.04,47.15,47.65,29627900.0,17.46,0.28,1.0
ABT,07/14/2005,47.61,48.11,46.5,46.62,20639600.0,17.08,0.0,1.0
ABT,07/15/2005,46.4,47.05,46.4,46.87,11511200.0,17.17,0.0,1.0
ABT,07/18/2005,46.95,47.21,46.41,46.41,8551000.0,17.01,0.0,1.0
ABT,07/19/2005,46.6,46.77,46.26,46.35,8056200.0,16.98,0.0,1.0
ABT,07/20/2005,46.5,46.9,46.39,46.85,7931800.0,17.17,0.0,1.0
ABT,07/21/2005,46.89,47.05,46.43,46.46,7426800.0,17.02,0.0,1.0
ABT,07/22/2005,46.4,46.45,45.92,46.04,10948900.0,16.87,0.0,1.0
ABT,07/25/2005,46.18,46.34,45.2,45.49,12144400.0,16.67,0.0,1.0
ABT,07/26/2005,45.64,46.0,45.32,45.74,6768400.0,16.76,0.0,1.0
ABT,07/27/2005,45.98,46.48,45.76,46.25,6142300.0,16.95,0.0,1.0
ABT,07/28/2005,46.45,47.15,46.2,46.82,7670600.0,17.16,0.0,1.0
ABT,07/29/2005,46.84,47.08,46.55,46.63,7504100.0,17.09,0.0,1.0
ABT,08/01/2005,46.85,47.22,46.6,47.02,8678600.0,17.23,0.0,1.0
ABT,08/02/2005,47.2,47.31,47.08,47.28,6762600.0,17.32,0.0,1.0
ABT,08/03/2005,47.0,47.37,46.9,47.33,4783200.0,17.34,0.0,1.0
ABT,08/04/2005,47.1,47.36,46.84,47.03,6616500.0,17.23,0.0,1.0
ABT,08/05/2005,46.9,47.05,46.45,46.49,5758200.0,17.03,0.0,1.0
ABT,08/08/2005,46.65,46.74,46.22,46.38,3634400.0,16.99,0.0,1.0
ABT,08/09/2005,46.4,46.74,46.4,46.6,6493500.0,17.08,0.0,1.0
ABT,08/10/2005,46.89,47.18,46.46,46.6,6458500.0,17.08,0.0,1.0
ABT,08/11/2005,46.74,46.93,46.5,46.78,5443700.0,17.14,0.0,1.0
ABT,08/12/2005,46.65,46.75,46.25,46.54,5291700.0,17.05,0.0,1.0
ABT,08/15/2005,46.5,46.93,46.4,46.72,4750700.0,17.12,0.0,1.0
ABT,08/16/2005,46.75,46.83,45.98,46.02,4922000.0,16.86,0.0,1.0
ABT,08/17/2005,46.19,46.59,46.09,46.09,4782200.0,16.89,0.0,1.0
ABT,08/18/2005,45.95,46.45,45.93,46.02,4933700.0,16.86,0.0,1.0
ABT,08/19/2005,46.23,46.33,45.78,45.83,5114200.0,16.79,0.0,1.0
ABT,08/22/2005,45.84,46.25,45.69,45.96,4861600.0,16.84,0.0,1.0
ABT,08/23/2005,45.85,45.95,45.68,45.7,5760100.0,16.75,0.0,1.0
ABT,08/24/2005,45.45,45.89,44.7,44.92,7470800.0,16.46,0.0,1.0
ABT,08/25/2005,44.9,45.55,44.84,45.11,7062100.0,16.53,0.0,1.0
ABT,08/26/2005,44.91,45.15,44.72,44.73,4893700.0,16.39,0.0,1.0
ABT,08/29/2005,44.45,45.4,44.44,45.13,7012500.0,16.54,0.0,1.0
ABT,08/30/2005,45.13,45.13,44.4,44.63,7571900.0,16.35,0.0,1.0
ABT,08/31/2005,44.85,45.17,44.65,45.13,9665400.0,16.54,0.0,1.0
ABT,09/01/2005,45.32,45.61,44.84,45.14,7044800.0,16.54,0.0,1.0
ABT,09/02/2005,45.2,45.28,44.79,44.88,5307400.0,16.44,0.0,1.0
ABT,09/06/2005,44.88,45.4,44.88,45.3,8454100.0,16.6,0.0,1.0
ABT,09/07/2005,45.3,45.89,45.21,45.68,5962200.0,16.74,0.0,1.0
ABT,09/08/2005,45.8,45.8,45.16,45.39,5040000.0,16.63,0.0,1.0
ABT,09/09/2005,45.4,45.75,45.22,45.57,5663800.0,16.7,0.0,1.0
ABT,09/12/2005,45.21,46.2,44.9,45.23,7581200.0,16.57,0.0,1.0
ABT,09/13/2005,45.3,45.32,43.8,44.66,14687100.0,16.36,0.0,1.0
ABT,09/14/2005,44.66,44.72,43.79,43.85,10557300.0,16.07,0.0,1.0
ABT,09/15/2005,44.0,44.06,43.45,43.7,12966600.0,16.01,0.0,1.0
ABT,09/16/2005,43.75,43.98,43.45,43.74,19156500.0,16.03,0.0,1.0
ABT,09/19/2005,43.5,43.52,42.7,43.31,9672900.0,15.87,0.0,1.0
ABT,09/20/2005,43.31,43.75,43.06,43.09,8488700.0,15.79,0.0,1.0
ABT,09/21/2005,42.74,43.45,42.7,43.1,11404300.0,15.79,0.0,1.0
ABT,09/22/2005,43.1,44.08,43.09,43.91,9887600.0,16.09,0.0,1.0
ABT,09/23/2005,43.98,44.53,43.92,44.22,9817400.0,16.2,0.0,1.0
ABT,09/26/2005,43.47,43.8,42.38,42.66,19637500.0,15.63,0.0,1.0
ABT,09/27/2005,42.9,43.05,42.6,42.73,12269400.0,15.66,0.0,1.0
ABT,09/28/2005,43.0,43.04,41.7,41.94,15790700.0,15.37,0.0,1.0
ABT,09/29/2005,41.9,42.3,41.57,42.09,13150600.0,15.42,0.0,1.0
ABT,09/30/2005,41.95,42.54,41.6,42.4,12685700.0,15.54,0.0,1.0
ABT,10/03/2005,42.4,42.77,42.21,42.48,10359900.0,15.57,0.0,1.0
ABT,10/04/2005,43.0,44.09,43.0,44.01,21396200.0,16.13,0.0,1.0
ABT,10/05/2005,44.03,44.36,43.25,43.28,10641900.0,15.86,0.0,1.0
ABT,10/06/2005,43.0,43.25,42.57,43.02,14305700.0,15.76,0.0,1.0
ABT,10/07/2005,43.02,43.19,42.62,42.7,8023900.0,15.65,0.0,1.0
ABT,10/10/2005,42.64,42.79,42.17,42.18,6849700.0,15.46,0.0,1.0
ABT,10/11/2005,42.06,42.65,42.0,42.42,7789900.0,15.54,0.0,1.0
ABT,10/12/2005,42.05,42.7,41.58,42.1,11613100.0,15.53,0.28,1.0
ABT,10/13/2005,41.82,42.82,41.82,42.57,12476200.0,15.7,0.0,1.0
ABT,10/14/2005,42.32,42.69,42.0,42.64,10143100.0,15.73,0.0,1.0
ABT,10/17/2005,42.4,42.58,42.05,42.55,7698800.0,15.69,0.0,1.0
ABT,10/18/2005,42.3,42.76,42.25,42.4,8982000.0,15.64,0.0,1.0
ABT,10/19/2005,42.25,44.1,42.05,43.95,17332400.0,16.21,0.0,1.0
ABT,10/20/2005,43.75,43.9,43.11,43.26,14535200.0,15.95,0.0,1.0
ABT,10/21/2005,43.46,43.47,42.53,42.75,12781300.0,15.77,0.0,1.0
ABT,10/24/2005,43.03,43.21,42.77,42.9,8635800.0,15.82,0.0,1.0
ABT,10/25/2005,42.98,43.6,42.9,43.28,7406600.0,15.96,0.0,1.0
