Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ADP,07/01/2005,42.1,42.54,42.05,42.28,1510900.0,25.9,0.0,1.0
ADP,07/05/2005,42.11,42.35,42.0,42.18,2674300.0,25.84,0.0,1.0
ADP,07/06/2005,42.18,42.29,41.77,41.88,2322300.0,25.66,0.0,1.0
ADP,07/07/2005,41.7,42.0,41.21,41.75,1996600.0,25.58,0.0,1.0
ADP,07/08/2005,41.75,42.05,41.42,41.97,3316900.0,25.71,0.0,1.0
ADP,07/11/2005,42.12,42.39,41.77,42.38,3123900.0,25.96,0.0,1.0
ADP,07/12/2005,42.55,42.55,41.99,42.43,1789500.0,25.99,0.0,1.0
ADP,07/13/2005,42.33,42.47,42.07,42.19,1988600.0,25.85,0.0,1.0
ADP,07/14/2005,42.44,42.54,42.2,42.47,1368300.0,26.02,0.0,1.0
ADP,07/15/2005,42.47,42.84,42.4,42.84,1825000.0,26.24,0.0,1.0
ADP,07/18/2005,42.84,42.84,42.48,42.7,1577300.0,26.16,0.0,1.0
ADP,07/19/2005,42.87,43.39,42.71,43.31,2254200.0,26.53,0.0,1.0
ADP,07/20/2005,42.97,43.45,42.77,43.34,1718800.0,26.55,0.0,1.0
ADP,07/21/2005,43.27,44.06,43.22,43.74,2863600.0,26.8,0.0,1.0
ADP,07/22/2005,43.74,43.97,43.41,43.94,2308200.0,26.92,0.0,1.0
ADP,07/25/2005,44.11,44.71,43.72,43.8,3092200.0,26.83,0.0,1.0
ADP,07/26/2005,43.77,44.35,42.46,43.84,3489000.0,26.86,0.0,1.0
ADP,07/27/2005,43.75,44.04,43.62,44.04,2841300.0,26.98,0.0,1.0
ADP,07/28/2005,44.05,45.07,44.03,44.87,3697500.0,27.49,0.0,1.0
ADP,07/29/2005,44.65,44.91,44.41,44.41,2029100.0,27.21,0.0,1.0
ADP,08/01/2005,43.46,44.45,43.46,44.36,2022600.0,27.18,0.0,1.0
ADP,08/02/2005,44.4,44.7,44.28,44.36,1664500.0,27.18,0.0,1.0
ADP,08/03/2005,44.15,44.43,43.98,44.38,1976600.0,27.19,0.0,1.0
ADP,08/04/2005,44.32,44.33,43.9,43.99,1783100.0,26.95,0.0,1.0
ADP,08/05/2005,43.99,44.35,43.9,43.99,1336200.0,26.95,0.0,1.0
ADP,08/08/2005,44.04,44.29,43.97,44.0,1286700.0,26.96,0.0,1.0
ADP,08/09/2005,44.07,44.27,43.98,44.08,1275700.0,27.0,0.0,1.0
ADP,08/10/2005,44.25,44.96,44.2,44.36,2124600.0,27.18,0.0,1.0
ADP,08/11/2005,44.4,44.75,44.16,44.51,1236500.0,27.27,0.0,1.0
ADP,08/12/2005,44.51,44.75,44.3,44.52,1199900.0,27.27,0.0,1.0
ADP,08/15/2005,44.42,44.67,44.11,44.56,1161700.0,27.3,0.0,1.0
ADP,08/16/2005,44.42,44.59,44.11,44.11,1391400.0,27.02,0.0,1.0
ADP,08/17/2005,43.99,44.19,43.91,44.1,2073700.0,27.02,0.0,1.0
ADP,08/18/2005,43.99,44.29,43.75,44.09,1390300.0,27.01,0.0,1.0
ADP,08/19/2005,44.33,44.38,43.95,43.99,1532800.0,26.95,0.0,1.0
ADP,08/22/2005,44.0,44.46,43.81,44.06,1179800.0,26.99,0.0,1.0
ADP,08/23/2005,44.01,44.15,43.88,43.99,1686900.0,26.95,0.0,1.0
ADP,08/24/2005,43.93,44.2,43.73,43.75,2251600.0,26.8,0.0,1.0
