Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ADT,10/01/2012,35.78,37.3,35.44,37.27,10551300.0,35.46,0.0,1.0
ADT,10/02/2012,37.18,38.55,36.3,38.33,9899000.0,36.47,0.0,1.0
ADT,10/03/2012,38.56,40.35,38.56,39.09,6480600.0,37.19,0.0,1.0
ADT,10/04/2012,39.09,39.38,38.39,38.57,3147300.0,36.7,0.0,1.0
ADT,10/05/2012,38.7,38.99,36.97,38.24,7520000.0,36.39,0.0,1.0
ADT,10/08/2012,36.64,38.53,36.56,38.23,3698600.0,36.38,0.0,1.0
ADT,10/09/2012,38.09,38.58,37.24,37.5,3872400.0,35.68,0.0,1.0
ADT,10/10/2012,36.97,37.64,36.73,37.06,4325900.0,35.26,0.0,1.0
ADT,10/11/2012,37.15,37.21,35.75,36.45,5293000.0,34.68,0.0,1.0
ADT,10/12/2012,36.23,36.5,35.98,36.48,2703100.0,34.71,0.0,1.0
ADT,10/15/2012,35.78,36.58,35.38,36.55,2831300.0,34.78,0.0,1.0
ADT,10/16/2012,36.99,38.0,36.55,37.84,3530900.0,36.0,0.0,1.0
ADT,10/17/2012,37.91,39.0,37.82,38.82,3869800.0,36.94,0.0,1.0
ADT,10/18/2012,37.26,39.0,36.91,38.56,3614600.0,36.69,0.0,1.0
ADT,10/19/2012,38.76,39.1,38.22,38.8,1514300.0,36.92,0.0,1.0
ADT,10/22/2012,38.6,38.97,38.35,38.9,1435300.0,37.01,0.0,1.0
ADT,10/23/2012,38.16,38.61,37.93,38.09,1848600.0,36.24,0.0,1.0
ADT,10/24/2012,38.15,38.57,37.55,38.32,2251600.0,36.46,0.0,1.0
ADT,10/25/2012,39.75,42.45,39.75,41.16,7659600.0,39.16,0.0,1.0
ADT,10/26/2012,40.98,42.58,40.92,41.86,3076600.0,39.83,0.0,1.0
ADT,10/31/2012,41.76,42.0,40.77,41.51,2729900.0,39.5,0.0,1.0
ADT,11/01/2012,41.51,41.83,40.97,41.28,2295400.0,39.28,0.0,1.0
ADT,11/02/2012,42.19,43.0,41.35,41.5,1864100.0,39.49,0.0,1.0
ADT,11/05/2012,41.5,42.51,41.17,41.88,1663900.0,39.85,0.0,1.0
ADT,11/06/2012,42.52,42.79,41.66,41.72,2102000.0,39.7,0.0,1.0
ADT,11/07/2012,41.6,41.83,40.85,40.98,2292200.0,38.99,0.0,1.0
ADT,11/08/2012,40.98,42.34,40.39,41.76,1589400.0,39.73,0.0,1.0
ADT,11/09/2012,42.09,43.35,41.87,43.06,3040300.0,40.97,0.0,1.0
ADT,11/12/2012,43.06,44.97,42.7,42.85,1072700.0,40.77,0.0,1.0
ADT,11/13/2012,42.41,43.19,42.2,42.83,1392100.0,40.75,0.0,1.0
ADT,11/14/2012,42.77,42.77,41.39,41.51,1523400.0,39.5,0.0,1.0
ADT,11/15/2012,41.5,41.97,40.99,41.4,2118000.0,39.39,0.0,1.0
ADT,11/16/2012,41.5,41.64,40.94,41.03,2192300.0,39.04,0.0,1.0
