Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ARG,07/01/2005,24.64,24.85,24.48,24.85,172100.0,21.47,0.0,1.0
ARG,07/05/2005,25.0,25.11,24.89,25.04,282400.0,21.63,0.0,1.0
ARG,07/06/2005,24.99,25.1,24.73,24.73,320300.0,21.36,0.0,1.0
ARG,07/07/2005,24.5,25.55,24.5,25.5,476000.0,22.03,0.0,1.0
ARG,07/08/2005,25.5,26.1,25.41,25.97,238900.0,22.44,0.0,1.0
ARG,07/11/2005,25.95,26.74,25.89,26.44,373700.0,22.84,0.0,1.0
ARG,07/12/2005,26.44,26.44,25.94,26.16,392000.0,22.6,0.0,1.0
ARG,07/13/2005,26.16,26.2,25.8,25.88,176900.0,22.36,0.0,1.0
ARG,07/14/2005,25.99,26.03,25.51,25.68,450500.0,22.18,0.0,1.0
ARG,07/15/2005,25.6,26.13,25.45,26.0,275000.0,22.46,0.0,1.0
ARG,07/18/2005,25.97,26.14,25.94,26.03,268300.0,22.49,0.0,1.0
ARG,07/19/2005,26.06,26.35,26.0,26.26,318800.0,22.69,0.0,1.0
ARG,07/20/2005,26.19,26.47,26.08,26.39,300700.0,22.8,0.0,1.0
ARG,07/21/2005,26.43,26.49,26.0,26.03,373800.0,22.49,0.0,1.0
ARG,07/22/2005,26.1,26.42,26.05,26.4,208800.0,22.81,0.0,1.0
ARG,07/25/2005,26.31,26.4,26.19,26.25,164100.0,22.68,0.0,1.0
ARG,07/26/2005,26.3,26.33,25.64,25.78,336600.0,22.27,0.0,1.0
ARG,07/27/2005,25.84,25.86,25.75,25.76,275200.0,22.25,0.0,1.0
ARG,07/28/2005,26.5,28.85,26.5,28.7,1666100.0,24.79,0.0,1.0
ARG,07/29/2005,28.7,29.81,28.7,29.5,1256400.0,25.48,0.0,1.0
ARG,08/01/2005,29.6,29.65,29.1,29.63,806300.0,25.6,0.0,1.0
ARG,08/02/2005,29.73,29.99,29.4,29.75,387600.0,25.7,0.0,1.0
ARG,08/03/2005,29.6,29.7,29.35,29.59,478500.0,25.56,0.0,1.0
ARG,08/04/2005,29.44,29.47,28.89,28.98,349600.0,25.04,0.0,1.0
ARG,08/05/2005,28.93,29.26,28.8,28.82,372400.0,24.9,0.0,1.0
ARG,08/08/2005,28.83,28.9,28.72,28.76,439300.0,24.85,0.0,1.0
ARG,08/09/2005,28.78,29.09,28.66,29.04,401200.0,25.09,0.0,1.0
ARG,08/10/2005,29.14,29.3,28.83,28.98,741300.0,25.04,0.0,1.0
ARG,08/11/2005,28.87,29.15,28.81,28.99,600900.0,25.04,0.0,1.0
ARG,08/12/2005,28.99,29.03,28.75,28.89,274700.0,24.96,0.0,1.0
ARG,08/15/2005,28.79,29.05,28.6,28.73,227100.0,24.82,0.0,1.0
ARG,08/16/2005,28.73,28.73,28.13,28.24,189400.0,24.4,0.0,1.0
ARG,08/17/2005,28.24,28.63,28.0,28.53,221100.0,24.65,0.0,1.0
ARG,08/18/2005,28.33,28.49,28.17,28.44,261200.0,24.57,0.0,1.0
ARG,08/19/2005,28.45,28.67,28.24,28.4,208200.0,24.53,0.0,1.0
ARG,08/22/2005,28.36,28.53,27.97,28.07,235000.0,24.25,0.0,1.0
ARG,08/23/2005,28.15,28.2,27.7,27.82,190400.0,24.03,0.0,1.0
ARG,08/24/2005,27.85,27.93,27.59,27.76,234900.0,23.98,0.0,1.0
ARG,08/25/2005,27.72,27.86,27.62,27.75,192800.0,23.97,0.0,1.0
ARG,08/26/2005,27.8,27.9,27.4,27.7,291700.0,23.93,0.0,1.0
ARG,08/29/2005,27.6,28.07,27.48,28.07,210500.0,24.25,0.0,1.0
