Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
A,07/01/2005,23.2,23.55,23.13,23.4,1632900.0,15.4,0.0,1.0
A,07/05/2005,23.26,23.8,23.13,23.62,1425200.0,15.54,0.0,1.0
A,07/06/2005,23.67,24.04,23.57,23.64,1631200.0,15.55,0.0,1.0
A,07/07/2005,23.4,23.89,23.13,23.88,2462100.0,15.71,0.0,1.0
A,07/08/2005,23.95,24.43,23.9,24.34,2414600.0,16.01,0.0,1.0
A,07/11/2005,25.0,26.17,25.0,25.67,7059600.0,16.89,0.0,1.0
A,07/12/2005,25.02,26.05,25.02,25.93,2598300.0,17.06,0.0,1.0
A,07/13/2005,25.77,26.1,25.67,25.93,2067100.0,17.06,0.0,1.0
A,07/14/2005,26.05,26.25,25.6,25.74,1474400.0,16.93,0.0,1.0
A,07/15/2005,25.84,25.84,25.44,25.66,1448900.0,16.88,0.0,1.0
A,07/18/2005,25.6,25.67,25.28,25.67,1426800.0,16.89,0.0,1.0
A,07/19/2005,25.67,26.08,25.46,25.95,1621800.0,17.07,0.0,1.0
A,07/20/2005,25.89,26.15,25.6,25.92,2347200.0,17.05,0.0,1.0
A,07/21/2005,25.92,26.14,25.74,25.85,2076900.0,17.0,0.0,1.0
A,07/22/2005,25.78,25.8,25.37,25.59,1441500.0,16.83,0.0,1.0
A,07/25/2005,25.53,25.8,25.48,25.6,1177100.0,16.84,0.0,1.0
A,07/26/2005,25.6,26.19,25.6,25.98,2010500.0,17.09,0.0,1.0
A,07/27/2005,26.05,26.63,26.0,26.4,2359500.0,17.37,0.0,1.0
A,07/28/2005,26.4,26.48,26.25,26.42,983900.0,17.38,0.0,1.0
A,07/29/2005,26.32,26.48,26.13,26.24,953800.0,17.26,0.0,1.0
A,08/01/2005,26.23,26.75,26.23,26.51,1343800.0,17.44,0.0,1.0
A,08/02/2005,26.62,26.78,26.52,26.63,1281600.0,17.52,0.0,1.0
A,08/03/2005,26.41,26.77,26.12,26.77,1402800.0,17.61,0.0,1.0
A,08/04/2005,26.7,26.71,26.1,26.19,1695800.0,17.23,0.0,1.0
A,08/05/2005,25.95,26.16,25.82,25.87,1390600.0,17.02,0.0,1.0
A,08/08/2005,25.84,25.87,25.29,25.32,2421700.0,16.66,0.0,1.0
A,08/09/2005,25.4,25.7,25.32,25.58,1218100.0,16.82,0.0,1.0
A,08/10/2005,25.72,25.84,25.18,25.3,1372000.0,16.64,0.0,1.0
A,08/11/2005,25.3,26.12,25.24,26.12,1561000.0,17.18,0.0,1.0
A,08/12/2005,26.15,26.66,26.15,26.41,3850100.0,17.38,0.0,1.0
A,08/15/2005,29.7,30.85,29.35,30.33,22264800.0,19.95,0.0,1.0
A,08/16/2005,29.55,30.48,29.53,30.48,7075300.0,20.05,0.0,1.0
A,08/17/2005,30.5,31.15,30.48,31.11,5098100.0,20.47,0.0,1.0
A,08/18/2005,30.75,31.05,30.7,30.9,5083600.0,20.33,0.0,1.0
