Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
BLL,07/01/2005,36.0,36.15,35.41,35.56,765700.0,16.26,0.0,1.0
BLL,07/05/2005,35.5,36.62,35.5,36.62,524500.0,16.75,0.0,1.0
BLL,07/06/2005,36.55,37.07,36.38,36.85,635700.0,16.85,0.0,1.0
BLL,07/07/2005,37.3,38.86,37.0,38.83,1729600.0,17.76,0.0,1.0
BLL,07/08/2005,38.9,39.15,38.66,39.08,632500.0,17.87,0.0,1.0
BLL,07/11/2005,39.2,39.78,39.16,39.72,587800.0,18.16,0.0,1.0
BLL,07/12/2005,39.55,39.6,38.9,39.04,814500.0,17.85,0.0,1.0
BLL,07/13/2005,38.7,38.71,38.1,38.42,814000.0,17.57,0.0,1.0
BLL,07/14/2005,38.95,39.04,38.18,38.37,357600.0,17.55,0.0,1.0
BLL,07/15/2005,38.37,38.56,38.25,38.46,310900.0,17.59,0.0,1.0
BLL,07/18/2005,38.35,38.45,37.9,38.06,426300.0,17.4,0.0,1.0
BLL,07/19/2005,38.25,38.79,37.9,38.72,699400.0,17.71,0.0,1.0
BLL,07/20/2005,38.52,39.27,38.36,39.1,670400.0,17.88,0.0,1.0
BLL,07/21/2005,38.85,38.99,38.09,38.56,540500.0,17.63,0.0,1.0
BLL,07/22/2005,38.74,39.2,38.66,39.14,375300.0,17.9,0.0,1.0
BLL,07/25/2005,39.2,39.3,38.55,38.66,373500.0,17.68,0.0,1.0
BLL,07/26/2005,38.85,38.85,37.87,38.38,723300.0,17.55,0.0,1.0
BLL,07/27/2005,38.7,38.7,37.94,38.42,607800.0,17.57,0.0,1.0
BLL,07/28/2005,37.0,38.21,35.25,38.01,3198500.0,17.38,0.0,1.0
BLL,07/29/2005,38.02,38.4,37.35,37.95,654500.0,17.35,0.0,1.0
BLL,08/01/2005,37.89,38.24,37.41,38.03,706100.0,17.39,0.0,1.0
BLL,08/02/2005,37.9,38.53,37.9,38.49,703400.0,17.6,0.0,1.0
BLL,08/03/2005,38.34,38.79,38.27,38.41,470700.0,17.56,0.0,1.0
BLL,08/04/2005,38.21,38.68,38.01,38.03,417600.0,17.39,0.0,1.0
BLL,08/05/2005,37.81,38.11,37.66,37.9,500100.0,17.33,0.0,1.0
BLL,08/08/2005,37.97,38.45,37.97,38.23,366600.0,17.48,0.0,1.0
BLL,08/09/2005,38.3,38.48,37.93,37.97,524700.0,17.36,0.0,1.0
BLL,08/10/2005,38.35,38.67,38.25,38.53,658200.0,17.62,0.0,1.0
BLL,08/11/2005,38.75,39.21,38.4,39.19,593700.0,17.92,0.0,1.0
BLL,08/12/2005,38.91,39.2,38.73,39.03,347300.0,17.85,0.0,1.0
BLL,08/15/2005,39.01,39.2,38.8,38.99,545900.0,17.83,0.0,1.0
BLL,08/16/2005,38.92,38.98,38.19,38.22,468400.0,17.48,0.0,1.0
BLL,08/17/2005,38.29,38.43,37.93,38.1,431900.0,17.42,0.0,1.0
BLL,08/18/2005,38.09,38.27,37.9,37.94,408800.0,17.35,0.0,1.0
BLL,08/19/2005,38.22,38.45,38.16,38.42,469000.0,17.57,0.0,1.0
BLL,08/22/2005,38.51,38.85,38.28,38.41,422000.0,17.56,0.0,1.0
BLL,08/23/2005,38.3,38.44,37.91,37.97,537300.0,17.36,0.0,1.0
BLL,08/24/2005,37.8,38.14,37.56,37.68,560700.0,17.23,0.0,1.0
BLL,08/25/2005,37.75,38.15,37.6,37.88,481500.0,17.32,0.0,1.0
BLL,08/26/2005,37.96,37.96,37.25,37.75,425500.0,17.26,0.0,1.0
BLL,08/29/2005,37.48,37.77,36.99,37.68,481100.0,17.23,0.0,1.0
BLL,08/30/2005,37.35,37.64,37.17,37.5,449200.0,17.19,0.1,1.0
BLL,08/31/2005,37.65,37.65,37.07,37.51,747600.0,17.2,0.0,1.0
BLL,09/01/2005,37.45,37.99,37.41,37.91,671100.0,17.38,0.0,1.0
BLL,09/02/2005,37.92,38.09,37.51,37.85,385800.0,17.35,0.0,1.0
BLL,09/06/2005,37.95,38.08,37.45,37.88,466900.0,17.37,0.0,1.0
BLL,09/07/2005,37.68,37.82,37.36,37.62,408200.0,17.25,0.0,1.0
BLL,09/08/2005,37.45,37.77,37.25,37.59,430900.0,17.23,0.0,1.0
BLL,09/09/2005,37.69,37.9,37.5,37.7,379100.0,17.28,0.0,1.0
BLL,09/12/2005,37.45,38.43,37.2,38.16,1005800.0,17.5,0.0,1.0
BLL,09/13/2005,38.21,38.21,37.7,37.89,328500.0,17.37,0.0,1.0
BLL,09/14/2005,37.9,37.92,36.77,37.07,666100.0,17.0,0.0,1.0
BLL,09/15/2005,37.05,37.17,36.81,37.0,536600.0,16.96,0.0,1.0
BLL,09/16/2005,37.05,37.52,36.95,37.39,675800.0,17.14,0.0,1.0
BLL,09/19/2005,37.15,37.3,36.81,36.9,529000.0,16.92,0.0,1.0
BLL,09/20/2005,37.13,37.33,36.44,36.64,582800.0,16.8,0.0,1.0
BLL,09/21/2005,36.28,36.77,36.09,36.12,585200.0,16.56,0.0,1.0
BLL,09/22/2005,36.3,36.46,35.83,36.06,552700.0,16.53,0.0,1.0
BLL,09/23/2005,36.08,36.26,35.9,35.95,511100.0,16.48,0.0,1.0
BLL,09/26/2005,36.35,36.56,36.1,36.31,414600.0,16.65,0.0,1.0
BLL,09/27/2005,36.4,36.85,36.3,36.69,451900.0,16.82,0.0,1.0
BLL,09/28/2005,36.85,37.09,36.52,36.61,418600.0,16.79,0.0,1.0
BLL,09/29/2005,36.54,36.84,36.33,36.71,529800.0,16.83,0.0,1.0
BLL,09/30/2005,36.62,36.83,36.4,36.74,356400.0,16.84,0.0,1.0
BLL,10/03/2005,36.54,36.88,36.16,36.73,616000.0,16.84,0.0,1.0
BLL,10/04/2005,36.9,37.54,36.63,36.66,537100.0,16.81,0.0,1.0
BLL,10/05/2005,36.28,36.6,35.77,36.04,770100.0,16.52,0.0,1.0
BLL,10/06/2005,35.99,37.14,35.85,36.05,606300.0,16.53,0.0,1.0
BLL,10/07/2005,36.4,37.12,36.4,37.1,569600.0,17.01,0.0,1.0
BLL,10/10/2005,37.08,37.4,36.49,36.49,461500.0,16.73,0.0,1.0
BLL,10/11/2005,36.61,37.15,36.61,36.83,527600.0,16.89,0.0,1.0
BLL,10/12/2005,36.73,37.64,35.91,36.22,679800.0,16.61,0.0,1.0
BLL,10/13/2005,36.05,36.3,35.5,36.07,391500.0,16.54,0.0,1.0
BLL,10/14/2005,36.03,36.35,35.6,36.01,689600.0,16.51,0.0,1.0
BLL,10/17/2005,36.0,36.64,36.0,36.61,647500.0,16.79,0.0,1.0
BLL,10/18/2005,36.65,36.89,36.25,36.25,616500.0,16.62,0.0,1.0
BLL,10/19/2005,36.05,36.7,35.69,36.66,726300.0,16.81,0.0,1.0
BLL,10/20/2005,36.46,36.65,35.46,35.71,555200.0,16.37,0.0,1.0
BLL,10/21/2005,35.97,36.15,35.06,35.75,548200.0,16.39,0.0,1.0
BLL,10/24/2005,35.91,36.54,35.82,36.35,362400.0,16.67,0.0,1.0
BLL,10/25/2005,36.46,37.34,36.16,36.58,641000.0,16.77,0.0,1.0
BLL,10/26/2005,36.38,37.38,36.25,37.05,759200.0,16.99,0.0,1.0
BLL,10/27/2005,37.15,38.75,37.13,37.74,1063100.0,17.3,0.0,1.0
BLL,10/28/2005,39.2,39.99,38.42,39.6,1626300.0,18.16,0.0,1.0
BLL,10/31/2005,39.6,39.65,38.39,39.37,965600.0,18.05,0.0,1.0
BLL,11/01/2005,39.4,39.88,39.06,39.19,605100.0,17.97,0.0,1.0
BLL,11/02/2005,39.15,39.84,39.15,39.35,695400.0,18.04,0.0,1.0
BLL,11/03/2005,39.3,39.65,39.16,39.27,649800.0,18.0,0.0,1.0
BLL,11/04/2005,39.2,39.54,38.75,39.15,366100.0,17.95,0.0,1.0
BLL,11/07/2005,39.35,39.52,38.7,38.9,486700.0,17.84,0.0,1.0
BLL,11/08/2005,38.8,38.86,38.41,38.45,330800.0,17.63,0.0,1.0
BLL,11/09/2005,38.45,38.97,38.45,38.84,347300.0,17.81,0.0,1.0
BLL,11/10/2005,38.74,38.8,38.06,38.67,409500.0,17.73,0.0,1.0
BLL,11/11/2005,38.65,39.17,38.37,39.1,269000.0,17.93,0.0,1.0
BLL,11/14/2005,39.3,39.39,38.47,38.59,301900.0,17.69,0.0,1.0
BLL,11/15/2005,38.53,38.79,38.2,38.67,496200.0,17.73,0.0,1.0
BLL,11/16/2005,38.73,38.92,38.37,38.55,197000.0,17.67,0.0,1.0
BLL,11/17/2005,38.65,39.24,38.64,39.23,480800.0,17.99,0.0,1.0
BLL,11/18/2005,39.48,39.5,38.9,39.36,451000.0,18.05,0.0,1.0
BLL,11/21/2005,39.09,40.4,39.09,40.36,1299800.0,18.5,0.0,1.0
BLL,11/22/2005,40.4,40.93,40.17,40.93,681800.0,18.77,0.0,1.0
BLL,11/23/2005,40.75,41.08,40.6,40.7,426700.0,18.66,0.0,1.0
BLL,11/25/2005,40.85,41.04,40.79,40.9,107100.0,18.75,0.0,1.0
BLL,11/28/2005,40.9,41.01,40.67,40.85,370400.0,18.73,0.0,1.0
BLL,11/29/2005,41.04,41.79,41.04,41.32,689000.0,18.99,0.1,1.0
BLL,11/30/2005,41.3,41.6,41.02,41.22,464200.0,18.94,0.0,1.0
BLL,12/01/2005,41.65,41.95,41.55,41.7,380500.0,19.17,0.0,1.0
BLL,12/02/2005,41.55,41.77,41.25,41.69,243200.0,19.16,0.0,1.0
BLL,12/05/2005,41.45,41.68,41.04,41.27,274700.0,18.97,0.0,1.0
BLL,12/06/2005,41.59,41.94,41.32,41.38,478600.0,19.02,0.0,1.0
BLL,12/07/2005,41.3,41.41,40.72,40.8,525200.0,18.75,0.0,1.0
BLL,12/08/2005,40.95,41.15,40.37,40.68,389800.0,18.7,0.0,1.0
BLL,12/09/2005,40.7,40.75,40.04,40.43,397100.0,18.58,0.0,1.0
BLL,12/12/2005,40.7,40.86,40.05,40.23,332100.0,18.49,0.0,1.0
BLL,12/13/2005,40.0,40.1,39.81,40.01,678000.0,18.39,0.0,1.0
BLL,12/14/2005,40.01,40.11,39.64,39.89,501800.0,18.33,0.0,1.0
BLL,12/15/2005,39.9,40.21,39.54,39.62,565800.0,18.21,0.0,1.0
BLL,12/16/2005,39.78,40.16,39.62,40.14,1058100.0,18.45,0.0,1.0
BLL,12/19/2005,40.06,40.36,39.65,39.86,426500.0,18.32,0.0,1.0
BLL,12/20/2005,39.82,40.05,39.66,39.69,330700.0,18.24,0.0,1.0
BLL,12/21/2005,39.88,40.8,39.88,40.19,486400.0,18.47,0.0,1.0
BLL,12/22/2005,40.3,40.4,39.79,40.28,334600.0,18.51,0.0,1.0
BLL,12/23/2005,40.5,40.77,40.28,40.69,276100.0,18.7,0.0,1.0
BLL,12/27/2005,40.79,40.84,39.85,39.92,359300.0,18.35,0.0,1.0
BLL,12/28/2005,40.0,40.1,39.77,39.77,267100.0,18.28,0.0,1.0
BLL,12/29/2005,39.82,39.9,39.58,39.72,288600.0,18.26,0.0,1.0
BLL,12/30/2005,39.52,39.92,39.5,39.72,339400.0,18.26,0.0,1.0
BLL,01/03/2006,40.25,40.38,39.64,40.21,437800.0,18.48,0.0,1.0
BLL,01/04/2006,42.25,43.38,41.83,41.98,1723300.0,19.29,0.0,1.0
BLL,01/05/2006,42.05,42.16,41.6,41.82,755600.0,19.22,0.0,1.0
BLL,01/06/2006,42.07,42.4,41.79,42.11,601600.0,19.35,0.0,1.0
BLL,01/09/2006,42.15,42.26,41.61,41.65,404000.0,19.14,0.0,1.0
BLL,01/10/2006,41.35,41.77,41.1,41.45,468400.0,19.05,0.0,1.0
BLL,01/11/2006,41.7,41.72,40.88,41.04,535200.0,18.86,0.0,1.0
BLL,01/12/2006,40.77,40.96,40.42,40.42,342300.0,18.58,0.0,1.0
BLL,01/13/2006,39.61,41.1,39.61,41.02,473000.0,18.85,0.0,1.0
BLL,01/17/2006,41.25,41.68,40.87,40.9,457400.0,18.8,0.0,1.0
BLL,01/18/2006,40.9,40.91,40.27,40.79,443100.0,18.75,0.0,1.0
BLL,01/19/2006,40.5,41.28,40.27,41.02,696700.0,18.85,0.0,1.0
BLL,01/20/2006,41.02,41.42,40.3,40.43,445900.0,18.58,0.0,1.0
BLL,01/23/2006,40.4,40.99,40.4,40.59,269100.0,18.65,0.0,1.0
BLL,01/24/2006,40.7,41.36,40.61,41.26,372700.0,18.96,0.0,1.0
BLL,01/25/2006,41.45,42.62,41.4,42.12,828600.0,19.36,0.0,1.0
BLL,01/26/2006,41.6,41.69,39.42,39.85,2000100.0,18.31,0.0,1.0
BLL,01/27/2006,40.2,40.45,39.69,40.25,1346000.0,18.5,0.0,1.0
BLL,01/30/2006,40.22,40.31,39.91,40.17,645500.0,18.46,0.0,1.0
BLL,01/31/2006,40.15,40.78,40.15,40.5,726600.0,18.61,0.0,1.0
BLL,02/01/2006,40.31,40.44,39.93,40.34,760300.0,18.54,0.0,1.0
BLL,02/02/2006,40.35,40.46,39.82,40.28,1033600.0,18.51,0.0,1.0
BLL,02/03/2006,39.6,40.46,39.54,39.56,877800.0,18.18,0.0,1.0
BLL,02/06/2006,39.7,40.05,39.39,39.75,638200.0,18.27,0.0,1.0
BLL,02/07/2006,39.58,39.58,38.7,38.93,652300.0,17.89,0.0,1.0
BLL,02/08/2006,38.93,39.69,38.59,39.61,858800.0,18.2,0.0,1.0
BLL,02/09/2006,39.64,40.05,39.62,39.7,733000.0,18.25,0.0,1.0
BLL,02/10/2006,39.72,40.29,39.16,40.23,514200.0,18.49,0.0,1.0
BLL,02/13/2006,40.15,40.18,38.96,39.13,407900.0,17.98,0.0,1.0
BLL,02/14/2006,39.13,40.43,38.53,40.43,563300.0,18.58,0.0,1.0
BLL,02/15/2006,41.3,42.3,41.3,42.15,2581400.0,19.37,0.0,1.0
BLL,02/16/2006,42.1,42.34,41.59,42.33,840600.0,19.45,0.0,1.0
BLL,02/17/2006,42.24,42.3,41.62,41.65,686600.0,19.14,0.0,1.0
BLL,02/21/2006,41.7,42.54,41.7,42.35,735100.0,19.46,0.0,1.0
BLL,02/22/2006,42.68,43.28,42.52,42.94,528700.0,19.74,0.0,1.0
BLL,02/23/2006,43.08,43.9,43.02,43.7,646300.0,20.08,0.0,1.0
BLL,02/24/2006,43.65,43.88,43.45,43.87,496100.0,20.16,0.0,1.0
BLL,02/27/2006,43.77,43.93,42.64,42.66,704800.0,19.65,0.1,1.0
BLL,02/28/2006,42.66,43.25,42.26,42.6,468600.0,19.62,0.0,1.0
BLL,03/01/2006,42.57,42.81,42.12,42.54,479600.0,19.6,0.0,1.0
BLL,03/02/2006,42.4,43.5,42.36,43.48,715700.0,20.03,0.0,1.0
BLL,03/03/2006,43.38,43.4,42.92,43.3,395100.0,19.95,0.0,1.0
BLL,03/06/2006,43.17,43.51,42.96,43.25,442400.0,19.92,0.0,1.0
BLL,03/07/2006,43.0,43.17,42.55,43.01,335400.0,19.81,0.0,1.0
BLL,03/08/2006,43.0,43.33,42.22,43.15,354100.0,19.88,0.0,1.0
BLL,03/09/2006,43.2,43.53,42.92,43.24,533400.0,19.92,0.0,1.0
BLL,03/10/2006,43.25,43.7,43.15,43.32,560200.0,19.96,0.0,1.0
BLL,03/13/2006,43.39,43.55,43.06,43.54,412100.0,20.06,0.0,1.0
BLL,03/14/2006,43.55,44.07,43.4,43.89,450700.0,20.22,0.0,1.0
BLL,03/15/2006,43.89,44.5,43.89,44.2,557800.0,20.36,0.0,1.0
BLL,03/16/2006,44.28,44.5,43.95,44.24,424900.0,20.38,0.0,1.0
BLL,03/17/2006,44.65,44.89,44.25,44.33,622400.0,20.42,0.0,1.0
BLL,03/20/2006,44.3,44.81,44.29,44.79,472800.0,20.63,0.0,1.0
BLL,03/21/2006,44.65,45.0,44.31,44.37,546200.0,20.44,0.0,1.0
BLL,03/22/2006,44.4,44.93,44.25,44.62,520700.0,20.56,0.0,1.0
BLL,03/23/2006,44.52,44.69,44.16,44.41,304300.0,20.46,0.0,1.0
BLL,03/24/2006,44.61,44.61,44.23,44.4,431100.0,20.45,0.0,1.0
BLL,03/27/2006,44.2,44.31,43.8,44.0,425000.0,20.27,0.0,1.0
BLL,03/28/2006,44.0,44.22,43.64,43.8,470400.0,20.18,0.0,1.0
BLL,03/29/2006,43.54,44.63,43.54,44.15,569400.0,20.34,0.0,1.0
BLL,03/30/2006,44.25,44.9,43.8,44.13,383700.0,20.33,0.0,1.0
BLL,03/31/2006,44.09,44.44,43.61,43.83,463400.0,20.19,0.0,1.0
BLL,04/03/2006,44.03,44.34,43.29,43.33,652100.0,19.96,0.0,1.0
BLL,04/04/2006,43.33,43.82,43.05,43.63,620900.0,20.1,0.0,1.0
BLL,04/05/2006,43.55,43.77,43.24,43.49,537400.0,20.03,0.0,1.0
BLL,04/06/2006,43.33,43.4,42.41,42.75,558700.0,19.69,0.0,1.0
BLL,04/07/2006,42.48,42.85,42.19,42.43,640500.0,19.55,0.0,1.0
BLL,04/10/2006,42.5,42.91,41.85,41.92,533000.0,19.31,0.0,1.0
BLL,04/11/2006,41.9,42.21,41.72,41.87,617100.0,19.29,0.0,1.0
BLL,04/12/2006,42.12,42.48,41.97,42.25,528300.0,19.46,0.0,1.0
BLL,04/13/2006,42.3,42.37,41.74,42.02,788900.0,19.36,0.0,1.0
BLL,04/17/2006,41.93,42.72,41.52,42.2,563600.0,19.44,0.0,1.0
BLL,04/18/2006,42.19,44.04,41.82,44.04,1439800.0,20.29,0.0,1.0
BLL,04/19/2006,43.75,43.75,42.87,43.4,620000.0,19.99,0.0,1.0
BLL,04/20/2006,43.15,43.35,42.63,42.94,606600.0,19.78,0.0,1.0
BLL,04/21/2006,43.05,43.44,42.8,43.25,720300.0,19.92,0.0,1.0
BLL,04/24/2006,43.25,43.56,42.9,43.53,666100.0,20.05,0.0,1.0
BLL,04/25/2006,43.53,43.97,43.22,43.4,686200.0,19.99,0.0,1.0
BLL,04/26/2006,43.45,43.92,43.35,43.69,650300.0,20.13,0.0,1.0
BLL,04/27/2006,42.0,42.01,38.92,39.2,3739500.0,18.06,0.0,1.0
BLL,04/28/2006,39.9,40.3,39.56,39.98,1694400.0,18.42,0.0,1.0
BLL,05/01/2006,39.68,39.68,37.6,38.05,1729500.0,17.53,0.0,1.0
BLL,05/02/2006,37.96,38.1,37.3,37.49,1306600.0,17.27,0.0,1.0
BLL,05/03/2006,37.5,38.76,37.45,38.55,1557900.0,17.76,0.0,1.0
BLL,05/04/2006,38.55,39.85,38.4,39.79,2355000.0,18.33,0.0,1.0
BLL,05/05/2006,39.83,39.9,39.07,39.17,1010200.0,18.04,0.0,1.0
