Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
CB,07/01/2005,85.7,85.83,85.27,85.44,630000.0,33.91,0.0,1.0
CB,07/05/2005,84.85,86.97,84.85,86.63,849000.0,34.38,0.0,1.0
CB,07/06/2005,86.15,86.44,85.44,85.45,775800.0,33.91,0.0,1.0
CB,07/07/2005,84.45,85.85,84.35,85.84,1090900.0,34.07,0.0,1.0
CB,07/08/2005,85.66,86.33,85.28,85.95,604500.0,34.11,0.0,1.0
CB,07/11/2005,86.48,86.97,86.25,86.72,657600.0,34.42,0.0,1.0
CB,07/12/2005,86.78,87.11,86.49,86.95,709800.0,34.51,0.0,1.0
CB,07/13/2005,86.97,87.22,86.48,86.59,568400.0,34.37,0.0,1.0
CB,07/14/2005,86.72,87.39,86.6,86.75,635500.0,34.43,0.0,1.0
CB,07/15/2005,86.25,87.1,86.2,86.97,516700.0,34.52,0.0,1.0
CB,07/18/2005,87.0,87.23,86.73,86.76,445800.0,34.43,0.0,1.0
CB,07/19/2005,87.15,87.39,86.83,87.14,418100.0,34.58,0.0,1.0
CB,07/20/2005,87.04,87.52,86.5,87.33,1034700.0,34.66,0.0,1.0
CB,07/21/2005,87.15,87.53,86.78,86.86,732800.0,34.47,0.0,1.0
CB,07/22/2005,86.86,86.99,86.2,86.99,567900.0,34.53,0.0,1.0
CB,07/25/2005,86.98,87.48,86.78,87.0,501800.0,34.53,0.0,1.0
CB,07/26/2005,86.75,87.38,86.73,87.25,436000.0,34.63,0.0,1.0
CB,07/27/2005,87.48,89.75,87.48,89.25,1999300.0,35.42,0.0,1.0
CB,07/28/2005,89.2,90.17,89.04,89.85,1274200.0,35.66,0.0,1.0
CB,07/29/2005,89.7,90.02,88.8,88.82,757300.0,35.25,0.0,1.0
CB,08/01/2005,88.82,89.2,88.19,88.89,963000.0,35.28,0.0,1.0
CB,08/02/2005,88.91,89.58,88.81,89.32,566900.0,35.45,0.0,1.0
CB,08/03/2005,89.15,89.25,88.85,88.98,681700.0,35.32,0.0,1.0
CB,08/04/2005,88.55,88.62,88.05,88.14,491400.0,34.98,0.0,1.0
CB,08/05/2005,87.64,87.71,86.8,87.54,704700.0,34.74,0.0,1.0
CB,08/08/2005,87.67,87.85,87.15,87.26,435200.0,34.63,0.0,1.0
CB,08/09/2005,87.85,87.95,87.43,87.5,797700.0,34.73,0.0,1.0
CB,08/10/2005,88.01,88.61,87.52,87.64,699900.0,34.78,0.0,1.0
CB,08/11/2005,87.56,88.26,87.55,88.1,604100.0,34.97,0.0,1.0
CB,08/12/2005,88.0,88.05,87.49,87.66,684700.0,34.79,0.0,1.0
CB,08/15/2005,87.66,88.29,87.55,87.92,660200.0,34.89,0.0,1.0
CB,08/16/2005,87.6,87.96,86.84,86.84,623700.0,34.47,0.0,1.0
CB,08/17/2005,86.7,87.31,86.25,87.0,515400.0,34.53,0.0,1.0
CB,08/18/2005,86.86,87.21,86.27,87.1,679000.0,34.57,0.0,1.0
CB,08/19/2005,87.11,87.73,87.05,87.31,565100.0,34.65,0.0,1.0
CB,08/22/2005,87.31,88.19,87.15,87.53,389100.0,34.74,0.0,1.0
CB,08/23/2005,87.8,87.97,87.29,87.86,507700.0,34.87,0.0,1.0
CB,08/24/2005,88.06,88.06,86.5,86.5,595400.0,34.33,0.0,1.0
CB,08/25/2005,86.6,87.42,86.6,87.29,640300.0,34.64,0.0,1.0
CB,08/26/2005,86.6,87.32,86.26,87.06,688600.0,34.55,0.0,1.0
CB,08/29/2005,85.5,87.19,85.49,87.12,786900.0,34.58,0.0,1.0
CB,08/30/2005,86.65,86.85,85.96,86.55,817100.0,34.35,0.0,1.0
CB,08/31/2005,86.0,86.98,85.21,86.96,1631700.0,34.51,0.0,1.0
CB,09/01/2005,86.1,87.06,85.76,86.68,1020800.0,34.4,0.0,1.0
CB,09/02/2005,87.25,87.25,86.05,86.49,494200.0,34.33,0.0,1.0
CB,09/06/2005,86.74,87.88,86.57,87.63,516100.0,34.78,0.0,1.0
