Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
COF,07/01/2005,80.01,80.51,78.52,78.8,3677600.0,70.23,0.0,1.0
COF,07/05/2005,78.75,79.28,78.71,79.0,2138100.0,70.41,0.0,1.0
COF,07/06/2005,78.85,80.28,78.84,79.62,2785300.0,70.96,0.0,1.0
COF,07/07/2005,79.2,81.52,78.54,81.46,3163700.0,72.6,0.0,1.0
COF,07/08/2005,81.22,81.9,80.57,81.85,1867600.0,72.95,0.0,1.0
COF,07/11/2005,81.9,83.33,81.75,82.38,2617100.0,73.42,0.0,1.0
COF,07/12/2005,82.58,83.17,82.21,82.82,1683300.0,73.81,0.0,1.0
COF,07/13/2005,82.6,83.08,82.51,82.97,1433000.0,73.95,0.0,1.0
COF,07/14/2005,83.45,83.45,81.6,82.39,2056800.0,73.43,0.0,1.0
COF,07/15/2005,82.65,82.65,81.84,82.17,994500.0,73.23,0.0,1.0
COF,07/18/2005,82.05,82.05,81.58,81.6,1035700.0,72.73,0.0,1.0
COF,07/19/2005,82.15,82.25,81.25,81.26,1100300.0,72.42,0.0,1.0
COF,07/20/2005,81.27,81.74,80.83,81.05,1640300.0,72.24,0.0,1.0
COF,07/21/2005,83.0,84.85,82.89,84.17,3839500.0,75.02,0.0,1.0
COF,07/22/2005,83.86,85.05,83.61,84.9,2381200.0,75.67,0.0,1.0
COF,07/25/2005,84.0,84.28,83.64,83.74,2204000.0,74.63,0.0,1.0
COF,07/26/2005,83.83,83.89,83.17,83.66,1086000.0,74.56,0.0,1.0
COF,07/27/2005,83.65,83.78,82.98,83.08,1713500.0,74.04,0.0,1.0
COF,07/28/2005,82.75,83.65,82.35,83.59,1263400.0,74.5,0.0,1.0
COF,07/29/2005,83.4,83.43,82.36,82.5,922100.0,73.53,0.0,1.0
COF,08/01/2005,82.75,83.42,82.75,83.35,1213900.0,74.29,0.0,1.0
COF,08/02/2005,83.35,83.83,83.22,83.46,724100.0,74.38,0.0,1.0
COF,08/03/2005,83.5,83.5,82.75,83.14,882600.0,74.1,0.0,1.0
COF,08/04/2005,83.14,84.09,82.94,83.95,1992000.0,74.82,0.0,1.0
COF,08/05/2005,83.75,84.43,83.09,84.35,1894500.0,75.18,0.0,1.0
COF,08/08/2005,84.39,85.13,83.6,83.95,2175200.0,74.84,0.03,1.0
COF,08/09/2005,84.09,85.25,84.05,84.54,2212600.0,75.37,0.0,1.0
COF,08/10/2005,84.65,84.65,82.7,82.72,1936700.0,73.75,0.0,1.0
COF,08/11/2005,82.72,83.4,82.02,83.38,1415900.0,74.34,0.0,1.0
COF,08/12/2005,83.0,83.66,82.9,83.33,860500.0,74.29,0.0,1.0
COF,08/15/2005,83.09,83.77,82.81,83.48,780100.0,74.42,0.0,1.0
COF,08/16/2005,83.75,84.78,83.63,83.71,2357600.0,74.63,0.0,1.0
COF,08/17/2005,83.8,85.45,83.8,85.22,2384000.0,75.98,0.0,1.0
COF,08/18/2005,85.22,85.28,84.41,84.8,965700.0,75.6,0.0,1.0
COF,08/19/2005,85.0,85.1,84.52,84.8,1106900.0,75.6,0.0,1.0
COF,08/22/2005,85.0,85.49,84.42,85.44,1459900.0,76.17,0.0,1.0
COF,08/23/2005,85.5,85.97,83.99,84.12,1459500.0,75.0,0.0,1.0
COF,08/24/2005,84.14,84.14,82.8,82.84,1387300.0,73.85,0.0,1.0
COF,08/25/2005,83.04,83.09,82.37,82.85,1260400.0,73.86,0.0,1.0
COF,08/26/2005,82.7,82.71,81.1,81.14,2125100.0,72.34,0.0,1.0
COF,08/29/2005,81.14,82.1,80.31,81.7,1738000.0,72.84,0.0,1.0
COF,08/30/2005,81.55,81.76,80.55,81.36,1777400.0,72.53,0.0,1.0
COF,08/31/2005,81.36,82.24,80.01,82.24,8900500.0,73.32,0.0,1.0
COF,09/01/2005,81.99,82.02,78.9,80.13,6408800.0,71.44,0.0,1.0
COF,09/02/2005,80.14,82.11,80.06,82.04,4885000.0,73.14,0.0,1.0
COF,09/06/2005,82.07,82.29,80.11,80.5,3424600.0,71.77,0.0,1.0
COF,09/07/2005,81.52,82.0,79.16,79.45,8041400.0,70.83,0.0,1.0
COF,09/08/2005,79.03,79.78,78.7,78.98,3427600.0,70.41,0.0,1.0
COF,09/09/2005,78.99,79.46,78.93,79.3,2081800.0,70.7,0.0,1.0
COF,09/12/2005,79.35,80.73,79.35,80.71,3386400.0,71.96,0.0,1.0
COF,09/13/2005,80.85,81.09,80.25,80.55,3075000.0,71.81,0.0,1.0
COF,09/14/2005,80.55,80.8,80.08,80.48,2346600.0,71.75,0.0,1.0
COF,09/15/2005,80.73,80.8,80.03,80.28,2803000.0,71.57,0.0,1.0
COF,09/16/2005,80.65,82.0,80.52,82.0,3984600.0,73.11,0.0,1.0
COF,09/19/2005,82.06,82.07,80.65,81.95,2121400.0,73.06,0.0,1.0
COF,09/20/2005,82.27,82.65,81.35,81.94,2446600.0,73.05,0.0,1.0
COF,09/21/2005,81.3,81.32,79.31,79.41,2580900.0,70.8,0.0,1.0
COF,09/22/2005,79.41,79.67,77.88,79.35,2883600.0,70.74,0.0,1.0
COF,09/23/2005,79.6,80.11,78.52,79.86,1730900.0,71.2,0.0,1.0
COF,09/26/2005,80.72,80.8,79.92,80.57,2309600.0,71.83,0.0,1.0
COF,09/27/2005,80.88,80.93,79.61,80.16,2110900.0,71.47,0.0,1.0
COF,09/28/2005,80.53,80.79,79.74,80.0,3391100.0,71.32,0.0,1.0
COF,09/29/2005,79.8,80.49,79.62,80.4,3122400.0,71.68,0.0,1.0
COF,09/30/2005,79.76,79.85,78.84,79.52,2917300.0,70.89,0.0,1.0
COF,10/03/2005,79.4,80.33,79.3,80.1,2080400.0,71.41,0.0,1.0
COF,10/04/2005,80.1,80.2,78.58,78.71,3096100.0,70.17,0.0,1.0
COF,10/05/2005,78.5,78.5,77.08,77.13,3567400.0,68.76,0.0,1.0
COF,10/06/2005,77.35,77.37,75.34,76.07,3645200.0,67.82,0.0,1.0
COF,10/07/2005,76.1,76.42,75.33,75.54,2413100.0,67.35,0.0,1.0
COF,10/10/2005,75.54,75.59,74.18,74.8,4168600.0,66.69,0.0,1.0
COF,10/11/2005,74.7,75.0,73.24,73.46,5038500.0,65.49,0.0,1.0
COF,10/12/2005,72.0,73.8,71.83,72.73,4950300.0,64.84,0.0,1.0
COF,10/13/2005,72.4,73.2,71.94,72.01,4206100.0,64.2,0.0,1.0
COF,10/14/2005,73.37,73.8,72.03,72.97,2596500.0,65.05,0.0,1.0
COF,10/17/2005,73.7,74.4,72.5,72.65,2814100.0,64.77,0.0,1.0
COF,10/18/2005,72.65,73.68,72.13,72.13,2185200.0,64.31,0.0,1.0
COF,10/19/2005,72.14,73.55,71.15,73.55,2678400.0,65.57,0.0,1.0
COF,10/20/2005,73.54,74.5,71.6,72.6,2856700.0,64.73,0.0,1.0
COF,10/21/2005,72.69,75.76,72.26,74.45,5043900.0,66.37,0.0,1.0
COF,10/24/2005,74.45,76.02,74.41,75.91,2238200.0,67.68,0.0,1.0
COF,10/25/2005,75.22,76.5,74.17,74.78,3120200.0,66.67,0.0,1.0
COF,10/26/2005,74.55,75.49,74.2,75.02,1971200.0,66.88,0.0,1.0
COF,10/27/2005,74.82,75.09,74.01,74.16,1780500.0,66.12,0.0,1.0
COF,10/28/2005,74.17,75.42,74.0,75.26,1743400.0,67.1,0.0,1.0
COF,10/31/2005,75.26,76.59,75.23,76.35,2088700.0,68.07,0.0,1.0
COF,11/01/2005,76.15,76.58,75.47,75.79,3137000.0,67.57,0.0,1.0
COF,11/02/2005,75.5,76.5,75.05,75.75,1864600.0,67.53,0.0,1.0
COF,11/03/2005,76.0,76.54,74.74,75.54,2985200.0,67.35,0.0,1.0
COF,11/04/2005,76.15,76.5,75.83,76.26,1543800.0,67.99,0.0,1.0
COF,11/07/2005,76.36,77.71,76.36,77.3,1569200.0,68.92,0.0,1.0
COF,11/08/2005,77.1,77.1,74.9,75.2,3409700.0,67.07,0.03,1.0
COF,11/09/2005,75.5,78.29,75.5,78.06,3998200.0,69.62,0.0,1.0
COF,11/10/2005,78.3,81.08,78.1,80.58,4944100.0,71.86,0.0,1.0
COF,11/11/2005,82.01,82.4,80.59,80.82,4368600.0,72.08,0.0,1.0
COF,11/14/2005,80.83,81.1,80.05,80.91,3510600.0,72.16,0.0,1.0
COF,11/15/2005,81.0,81.72,80.71,81.25,2640700.0,72.46,0.0,1.0
COF,11/16/2005,81.25,82.04,80.69,81.74,5350700.0,72.9,0.0,1.0
COF,11/17/2005,82.42,82.75,82.0,82.7,2406700.0,73.76,0.0,1.0
COF,11/18/2005,84.25,84.4,83.0,84.34,2924800.0,75.22,0.0,1.0
COF,11/21/2005,84.22,84.28,83.18,84.18,1609600.0,75.08,0.0,1.0
COF,11/22/2005,83.87,84.7,83.0,84.38,1451000.0,75.25,0.0,1.0
COF,11/23/2005,84.39,84.94,84.08,84.53,1714400.0,75.39,0.0,1.0
COF,11/25/2005,84.53,85.11,84.49,84.94,646200.0,75.75,0.0,1.0
COF,11/28/2005,84.79,85.42,83.52,83.55,2596200.0,74.51,0.0,1.0
COF,11/29/2005,84.0,84.68,83.72,83.81,2004000.0,74.75,0.0,1.0
COF,11/30/2005,83.96,84.42,82.87,83.06,2071500.0,74.08,0.0,1.0
COF,12/01/2005,83.19,84.59,83.19,84.25,1562300.0,75.14,0.0,1.0
COF,12/02/2005,84.25,84.76,83.85,84.53,605000.0,75.39,0.0,1.0
COF,12/05/2005,84.1,84.41,83.03,83.97,1132200.0,74.89,0.0,1.0
COF,12/06/2005,83.97,85.45,83.95,84.75,1619600.0,75.58,0.0,1.0
COF,12/07/2005,84.52,84.71,83.34,83.6,1242000.0,74.56,0.0,1.0
COF,12/08/2005,83.6,83.65,82.36,82.79,1726600.0,73.84,0.0,1.0
COF,12/09/2005,82.81,84.9,82.81,84.47,1605700.0,75.33,0.0,1.0
COF,12/12/2005,84.97,85.25,83.42,83.82,1889700.0,74.75,0.0,1.0
COF,12/13/2005,83.32,83.77,82.72,83.25,1834700.0,74.25,0.0,1.0
COF,12/14/2005,83.17,84.9,83.17,84.81,1689000.0,75.64,0.0,1.0
COF,12/15/2005,84.92,85.83,84.4,85.73,2163200.0,76.46,0.0,1.0
COF,12/16/2005,85.88,86.0,84.9,85.74,3395800.0,76.47,0.0,1.0
COF,12/19/2005,85.25,86.27,84.81,86.0,2515800.0,76.7,0.0,1.0
COF,12/20/2005,86.0,88.56,85.99,87.85,3780800.0,78.35,0.0,1.0
COF,12/21/2005,87.7,88.34,87.27,87.71,2140900.0,78.22,0.0,1.0
COF,12/22/2005,87.72,87.87,87.34,87.78,689800.0,78.29,0.0,1.0
COF,12/23/2005,88.08,88.37,87.8,88.01,535500.0,78.49,0.0,1.0
COF,12/27/2005,87.9,88.43,86.74,86.99,686200.0,77.58,0.0,1.0
COF,12/28/2005,86.94,87.25,86.11,86.57,987200.0,77.21,0.0,1.0
COF,12/29/2005,86.69,87.25,86.5,86.71,1179300.0,77.33,0.0,1.0
COF,12/30/2005,86.69,86.69,85.91,86.4,632500.0,77.06,0.0,1.0
COF,01/03/2006,86.4,86.98,84.35,86.98,1934000.0,77.57,0.0,1.0
COF,01/04/2006,86.98,87.18,85.59,86.42,1751500.0,77.07,0.0,1.0
COF,01/05/2006,86.55,86.95,86.0,86.44,1365100.0,77.09,0.0,1.0
COF,01/06/2006,86.8,86.85,85.69,86.44,904000.0,77.09,0.0,1.0
COF,01/09/2006,86.55,88.63,86.54,88.12,1598400.0,78.59,0.0,1.0
COF,01/10/2006,87.05,87.87,87.01,87.72,1359200.0,78.23,0.0,1.0
COF,01/11/2006,88.19,89.14,87.54,88.0,1923600.0,78.48,0.0,1.0
COF,01/12/2006,87.95,88.35,86.63,86.7,1372000.0,77.32,0.0,1.0
COF,01/13/2006,87.1,87.11,86.54,86.64,1616800.0,77.27,0.0,1.0
COF,01/17/2006,86.05,86.47,85.52,86.0,1257400.0,76.7,0.0,1.0
COF,01/18/2006,85.7,86.3,85.7,86.09,1248500.0,76.78,0.0,1.0
COF,01/19/2006,86.38,86.76,85.15,85.52,1580100.0,76.27,0.0,1.0
COF,01/20/2006,86.0,87.27,85.01,85.17,3761800.0,75.96,0.0,1.0
COF,01/23/2006,85.8,86.3,84.4,84.5,1973500.0,75.36,0.0,1.0
COF,01/24/2006,84.55,85.44,84.2,84.38,1853800.0,75.25,0.0,1.0
COF,01/25/2006,84.63,84.68,83.29,83.5,1752200.0,74.47,0.0,1.0
COF,01/26/2006,84.95,85.0,84.24,84.8,1929600.0,75.63,0.0,1.0
COF,01/27/2006,84.81,85.03,84.22,84.74,1426200.0,75.57,0.0,1.0
COF,01/30/2006,84.95,85.15,84.28,84.28,1013700.0,75.16,0.0,1.0
COF,01/31/2006,84.29,84.34,83.0,83.3,2208600.0,74.29,0.0,1.0
COF,02/01/2006,83.55,83.59,82.69,83.27,1949000.0,74.26,0.0,1.0
COF,02/02/2006,83.26,83.27,82.41,82.7,1347000.0,73.76,0.0,1.0
COF,02/03/2006,82.6,83.58,82.42,83.27,1358300.0,74.26,0.0,1.0
COF,02/06/2006,83.25,83.57,83.01,83.3,1293300.0,74.29,0.0,1.0
COF,02/07/2006,82.68,83.13,81.57,81.72,1521300.0,72.88,0.0,1.0
COF,02/08/2006,81.7,83.52,81.22,83.46,1439800.0,74.46,0.03,1.0
COF,02/09/2006,83.89,84.69,83.83,84.13,1909900.0,75.05,0.0,1.0
COF,02/10/2006,84.28,85.25,83.7,85.17,1528700.0,75.98,0.0,1.0
COF,02/13/2006,84.3,86.1,84.3,85.99,1796900.0,76.71,0.0,1.0
COF,02/14/2006,86.01,87.12,85.42,86.83,1947800.0,77.46,0.0,1.0
COF,02/15/2006,87.81,88.83,87.7,88.56,3199900.0,79.01,0.0,1.0
COF,02/16/2006,88.29,88.77,87.27,87.9,1487700.0,78.42,0.0,1.0
COF,02/17/2006,88.0,88.1,87.16,87.26,1222900.0,77.85,0.0,1.0
COF,02/21/2006,87.26,87.96,87.15,87.21,788400.0,77.8,0.0,1.0
COF,02/22/2006,87.21,89.85,87.21,89.68,2258900.0,80.01,0.0,1.0
COF,02/23/2006,89.8,89.8,88.4,88.79,1117900.0,79.21,0.0,1.0
COF,02/24/2006,87.8,88.94,87.41,88.85,1896100.0,79.27,0.0,1.0
