Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
DIS,07/01/2005,25.22,25.49,24.96,25.09,5246400.0,21.42,0.0,1.0
DIS,07/05/2005,25.08,25.25,24.87,25.04,5699000.0,21.38,0.0,1.0
DIS,07/06/2005,24.93,25.06,24.75,24.79,7364200.0,21.16,0.0,1.0
DIS,07/07/2005,24.47,24.66,24.35,24.45,10412400.0,20.88,0.0,1.0
DIS,07/08/2005,24.41,25.26,24.38,25.0,10450400.0,21.35,0.0,1.0
DIS,07/11/2005,25.35,25.47,25.0,25.18,8899400.0,21.5,0.0,1.0
DIS,07/12/2005,25.25,25.72,25.05,25.41,10279000.0,21.69,0.0,1.0
DIS,07/13/2005,25.59,25.88,25.4,25.71,7602100.0,21.95,0.0,1.0
DIS,07/14/2005,25.92,26.5,25.85,26.33,12601600.0,22.48,0.0,1.0
DIS,07/15/2005,26.4,26.47,26.25,26.38,7716600.0,22.53,0.0,1.0
DIS,07/18/2005,26.33,26.45,26.01,26.05,7287000.0,22.24,0.0,1.0
DIS,07/19/2005,26.02,26.13,25.61,25.76,8689200.0,22.0,0.0,1.0
DIS,07/20/2005,25.77,25.87,25.56,25.83,6155400.0,22.06,0.0,1.0
DIS,07/21/2005,25.85,25.85,25.5,25.56,5525900.0,21.82,0.0,1.0
DIS,07/22/2005,25.53,25.86,25.51,25.83,4500700.0,22.06,0.0,1.0
DIS,07/25/2005,25.83,25.93,25.59,25.64,3798100.0,21.89,0.0,1.0
DIS,07/26/2005,25.72,26.15,25.66,25.88,6004900.0,22.09,0.0,1.0
DIS,07/27/2005,26.19,26.19,25.61,25.83,5699600.0,22.06,0.0,1.0
DIS,07/28/2005,25.7,26.11,25.7,25.95,4332900.0,22.15,0.0,1.0
DIS,07/29/2005,25.89,25.98,25.63,25.64,3810700.0,21.89,0.0,1.0
DIS,08/01/2005,25.64,25.79,25.52,25.61,5380100.0,21.87,0.0,1.0
DIS,08/02/2005,25.58,25.65,25.45,25.56,4828800.0,21.82,0.0,1.0
DIS,08/03/2005,25.67,26.15,25.52,25.77,7817000.0,22.01,0.0,1.0
DIS,08/04/2005,25.75,25.83,25.56,25.62,4040100.0,21.87,0.0,1.0
DIS,08/05/2005,25.5,25.59,25.3,25.48,3975400.0,21.75,0.0,1.0
