Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ETFC,07/01/2005,14.02,14.12,13.95,14.09,1387000.0,140.9,0.0,1.0
ETFC,07/05/2005,13.95,14.24,13.85,14.12,2528000.0,141.2,0.0,1.0
ETFC,07/06/2005,14.12,14.51,14.11,14.45,4887000.0,144.5,0.0,1.0
ETFC,07/07/2005,14.16,15.5,14.14,15.18,14243000.0,151.8,0.0,1.0
ETFC,07/08/2005,14.63,15.15,14.63,15.05,5929000.0,150.5,0.0,1.0
ETFC,07/11/2005,15.01,15.25,14.99,15.19,3442000.0,151.9,0.0,1.0
ETFC,07/12/2005,15.17,15.3,15.01,15.25,2675000.0,152.5,0.0,1.0
ETFC,07/13/2005,15.2,15.28,15.08,15.13,2351000.0,151.3,0.0,1.0
ETFC,07/14/2005,15.09,15.27,15.05,15.15,3345000.0,151.5,0.0,1.0
ETFC,07/15/2005,15.1,15.15,14.8,14.93,4135000.0,149.3,0.0,1.0
ETFC,07/18/2005,14.9,15.04,14.7,15.0,3449000.0,150.0,0.0,1.0
ETFC,07/19/2005,15.03,15.25,15.0,15.24,3543000.0,152.4,0.0,1.0
ETFC,07/20/2005,15.07,15.26,15.01,15.22,3027000.0,152.2,0.0,1.0
ETFC,07/21/2005,15.22,15.59,15.19,15.42,4642000.0,154.2,0.0,1.0
ETFC,07/22/2005,15.52,15.75,15.37,15.67,3310000.0,156.7,0.0,1.0
ETFC,07/25/2005,15.58,15.67,15.38,15.4,3183000.0,154.0,0.0,1.0
ETFC,07/26/2005,15.34,15.4,15.17,15.34,3107000.0,153.4,0.0,1.0
ETFC,07/27/2005,15.34,15.62,15.24,15.6,3729000.0,156.0,0.0,1.0
ETFC,07/28/2005,15.65,16.04,15.5,15.92,4313000.0,159.2,0.0,1.0
ETFC,07/29/2005,15.85,15.97,15.49,15.51,2367000.0,155.1,0.0,1.0
ETFC,08/01/2005,15.47,15.82,15.46,15.78,1996000.0,157.8,0.0,1.0
ETFC,08/02/2005,15.8,15.95,15.66,15.72,1924000.0,157.2,0.0,1.0
ETFC,08/03/2005,15.62,15.89,15.55,15.73,1647000.0,157.3,0.0,1.0
ETFC,08/04/2005,15.55,15.6,15.14,15.17,2203000.0,151.7,0.0,1.0
ETFC,08/05/2005,15.21,15.25,14.7,14.86,3038000.0,148.6,0.0,1.0
ETFC,08/08/2005,16.39,16.5,15.8,16.1,14424000.0,161.0,0.0,1.0
ETFC,08/09/2005,16.42,16.7,16.27,16.35,5976000.0,163.5,0.0,1.0
ETFC,08/10/2005,16.49,16.73,16.36,16.45,3872000.0,164.5,0.0,1.0
ETFC,08/11/2005,16.41,16.5,16.1,16.27,2958000.0,162.7,0.0,1.0
ETFC,08/12/2005,16.25,16.46,16.15,16.33,3086000.0,163.3,0.0,1.0
ETFC,08/15/2005,16.29,16.45,16.25,16.34,1967000.0,163.4,0.0,1.0
ETFC,08/16/2005,16.4,16.63,16.17,16.35,4868000.0,163.5,0.0,1.0
ETFC,08/17/2005,16.33,16.53,16.32,16.46,3333000.0,164.6,0.0,1.0
ETFC,08/18/2005,16.45,16.48,16.3,16.46,2260000.0,164.6,0.0,1.0
ETFC,08/19/2005,16.59,16.69,16.43,16.5,2878000.0,165.0,0.0,1.0
ETFC,08/22/2005,16.56,16.62,16.48,16.57,2620000.0,165.7,0.0,1.0
ETFC,08/23/2005,16.57,16.92,16.5,16.9,3747000.0,169.0,0.0,1.0
ETFC,08/24/2005,16.85,17.05,16.62,16.67,3744000.0,166.7,0.0,1.0
ETFC,08/25/2005,16.7,16.72,16.28,16.37,2819000.0,163.7,0.0,1.0
ETFC,08/26/2005,16.36,16.41,15.95,16.08,3579000.0,160.8,0.0,1.0
ETFC,08/29/2005,15.93,16.08,15.74,15.97,2747000.0,159.7,0.0,1.0
ETFC,08/30/2005,15.9,16.02,15.83,16.02,2169000.0,160.2,0.0,1.0
ETFC,08/31/2005,15.91,16.09,15.81,16.0,1918000.0,160.0,0.0,1.0
ETFC,09/01/2005,16.02,16.59,16.01,16.44,3305000.0,164.4,0.0,1.0
ETFC,09/02/2005,16.5,16.55,16.3,16.34,1531000.0,163.4,0.0,1.0
ETFC,09/06/2005,16.33,16.8,16.33,16.73,2865000.0,167.3,0.0,1.0
ETFC,09/07/2005,16.68,16.99,16.67,16.96,2819000.0,169.6,0.0,1.0
ETFC,09/08/2005,16.95,17.14,16.88,17.07,2190000.0,170.7,0.0,1.0
ETFC,09/09/2005,17.26,17.29,17.1,17.24,3258000.0,172.4,0.0,1.0
ETFC,09/12/2005,17.31,17.43,17.18,17.4,1627000.0,174.0,0.0,1.0
ETFC,09/13/2005,17.28,17.49,17.1,17.34,1974000.0,173.4,0.0,1.0
ETFC,09/14/2005,17.2,17.32,16.6,16.6,3328000.0,166.0,0.0,1.0
ETFC,09/15/2005,16.66,16.76,16.49,16.64,1888000.0,166.4,0.0,1.0
ETFC,09/16/2005,16.77,16.98,16.5,16.93,4399000.0,169.3,0.0,1.0
ETFC,09/19/2005,16.7,16.77,16.55,16.71,2202000.0,167.1,0.0,1.0
ETFC,09/20/2005,16.76,17.14,16.68,16.74,3680000.0,167.4,0.0,1.0
ETFC,09/21/2005,16.7,16.73,16.36,16.4,3667000.0,164.0,0.0,1.0
ETFC,09/22/2005,16.47,16.47,15.9,16.43,3621000.0,164.3,0.0,1.0
ETFC,09/23/2005,16.48,16.61,16.24,16.4,3321000.0,164.0,0.0,1.0
ETFC,09/26/2005,16.54,16.67,16.4,16.45,2433000.0,164.5,0.0,1.0
ETFC,09/27/2005,16.72,16.72,16.21,16.31,1829000.0,163.1,0.0,1.0
ETFC,09/28/2005,16.45,16.69,16.3,16.33,2507000.0,163.3,0.0,1.0
ETFC,09/29/2005,16.9,17.31,16.7,17.22,9432000.0,172.2,0.0,1.0
ETFC,09/30/2005,17.27,17.6,17.22,17.6,2961000.0,176.0,0.0,1.0
ETFC,10/03/2005,17.62,17.71,17.35,17.6,4697000.0,176.0,0.0,1.0
ETFC,10/04/2005,17.69,17.69,17.17,17.24,3237000.0,172.4,0.0,1.0
ETFC,10/05/2005,17.12,17.43,17.03,17.3,2144000.0,173.0,0.0,1.0
ETFC,10/06/2005,17.26,17.37,16.85,16.92,3982000.0,169.2,0.0,1.0
ETFC,10/07/2005,16.92,17.42,16.92,17.26,3724000.0,172.6,0.0,1.0
ETFC,10/10/2005,17.26,17.4,17.14,17.16,3213000.0,171.6,0.0,1.0
ETFC,10/11/2005,17.1,17.25,16.67,16.77,2876000.0,167.7,0.0,1.0
ETFC,10/12/2005,16.55,16.83,15.94,16.27,4622000.0,162.7,0.0,1.0
ETFC,10/13/2005,16.13,16.26,15.5,15.94,5832000.0,159.4,0.0,1.0
ETFC,10/14/2005,16.28,16.62,16.13,16.28,6472000.0,162.8,0.0,1.0
ETFC,10/17/2005,16.6,16.96,16.3,16.35,5776000.0,163.5,0.0,1.0
ETFC,10/18/2005,16.38,16.6,16.25,16.5,4113000.0,165.0,0.0,1.0
ETFC,10/19/2005,16.4,17.05,16.32,17.05,4053000.0,170.5,0.0,1.0
ETFC,10/20/2005,17.45,17.8,17.2,17.3,9788000.0,173.0,0.0,1.0
ETFC,10/21/2005,17.45,17.96,17.42,17.88,5924000.0,178.8,0.0,1.0
ETFC,10/24/2005,17.88,18.5,17.8,18.49,6430000.0,184.9,0.0,1.0
ETFC,10/25/2005,18.44,18.69,17.98,18.17,6044000.0,181.7,0.0,1.0
ETFC,10/26/2005,18.23,19.1,18.1,18.58,7069000.0,185.8,0.0,1.0
ETFC,10/27/2005,18.48,18.56,17.99,18.0,3929000.0,180.0,0.0,1.0
ETFC,10/28/2005,18.18,18.27,17.67,18.07,5942000.0,180.7,0.0,1.0
ETFC,10/31/2005,18.2,18.84,18.17,18.55,5313000.0,185.5,0.0,1.0
ETFC,11/01/2005,18.51,19.01,18.51,18.93,3811000.0,189.3,0.0,1.0
ETFC,11/02/2005,18.68,19.23,18.51,19.06,4996000.0,190.6,0.0,1.0
ETFC,11/03/2005,19.2,19.32,18.62,18.92,5145000.0,189.2,0.0,1.0
ETFC,11/04/2005,18.85,18.89,18.34,18.6,3868000.0,186.0,0.0,1.0
ETFC,11/07/2005,18.53,18.77,18.25,18.71,3389000.0,187.1,0.0,1.0
ETFC,11/08/2005,18.53,18.63,18.38,18.45,2073000.0,184.5,0.0,1.0
ETFC,11/09/2005,18.48,18.98,18.41,18.9,3627000.0,189.0,0.0,1.0
ETFC,11/10/2005,18.99,19.42,18.83,19.41,4587000.0,194.1,0.0,1.0
ETFC,11/11/2005,19.39,19.74,19.18,19.33,4453000.0,193.3,0.0,1.0
ETFC,11/14/2005,19.29,19.49,19.08,19.27,3635000.0,192.7,0.0,1.0
ETFC,11/15/2005,19.25,19.27,18.85,18.97,5292000.0,189.7,0.0,1.0
ETFC,11/16/2005,18.92,18.92,18.15,18.18,12009000.0,181.8,0.0,1.0
ETFC,11/17/2005,18.36,19.19,18.27,19.14,32309000.0,191.4,0.0,1.0
ETFC,11/18/2005,19.14,19.26,18.95,19.18,7509000.0,191.8,0.0,1.0
ETFC,11/21/2005,19.25,19.58,19.21,19.58,3887000.0,195.8,0.0,1.0
ETFC,11/22/2005,19.4,19.55,19.29,19.53,3861000.0,195.3,0.0,1.0
ETFC,11/23/2005,19.57,19.68,19.24,19.38,5008000.0,193.8,0.0,1.0
ETFC,11/25/2005,19.5,19.6,19.43,19.47,1011000.0,194.7,0.0,1.0
ETFC,11/28/2005,19.55,19.57,19.02,19.16,3023000.0,191.6,0.0,1.0
ETFC,11/29/2005,19.19,19.39,19.15,19.27,2696000.0,192.7,0.0,1.0
ETFC,11/30/2005,19.27,19.7,19.27,19.52,6560000.0,195.2,0.0,1.0
ETFC,12/01/2005,19.6,20.15,19.6,19.85,8749000.0,198.5,0.0,1.0
ETFC,12/02/2005,19.75,20.12,19.75,20.02,4228000.0,200.2,0.0,1.0
ETFC,12/05/2005,20.14,20.14,19.79,20.11,3256000.0,201.1,0.0,1.0
ETFC,12/06/2005,20.18,20.38,20.12,20.2,4061000.0,202.0,0.0,1.0
