Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
FDO,07/01/2005,26.55,26.58,26.31,26.43,584500.0,22.65,0.0,1.0
FDO,07/05/2005,26.4,27.13,26.36,27.13,1068300.0,23.25,0.0,1.0
FDO,07/06/2005,27.13,27.15,26.58,26.7,1039600.0,22.88,0.0,1.0
FDO,07/07/2005,25.65,26.07,25.25,25.45,2031200.0,21.81,0.0,1.0
FDO,07/08/2005,25.5,25.61,24.93,25.61,1115400.0,21.95,0.0,1.0
FDO,07/11/2005,25.7,25.75,25.15,25.28,1351000.0,21.66,0.0,1.0
FDO,07/12/2005,25.28,25.49,25.04,25.08,890900.0,21.49,0.0,1.0
FDO,07/13/2005,25.14,25.35,24.95,25.21,1184800.0,21.6,0.0,1.0
FDO,07/14/2005,25.46,25.74,25.1,25.32,957100.0,21.7,0.0,1.0
FDO,07/15/2005,25.49,25.51,25.2,25.33,793300.0,21.71,0.0,1.0
FDO,07/18/2005,25.4,25.95,25.4,25.9,1098400.0,22.19,0.0,1.0
FDO,07/19/2005,26.06,26.08,25.81,26.01,970700.0,22.29,0.0,1.0
FDO,07/20/2005,26.01,26.09,25.51,25.74,739100.0,22.06,0.0,1.0
FDO,07/21/2005,25.77,25.77,25.25,25.4,921700.0,21.77,0.0,1.0
FDO,07/22/2005,25.4,25.78,25.34,25.53,954900.0,21.88,0.0,1.0
FDO,07/25/2005,25.5,25.82,25.4,25.57,635000.0,21.91,0.0,1.0
FDO,07/26/2005,25.82,25.89,25.67,25.85,785300.0,22.15,0.0,1.0
FDO,07/27/2005,26.0,26.0,25.62,25.72,435100.0,22.04,0.0,1.0
FDO,07/28/2005,25.79,25.86,25.6,25.85,769300.0,22.15,0.0,1.0
FDO,07/29/2005,25.82,26.03,25.67,25.8,571600.0,22.11,0.0,1.0
FDO,08/01/2005,25.75,25.9,25.25,25.64,872500.0,21.97,0.0,1.0
FDO,08/02/2005,25.64,25.64,25.02,25.14,1796300.0,21.54,0.0,1.0
FDO,08/03/2005,25.1,25.17,24.75,24.92,1267800.0,21.36,0.0,1.0
FDO,08/04/2005,24.5,24.51,22.83,23.22,6189200.0,19.9,0.0,1.0
FDO,08/05/2005,23.22,23.44,22.93,23.16,2358400.0,19.85,0.0,1.0
FDO,08/08/2005,23.16,23.29,22.9,22.9,2036500.0,19.62,0.0,1.0
FDO,08/09/2005,22.9,22.92,22.38,22.41,1424000.0,19.2,0.0,1.0
FDO,08/10/2005,22.5,22.69,21.75,21.78,3284400.0,18.66,0.0,1.0
FDO,08/11/2005,21.9,22.19,21.69,21.83,2217100.0,18.71,0.0,1.0
FDO,08/12/2005,21.78,22.13,21.58,21.83,3724000.0,18.71,0.0,1.0
FDO,08/15/2005,21.8,21.8,21.14,21.4,3068200.0,18.34,0.0,1.0
FDO,08/16/2005,21.3,21.31,20.78,20.86,2568400.0,17.88,0.0,1.0
FDO,08/17/2005,20.75,21.99,20.42,21.45,4284500.0,18.38,0.0,1.0
FDO,08/18/2005,21.33,21.4,20.98,21.29,2204400.0,18.24,0.0,1.0
FDO,08/19/2005,21.48,21.48,21.05,21.11,1483200.0,18.09,0.0,1.0
FDO,08/22/2005,21.09,21.37,20.94,21.04,888800.0,18.03,0.0,1.0
FDO,08/23/2005,21.05,21.27,20.94,21.07,1548800.0,18.06,0.0,1.0
FDO,08/24/2005,20.96,21.17,20.65,20.7,1119900.0,17.74,0.0,1.0
FDO,08/25/2005,20.75,20.98,20.17,20.2,2500100.0,17.31,0.0,1.0
FDO,08/26/2005,20.25,20.45,20.1,20.24,1782500.0,17.34,0.0,1.0
FDO,08/29/2005,20.11,20.3,19.89,20.14,976200.0,17.26,0.0,1.0
FDO,08/30/2005,20.15,20.24,19.57,19.69,1516900.0,16.87,0.0,1.0
FDO,08/31/2005,19.7,19.88,19.5,19.88,1648700.0,17.04,0.0,1.0
FDO,09/01/2005,20.25,20.39,19.6,19.91,3492900.0,17.06,0.0,1.0
FDO,09/02/2005,20.15,20.32,19.87,19.96,2559200.0,17.1,0.0,1.0
FDO,09/06/2005,20.15,20.25,20.06,20.21,1524300.0,17.32,0.0,1.0
FDO,09/07/2005,20.22,20.7,20.17,20.7,1775100.0,17.74,0.0,1.0
FDO,09/08/2005,20.55,21.06,20.25,21.02,2605200.0,18.01,0.0,1.0
FDO,09/09/2005,21.02,21.69,21.01,21.38,2961300.0,18.32,0.0,1.0
FDO,09/12/2005,21.2,21.56,21.02,21.45,1730600.0,18.38,0.0,1.0
FDO,09/13/2005,21.52,21.64,21.19,21.3,1583400.0,18.33,0.1,1.0
FDO,09/14/2005,21.3,21.54,21.18,21.23,1387800.0,18.27,0.0,1.0
FDO,09/15/2005,21.19,21.47,20.92,21.03,2020200.0,18.1,0.0,1.0
FDO,09/16/2005,21.03,21.28,20.99,21.24,1600500.0,18.28,0.0,1.0
FDO,09/19/2005,21.4,21.5,21.0,21.17,1443400.0,18.22,0.0,1.0
FDO,09/20/2005,21.25,21.27,20.49,20.49,3390800.0,17.64,0.0,1.0
FDO,09/21/2005,20.5,20.5,20.06,20.06,1965400.0,17.27,0.0,1.0
