Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
FE,07/01/2005,48.36,48.85,48.35,48.71,840100.0,30.97,0.0,1.0
FE,07/05/2005,48.48,48.71,48.12,48.51,1114800.0,30.84,0.0,1.0
FE,07/06/2005,48.33,48.87,48.01,48.03,1596100.0,30.54,0.0,1.0
FE,07/07/2005,47.7,48.38,47.46,48.37,719500.0,30.75,0.0,1.0
FE,07/08/2005,48.37,49.09,48.22,49.02,522000.0,31.16,0.0,1.0
FE,07/11/2005,48.9,49.64,48.9,49.63,1047100.0,31.55,0.0,1.0
FE,07/12/2005,49.44,49.7,49.29,49.52,1009000.0,31.48,0.0,1.0
FE,07/13/2005,49.52,49.77,49.39,49.5,745200.0,31.47,0.0,1.0
FE,07/14/2005,49.55,49.93,49.1,49.21,1013700.0,31.29,0.0,1.0
FE,07/15/2005,49.21,49.39,48.92,48.97,1191500.0,31.13,0.0,1.0
FE,07/18/2005,48.95,49.25,48.93,49.12,635900.0,31.23,0.0,1.0
FE,07/19/2005,49.24,49.5,48.98,49.34,1176100.0,31.37,0.0,1.0
FE,07/20/2005,49.32,49.74,49.2,49.58,1261300.0,31.52,0.0,1.0
FE,07/21/2005,49.63,49.73,48.89,49.18,1245400.0,31.27,0.0,1.0
FE,07/22/2005,49.2,49.64,49.08,49.64,527600.0,31.56,0.0,1.0
FE,07/25/2005,49.43,49.76,49.04,49.04,891800.0,31.18,0.0,1.0
FE,07/26/2005,48.7,49.27,48.7,49.0,826500.0,31.15,0.0,1.0
FE,07/27/2005,50.1,50.45,49.78,50.0,1523100.0,31.79,0.0,1.0
FE,07/28/2005,50.0,50.19,49.73,50.0,819300.0,31.79,0.0,1.0
FE,07/29/2005,49.68,50.14,49.66,49.78,1217900.0,31.65,0.0,1.0
FE,08/01/2005,49.9,49.98,48.89,49.0,998600.0,31.15,0.0,1.0
FE,08/02/2005,49.17,49.83,49.17,49.65,1742300.0,31.57,0.0,1.0
FE,08/03/2005,49.34,50.29,49.3,49.66,1757000.0,31.84,0.41,1.0
FE,08/04/2005,49.48,49.88,49.31,49.88,1017800.0,31.98,0.0,1.0
FE,08/05/2005,49.88,49.88,49.24,49.51,1295700.0,31.74,0.0,1.0
FE,08/08/2005,49.7,49.79,48.83,48.95,1298500.0,31.39,0.0,1.0
FE,08/09/2005,49.18,49.75,49.18,49.71,963100.0,31.87,0.0,1.0
FE,08/10/2005,49.85,50.74,49.57,49.72,880600.0,31.88,0.0,1.0
FE,08/11/2005,49.68,50.44,49.6,50.07,669400.0,32.1,0.0,1.0
FE,08/12/2005,49.91,50.0,49.21,49.72,651300.0,31.88,0.0,1.0
FE,08/15/2005,49.73,49.9,49.39,49.68,552800.0,31.85,0.0,1.0
