Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
FFIV,07/01/2005,46.44,46.65,45.4,45.94,1137200.0,22.97,0.0,1.0
FFIV,07/05/2005,46.0,47.54,45.74,47.51,1184000.0,23.75,0.0,1.0
FFIV,07/06/2005,47.27,47.69,46.52,46.83,598100.0,23.41,0.0,1.0
FFIV,07/07/2005,45.76,47.25,45.76,47.0,598700.0,23.5,0.0,1.0
FFIV,07/08/2005,47.09,48.02,46.51,47.79,1387000.0,23.89,0.0,1.0
FFIV,07/11/2005,48.04,48.15,47.25,48.02,640800.0,24.01,0.0,1.0
FFIV,07/12/2005,48.55,48.55,47.13,47.25,1347700.0,23.62,0.0,1.0
FFIV,07/13/2005,47.24,48.25,47.03,47.47,842500.0,23.73,0.0,1.0
FFIV,07/14/2005,47.99,49.56,47.78,48.18,1055200.0,24.09,0.0,1.0
FFIV,07/15/2005,48.24,50.09,48.01,49.94,1099700.0,24.97,0.0,1.0
FFIV,07/18/2005,49.4,50.92,49.01,49.8,1687200.0,24.9,0.0,1.0
FFIV,07/19/2005,50.1,51.25,49.78,51.24,775100.0,25.62,0.0,1.0
FFIV,07/20/2005,50.91,51.15,49.05,49.75,2697200.0,24.88,0.0,1.0
FFIV,07/21/2005,45.59,45.6,40.21,40.92,13120300.0,20.46,0.0,1.0
FFIV,07/22/2005,41.11,41.95,41.0,41.73,2373000.0,20.86,0.0,1.0
FFIV,07/25/2005,42.14,42.3,41.4,41.77,1132400.0,20.89,0.0,1.0
FFIV,07/26/2005,42.0,42.87,41.43,42.13,1520900.0,21.07,0.0,1.0
FFIV,07/27/2005,42.3,43.34,42.18,43.05,1179100.0,21.52,0.0,1.0
FFIV,07/28/2005,43.18,43.31,42.62,42.93,1028100.0,21.46,0.0,1.0
FFIV,07/29/2005,42.98,43.15,42.07,42.18,619400.0,21.09,0.0,1.0
FFIV,08/01/2005,42.39,42.64,42.01,42.17,613500.0,21.09,0.0,1.0
FFIV,08/02/2005,42.01,42.04,40.65,41.0,1726100.0,20.5,0.0,1.0
FFIV,08/03/2005,40.84,41.4,38.46,38.76,3180900.0,19.38,0.0,1.0
FFIV,08/04/2005,38.93,39.05,37.8,38.05,1192000.0,19.02,0.0,1.0
FFIV,08/05/2005,38.06,38.17,36.87,37.17,1496100.0,18.59,0.0,1.0
FFIV,08/08/2005,38.6,39.17,37.24,38.05,2702000.0,19.02,0.0,1.0
FFIV,08/09/2005,38.4,38.4,37.58,38.0,1099900.0,19.0,0.0,1.0
FFIV,08/10/2005,37.85,38.2,36.92,37.02,1207500.0,18.51,0.0,1.0
FFIV,08/11/2005,37.1,37.61,36.78,37.39,861500.0,18.7,0.0,1.0
FFIV,08/12/2005,37.14,37.45,36.63,37.25,579200.0,18.62,0.0,1.0
FFIV,08/15/2005,37.3,37.3,36.53,36.66,847800.0,18.33,0.0,1.0
FFIV,08/16/2005,36.6,36.8,35.34,35.63,1528400.0,17.82,0.0,1.0
FFIV,08/17/2005,36.35,38.0,36.21,37.5,1657500.0,18.75,0.0,1.0
FFIV,08/18/2005,37.76,37.87,37.03,37.79,1135100.0,18.89,0.0,1.0
FFIV,08/19/2005,37.78,37.97,37.48,37.84,869700.0,18.92,0.0,1.0
FFIV,08/22/2005,37.97,38.11,37.25,37.9,740300.0,18.95,0.0,1.0
FFIV,08/23/2005,37.62,38.36,37.39,38.2,812100.0,19.1,0.0,1.0
FFIV,08/24/2005,38.15,39.96,37.7,39.55,1751800.0,19.77,0.0,1.0
FFIV,08/25/2005,39.75,40.0,39.2,39.86,876100.0,19.93,0.0,1.0
FFIV,08/26/2005,39.89,41.4,39.73,40.65,1755200.0,20.32,0.0,1.0
FFIV,08/29/2005,40.37,41.22,39.96,40.99,487200.0,20.5,0.0,1.0
FFIV,08/30/2005,41.25,41.3,40.61,40.83,719800.0,20.41,0.0,1.0
FFIV,08/31/2005,40.7,41.4,40.59,41.29,633300.0,20.64,0.0,1.0
FFIV,09/01/2005,41.2,41.86,41.17,41.54,564600.0,20.77,0.0,1.0
FFIV,09/02/2005,41.64,41.87,41.12,41.86,484000.0,20.93,0.0,1.0
FFIV,09/06/2005,42.7,43.45,41.45,42.25,1790900.0,21.12,0.0,1.0
FFIV,09/07/2005,41.93,42.2,41.27,41.74,1005700.0,20.87,0.0,1.0
FFIV,09/08/2005,41.6,44.23,41.6,44.12,1264200.0,22.06,0.0,1.0
FFIV,09/09/2005,44.2,44.27,43.37,43.55,906700.0,21.77,0.0,1.0
FFIV,09/12/2005,43.62,45.0,43.55,44.66,740600.0,22.33,0.0,1.0
FFIV,09/13/2005,44.5,44.51,43.52,43.69,1128800.0,21.84,0.0,1.0
FFIV,09/14/2005,43.55,43.99,43.0,43.14,483800.0,21.57,0.0,1.0
FFIV,09/15/2005,43.03,43.65,43.03,43.38,529400.0,21.69,0.0,1.0
FFIV,09/16/2005,43.46,44.36,43.3,44.21,688000.0,22.11,0.0,1.0
FFIV,09/19/2005,44.02,44.19,43.43,43.94,660400.0,21.97,0.0,1.0
FFIV,09/20/2005,44.09,44.45,42.93,43.14,955300.0,21.57,0.0,1.0
FFIV,09/21/2005,44.6,44.75,43.64,44.3,1308500.0,22.15,0.0,1.0
FFIV,09/22/2005,44.15,44.8,43.88,44.11,673900.0,22.05,0.0,1.0
FFIV,09/23/2005,44.1,44.59,43.51,44.51,293700.0,22.25,0.0,1.0
FFIV,09/26/2005,44.6,45.24,44.14,45.15,771200.0,22.57,0.0,1.0
FFIV,09/27/2005,45.25,45.85,43.3,44.32,880000.0,22.16,0.0,1.0
FFIV,09/28/2005,44.45,45.45,43.38,43.5,1185600.0,21.75,0.0,1.0
FFIV,09/29/2005,43.41,43.59,42.82,43.41,943000.0,21.7,0.0,1.0
FFIV,09/30/2005,43.17,43.64,43.02,43.47,624200.0,21.73,0.0,1.0
FFIV,10/03/2005,42.94,44.79,42.6,44.29,788400.0,22.14,0.0,1.0
FFIV,10/04/2005,44.13,44.3,42.54,42.62,614400.0,21.31,0.0,1.0
FFIV,10/05/2005,42.5,42.62,41.12,41.12,873100.0,20.56,0.0,1.0
FFIV,10/06/2005,41.1,41.39,39.78,40.51,842600.0,20.25,0.0,1.0
FFIV,10/07/2005,40.84,41.16,40.01,40.64,700800.0,20.32,0.0,1.0
FFIV,10/10/2005,40.69,40.99,39.5,39.96,556500.0,19.98,0.0,1.0
FFIV,10/11/2005,40.51,41.75,39.7,41.03,1843700.0,20.52,0.0,1.0
FFIV,10/12/2005,40.95,41.22,39.85,40.21,1149000.0,20.11,0.0,1.0
FFIV,10/13/2005,40.06,41.24,40.0,40.98,783300.0,20.49,0.0,1.0
FFIV,10/14/2005,41.27,42.25,41.06,42.15,711700.0,21.07,0.0,1.0
FFIV,10/17/2005,41.99,42.06,41.25,41.96,494000.0,20.98,0.0,1.0
FFIV,10/18/2005,41.7,42.15,40.4,40.54,647800.0,20.27,0.0,1.0
FFIV,10/19/2005,40.27,41.49,39.77,41.35,560400.0,20.68,0.0,1.0
FFIV,10/20/2005,41.3,42.34,41.08,41.17,571600.0,20.59,0.0,1.0
FFIV,10/21/2005,41.17,41.86,40.18,40.75,855300.0,20.38,0.0,1.0
FFIV,10/24/2005,41.13,43.36,40.65,43.16,1235500.0,21.58,0.0,1.0
FFIV,10/25/2005,43.17,44.0,41.04,41.4,2889900.0,20.7,0.0,1.0
FFIV,10/26/2005,47.78,51.63,47.6,51.14,7766500.0,25.57,0.0,1.0
FFIV,10/27/2005,50.64,51.99,49.99,51.82,1549200.0,25.91,0.0,1.0
FFIV,10/28/2005,50.99,51.49,50.03,50.93,1296400.0,25.46,0.0,1.0
FFIV,10/31/2005,51.02,53.38,50.62,52.03,1812300.0,26.02,0.0,1.0
FFIV,11/01/2005,51.7,53.0,51.5,52.12,1073100.0,26.06,0.0,1.0
FFIV,11/02/2005,52.27,53.63,52.0,53.5,1538600.0,26.75,0.0,1.0
FFIV,11/03/2005,53.97,56.12,53.68,54.74,1633600.0,27.37,0.0,1.0
FFIV,11/04/2005,54.96,54.99,53.29,53.63,964600.0,26.82,0.0,1.0
FFIV,11/07/2005,53.98,54.41,53.13,53.61,533400.0,26.8,0.0,1.0
FFIV,11/08/2005,53.48,53.53,52.0,52.1,892200.0,26.05,0.0,1.0
FFIV,11/09/2005,52.0,53.9,52.0,53.77,786600.0,26.89,0.0,1.0
FFIV,11/10/2005,53.8,54.66,53.0,54.55,768500.0,27.27,0.0,1.0
FFIV,11/11/2005,54.44,54.45,53.5,53.82,404600.0,26.91,0.0,1.0
FFIV,11/14/2005,53.76,54.9,53.18,54.02,720700.0,27.01,0.0,1.0
FFIV,11/15/2005,53.85,54.25,52.96,53.04,623700.0,26.52,0.0,1.0
FFIV,11/16/2005,52.99,54.4,52.98,54.32,629100.0,27.16,0.0,1.0
FFIV,11/17/2005,54.88,56.98,54.5,56.7,2132800.0,28.35,0.0,1.0
FFIV,11/18/2005,55.44,55.7,54.56,55.13,1421400.0,27.57,0.0,1.0
FFIV,11/21/2005,55.27,56.29,54.85,56.08,693400.0,28.04,0.0,1.0
FFIV,11/22/2005,55.75,56.21,54.8,55.64,597200.0,27.82,0.0,1.0
FFIV,11/23/2005,55.21,55.5,53.7,53.96,1029200.0,26.98,0.0,1.0
FFIV,11/25/2005,53.89,54.7,53.86,54.24,220100.0,27.12,0.0,1.0
FFIV,11/28/2005,54.17,54.4,51.77,52.1,946100.0,26.05,0.0,1.0
FFIV,11/29/2005,52.33,53.66,51.94,53.0,1354800.0,26.5,0.0,1.0
FFIV,11/30/2005,53.16,53.91,52.56,52.98,935200.0,26.49,0.0,1.0
FFIV,12/01/2005,53.31,54.16,52.3,52.74,1060000.0,26.37,0.0,1.0
FFIV,12/02/2005,52.58,53.48,52.03,52.3,704500.0,26.15,0.0,1.0
FFIV,12/05/2005,52.12,53.14,51.44,53.07,880400.0,26.54,0.0,1.0
FFIV,12/06/2005,53.09,55.15,53.0,54.5,1487600.0,27.25,0.0,1.0
FFIV,12/07/2005,53.5,54.1,53.01,53.27,1001000.0,26.64,0.0,1.0
FFIV,12/08/2005,53.1,53.33,51.85,52.45,660400.0,26.23,0.0,1.0
FFIV,12/09/2005,52.22,53.08,51.12,52.77,664700.0,26.39,0.0,1.0
FFIV,12/12/2005,53.05,53.25,52.04,52.64,457700.0,26.32,0.0,1.0
FFIV,12/13/2005,52.44,52.97,51.95,52.29,688500.0,26.14,0.0,1.0
FFIV,12/14/2005,52.45,53.95,51.96,52.82,933400.0,26.41,0.0,1.0
