Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
FLR,07/01/2005,57.59,57.87,57.25,57.55,380000.0,26.14,0.0,1.0
FLR,07/05/2005,57.15,58.62,56.25,58.5,725200.0,26.57,0.0,1.0
FLR,07/06/2005,58.43,58.64,57.88,58.09,429500.0,26.38,0.0,1.0
FLR,07/07/2005,57.75,59.25,57.24,59.2,500500.0,26.89,0.0,1.0
FLR,07/08/2005,59.55,59.71,58.9,59.34,530300.0,26.95,0.0,1.0
FLR,07/11/2005,59.59,59.76,59.17,59.56,550400.0,27.05,0.0,1.0
FLR,07/12/2005,59.31,59.6,58.65,59.35,682900.0,26.96,0.0,1.0
FLR,07/13/2005,59.78,60.65,59.78,60.4,705700.0,27.43,0.0,1.0
FLR,07/14/2005,60.9,61.2,58.85,58.85,862700.0,26.73,0.0,1.0
FLR,07/15/2005,59.1,59.8,59.1,59.68,515500.0,27.11,0.0,1.0
FLR,07/18/2005,59.55,59.92,59.21,59.58,342000.0,27.06,0.0,1.0
FLR,07/19/2005,59.83,59.84,58.83,59.7,586300.0,27.11,0.0,1.0
FLR,07/20/2005,59.55,61.13,59.45,60.65,593400.0,27.55,0.0,1.0
FLR,07/21/2005,60.65,60.93,59.32,59.9,610000.0,27.21,0.0,1.0
FLR,07/22/2005,60.0,60.25,59.82,60.2,487300.0,27.34,0.0,1.0
FLR,07/25/2005,60.16,60.21,59.02,59.21,395000.0,26.89,0.0,1.0
FLR,07/26/2005,59.46,60.23,59.17,60.06,766900.0,27.28,0.0,1.0
FLR,07/27/2005,60.31,60.64,59.48,60.62,402500.0,27.53,0.0,1.0
FLR,07/28/2005,60.85,64.9,60.82,64.81,1451900.0,29.44,0.0,1.0
FLR,07/29/2005,64.51,64.8,63.51,63.8,594300.0,28.98,0.0,1.0
FLR,08/01/2005,63.93,64.6,63.68,63.9,569300.0,29.02,0.0,1.0
FLR,08/02/2005,63.75,65.77,63.6,65.15,686900.0,29.59,0.0,1.0
