Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
FTR,07/01/2005,13.47,13.49,13.33,13.45,928500.0,5.32,0.0,1.0
FTR,07/05/2005,13.48,13.5,13.39,13.42,1094600.0,5.31,0.0,1.0
FTR,07/06/2005,13.47,13.49,13.25,13.3,892200.0,5.26,0.0,1.0
FTR,07/07/2005,13.3,13.3,13.14,13.2,947500.0,5.22,0.0,1.0
FTR,07/08/2005,13.23,13.28,13.12,13.16,1628000.0,5.21,0.0,1.0
FTR,07/11/2005,13.16,13.28,13.13,13.14,1036900.0,5.2,0.0,1.0
FTR,07/12/2005,13.14,13.36,13.14,13.3,963200.0,5.26,0.0,1.0
FTR,07/13/2005,13.32,13.48,13.3,13.45,977100.0,5.32,0.0,1.0
FTR,07/14/2005,13.48,13.5,13.29,13.33,1113000.0,5.27,0.0,1.0
FTR,07/15/2005,13.33,13.44,13.25,13.4,1521800.0,5.3,0.0,1.0
FTR,07/18/2005,13.42,13.44,13.35,13.38,777600.0,5.29,0.0,1.0
FTR,07/19/2005,13.39,13.47,13.36,13.38,916900.0,5.29,0.0,1.0
FTR,07/20/2005,13.38,13.4,13.15,13.33,869500.0,5.27,0.0,1.0
FTR,07/21/2005,13.36,13.42,13.33,13.38,888100.0,5.29,0.0,1.0
FTR,07/22/2005,13.39,13.39,13.2,13.23,866600.0,5.23,0.0,1.0
FTR,07/25/2005,13.25,13.3,13.07,13.07,1192100.0,5.17,0.0,1.0
FTR,07/26/2005,13.07,13.13,13.05,13.08,1251800.0,5.17,0.0,1.0
FTR,07/27/2005,13.11,13.32,13.09,13.27,1155700.0,5.25,0.0,1.0
FTR,07/28/2005,13.27,13.37,13.26,13.33,1378000.0,5.27,0.0,1.0
FTR,07/29/2005,13.28,13.34,13.11,13.14,1539900.0,5.2,0.0,1.0
FTR,08/01/2005,13.15,13.2,13.12,13.16,1044900.0,5.21,0.0,1.0
FTR,08/02/2005,13.15,13.35,13.15,13.24,1702200.0,5.24,0.0,1.0
FTR,08/03/2005,13.23,13.4,13.23,13.35,1465500.0,5.28,0.0,1.0
FTR,08/04/2005,13.35,13.44,13.35,13.42,1718700.0,5.31,0.0,1.0
FTR,08/05/2005,13.42,13.62,13.4,13.56,1919400.0,5.36,0.0,1.0
FTR,08/08/2005,13.58,13.63,13.56,13.59,1876300.0,5.38,0.0,1.0
FTR,08/09/2005,13.64,13.72,13.6,13.64,1299100.0,5.4,0.0,1.0
FTR,08/10/2005,13.67,13.73,13.5,13.6,1278100.0,5.38,0.0,1.0
FTR,08/11/2005,13.61,13.85,13.61,13.83,1146100.0,5.47,0.0,1.0
FTR,08/12/2005,13.76,13.78,13.55,13.56,2225800.0,5.36,0.0,1.0
FTR,08/15/2005,13.6,13.76,13.55,13.74,1365500.0,5.43,0.0,1.0
FTR,08/16/2005,13.74,13.78,13.64,13.74,1756500.0,5.43,0.0,1.0
FTR,08/17/2005,13.74,13.78,13.68,13.72,1299500.0,5.43,0.0,1.0
FTR,08/18/2005,13.74,13.98,13.68,13.83,2106200.0,5.47,0.0,1.0
FTR,08/19/2005,13.83,13.84,13.74,13.8,1744400.0,5.46,0.0,1.0
FTR,08/22/2005,13.8,13.84,13.77,13.8,1535000.0,5.46,0.0,1.0
FTR,08/23/2005,13.8,13.8,13.68,13.72,2453400.0,5.43,0.0,1.0
FTR,08/24/2005,13.73,13.73,13.67,13.71,1640100.0,5.42,0.0,1.0
FTR,08/25/2005,13.71,13.75,13.51,13.58,1977200.0,5.37,0.0,1.0
FTR,08/26/2005,13.57,13.58,13.46,13.46,1411400.0,5.32,0.0,1.0
FTR,08/29/2005,13.4,13.53,13.34,13.49,2584300.0,5.34,0.0,1.0
FTR,08/30/2005,13.46,13.7,13.44,13.67,2233100.0,5.41,0.0,1.0
FTR,08/31/2005,13.65,13.68,13.59,13.64,2194700.0,5.4,0.0,1.0
FTR,09/01/2005,13.6,13.77,13.57,13.74,2271400.0,5.43,0.0,1.0
FTR,09/02/2005,13.74,13.77,13.6,13.64,1571200.0,5.4,0.0,1.0
FTR,09/06/2005,13.71,13.8,13.69,13.78,1860600.0,5.45,0.0,1.0
FTR,09/07/2005,13.5,13.52,13.44,13.45,1061400.0,5.42,0.25,1.0
FTR,09/08/2005,13.47,13.7,13.42,13.64,2068500.0,5.5,0.0,1.0
FTR,09/09/2005,13.63,13.71,13.59,13.61,972800.0,5.48,0.0,1.0
FTR,09/12/2005,13.6,13.62,13.52,13.61,919700.0,5.48,0.0,1.0
FTR,09/13/2005,13.59,13.65,13.55,13.58,954800.0,5.47,0.0,1.0
FTR,09/14/2005,13.6,13.62,13.53,13.56,1052900.0,5.46,0.0,1.0
FTR,09/15/2005,13.55,13.74,13.54,13.72,2249300.0,5.53,0.0,1.0
FTR,09/16/2005,13.76,13.81,13.62,13.7,2444700.0,5.52,0.0,1.0
FTR,09/19/2005,13.72,13.72,13.55,13.56,1192200.0,5.46,0.0,1.0
FTR,09/20/2005,13.55,13.56,13.46,13.46,1055700.0,5.42,0.0,1.0
FTR,09/21/2005,13.48,13.51,13.41,13.42,1060800.0,5.41,0.0,1.0
FTR,09/22/2005,13.41,13.42,13.26,13.29,1342900.0,5.35,0.0,1.0
FTR,09/23/2005,13.3,13.34,13.27,13.32,885700.0,5.37,0.0,1.0
