Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
GCI,07/01/2005,71.5,71.96,71.5,71.89,1242700.0,50.7,0.0,1.0
GCI,07/05/2005,71.67,71.88,71.24,71.48,1363600.0,50.41,0.0,1.0
GCI,07/06/2005,71.45,71.61,70.98,71.01,1365600.0,50.08,0.0,1.0
GCI,07/07/2005,70.76,71.0,70.54,70.96,1839400.0,50.05,0.0,1.0
GCI,07/08/2005,71.02,72.53,71.0,72.4,1237900.0,51.06,0.0,1.0
GCI,07/11/2005,72.55,73.46,72.21,73.42,1628200.0,51.78,0.0,1.0
GCI,07/12/2005,73.49,73.83,73.26,73.41,1319300.0,51.77,0.0,1.0
GCI,07/13/2005,73.42,73.42,72.11,72.95,1479900.0,51.44,0.0,1.0
GCI,07/14/2005,73.1,73.34,72.37,72.69,1290400.0,51.27,0.0,1.0
GCI,07/15/2005,72.66,72.66,71.71,71.94,1037800.0,50.74,0.0,1.0
GCI,07/18/2005,71.8,72.2,71.63,71.87,732700.0,50.69,0.0,1.0
GCI,07/19/2005,71.99,72.01,71.49,71.81,869700.0,50.65,0.0,1.0
GCI,07/20/2005,72.0,72.91,71.96,72.7,809900.0,51.27,0.0,1.0
GCI,07/21/2005,72.58,72.7,72.05,72.24,891800.0,50.94,0.0,1.0
GCI,07/22/2005,72.2,73.05,72.0,73.02,802100.0,51.49,0.0,1.0
GCI,07/25/2005,72.92,74.34,72.92,74.18,1551200.0,52.32,0.0,1.0
GCI,07/26/2005,73.97,74.62,73.47,74.5,1520900.0,52.54,0.0,1.0
GCI,07/27/2005,74.51,74.64,73.86,74.25,502700.0,52.37,0.0,1.0
GCI,07/28/2005,74.25,74.5,73.95,73.98,677700.0,52.17,0.0,1.0
GCI,07/29/2005,73.8,73.89,72.91,72.96,1174500.0,51.45,0.0,1.0
GCI,08/01/2005,72.86,73.15,72.24,72.31,979600.0,51.0,0.0,1.0
GCI,08/02/2005,72.36,72.66,72.2,72.27,760200.0,50.97,0.0,1.0
GCI,08/03/2005,72.26,72.55,71.96,72.0,958200.0,50.77,0.0,1.0
GCI,08/04/2005,72.01,72.73,71.96,72.45,901900.0,51.1,0.0,1.0
GCI,08/05/2005,72.28,72.45,71.76,71.95,1097500.0,50.75,0.0,1.0
GCI,08/08/2005,72.0,72.68,72.0,72.44,885300.0,51.09,0.0,1.0
GCI,08/09/2005,72.55,72.79,72.47,72.58,630800.0,51.19,0.0,1.0
GCI,08/10/2005,72.5,73.17,72.5,72.95,1170900.0,51.44,0.0,1.0
