Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
GE,07/01/2005,34.85,34.94,34.66,34.74,20273000.0,24.35,0.0,1.0
GE,07/05/2005,34.63,34.9,34.5,34.72,26441600.0,24.34,0.0,1.0
GE,07/06/2005,34.55,34.69,34.28,34.32,21047000.0,24.06,0.0,1.0
GE,07/07/2005,34.18,34.4,33.93,34.18,30201400.0,23.96,0.0,1.0
GE,07/08/2005,34.38,35.12,34.35,34.99,30279500.0,24.53,0.0,1.0
GE,07/11/2005,35.19,35.43,35.06,35.11,19597800.0,24.61,0.0,1.0
GE,07/12/2005,35.05,35.24,34.95,35.1,17591900.0,24.6,0.0,1.0
GE,07/13/2005,35.1,35.3,35.06,35.18,18137600.0,24.66,0.0,1.0
GE,07/14/2005,35.39,35.78,35.25,35.63,28649600.0,24.97,0.0,1.0
GE,07/15/2005,35.34,35.73,34.95,35.53,45331400.0,24.9,0.0,1.0
GE,07/18/2005,35.38,35.49,35.15,35.2,17413200.0,24.67,0.0,1.0
GE,07/19/2005,35.36,35.45,35.11,35.33,22167000.0,24.76,0.0,1.0
GE,07/20/2005,35.33,35.37,35.04,35.3,18471700.0,24.74,0.0,1.0
GE,07/21/2005,35.18,35.36,35.0,35.0,16290900.0,24.53,0.0,1.0
GE,07/22/2005,35.24,35.24,34.87,35.07,15019400.0,24.58,0.0,1.0
GE,07/25/2005,35.2,35.2,34.7,34.77,18132200.0,24.37,0.0,1.0
GE,07/26/2005,34.83,35.11,34.69,34.7,16392100.0,24.32,0.0,1.0
GE,07/27/2005,34.71,34.82,34.65,34.8,16689500.0,24.39,0.0,1.0
GE,07/28/2005,34.88,35.05,34.8,34.88,16256500.0,24.45,0.0,1.0
GE,07/29/2005,34.8,34.92,34.49,34.5,19735300.0,24.18,0.0,1.0
GE,08/01/2005,34.57,34.62,34.21,34.25,19285400.0,24.01,0.0,1.0
GE,08/02/2005,34.25,34.56,34.2,34.25,19209400.0,24.01,0.0,1.0
GE,08/03/2005,34.26,34.39,34.09,34.21,17914200.0,23.98,0.0,1.0
GE,08/04/2005,34.15,34.22,33.99,34.01,18816200.0,23.84,0.0,1.0
GE,08/05/2005,33.85,34.01,33.75,33.81,18660800.0,23.7,0.0,1.0
GE,08/08/2005,33.85,33.97,33.7,33.76,14180700.0,23.66,0.0,1.0
GE,08/09/2005,33.97,34.28,33.9,34.14,17513500.0,23.93,0.0,1.0
GE,08/10/2005,34.3,34.48,33.87,33.88,20809100.0,23.75,0.0,1.0
GE,08/11/2005,34.02,34.51,33.95,34.51,21243000.0,24.19,0.0,1.0
GE,08/12/2005,34.32,34.56,34.22,34.25,17189500.0,24.01,0.0,1.0
GE,08/15/2005,34.12,34.27,34.02,34.21,13677400.0,23.98,0.0,1.0
GE,08/16/2005,34.11,34.2,33.87,33.88,16588800.0,23.75,0.0,1.0
GE,08/17/2005,33.88,34.38,33.86,34.1,16115900.0,23.9,0.0,1.0
GE,08/18/2005,34.04,34.28,33.94,33.99,13641400.0,23.83,0.0,1.0
GE,08/19/2005,34.09,34.26,33.86,33.95,13573300.0,23.8,0.0,1.0
GE,08/22/2005,34.07,34.24,33.82,33.97,13591500.0,23.81,0.0,1.0
GE,08/23/2005,34.0,34.08,33.78,33.97,15352800.0,23.81,0.0,1.0
GE,08/24/2005,33.92,34.1,33.54,33.54,19392300.0,23.51,0.0,1.0
GE,08/25/2005,33.5,33.62,33.41,33.5,16387700.0,23.48,0.0,1.0
GE,08/26/2005,33.5,33.55,33.31,33.38,17598900.0,23.4,0.0,1.0
GE,08/29/2005,33.17,33.62,33.1,33.6,18578600.0,23.55,0.0,1.0
GE,08/30/2005,33.5,33.56,32.85,33.24,26793900.0,23.3,0.0,1.0
GE,08/31/2005,33.2,33.68,32.96,33.61,27247300.0,23.56,0.0,1.0
GE,09/01/2005,33.43,33.53,33.0,33.14,26917100.0,23.23,0.0,1.0
GE,09/02/2005,33.4,33.46,33.21,33.33,20146700.0,23.36,0.0,1.0
GE,09/06/2005,33.45,33.98,33.45,33.94,27486700.0,23.79,0.0,1.0
GE,09/07/2005,33.89,34.05,33.68,34.01,21913600.0,23.84,0.0,1.0
GE,09/08/2005,34.01,34.01,33.73,33.85,17878700.0,23.73,0.0,1.0
GE,09/09/2005,33.94,34.23,33.9,33.98,19448000.0,23.82,0.0,1.0
GE,09/12/2005,34.0,34.53,33.99,34.43,24023300.0,24.13,0.0,1.0
GE,09/13/2005,34.35,34.44,34.06,34.28,21236400.0,24.03,0.0,1.0
GE,09/14/2005,34.27,34.42,34.0,34.05,16835500.0,23.87,0.0,1.0
GE,09/15/2005,34.07,34.4,34.07,34.38,18851100.0,24.1,0.0,1.0
GE,09/16/2005,34.52,34.58,34.22,34.47,40118500.0,24.16,0.0,1.0
GE,09/19/2005,34.3,34.33,33.89,34.05,23672500.0,23.87,0.0,1.0
GE,09/20/2005,34.14,34.22,33.75,33.84,19085700.0,23.72,0.0,1.0
GE,09/21/2005,33.52,33.74,33.5,33.55,22010500.0,23.52,0.0,1.0
GE,09/22/2005,33.33,33.54,33.16,33.3,21734200.0,23.5,0.22,1.0
GE,09/23/2005,33.3,33.58,33.26,33.4,15630000.0,23.57,0.0,1.0
GE,09/26/2005,33.58,33.62,33.13,33.27,19488300.0,23.47,0.0,1.0
GE,09/27/2005,33.47,33.84,33.22,33.64,21821400.0,23.74,0.0,1.0
GE,09/28/2005,33.68,33.7,33.26,33.49,16784300.0,23.63,0.0,1.0
GE,09/29/2005,33.3,33.75,33.08,33.65,22081300.0,23.74,0.0,1.0
GE,09/30/2005,33.65,33.77,33.34,33.67,21274500.0,23.76,0.0,1.0
GE,10/03/2005,33.6,33.63,33.2,33.23,24259900.0,23.45,0.0,1.0
GE,10/04/2005,33.33,33.45,32.85,32.85,27104900.0,23.18,0.0,1.0
GE,10/05/2005,32.9,33.1,32.67,32.68,23034000.0,23.06,0.0,1.0
GE,10/06/2005,33.18,33.74,33.18,33.59,33448000.0,23.7,0.0,1.0
GE,10/07/2005,33.9,34.3,33.68,34.22,28726600.0,24.14,0.0,1.0
GE,10/10/2005,34.23,34.29,33.96,33.99,17581100.0,23.98,0.0,1.0
GE,10/11/2005,33.99,34.08,33.69,33.8,18281100.0,23.85,0.0,1.0
GE,10/12/2005,33.58,34.05,33.58,33.8,18503900.0,23.85,0.0,1.0
GE,10/13/2005,33.75,34.21,33.75,34.02,20034000.0,24.0,0.0,1.0
GE,10/14/2005,34.4,34.48,34.1,34.34,27776200.0,24.23,0.0,1.0
GE,10/17/2005,34.21,34.5,33.94,34.01,23960100.0,24.0,0.0,1.0
GE,10/18/2005,34.0,34.42,33.95,34.0,19848600.0,23.99,0.0,1.0
GE,10/19/2005,33.93,34.41,33.9,34.41,23067100.0,24.28,0.0,1.0
GE,10/20/2005,34.46,34.46,33.74,33.88,20431100.0,23.9,0.0,1.0
GE,10/21/2005,33.95,34.07,33.65,33.73,22503600.0,23.8,0.0,1.0
GE,10/24/2005,33.76,34.14,33.76,34.13,16519000.0,24.08,0.0,1.0
GE,10/25/2005,34.01,34.13,33.63,33.91,18728000.0,23.93,0.0,1.0
GE,10/26/2005,33.98,34.2,33.69,33.7,21563400.0,23.78,0.0,1.0
GE,10/27/2005,33.63,33.69,33.41,33.58,17207200.0,23.69,0.0,1.0
GE,10/28/2005,33.68,34.09,33.52,34.05,21614500.0,24.02,0.0,1.0
GE,10/31/2005,34.0,34.14,33.84,33.91,26088500.0,23.93,0.0,1.0
GE,11/01/2005,33.97,33.98,33.55,33.6,20620100.0,23.71,0.0,1.0
GE,11/02/2005,33.6,33.97,33.51,33.81,22910700.0,23.86,0.0,1.0
GE,11/03/2005,33.9,34.15,33.8,33.98,17993200.0,23.98,0.0,1.0
GE,11/04/2005,33.98,34.1,33.75,34.02,16657800.0,24.0,0.0,1.0
GE,11/07/2005,34.1,34.13,33.95,34.02,14892600.0,24.0,0.0,1.0
GE,11/08/2005,33.88,33.95,33.73,33.76,14820300.0,23.82,0.0,1.0
GE,11/09/2005,33.85,34.15,33.71,33.92,17845500.0,23.93,0.0,1.0
GE,11/10/2005,33.97,34.74,33.92,34.5,29076500.0,24.34,0.0,1.0
GE,11/11/2005,34.55,34.78,34.4,34.65,13807300.0,24.45,0.0,1.0
GE,11/14/2005,34.66,34.66,34.3,34.4,14222300.0,24.27,0.0,1.0
GE,11/15/2005,34.41,34.7,34.29,34.4,14971200.0,24.27,0.0,1.0
GE,11/16/2005,34.39,34.71,34.35,34.54,16478700.0,24.37,0.0,1.0
GE,11/17/2005,34.58,34.77,34.4,34.66,16120400.0,24.46,0.0,1.0
GE,11/18/2005,35.46,35.8,35.25,35.75,59164600.0,25.22,0.0,1.0
GE,11/21/2005,35.76,36.34,35.65,36.2,33891600.0,25.54,0.0,1.0
GE,11/22/2005,36.05,36.23,35.89,36.06,25731800.0,25.44,0.0,1.0
GE,11/23/2005,36.05,36.14,35.91,35.94,17528500.0,25.36,0.0,1.0
GE,11/25/2005,36.0,36.22,35.92,36.2,9330700.0,25.54,0.0,1.0
GE,11/28/2005,36.2,36.2,35.94,35.98,18708100.0,25.39,0.0,1.0
GE,11/29/2005,36.13,36.23,35.86,35.93,23345500.0,25.35,0.0,1.0
GE,11/30/2005,35.95,36.16,35.72,35.72,24312400.0,25.2,0.0,1.0
GE,12/01/2005,35.85,35.9,35.64,35.75,21328400.0,25.22,0.0,1.0
GE,12/02/2005,35.75,35.75,35.26,35.5,25442600.0,25.05,0.0,1.0
GE,12/05/2005,35.42,35.86,35.4,35.77,24162400.0,25.24,0.0,1.0
GE,12/06/2005,35.9,36.1,35.72,35.8,26517800.0,25.26,0.0,1.0
GE,12/07/2005,35.8,35.85,35.41,35.57,28240900.0,25.1,0.0,1.0
GE,12/08/2005,35.57,35.66,35.27,35.35,21764400.0,24.94,0.0,1.0
GE,12/09/2005,35.43,35.8,35.34,35.53,17448100.0,25.07,0.0,1.0
GE,12/12/2005,35.66,35.73,35.43,35.55,13760900.0,25.08,0.0,1.0
GE,12/13/2005,35.5,35.68,35.35,35.47,25389300.0,25.03,0.0,1.0
GE,12/14/2005,35.67,35.89,35.55,35.77,21902600.0,25.24,0.0,1.0
GE,12/15/2005,35.94,36.16,35.77,36.0,34030300.0,25.4,0.0,1.0
GE,12/16/2005,36.03,36.26,36.02,36.06,34703300.0,25.44,0.0,1.0
GE,12/19/2005,36.0,36.25,35.65,35.82,21073000.0,25.27,0.0,1.0
GE,12/20/2005,35.67,35.74,35.38,35.54,21008900.0,25.08,0.0,1.0
GE,12/21/2005,35.66,35.66,35.25,35.32,22848200.0,24.92,0.0,1.0
GE,12/22/2005,35.17,35.46,35.17,35.42,17478700.0,25.17,0.25,1.0
GE,12/23/2005,35.56,35.57,35.39,35.42,10709400.0,25.17,0.0,1.0
GE,12/27/2005,35.57,35.6,35.03,35.06,17068100.0,24.91,0.0,1.0
GE,12/28/2005,35.06,35.16,34.95,35.11,16795500.0,24.95,0.0,1.0
GE,12/29/2005,35.11,35.45,35.1,35.19,16141500.0,25.0,0.0,1.0
GE,12/30/2005,35.12,35.22,34.98,35.05,18062700.0,24.91,0.0,1.0
GE,01/03/2006,35.1,35.4,34.8,35.37,33221200.0,25.13,0.0,1.0
