Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
HOT,07/01/2005,58.88,59.68,58.75,59.62,1435100.0,39.22,0.0,1.0
HOT,07/05/2005,59.7,61.01,59.34,60.96,1557900.0,40.1,0.0,1.0
HOT,07/06/2005,60.92,61.76,60.87,61.3,2528700.0,40.32,0.0,1.0
HOT,07/07/2005,60.97,61.26,60.05,61.23,3318500.0,40.27,0.0,1.0
HOT,07/08/2005,61.03,61.6,60.83,61.45,1559400.0,40.42,0.0,1.0
HOT,07/11/2005,61.88,62.72,61.52,62.51,1426900.0,41.11,0.0,1.0
HOT,07/12/2005,62.68,62.75,62.08,62.53,1154100.0,41.13,0.0,1.0
HOT,07/13/2005,62.56,63.01,62.2,62.34,1316500.0,41.0,0.0,1.0
HOT,07/14/2005,62.34,62.6,61.45,61.73,1608100.0,40.61,0.0,1.0
HOT,07/15/2005,61.93,62.35,61.68,62.17,951000.0,40.89,0.0,1.0
HOT,07/18/2005,62.4,62.9,62.38,62.76,1026800.0,41.28,0.0,1.0
HOT,07/19/2005,62.99,63.49,62.84,63.3,1222200.0,41.64,0.0,1.0
HOT,07/20/2005,63.1,63.75,62.81,63.55,1007200.0,41.8,0.0,1.0
HOT,07/21/2005,63.6,63.69,62.96,63.24,1655500.0,41.6,0.0,1.0
HOT,07/22/2005,63.15,63.56,63.0,63.49,1064200.0,41.76,0.0,1.0
HOT,07/25/2005,63.35,63.65,62.25,62.48,1558900.0,41.09,0.0,1.0
HOT,07/26/2005,63.0,63.49,62.5,63.36,2455500.0,41.68,0.0,1.0
HOT,07/27/2005,63.61,63.61,62.63,62.88,913400.0,41.36,0.0,1.0
HOT,07/28/2005,62.92,64.36,62.89,64.19,1019000.0,42.22,0.0,1.0
HOT,07/29/2005,63.78,64.02,62.95,63.32,1161800.0,41.65,0.0,1.0
HOT,08/01/2005,63.45,63.81,62.8,62.89,882000.0,41.37,0.0,1.0
HOT,08/02/2005,62.93,63.47,62.91,63.47,713600.0,41.75,0.0,1.0
HOT,08/03/2005,63.41,63.73,63.18,63.3,761500.0,41.64,0.0,1.0
HOT,08/04/2005,63.3,63.3,62.15,62.15,768100.0,40.88,0.0,1.0
HOT,08/05/2005,62.12,62.21,60.89,61.1,1072300.0,40.19,0.0,1.0
HOT,08/08/2005,61.01,61.46,60.71,60.81,870700.0,40.0,0.0,1.0
HOT,08/09/2005,60.85,61.35,60.7,61.3,891900.0,40.32,0.0,1.0
HOT,08/10/2005,61.48,62.4,61.48,61.91,1535100.0,40.73,0.0,1.0
HOT,08/11/2005,61.92,61.92,60.9,61.67,907400.0,40.57,0.0,1.0
HOT,08/12/2005,61.67,61.79,60.28,60.61,1285100.0,39.86,0.0,1.0
HOT,08/15/2005,60.61,60.85,60.32,60.35,1070100.0,39.69,0.0,1.0
HOT,08/16/2005,60.35,60.55,59.54,59.64,1330900.0,39.23,0.0,1.0
HOT,08/17/2005,59.85,60.6,59.85,60.21,1384400.0,39.61,0.0,1.0
HOT,08/18/2005,60.22,60.43,59.96,60.26,1312200.0,39.63,0.0,1.0
HOT,08/19/2005,60.3,60.8,60.09,60.28,952800.0,39.64,0.0,1.0
HOT,08/22/2005,60.3,60.66,59.8,59.85,1142700.0,39.37,0.0,1.0
HOT,08/23/2005,59.95,60.45,59.86,60.35,967700.0,39.69,0.0,1.0
HOT,08/24/2005,60.25,60.73,59.77,59.84,702900.0,39.36,0.0,1.0
HOT,08/25/2005,60.0,60.15,59.61,60.02,749300.0,39.48,0.0,1.0
HOT,08/26/2005,59.88,60.18,59.16,59.26,1140000.0,38.98,0.0,1.0
HOT,08/29/2005,59.1,59.16,58.52,58.97,1214100.0,38.78,0.0,1.0
HOT,08/30/2005,59.01,59.18,57.34,57.67,2155400.0,37.93,0.0,1.0
HOT,08/31/2005,57.65,58.31,56.9,58.3,2897400.0,38.35,0.0,1.0
HOT,09/01/2005,58.3,60.15,57.6,57.89,5082800.0,38.08,0.0,1.0
HOT,09/02/2005,57.9,58.27,56.89,57.48,2107700.0,37.81,0.0,1.0
HOT,09/06/2005,58.08,58.78,57.89,58.46,1171800.0,38.46,0.0,1.0
HOT,09/07/2005,58.5,59.95,58.41,59.8,1273700.0,39.34,0.0,1.0
HOT,09/08/2005,59.55,60.17,59.26,59.61,1567500.0,39.21,0.0,1.0
HOT,09/09/2005,59.63,59.9,59.34,59.87,1195200.0,39.38,0.0,1.0
HOT,09/12/2005,59.75,59.9,59.1,59.5,648000.0,39.14,0.0,1.0
HOT,09/13/2005,59.5,59.77,58.65,59.2,786300.0,38.94,0.0,1.0
HOT,09/14/2005,59.2,59.49,58.36,58.37,1171300.0,38.4,0.0,1.0
HOT,09/15/2005,58.54,58.57,57.85,58.39,945200.0,38.41,0.0,1.0
HOT,09/16/2005,58.55,58.95,57.77,58.49,1366400.0,38.48,0.0,1.0
HOT,09/19/2005,58.07,58.32,56.75,56.98,1492500.0,37.47,0.0,1.0
HOT,09/20/2005,56.94,56.95,55.29,55.46,3072400.0,36.48,0.0,1.0
HOT,09/21/2005,54.95,55.11,54.61,54.73,2040900.0,36.0,0.0,1.0
HOT,09/22/2005,55.0,56.13,54.55,55.52,2759000.0,36.52,0.0,1.0
HOT,09/23/2005,55.22,56.75,55.0,56.6,1866900.0,37.23,0.0,1.0
HOT,09/26/2005,56.75,56.77,55.89,56.39,1435600.0,37.09,0.0,1.0
HOT,09/27/2005,56.1,56.2,55.48,55.89,1157700.0,36.76,0.0,1.0
HOT,09/28/2005,55.97,56.04,54.78,54.87,2401500.0,36.09,0.0,1.0
HOT,09/29/2005,54.87,55.11,54.23,54.96,2388500.0,36.15,0.0,1.0
HOT,09/30/2005,54.95,57.59,54.93,57.17,2098000.0,37.6,0.0,1.0
HOT,10/03/2005,57.49,57.49,56.77,56.94,976000.0,37.45,0.0,1.0
HOT,10/04/2005,57.15,59.14,57.0,58.51,1863400.0,38.49,0.0,1.0
HOT,10/05/2005,58.75,58.75,57.68,57.71,1307900.0,37.96,0.0,1.0
HOT,10/06/2005,58.25,59.08,58.25,58.88,2536800.0,38.73,0.0,1.0
HOT,10/07/2005,58.94,59.79,58.61,59.05,1265900.0,38.84,0.0,1.0
HOT,10/10/2005,59.05,59.49,58.06,58.1,1990700.0,38.22,0.0,1.0
HOT,10/11/2005,58.25,58.5,57.62,57.62,1684700.0,37.9,0.0,1.0
HOT,10/12/2005,57.55,58.18,56.38,56.64,1204600.0,37.26,0.0,1.0
HOT,10/13/2005,56.5,57.25,55.95,56.59,1396700.0,37.23,0.0,1.0
HOT,10/14/2005,57.16,57.74,56.66,57.3,1074500.0,37.69,0.0,1.0
HOT,10/17/2005,57.3,57.39,56.68,57.35,1398000.0,37.72,0.0,1.0
HOT,10/18/2005,57.2,58.04,56.77,56.94,1727100.0,37.45,0.0,1.0
HOT,10/19/2005,56.94,58.75,56.48,58.73,1542700.0,38.63,0.0,1.0
HOT,10/20/2005,58.73,59.46,57.61,57.77,1812300.0,38.0,0.0,1.0
HOT,10/21/2005,58.0,58.15,56.95,57.67,1572300.0,37.93,0.0,1.0
HOT,10/24/2005,58.19,59.52,58.04,59.25,2392600.0,38.97,0.0,1.0
HOT,10/25/2005,59.8,59.8,58.16,59.02,1751000.0,38.82,0.0,1.0
HOT,10/26/2005,59.02,59.48,56.82,57.76,3527300.0,37.99,0.0,1.0
HOT,10/27/2005,57.65,57.66,55.09,55.29,2482900.0,36.36,0.0,1.0
HOT,10/28/2005,56.16,57.56,55.79,57.4,2403400.0,37.75,0.0,1.0
HOT,10/31/2005,57.55,58.86,57.31,58.43,1780900.0,38.44,0.0,1.0
HOT,11/01/2005,58.65,58.68,57.64,57.72,1452100.0,37.97,0.0,1.0
HOT,11/02/2005,57.75,60.24,57.21,59.5,2079300.0,39.14,0.0,1.0
HOT,11/03/2005,60.98,61.48,58.3,58.3,2679800.0,38.35,0.0,1.0
HOT,11/04/2005,58.35,58.97,57.91,58.59,1564900.0,38.53,0.0,1.0
HOT,11/07/2005,59.0,59.61,57.63,59.39,1759300.0,39.06,0.0,1.0
HOT,11/08/2005,58.85,58.92,57.59,57.73,1262800.0,37.97,0.0,1.0
HOT,11/09/2005,57.45,58.35,57.45,57.65,1145400.0,37.92,0.0,1.0
HOT,11/10/2005,57.65,59.61,57.22,59.45,1776200.0,39.1,0.0,1.0
HOT,11/11/2005,59.0,59.58,58.55,59.26,822100.0,38.98,0.0,1.0
HOT,11/14/2005,59.15,61.07,58.55,60.02,3259500.0,39.48,0.0,1.0
HOT,11/15/2005,59.77,59.85,58.97,59.3,1923500.0,39.0,0.0,1.0
HOT,11/16/2005,59.35,59.35,58.05,58.42,1590800.0,38.43,0.0,1.0
HOT,11/17/2005,58.5,58.89,58.35,58.58,2061100.0,38.53,0.0,1.0
HOT,11/18/2005,59.25,59.32,58.77,59.24,1622800.0,38.96,0.0,1.0
HOT,11/21/2005,58.99,60.36,58.66,60.21,1973900.0,39.61,0.0,1.0
HOT,11/22/2005,60.41,61.18,60.09,60.87,1774900.0,40.04,0.0,1.0
HOT,11/23/2005,60.37,61.98,60.28,61.85,1772600.0,40.69,0.0,1.0
HOT,11/25/2005,61.97,61.97,61.31,61.92,595000.0,40.73,0.0,1.0
HOT,11/28/2005,62.5,62.64,61.22,61.5,1692800.0,40.45,0.0,1.0
HOT,11/29/2005,61.37,62.06,61.37,61.89,1302500.0,40.71,0.0,1.0
HOT,11/30/2005,62.25,62.98,60.5,60.5,3546500.0,39.79,0.0,1.0
HOT,12/01/2005,60.75,63.38,60.74,63.03,2836400.0,41.46,0.0,1.0
HOT,12/02/2005,63.32,63.86,63.32,63.86,2092200.0,42.0,0.0,1.0
HOT,12/05/2005,63.85,64.16,62.51,63.23,2274900.0,41.59,0.0,1.0
HOT,12/06/2005,63.7,64.09,62.13,63.46,1505600.0,41.74,0.0,1.0
HOT,12/07/2005,63.36,63.84,62.83,63.14,962900.0,41.53,0.0,1.0
HOT,12/08/2005,63.15,64.53,63.15,64.03,2238200.0,42.11,0.0,1.0
HOT,12/09/2005,64.36,64.45,63.62,64.27,922500.0,42.27,0.0,1.0
HOT,12/12/2005,64.75,64.95,64.22,64.85,851500.0,42.66,0.0,1.0
HOT,12/13/2005,64.75,64.84,63.93,64.27,1327700.0,42.27,0.0,1.0
HOT,12/14/2005,64.27,64.96,64.1,64.79,929400.0,42.62,0.0,1.0
HOT,12/15/2005,64.85,65.22,64.38,64.6,1293000.0,42.49,0.0,1.0
HOT,12/16/2005,64.99,65.06,63.79,63.89,1871400.0,42.02,0.0,1.0
HOT,12/19/2005,63.65,64.19,63.09,63.11,1158400.0,41.51,0.0,1.0
HOT,12/20/2005,63.4,63.74,63.21,63.43,814900.0,41.72,0.0,1.0
