Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
HRS,07/01/2005,31.3,31.71,31.2,31.71,744800.0,24.43,0.0,1.0
HRS,07/05/2005,31.71,31.9,31.3,31.59,431800.0,24.34,0.0,1.0
HRS,07/06/2005,31.7,31.77,31.2,31.2,787500.0,24.04,0.0,1.0
HRS,07/07/2005,31.21,32.15,31.01,31.8,733800.0,24.5,0.0,1.0
HRS,07/08/2005,31.9,32.21,31.65,32.17,463400.0,24.78,0.0,1.0
HRS,07/11/2005,32.5,33.15,32.45,33.02,657200.0,25.44,0.0,1.0
HRS,07/12/2005,33.1,33.37,32.84,32.97,466100.0,25.4,0.0,1.0
HRS,07/13/2005,32.95,33.0,32.16,32.31,978500.0,24.89,0.0,1.0
HRS,07/14/2005,32.9,33.14,32.35,32.63,612500.0,25.13,0.0,1.0
HRS,07/15/2005,32.63,32.7,32.14,32.58,435900.0,25.1,0.0,1.0
HRS,07/18/2005,32.58,32.58,32.12,32.24,524100.0,24.84,0.0,1.0
HRS,07/19/2005,32.35,32.42,32.15,32.3,659100.0,24.89,0.0,1.0
HRS,07/20/2005,31.66,32.02,31.41,31.9,1080000.0,24.57,0.0,1.0
HRS,07/21/2005,32.01,32.05,31.47,31.7,739200.0,24.42,0.0,1.0
HRS,07/22/2005,31.83,31.86,31.3,31.58,472100.0,24.33,0.0,1.0
HRS,07/25/2005,31.58,31.7,30.91,31.11,574000.0,23.97,0.0,1.0
HRS,07/26/2005,31.11,31.9,30.96,31.67,1483400.0,24.4,0.0,1.0
HRS,07/27/2005,32.09,32.47,31.65,32.47,822500.0,25.02,0.0,1.0
HRS,07/28/2005,34.25,36.48,34.25,36.31,3549800.0,27.97,0.0,1.0
HRS,07/29/2005,35.72,37.42,35.72,37.07,1333600.0,28.56,0.0,1.0
HRS,08/01/2005,36.75,37.05,35.98,36.03,888100.0,27.75,0.0,1.0
HRS,08/02/2005,35.96,36.5,35.82,36.11,1067800.0,27.82,0.0,1.0
HRS,08/03/2005,36.0,36.38,35.5,36.17,1158100.0,27.86,0.0,1.0
HRS,08/04/2005,36.17,36.33,35.48,35.7,728100.0,27.5,0.0,1.0
HRS,08/05/2005,35.64,35.93,35.31,35.77,1040600.0,27.56,0.0,1.0
HRS,08/08/2005,36.4,36.79,35.85,35.9,945900.0,27.66,0.0,1.0
HRS,08/09/2005,36.05,36.07,35.54,36.0,709200.0,27.74,0.0,1.0
HRS,08/10/2005,36.35,36.6,35.8,36.1,938900.0,27.81,0.0,1.0
HRS,08/11/2005,36.04,36.49,35.91,36.43,590900.0,28.07,0.0,1.0
HRS,08/12/2005,36.4,36.72,36.07,36.6,762700.0,28.2,0.0,1.0
HRS,08/15/2005,36.71,37.72,36.37,37.32,1162100.0,28.76,0.0,1.0
HRS,08/16/2005,37.9,37.9,36.65,37.06,1302400.0,28.55,0.0,1.0
HRS,08/17/2005,36.9,37.23,36.84,37.2,1374400.0,28.66,0.0,1.0
HRS,08/18/2005,37.03,37.45,36.65,36.89,1404100.0,28.42,0.0,1.0
HRS,08/19/2005,36.93,37.11,36.72,37.0,627900.0,28.5,0.0,1.0
HRS,08/22/2005,37.01,37.41,36.8,37.3,890900.0,28.74,0.0,1.0
HRS,08/23/2005,37.58,37.7,37.07,37.5,841000.0,28.89,0.0,1.0
HRS,08/24/2005,37.3,38.1,37.22,37.27,1034800.0,28.72,0.0,1.0
HRS,08/25/2005,37.48,38.18,37.29,37.9,899100.0,29.2,0.0,1.0
HRS,08/26/2005,37.7,37.78,36.67,37.19,715000.0,28.65,0.0,1.0
HRS,08/29/2005,37.19,37.29,36.46,37.29,559100.0,28.73,0.0,1.0
HRS,08/30/2005,37.29,37.57,37.0,37.49,825200.0,28.88,0.0,1.0
HRS,08/31/2005,37.49,38.67,37.34,38.61,1109300.0,29.75,0.0,1.0
HRS,09/01/2005,38.9,38.95,37.94,38.19,677700.0,29.42,0.0,1.0
HRS,09/02/2005,38.05,38.36,37.72,37.8,296800.0,29.18,0.08,1.0
HRS,09/06/2005,38.23,39.66,38.23,39.6,728100.0,30.57,0.0,1.0
HRS,09/07/2005,40.05,41.7,40.05,41.55,1605400.0,32.07,0.0,1.0
HRS,09/08/2005,41.35,41.82,40.62,40.62,1345600.0,31.36,0.0,1.0
HRS,09/09/2005,40.62,41.0,40.47,40.85,815600.0,31.53,0.0,1.0
HRS,09/12/2005,40.97,41.0,39.8,39.89,751600.0,30.8,0.0,1.0
