Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
ICE,11/16/2005,39.0,44.21,38.56,39.25,19551800.0,38.52,0.0,1.0
ICE,11/17/2005,40.3,41.75,34.0,35.25,6861700.0,34.6,0.0,1.0
ICE,11/18/2005,36.2,36.95,34.56,35.0,2562000.0,34.35,0.0,1.0
ICE,11/21/2005,35.25,35.96,34.82,35.9,1280800.0,35.24,0.0,1.0
ICE,11/22/2005,35.45,35.46,34.3,34.95,1306600.0,34.3,0.0,1.0
ICE,11/23/2005,34.7,34.95,31.55,33.95,2484200.0,33.32,0.0,1.0
ICE,11/25/2005,33.75,34.45,33.65,34.15,263200.0,33.52,0.0,1.0
ICE,11/28/2005,33.9,33.9,32.55,33.3,631000.0,32.68,0.0,1.0
ICE,11/29/2005,33.3,33.49,31.27,31.97,895500.0,31.38,0.0,1.0
ICE,11/30/2005,32.1,32.41,31.6,32.3,778900.0,31.7,0.0,1.0
ICE,12/01/2005,32.3,35.2,32.15,35.0,1137700.0,34.35,0.0,1.0
ICE,12/02/2005,35.0,36.3,34.9,36.1,1024000.0,35.43,0.0,1.0
ICE,12/05/2005,36.18,37.45,36.18,36.81,918500.0,36.13,0.0,1.0
ICE,12/06/2005,36.81,37.61,36.45,36.58,640500.0,35.9,0.0,1.0
ICE,12/07/2005,36.65,36.65,34.5,35.45,494600.0,34.79,0.0,1.0
ICE,12/08/2005,35.7,36.28,35.55,36.0,364700.0,35.33,0.0,1.0
ICE,12/09/2005,36.0,36.46,35.78,36.2,161600.0,35.53,0.0,1.0
ICE,12/12/2005,36.45,36.5,36.05,36.45,190700.0,35.78,0.0,1.0
ICE,12/13/2005,36.44,36.44,35.51,35.59,368600.0,34.93,0.0,1.0
ICE,12/14/2005,35.5,35.7,34.8,35.0,284400.0,34.35,0.0,1.0
ICE,12/15/2005,34.95,34.95,33.65,34.0,654600.0,33.37,0.0,1.0
ICE,12/16/2005,33.85,34.49,33.5,34.19,1634100.0,33.56,0.0,1.0
ICE,12/19/2005,34.0,34.4,33.86,34.37,448400.0,33.73,0.0,1.0
ICE,12/20/2005,34.62,35.41,34.4,34.94,484700.0,34.29,0.0,1.0
ICE,12/21/2005,34.9,35.0,34.55,34.79,183300.0,34.15,0.0,1.0
ICE,12/22/2005,34.79,34.79,34.3,34.7,234200.0,34.06,0.0,1.0
ICE,12/23/2005,34.45,34.69,34.06,34.25,197000.0,33.62,0.0,1.0
ICE,12/27/2005,34.5,35.45,34.5,35.25,242800.0,34.6,0.0,1.0
ICE,12/28/2005,35.25,35.45,35.03,35.08,116200.0,34.43,0.0,1.0
ICE,12/29/2005,34.9,36.22,34.9,36.14,215300.0,35.47,0.0,1.0
ICE,12/30/2005,36.25,36.35,35.45,36.35,184700.0,35.68,0.0,1.0
ICE,01/03/2006,36.5,38.25,36.0,37.86,598600.0,37.16,0.0,1.0
