Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
JCI,07/01/2005,56.45,56.79,56.24,56.4,426000.0,15.44,0.0,1.0
JCI,07/05/2005,56.4,57.22,55.88,57.13,1183100.0,15.64,0.0,1.0
JCI,07/06/2005,57.35,57.75,56.7,56.84,956400.0,15.56,0.0,1.0
JCI,07/07/2005,56.11,57.91,56.07,57.85,1634400.0,15.83,0.0,1.0
JCI,07/08/2005,57.75,59.0,57.72,59.0,816200.0,16.15,0.0,1.0
JCI,07/11/2005,58.96,59.43,58.8,59.35,463700.0,16.25,0.0,1.0
JCI,07/12/2005,59.3,59.4,58.51,58.83,512900.0,16.1,0.0,1.0
JCI,07/13/2005,58.79,59.0,58.5,58.77,492500.0,16.09,0.0,1.0
JCI,07/14/2005,59.11,59.45,58.73,58.78,751500.0,16.09,0.0,1.0
JCI,07/15/2005,59.05,59.25,58.35,58.87,685800.0,16.11,0.0,1.0
JCI,07/18/2005,58.74,59.05,58.36,58.64,550500.0,16.05,0.0,1.0
JCI,07/19/2005,58.62,59.47,58.35,59.27,759200.0,16.22,0.0,1.0
JCI,07/20/2005,58.95,59.12,58.49,58.88,774600.0,16.12,0.0,1.0
JCI,07/21/2005,58.8,58.8,57.07,57.58,1264700.0,15.76,0.0,1.0
JCI,07/22/2005,58.4,58.62,57.85,58.39,1383800.0,15.98,0.0,1.0
JCI,07/25/2005,58.39,58.75,58.26,58.44,939500.0,16.0,0.0,1.0
JCI,07/26/2005,58.38,58.56,58.01,58.24,788800.0,15.94,0.0,1.0
JCI,07/27/2005,58.45,58.45,57.38,57.75,648300.0,15.81,0.0,1.0
JCI,07/28/2005,58.15,58.2,57.73,57.89,635000.0,15.85,0.0,1.0
JCI,07/29/2005,57.88,58.04,57.33,57.44,659200.0,15.72,0.0,1.0
JCI,08/01/2005,57.65,57.78,57.1,57.48,840000.0,15.73,0.0,1.0
JCI,08/02/2005,57.9,58.12,57.55,57.83,789200.0,15.83,0.0,1.0
JCI,08/03/2005,57.48,57.58,57.17,57.38,858100.0,15.71,0.0,1.0
JCI,08/04/2005,57.38,57.68,57.0,57.53,639200.0,15.75,0.0,1.0
JCI,08/05/2005,57.53,57.65,57.11,57.26,1171700.0,15.67,0.0,1.0
JCI,08/08/2005,57.5,57.75,56.88,57.06,663500.0,15.62,0.0,1.0
JCI,08/09/2005,57.24,57.61,57.24,57.47,1088000.0,15.73,0.0,1.0
JCI,08/10/2005,58.0,58.46,56.59,57.46,902700.0,15.73,0.0,1.0
JCI,08/11/2005,57.5,58.3,57.45,58.19,675100.0,15.93,0.0,1.0
JCI,08/12/2005,58.0,58.04,57.38,57.63,567400.0,15.77,0.0,1.0
JCI,08/15/2005,57.45,57.86,57.05,57.28,467700.0,15.68,0.0,1.0
JCI,08/16/2005,57.4,57.46,56.59,56.67,532600.0,15.51,0.0,1.0
JCI,08/17/2005,56.67,57.41,56.5,57.06,403200.0,15.62,0.0,1.0
JCI,08/18/2005,56.96,57.22,56.65,56.96,500900.0,15.59,0.0,1.0
JCI,08/19/2005,57.6,57.63,56.83,56.95,709400.0,15.59,0.0,1.0
JCI,08/22/2005,57.2,57.84,56.78,57.28,390600.0,15.68,0.0,1.0
JCI,08/23/2005,57.25,57.5,56.78,56.95,536500.0,15.59,0.0,1.0
JCI,08/24/2005,56.95,57.88,56.67,56.77,630100.0,15.54,0.0,1.0
JCI,08/25/2005,58.7,61.58,58.7,59.53,4177900.0,16.29,0.0,1.0
JCI,08/26/2005,60.5,61.45,59.8,60.19,1841600.0,16.48,0.0,1.0
JCI,08/29/2005,60.19,60.57,59.61,60.16,858200.0,16.47,0.0,1.0
JCI,08/30/2005,60.18,60.51,59.4,60.05,758100.0,16.44,0.0,1.0
JCI,08/31/2005,59.83,60.35,59.3,59.98,1019000.0,16.42,0.0,1.0
JCI,09/01/2005,59.97,59.99,58.96,59.62,922600.0,16.32,0.0,1.0
JCI,09/02/2005,60.0,60.85,59.42,59.7,1145100.0,16.34,0.0,1.0
JCI,09/06/2005,59.81,60.31,59.57,60.23,897900.0,16.49,0.0,1.0
JCI,09/07/2005,59.9,61.44,59.77,61.03,1420800.0,16.77,0.25,1.0
JCI,09/08/2005,60.99,61.69,60.81,61.06,1659700.0,16.78,0.0,1.0
JCI,09/09/2005,61.06,61.95,60.87,61.82,1189300.0,16.99,0.0,1.0
JCI,09/12/2005,61.5,62.7,61.38,62.21,942700.0,17.1,0.0,1.0
JCI,09/13/2005,62.4,62.49,61.54,61.9,836000.0,17.01,0.0,1.0
JCI,09/14/2005,61.87,62.14,61.14,61.92,796100.0,17.02,0.0,1.0
JCI,09/15/2005,61.63,62.27,61.38,61.64,1277600.0,16.94,0.0,1.0
JCI,09/16/2005,62.15,62.15,61.3,61.79,1113500.0,16.98,0.0,1.0
JCI,09/19/2005,61.6,61.6,59.86,60.12,952300.0,16.52,0.0,1.0
JCI,09/20/2005,60.12,60.25,59.9,60.07,1243800.0,16.51,0.0,1.0
JCI,09/21/2005,59.77,60.49,59.63,60.1,880400.0,16.52,0.0,1.0
JCI,09/22/2005,59.9,61.06,59.62,60.49,702500.0,16.63,0.0,1.0
JCI,09/23/2005,60.44,61.22,60.22,61.02,679300.0,16.77,0.0,1.0
JCI,09/26/2005,61.17,61.23,60.0,60.5,1032900.0,16.63,0.0,1.0
JCI,09/27/2005,60.5,61.39,60.43,60.98,738400.0,16.76,0.0,1.0
JCI,09/28/2005,61.5,61.89,61.02,61.71,880500.0,16.96,0.0,1.0
JCI,09/29/2005,61.6,61.97,61.16,61.76,1039200.0,16.97,0.0,1.0
JCI,09/30/2005,61.6,62.5,61.33,62.05,810400.0,17.05,0.0,1.0
JCI,10/03/2005,61.9,62.75,61.35,62.21,1073200.0,17.1,0.0,1.0
JCI,10/04/2005,62.45,62.47,61.26,61.69,782500.0,16.96,0.0,1.0
JCI,10/05/2005,61.55,61.57,60.5,60.51,1507400.0,16.63,0.0,1.0
JCI,10/06/2005,60.71,61.23,60.02,60.28,1683300.0,16.57,0.0,1.0
JCI,10/07/2005,60.58,61.69,60.44,61.49,1229900.0,16.9,0.0,1.0
JCI,10/10/2005,61.0,61.6,60.39,61.03,1768200.0,16.77,0.0,1.0
JCI,10/11/2005,60.25,61.61,59.95,60.85,2257400.0,16.72,0.0,1.0
