Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
KR,07/01/2005,18.97,19.0,18.84,18.86,2820300.0,8.17,0.0,1.0
KR,07/05/2005,18.79,19.29,18.71,19.21,4134400.0,8.32,0.0,1.0
KR,07/06/2005,19.15,19.4,19.11,19.23,4478000.0,8.33,0.0,1.0
KR,07/07/2005,19.0,19.31,18.9,19.22,2305600.0,8.33,0.0,1.0
KR,07/08/2005,19.22,19.55,19.1,19.49,2449800.0,8.44,0.0,1.0
KR,07/11/2005,19.61,19.65,19.39,19.46,2793800.0,8.43,0.0,1.0
KR,07/12/2005,19.39,19.5,19.31,19.4,2177800.0,8.41,0.0,1.0
KR,07/13/2005,19.15,19.48,19.15,19.45,2025400.0,8.43,0.0,1.0
KR,07/14/2005,19.42,19.69,19.42,19.56,2745400.0,8.47,0.0,1.0
KR,07/15/2005,19.5,19.63,19.47,19.57,2392500.0,8.48,0.0,1.0
KR,07/18/2005,19.53,19.82,19.48,19.64,2428100.0,8.51,0.0,1.0
KR,07/19/2005,19.68,19.82,19.46,19.51,2694700.0,8.45,0.0,1.0
KR,07/20/2005,19.41,19.66,19.39,19.53,2481000.0,8.46,0.0,1.0
KR,07/21/2005,19.47,19.48,19.25,19.31,2160400.0,8.37,0.0,1.0
KR,07/22/2005,19.35,19.59,19.33,19.5,2381800.0,8.45,0.0,1.0
KR,07/25/2005,19.45,19.65,19.42,19.55,3128800.0,8.47,0.0,1.0
KR,07/26/2005,19.55,19.95,19.52,19.85,4284600.0,8.6,0.0,1.0
KR,07/27/2005,19.77,19.93,19.67,19.83,2694900.0,8.59,0.0,1.0
KR,07/28/2005,19.82,19.99,19.78,19.91,3181700.0,8.63,0.0,1.0
KR,07/29/2005,19.83,19.99,19.79,19.85,2543600.0,8.6,0.0,1.0
KR,08/01/2005,19.95,20.0,19.85,19.9,2876800.0,8.62,0.0,1.0
KR,08/02/2005,19.89,20.0,19.65,19.78,3381300.0,8.57,0.0,1.0
KR,08/03/2005,19.75,19.99,19.61,19.94,2324500.0,8.64,0.0,1.0
KR,08/04/2005,19.86,19.92,19.47,19.51,1844000.0,8.45,0.0,1.0
KR,08/05/2005,19.41,19.57,19.32,19.37,1796300.0,8.39,0.0,1.0
KR,08/08/2005,19.44,19.55,19.19,19.55,2154400.0,8.47,0.0,1.0
KR,08/09/2005,19.57,19.84,19.55,19.79,1858600.0,8.57,0.0,1.0
KR,08/10/2005,19.93,20.0,19.57,19.7,2206600.0,8.54,0.0,1.0
KR,08/11/2005,19.69,19.83,19.5,19.7,1629000.0,8.54,0.0,1.0
KR,08/12/2005,19.58,19.7,19.25,19.33,1665300.0,8.37,0.0,1.0
KR,08/15/2005,19.26,19.54,19.09,19.49,1842100.0,8.44,0.0,1.0
KR,08/16/2005,19.4,19.47,19.29,19.41,2080900.0,8.41,0.0,1.0
KR,08/17/2005,19.34,19.65,19.34,19.6,2177500.0,8.49,0.0,1.0
KR,08/18/2005,19.6,19.78,19.5,19.7,2234700.0,8.54,0.0,1.0
KR,08/19/2005,19.76,19.89,19.54,19.7,3045700.0,8.54,0.0,1.0
KR,08/22/2005,19.83,20.0,19.75,19.89,3090300.0,8.62,0.0,1.0
KR,08/23/2005,19.91,20.09,19.75,20.03,2341000.0,8.68,0.0,1.0
KR,08/24/2005,19.95,20.13,19.85,19.88,3151000.0,8.61,0.0,1.0
KR,08/25/2005,19.96,19.99,19.58,19.7,3250000.0,8.54,0.0,1.0
KR,08/26/2005,19.45,19.71,19.21,19.45,3507700.0,8.43,0.0,1.0
KR,08/29/2005,19.33,19.81,19.31,19.71,2892700.0,8.54,0.0,1.0
KR,08/30/2005,19.64,19.8,19.28,19.51,2085600.0,8.45,0.0,1.0
