Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
LMT,07/01/2005,64.87,64.87,64.36,64.55,1217800.0,47.7,0.0,1.0
LMT,07/05/2005,64.6,64.6,63.84,63.98,1817500.0,47.28,0.0,1.0
LMT,07/06/2005,63.98,64.19,62.91,63.0,1497200.0,46.56,0.0,1.0
LMT,07/07/2005,63.0,63.64,62.37,62.84,2206800.0,46.44,0.0,1.0
LMT,07/08/2005,62.81,62.91,62.34,62.5,2459800.0,46.19,0.0,1.0
LMT,07/11/2005,62.1,62.33,61.69,61.77,3269800.0,45.65,0.0,1.0
LMT,07/12/2005,62.15,62.19,61.64,61.88,1874500.0,45.73,0.0,1.0
LMT,07/13/2005,61.6,61.7,61.22,61.48,2087100.0,45.43,0.0,1.0
LMT,07/14/2005,62.15,62.28,61.4,61.65,1957100.0,45.56,0.0,1.0
LMT,07/15/2005,61.65,61.89,61.4,61.75,2245300.0,45.63,0.0,1.0
LMT,07/18/2005,61.64,61.64,60.93,61.47,1783200.0,45.43,0.0,1.0
LMT,07/19/2005,61.57,61.71,61.51,61.58,1864800.0,45.51,0.0,1.0
LMT,07/20/2005,61.5,61.98,61.14,61.75,1878000.0,45.63,0.0,1.0
LMT,07/21/2005,61.76,62.19,61.41,61.65,1741200.0,45.56,0.0,1.0
LMT,07/22/2005,61.8,62.11,61.65,62.0,1576600.0,45.82,0.0,1.0
LMT,07/25/2005,62.0,62.83,61.7,62.51,2005200.0,46.2,0.0,1.0
LMT,07/26/2005,64.95,65.24,63.43,63.99,3978200.0,47.29,0.0,1.0
LMT,07/27/2005,64.5,64.54,63.81,64.06,2309300.0,47.34,0.0,1.0
LMT,07/28/2005,64.2,64.26,62.92,63.1,3260500.0,46.63,0.0,1.0
LMT,07/29/2005,63.0,63.14,62.28,62.4,2128300.0,46.11,0.0,1.0
LMT,08/01/2005,63.35,63.35,61.71,62.45,1775900.0,46.15,0.0,1.0
LMT,08/02/2005,62.65,63.08,62.62,62.97,2468300.0,46.54,0.0,1.0
LMT,08/03/2005,63.0,63.05,62.6,62.95,1106100.0,46.52,0.0,1.0
LMT,08/04/2005,62.75,63.1,62.7,62.82,1819400.0,46.42,0.0,1.0
LMT,08/05/2005,62.7,63.14,62.67,62.83,1360900.0,46.43,0.0,1.0
