Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
MHK,07/01/2005,82.55,82.69,81.8,82.2,318700.0,82.2,0.0,1.0
MHK,07/05/2005,84.25,92.45,84.25,87.5,4019200.0,87.5,0.0,1.0
MHK,07/06/2005,87.72,88.75,85.75,85.75,1006300.0,85.75,0.0,1.0
MHK,07/07/2005,85.75,87.07,85.59,86.84,372100.0,86.84,0.0,1.0
MHK,07/08/2005,87.35,89.47,87.35,89.43,540100.0,89.43,0.0,1.0
MHK,07/11/2005,89.6,91.19,89.44,90.14,415400.0,90.14,0.0,1.0
MHK,07/12/2005,89.9,90.9,89.5,89.8,516300.0,89.8,0.0,1.0
MHK,07/13/2005,89.67,90.38,89.66,90.0,233400.0,90.0,0.0,1.0
MHK,07/14/2005,90.25,90.85,89.55,89.73,200700.0,89.73,0.0,1.0
MHK,07/15/2005,89.57,90.08,88.9,89.46,245600.0,89.46,0.0,1.0
MHK,07/18/2005,89.78,90.69,89.7,90.0,382400.0,90.0,0.0,1.0
MHK,07/19/2005,90.07,90.7,90.06,90.25,276100.0,90.25,0.0,1.0
MHK,07/20/2005,90.05,91.0,89.5,90.98,212600.0,90.98,0.0,1.0
MHK,07/21/2005,90.98,90.98,88.6,89.28,510400.0,89.28,0.0,1.0
MHK,07/22/2005,89.94,91.18,89.65,90.25,368200.0,90.25,0.0,1.0
MHK,07/25/2005,90.25,91.4,89.93,90.0,343000.0,90.0,0.0,1.0
MHK,07/26/2005,89.85,90.44,89.77,90.05,360200.0,90.05,0.0,1.0
MHK,07/27/2005,90.45,90.77,89.35,89.61,224600.0,89.61,0.0,1.0
MHK,07/28/2005,89.5,90.0,88.64,88.82,286700.0,88.82,0.0,1.0
MHK,07/29/2005,88.82,88.99,87.82,87.82,259700.0,87.82,0.0,1.0
MHK,08/01/2005,88.05,88.54,86.84,87.48,281200.0,87.48,0.0,1.0
MHK,08/02/2005,87.48,88.17,86.76,88.12,330900.0,88.12,0.0,1.0
MHK,08/03/2005,88.0,88.37,86.75,87.03,345100.0,87.03,0.0,1.0
MHK,08/04/2005,86.5,86.99,85.96,85.96,203200.0,85.96,0.0,1.0
MHK,08/05/2005,86.0,86.0,85.12,85.46,258300.0,85.46,0.0,1.0
