Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
MRK,07/01/2005,30.8,31.35,30.8,31.06,8028700.0,20.71,0.0,1.0
MRK,07/05/2005,31.11,31.2,30.66,31.1,5827000.0,20.73,0.0,1.0
MRK,07/06/2005,31.25,31.27,30.5,30.56,6007800.0,20.37,0.0,1.0
MRK,07/07/2005,30.3,30.67,29.9,29.98,12336600.0,19.99,0.0,1.0
MRK,07/08/2005,30.05,31.04,30.05,31.0,11344100.0,20.67,0.0,1.0
MRK,07/11/2005,30.7,31.27,30.62,31.24,8063900.0,20.83,0.0,1.0
MRK,07/12/2005,31.07,31.7,31.02,31.6,10498500.0,21.07,0.0,1.0
MRK,07/13/2005,31.75,31.75,31.41,31.62,6140400.0,21.09,0.0,1.0
MRK,07/14/2005,31.75,32.02,31.66,31.91,6778100.0,21.27,0.0,1.0
MRK,07/15/2005,31.92,32.3,31.77,31.91,6831800.0,21.27,0.0,1.0
MRK,07/18/2005,31.91,32.34,31.77,31.88,6228700.0,21.25,0.0,1.0
MRK,07/19/2005,31.92,32.1,31.53,31.95,5856100.0,21.3,0.0,1.0
MRK,07/20/2005,31.83,32.13,31.45,31.85,6462300.0,21.23,0.0,1.0
MRK,07/21/2005,31.45,31.68,30.82,31.38,9192900.0,20.92,0.0,1.0
MRK,07/22/2005,31.38,31.38,30.88,31.14,6030000.0,20.76,0.0,1.0
MRK,07/25/2005,31.05,31.09,30.62,30.74,7030700.0,20.5,0.0,1.0
MRK,07/26/2005,30.78,31.12,30.61,30.69,6182900.0,20.46,0.0,1.0
MRK,07/27/2005,30.63,31.4,30.62,31.22,6014000.0,20.81,0.0,1.0
MRK,07/28/2005,31.43,31.69,31.23,31.29,6041300.0,20.86,0.0,1.0
MRK,07/29/2005,31.02,31.34,30.96,31.06,6452600.0,20.71,0.0,1.0
MRK,08/01/2005,31.24,31.24,30.6,30.68,6993000.0,20.45,0.0,1.0
MRK,08/02/2005,30.66,30.78,30.35,30.69,6986800.0,20.46,0.0,1.0
MRK,08/03/2005,30.69,30.93,30.51,30.82,5873100.0,20.55,0.0,1.0
MRK,08/04/2005,30.65,30.78,30.32,30.34,6023100.0,20.23,0.0,1.0
MRK,08/05/2005,30.39,30.92,30.36,30.66,9463300.0,20.44,0.0,1.0
MRK,08/08/2005,30.85,30.85,30.39,30.45,5318400.0,20.3,0.0,1.0
MRK,08/09/2005,30.69,31.0,30.58,30.98,7298400.0,20.66,0.0,1.0
MRK,08/10/2005,31.18,31.46,31.03,31.17,6434000.0,20.78,0.0,1.0
MRK,08/11/2005,31.18,31.41,30.91,31.09,5456700.0,20.72,0.0,1.0
MRK,08/12/2005,31.01,31.05,30.48,30.55,6988100.0,20.37,0.0,1.0
MRK,08/15/2005,30.6,30.78,30.43,30.66,5205400.0,20.44,0.0,1.0
MRK,08/16/2005,30.7,30.75,30.3,30.3,6281000.0,20.21,0.0,1.0
MRK,08/17/2005,30.3,30.65,30.3,30.56,6823200.0,20.37,0.0,1.0
MRK,08/18/2005,30.47,30.74,30.35,30.41,8037300.0,20.28,0.0,1.0
MRK,08/19/2005,30.39,30.59,27.75,28.06,38425600.0,18.71,0.0,1.0
MRK,08/22/2005,27.45,27.99,27.0,27.89,46900700.0,18.59,0.0,1.0
MRK,08/23/2005,27.78,27.88,27.52,27.58,15903200.0,18.39,0.0,1.0
MRK,08/24/2005,27.55,28.08,27.55,27.83,14933400.0,18.56,0.0,1.0
MRK,08/25/2005,27.85,27.92,27.69,27.77,7985900.0,18.52,0.0,1.0
