Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
M,07/01/2005,73.74,73.79,72.9,73.36,1363000.0,30.74,0.0,1.0
M,07/05/2005,72.9,75.75,72.85,75.59,2721100.0,31.67,0.0,1.0
M,07/06/2005,75.67,76.68,75.43,75.81,2992800.0,31.77,0.0,1.0
M,07/07/2005,74.72,76.01,74.22,75.6,2614900.0,31.68,0.0,1.0
M,07/08/2005,75.7,76.11,74.99,75.46,1930100.0,31.62,0.0,1.0
M,07/11/2005,75.95,75.98,75.0,75.42,1482700.0,31.6,0.0,1.0
M,07/12/2005,75.55,76.41,75.1,76.3,1706800.0,31.97,0.0,1.0
M,07/13/2005,76.4,76.44,74.26,74.74,2254800.0,31.32,0.0,1.0
M,07/14/2005,74.74,75.35,74.08,74.1,1915600.0,31.05,0.0,1.0
M,07/15/2005,73.53,73.96,72.83,73.79,2315700.0,30.92,0.0,1.0
M,07/18/2005,73.86,75.29,73.8,74.82,1490200.0,31.35,0.0,1.0
M,07/19/2005,75.49,76.19,74.92,76.15,2346400.0,31.91,0.0,1.0
M,07/20/2005,74.9,77.05,74.6,76.86,2241500.0,32.21,0.0,1.0
M,07/21/2005,76.79,76.79,74.67,74.95,2238900.0,31.41,0.0,1.0
M,07/22/2005,74.9,75.95,74.75,75.75,1775500.0,31.74,0.0,1.0
M,07/25/2005,75.85,77.25,75.49,75.51,1696100.0,31.64,0.0,1.0
M,07/26/2005,75.65,76.16,75.1,75.95,1651800.0,31.82,0.0,1.0
M,07/27/2005,75.92,75.92,74.99,75.77,1807000.0,31.75,0.0,1.0
M,07/28/2005,75.74,76.75,75.53,76.24,1716500.0,31.95,0.0,1.0
M,07/29/2005,76.48,76.74,75.73,75.87,1662200.0,31.79,0.0,1.0
M,08/01/2005,75.58,78.05,75.58,77.3,3344800.0,32.39,0.0,1.0
M,08/02/2005,77.28,77.3,76.47,77.0,1441200.0,32.26,0.0,1.0
M,08/03/2005,77.03,77.11,76.23,76.4,1284100.0,32.01,0.0,1.0
M,08/04/2005,75.11,76.28,74.31,74.65,3219200.0,31.28,0.0,1.0
M,08/05/2005,74.64,74.85,72.78,73.38,2052400.0,30.75,0.0,1.0
M,08/08/2005,73.75,74.54,72.93,73.03,1643800.0,30.6,0.0,1.0
M,08/09/2005,73.03,73.71,72.41,72.76,2904200.0,30.49,0.0,1.0
M,08/10/2005,73.7,75.74,73.32,73.69,3388300.0,30.88,0.0,1.0
M,08/11/2005,73.9,74.89,73.25,73.56,1979900.0,30.82,0.0,1.0
M,08/12/2005,73.6,75.41,73.38,74.92,2280800.0,31.39,0.0,1.0
M,08/15/2005,74.85,75.75,74.02,74.85,1768400.0,31.36,0.0,1.0
M,08/16/2005,74.6,74.6,72.56,72.56,2871700.0,30.4,0.0,1.0
M,08/17/2005,72.74,73.85,72.39,73.31,1907500.0,30.72,0.0,1.0
M,08/18/2005,73.2,74.27,72.7,74.2,1763600.0,31.09,0.0,1.0
M,08/19/2005,74.21,74.22,72.19,72.35,2168500.0,30.32,0.0,1.0
M,08/22/2005,72.28,72.78,71.38,71.9,2069800.0,30.13,0.0,1.0
M,08/23/2005,71.89,72.06,70.93,71.79,1933000.0,30.08,0.0,1.0
M,08/24/2005,71.5,71.95,70.5,70.72,2420000.0,29.63,0.0,1.0
M,08/25/2005,70.7,72.28,70.62,70.99,1981700.0,29.75,0.0,1.0
M,08/26/2005,71.55,71.6,70.47,70.5,2522300.0,29.54,0.0,1.0
M,08/29/2005,70.1,71.4,69.56,70.66,2828900.0,29.61,0.0,1.0
M,08/30/2005,70.55,70.55,68.31,69.48,4597300.0,29.11,0.0,1.0
M,08/31/2005,69.49,70.07,68.15,68.98,3727800.0,28.9,0.0,1.0
M,09/01/2005,68.9,69.03,65.6,65.81,4779100.0,27.58,0.0,1.0
M,09/02/2005,65.75,66.84,65.75,66.22,3487000.0,27.75,0.0,1.0
M,09/06/2005,66.4,68.11,66.4,67.38,3921500.0,28.23,0.0,1.0
M,09/07/2005,67.4,68.39,66.86,68.31,3389700.0,28.62,0.0,1.0
M,09/08/2005,67.85,68.05,66.5,67.41,3800400.0,28.25,0.0,1.0
M,09/09/2005,67.48,68.73,67.48,68.5,3514400.0,28.7,0.0,1.0
M,09/12/2005,68.5,69.33,67.5,69.13,3338300.0,28.97,0.0,1.0
M,09/13/2005,68.97,69.15,67.72,67.77,3085100.0,28.4,0.0,1.0
M,09/14/2005,68.27,68.27,65.56,65.77,4008900.0,27.56,0.0,1.0
M,09/15/2005,66.1,66.38,64.93,65.41,3642800.0,27.41,0.0,1.0
M,09/16/2005,65.85,66.36,65.3,66.36,3954700.0,27.81,0.0,1.0
M,09/19/2005,67.01,68.49,65.5,65.7,3092200.0,27.53,0.0,1.0
M,09/20/2005,66.08,66.89,64.1,64.76,3776700.0,27.14,0.0,1.0
M,09/21/2005,64.5,64.6,62.67,63.6,4310600.0,26.65,0.0,1.0
