Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
NAVI,04/17/2014,15.0,17.38,15.0,16.99,951100.0,16.3,0.0,1.0
NAVI,04/21/2014,16.97,17.37,16.33,16.82,444300.0,16.14,0.0,1.0
NAVI,04/22/2014,16.63,17.0,16.63,16.8,576700.0,16.12,0.0,1.0
NAVI,04/23/2014,16.81,16.85,16.71,16.78,1608900.0,16.1,0.0,1.0
NAVI,04/24/2014,16.85,16.86,16.45,16.63,368900.0,15.96,0.0,1.0
NAVI,04/25/2014,16.9,16.92,16.32,16.89,1086500.0,16.21,0.0,1.0
NAVI,04/28/2014,16.93,16.93,16.38,16.67,1187900.0,16.0,0.0,1.0
NAVI,04/29/2014,16.62,16.88,16.45,16.68,648500.0,16.0,0.0,1.0
NAVI,04/30/2014,16.7,16.7,16.36,16.55,26746200.0,15.88,0.0,1.0
NAVI,05/01/2014,16.12,17.36,16.12,17.0,3650100.0,16.31,0.0,1.0
NAVI,05/02/2014,17.01,17.3,16.87,16.95,2995000.0,16.26,0.0,1.0
NAVI,05/05/2014,16.93,17.26,16.53,16.81,3978400.0,16.13,0.0,1.0
NAVI,05/06/2014,16.69,16.8,16.25,16.34,14309200.0,15.68,0.0,1.0
NAVI,05/07/2014,16.36,16.61,16.26,16.6,5692900.0,15.93,0.0,1.0
NAVI,05/08/2014,16.5,16.64,16.35,16.45,5668200.0,15.78,0.0,1.0
NAVI,05/09/2014,16.3,16.51,16.03,16.28,2797000.0,15.62,0.0,1.0
NAVI,05/12/2014,16.28,16.55,15.78,15.95,6980100.0,15.3,0.0,1.0
NAVI,05/13/2014,15.78,16.13,15.78,15.85,8292000.0,15.21,0.0,1.0
NAVI,05/14/2014,15.77,16.04,15.5,15.74,4577500.0,15.1,0.0,1.0
NAVI,05/15/2014,15.66,16.0,15.59,15.74,4919000.0,15.1,0.0,1.0
NAVI,05/16/2014,15.66,15.95,15.66,15.86,2786900.0,15.22,0.0,1.0
NAVI,05/19/2014,15.76,16.04,15.66,16.02,4532400.0,15.37,0.0,1.0
NAVI,05/20/2014,16.1,16.16,15.82,15.94,9754800.0,15.29,0.0,1.0
NAVI,05/21/2014,15.93,16.13,15.82,15.93,1743600.0,15.29,0.0,1.0
NAVI,05/22/2014,15.84,16.04,15.8,15.97,2128900.0,15.32,0.0,1.0
NAVI,05/23/2014,16.0,16.13,15.97,16.07,2826400.0,15.42,0.0,1.0
NAVI,05/27/2014,16.09,16.34,15.79,15.98,1726900.0,15.33,0.0,1.0
NAVI,05/28/2014,16.02,16.05,15.66,15.68,4219100.0,15.05,0.0,1.0
NAVI,05/29/2014,15.73,15.82,15.53,15.68,3463400.0,15.05,0.0,1.0
NAVI,05/30/2014,15.63,15.91,15.63,15.8,5261300.0,15.16,0.0,1.0
NAVI,06/02/2014,15.84,15.94,15.79,15.81,2986800.0,15.17,0.0,1.0
NAVI,06/03/2014,16.6,16.6,15.74,15.83,3483500.0,15.19,0.0,1.0
NAVI,06/04/2014,15.6,15.96,15.58,15.89,3231500.0,15.39,0.15,1.0
NAVI,06/05/2014,16.03,16.68,15.9,16.67,4582400.0,16.15,0.0,1.0
NAVI,06/06/2014,16.76,16.95,16.61,16.67,1622700.0,16.15,0.0,1.0
NAVI,06/09/2014,16.61,16.81,16.37,16.81,3169300.0,16.28,0.0,1.0
NAVI,06/10/2014,16.72,17.0,16.7,16.8,3441800.0,16.27,0.0,1.0
NAVI,06/11/2014,16.73,16.97,16.73,16.88,1857100.0,16.35,0.0,1.0
NAVI,06/12/2014,16.81,17.0,16.68,16.74,2336400.0,16.21,0.0,1.0
NAVI,06/13/2014,16.72,16.86,16.55,16.67,1485600.0,16.15,0.0,1.0
NAVI,06/16/2014,16.66,16.89,16.6,16.78,804900.0,16.25,0.0,1.0
NAVI,06/17/2014,16.69,16.96,16.64,16.84,1268800.0,16.31,0.0,1.0
NAVI,06/18/2014,16.76,17.12,16.69,17.06,2268100.0,16.52,0.0,1.0
NAVI,06/19/2014,17.01,17.32,16.73,17.19,3754000.0,16.65,0.0,1.0
