Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
NTAP,07/01/2005,28.0,28.35,27.87,28.18,2921700.0,27.12,0.0,1.0
NTAP,07/05/2005,27.94,28.6,27.93,28.54,2494900.0,27.46,0.0,1.0
NTAP,07/06/2005,28.37,28.61,27.5,27.55,5869200.0,26.51,0.0,1.0
NTAP,07/07/2005,27.24,27.67,27.05,27.48,3289700.0,26.44,0.0,1.0
NTAP,07/08/2005,27.46,27.88,27.19,27.81,3372300.0,26.76,0.0,1.0
NTAP,07/11/2005,27.79,28.06,27.51,27.95,2762700.0,26.9,0.0,1.0
NTAP,07/12/2005,28.0,28.65,27.74,28.62,4063600.0,27.54,0.0,1.0
NTAP,07/13/2005,28.45,28.89,28.37,28.59,4060700.0,27.51,0.0,1.0
NTAP,07/14/2005,28.76,28.97,28.55,28.87,2925000.0,27.78,0.0,1.0
NTAP,07/15/2005,28.92,29.2,28.86,29.0,6989500.0,27.91,0.0,1.0
NTAP,07/18/2005,28.82,29.0,28.66,28.69,6243500.0,27.61,0.0,1.0
NTAP,07/19/2005,28.79,28.86,28.2,28.53,4782400.0,27.45,0.0,1.0
NTAP,07/20/2005,28.39,28.46,28.15,28.35,4722000.0,27.28,0.0,1.0
NTAP,07/21/2005,27.87,28.0,26.81,26.99,7620500.0,25.97,0.0,1.0
NTAP,07/22/2005,27.11,27.51,27.06,27.37,3297300.0,26.34,0.0,1.0
NTAP,07/25/2005,27.36,27.5,26.83,27.06,4967800.0,26.04,0.0,1.0
NTAP,07/26/2005,27.19,27.23,26.57,26.7,5465600.0,25.69,0.0,1.0
NTAP,07/27/2005,26.61,26.7,26.3,26.6,5538400.0,25.6,0.0,1.0
NTAP,07/28/2005,25.75,26.54,25.67,26.16,9338700.0,25.17,0.0,1.0
NTAP,07/29/2005,26.15,26.2,25.5,25.51,6666200.0,24.55,0.0,1.0
NTAP,08/01/2005,25.85,26.53,25.59,26.01,8501700.0,25.03,0.0,1.0
