Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
NWSA,06/19/2013,15.28,16.25,15.2,15.8,31981500.0,15.8,0.0,1.0
NWSA,06/20/2013,16.37,16.37,15.25,15.3,9274200.0,15.3,0.0,1.0
NWSA,06/21/2013,15.7,15.8,15.4,15.62,8323500.0,15.62,0.0,1.0
NWSA,06/24/2013,15.64,15.84,15.2,15.53,4279700.0,15.53,0.0,1.0
NWSA,06/25/2013,15.55,15.74,15.35,15.72,3577300.0,15.72,0.0,1.0
NWSA,06/26/2013,15.69,15.69,15.18,15.4,14755100.0,15.4,0.0,1.0
NWSA,06/27/2013,15.34,15.87,14.85,15.5,12121700.0,15.5,0.0,1.0
NWSA,06/28/2013,15.5,15.77,15.25,15.25,16988100.0,15.25,0.0,1.0
NWSA,07/01/2013,15.59,15.59,14.75,14.79,25839400.0,14.79,0.0,1.0
NWSA,07/02/2013,14.69,15.12,14.69,15.0,30520100.0,15.0,0.0,1.0
NWSA,07/03/2013,14.95,15.09,14.73,14.87,8542600.0,14.87,0.0,1.0
NWSA,07/05/2013,14.95,15.95,14.89,15.66,12427000.0,15.66,0.0,1.0
NWSA,07/08/2013,15.63,16.04,15.49,15.96,15345100.0,15.96,0.0,1.0
NWSA,07/09/2013,15.79,15.97,15.5,15.71,9936400.0,15.71,0.0,1.0
NWSA,07/10/2013,15.5,15.57,15.14,15.39,16327000.0,15.39,0.0,1.0
NWSA,07/11/2013,15.6,15.6,14.96,15.13,17029600.0,15.13,0.0,1.0
NWSA,07/12/2013,15.07,15.12,14.9,14.93,10426300.0,14.93,0.0,1.0
NWSA,07/15/2013,14.93,15.03,14.39,14.67,20636400.0,14.67,0.0,1.0
NWSA,07/16/2013,14.57,15.34,14.57,15.28,9328500.0,15.28,0.0,1.0
NWSA,07/17/2013,15.36,15.96,15.29,15.89,13411100.0,15.89,0.0,1.0
NWSA,07/18/2013,15.94,16.1,15.33,15.47,10825700.0,15.47,0.0,1.0
NWSA,07/19/2013,15.35,16.08,15.26,15.97,11658700.0,15.97,0.0,1.0
NWSA,07/22/2013,16.09,16.12,15.61,15.73,6141600.0,15.73,0.0,1.0
NWSA,07/23/2013,15.69,15.87,15.54,15.65,9298400.0,15.65,0.0,1.0
NWSA,07/24/2013,15.65,15.88,15.42,15.71,6205200.0,15.71,0.0,1.0
NWSA,07/25/2013,15.66,15.87,15.45,15.57,7069700.0,15.57,0.0,1.0
NWSA,07/26/2013,15.54,15.97,15.31,15.89,5884800.0,15.89,0.0,1.0
NWSA,07/29/2013,15.87,15.87,15.4,15.51,9020200.0,15.51,0.0,1.0
NWSA,07/30/2013,15.6,15.96,15.46,15.95,12798200.0,15.95,0.0,1.0
NWSA,07/31/2013,16.0,16.21,15.83,15.93,7681500.0,15.93,0.0,1.0
NWSA,08/01/2013,15.94,16.28,15.94,16.21,10303300.0,16.21,0.0,1.0
NWSA,08/02/2013,16.15,16.47,16.12,16.34,8258600.0,16.34,0.0,1.0
NWSA,08/05/2013,16.33,16.33,15.89,16.0,8754100.0,16.0,0.0,1.0
NWSA,08/06/2013,15.99,16.25,15.82,16.18,6232000.0,16.18,0.0,1.0
NWSA,08/07/2013,16.15,16.15,15.85,15.95,4755000.0,15.95,0.0,1.0
NWSA,08/08/2013,16.07,16.31,15.91,16.13,7110400.0,16.13,0.0,1.0
NWSA,08/09/2013,16.09,16.16,15.96,15.98,4293800.0,15.98,0.0,1.0
NWSA,08/12/2013,15.88,16.06,15.74,15.92,4882400.0,15.92,0.0,1.0
NWSA,08/13/2013,15.91,15.95,15.8,15.83,3615400.0,15.83,0.0,1.0
NWSA,08/14/2013,15.83,16.01,15.66,15.9,3940500.0,15.9,0.0,1.0
NWSA,08/15/2013,15.79,16.19,15.7,16.1,5160000.0,16.1,0.0,1.0
NWSA,08/16/2013,16.04,16.25,15.96,15.98,6373200.0,15.98,0.0,1.0
NWSA,08/19/2013,16.05,16.06,15.69,15.7,6123600.0,15.7,0.0,1.0
NWSA,08/20/2013,15.83,15.83,15.52,15.7,4265600.0,15.7,0.0,1.0
NWSA,08/21/2013,15.61,15.78,15.49,15.76,5040000.0,15.76,0.0,1.0
