Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
OXY,07/01/2005,77.5,79.76,77.47,79.66,1833700.0,30.76,0.0,1.0
OXY,07/05/2005,80.9,82.02,80.27,81.98,1991300.0,31.66,0.0,1.0
OXY,07/06/2005,82.15,82.47,79.7,80.06,2236400.0,30.92,0.0,1.0
OXY,07/07/2005,79.99,81.79,78.49,81.79,2540400.0,31.59,0.0,1.0
OXY,07/08/2005,81.79,82.22,80.36,81.0,2293000.0,31.28,0.0,1.0
OXY,07/11/2005,79.0,81.44,79.0,81.23,1718400.0,31.37,0.0,1.0
OXY,07/12/2005,81.71,82.62,81.07,82.32,1527100.0,31.79,0.0,1.0
OXY,07/13/2005,82.14,82.75,81.2,81.61,1462900.0,31.52,0.0,1.0
OXY,07/14/2005,81.0,81.91,78.77,79.42,2784000.0,30.67,0.0,1.0
OXY,07/15/2005,79.94,80.29,78.64,78.8,2661000.0,30.43,0.0,1.0
OXY,07/18/2005,78.5,79.4,77.8,79.0,2884900.0,30.51,0.0,1.0
OXY,07/19/2005,79.0,80.42,78.71,80.42,2383400.0,31.06,0.0,1.0
OXY,07/20/2005,80.42,80.75,79.09,80.62,1727100.0,31.13,0.0,1.0
OXY,07/21/2005,80.62,81.0,79.02,80.37,1780800.0,31.04,0.0,1.0
OXY,07/22/2005,80.0,82.9,80.0,82.9,2951700.0,32.01,0.0,1.0
OXY,07/25/2005,82.9,83.86,82.41,82.68,2325300.0,31.93,0.0,1.0
OXY,07/26/2005,82.78,83.0,82.01,82.44,1834100.0,31.84,0.0,1.0
OXY,07/27/2005,82.94,83.32,82.28,83.31,2300300.0,32.17,0.0,1.0
OXY,07/28/2005,83.55,83.91,82.08,83.03,2282600.0,32.06,0.0,1.0
OXY,07/29/2005,83.62,83.63,82.17,82.28,1715200.0,31.77,0.0,1.0
OXY,08/01/2005,82.92,83.43,82.65,82.84,1455100.0,31.99,0.0,1.0
OXY,08/02/2005,82.85,83.71,82.66,83.43,2019900.0,32.22,0.0,1.0
OXY,08/03/2005,83.43,83.55,82.6,83.3,2178100.0,32.17,0.0,1.0
OXY,08/04/2005,82.8,83.75,82.52,82.84,1902900.0,31.99,0.0,1.0
OXY,08/05/2005,83.1,83.1,80.97,81.37,2041800.0,31.42,0.0,1.0
OXY,08/08/2005,82.75,83.05,82.1,82.31,2189200.0,31.79,0.0,1.0
OXY,08/09/2005,82.47,82.76,81.12,81.57,2072600.0,31.5,0.0,1.0
OXY,08/10/2005,81.84,82.55,81.61,82.13,2456200.0,31.72,0.0,1.0
OXY,08/11/2005,82.99,83.65,82.26,83.65,2633700.0,32.3,0.0,1.0
OXY,08/12/2005,84.26,84.26,82.77,83.68,2154300.0,32.31,0.0,1.0
OXY,08/15/2005,83.3,83.59,82.34,82.57,1276000.0,31.89,0.0,1.0
OXY,08/16/2005,82.4,82.56,80.71,80.71,1746300.0,31.17,0.0,1.0
OXY,08/17/2005,80.8,81.34,78.54,78.72,3385300.0,30.4,0.0,1.0
OXY,08/18/2005,78.4,79.15,77.56,78.87,2446800.0,30.46,0.0,1.0
OXY,08/19/2005,79.68,79.75,79.0,79.23,2136000.0,30.6,0.0,1.0
OXY,08/22/2005,80.29,80.39,78.8,79.56,1973600.0,30.72,0.0,1.0
OXY,08/23/2005,79.76,80.05,78.62,79.6,1579100.0,30.74,0.0,1.0
OXY,08/24/2005,79.8,80.33,79.12,79.54,2048000.0,30.72,0.0,1.0
OXY,08/25/2005,79.65,80.06,79.18,79.93,1361600.0,30.87,0.0,1.0
OXY,08/26/2005,79.6,80.05,78.17,78.17,2071700.0,30.19,0.0,1.0
OXY,08/29/2005,80.25,80.51,79.06,79.83,2804700.0,30.83,0.0,1.0
OXY,08/30/2005,80.65,81.46,80.39,80.83,2920500.0,31.21,0.0,1.0
OXY,08/31/2005,81.3,83.21,81.12,83.03,3335500.0,32.06,0.0,1.0
OXY,09/01/2005,83.73,84.93,83.02,84.8,3041800.0,32.75,0.0,1.0
OXY,09/02/2005,84.8,85.34,83.35,84.37,3016100.0,32.58,0.0,1.0
OXY,09/06/2005,84.37,85.0,83.2,84.11,2611900.0,32.48,0.0,1.0
OXY,09/07/2005,84.01,85.0,83.28,83.9,1987800.0,32.52,0.31,1.0
