Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
PCLN,07/01/2005,23.38,23.91,23.09,23.25,372400.0,23.25,0.0,1.0
PCLN,07/05/2005,23.11,23.57,23.05,23.26,262800.0,23.26,0.0,1.0
PCLN,07/06/2005,23.14,23.6,22.9,23.0,487000.0,23.0,0.0,1.0
PCLN,07/07/2005,22.98,23.04,22.25,22.88,525500.0,22.88,0.0,1.0
PCLN,07/08/2005,22.8,22.93,22.35,22.65,485100.0,22.65,0.0,1.0
PCLN,07/11/2005,22.63,22.8,21.98,22.2,1399000.0,22.2,0.0,1.0
PCLN,07/12/2005,22.22,22.22,21.89,22.01,1165000.0,22.01,0.0,1.0
PCLN,07/13/2005,22.09,23.64,22.0,23.08,2207300.0,23.08,0.0,1.0
PCLN,07/14/2005,23.43,23.91,22.93,23.49,875900.0,23.49,0.0,1.0
PCLN,07/15/2005,23.33,23.95,23.11,23.67,435700.0,23.67,0.0,1.0
PCLN,07/18/2005,23.69,23.8,23.37,23.53,396900.0,23.53,0.0,1.0
PCLN,07/19/2005,23.47,24.37,23.42,24.34,560000.0,24.34,0.0,1.0
PCLN,07/20/2005,24.2,24.44,23.97,24.16,358100.0,24.16,0.0,1.0
PCLN,07/21/2005,24.32,24.45,23.87,23.94,196400.0,23.94,0.0,1.0
PCLN,07/22/2005,23.78,24.31,23.56,24.25,224800.0,24.25,0.0,1.0
PCLN,07/25/2005,24.35,24.39,23.92,23.93,153700.0,23.93,0.0,1.0
PCLN,07/26/2005,23.91,24.16,23.74,24.09,205100.0,24.09,0.0,1.0
PCLN,07/27/2005,24.15,24.6,24.01,24.46,334200.0,24.46,0.0,1.0
PCLN,07/28/2005,24.39,24.87,24.39,24.79,275600.0,24.79,0.0,1.0
PCLN,07/29/2005,24.67,25.0,24.57,24.84,225400.0,24.84,0.0,1.0
PCLN,08/01/2005,24.94,25.2,24.61,24.86,297200.0,24.86,0.0,1.0
PCLN,08/02/2005,24.86,25.29,24.67,24.73,231600.0,24.73,0.0,1.0
PCLN,08/03/2005,24.98,25.02,24.24,24.73,279100.0,24.73,0.0,1.0
PCLN,08/04/2005,24.52,24.71,23.75,24.1,490500.0,24.1,0.0,1.0
PCLN,08/05/2005,23.97,24.31,23.31,24.26,443900.0,24.26,0.0,1.0
PCLN,08/08/2005,24.49,24.51,23.79,24.33,656000.0,24.33,0.0,1.0
PCLN,08/09/2005,24.37,24.5,22.55,22.64,1185400.0,22.64,0.0,1.0
PCLN,08/10/2005,22.7,23.27,22.5,22.94,936900.0,22.94,0.0,1.0
PCLN,08/11/2005,22.8,23.24,22.55,22.97,287000.0,22.97,0.0,1.0
PCLN,08/12/2005,22.67,23.0,22.44,22.6,383600.0,22.6,0.0,1.0
PCLN,08/15/2005,22.45,22.81,22.41,22.63,270400.0,22.63,0.0,1.0
PCLN,08/16/2005,22.42,22.64,22.06,22.21,343700.0,22.21,0.0,1.0
PCLN,08/17/2005,22.05,22.21,21.87,21.94,307600.0,21.94,0.0,1.0
PCLN,08/18/2005,21.99,21.99,21.25,21.52,621400.0,21.52,0.0,1.0
PCLN,08/19/2005,21.5,21.75,21.49,21.6,225000.0,21.6,0.0,1.0
PCLN,08/22/2005,21.56,21.61,21.3,21.4,304700.0,21.4,0.0,1.0
PCLN,08/23/2005,21.56,21.69,21.31,21.57,299500.0,21.57,0.0,1.0
PCLN,08/24/2005,21.52,21.71,20.83,21.21,555100.0,21.21,0.0,1.0
PCLN,08/25/2005,21.15,21.32,20.71,20.85,516600.0,20.85,0.0,1.0
PCLN,08/26/2005,20.85,21.24,20.82,21.03,231700.0,21.03,0.0,1.0
PCLN,08/29/2005,21.1,21.5,20.63,21.35,221700.0,21.35,0.0,1.0
PCLN,08/30/2005,21.3,22.27,21.18,21.31,301400.0,21.31,0.0,1.0
PCLN,08/31/2005,21.31,21.71,21.09,21.49,464400.0,21.49,0.0,1.0
PCLN,09/01/2005,21.51,21.67,20.97,21.06,472300.0,21.06,0.0,1.0
PCLN,09/02/2005,20.94,21.32,20.94,21.16,276100.0,21.16,0.0,1.0
PCLN,09/06/2005,21.06,21.35,20.85,21.11,443500.0,21.11,0.0,1.0
PCLN,09/07/2005,21.0,21.36,20.89,21.13,421500.0,21.13,0.0,1.0
PCLN,09/08/2005,21.02,21.36,20.89,21.08,353200.0,21.08,0.0,1.0
PCLN,09/09/2005,20.97,21.35,20.63,20.84,539400.0,20.84,0.0,1.0
PCLN,09/12/2005,20.78,21.24,20.74,20.94,349700.0,20.94,0.0,1.0
PCLN,09/13/2005,20.84,21.05,20.5,20.91,564900.0,20.91,0.0,1.0
PCLN,09/14/2005,21.07,21.15,20.33,20.45,409200.0,20.45,0.0,1.0
PCLN,09/15/2005,20.53,20.64,20.3,20.48,303500.0,20.48,0.0,1.0
PCLN,09/16/2005,20.6,20.85,20.17,20.4,407400.0,20.4,0.0,1.0
PCLN,09/19/2005,20.5,20.5,20.04,20.18,214100.0,20.18,0.0,1.0
PCLN,09/20/2005,20.11,20.24,20.04,20.08,276300.0,20.08,0.0,1.0
PCLN,09/21/2005,20.11,20.11,19.01,19.34,902300.0,19.34,0.0,1.0
PCLN,09/22/2005,19.3,19.3,18.8,18.98,793000.0,18.98,0.0,1.0
PCLN,09/23/2005,19.07,19.78,18.93,18.99,579600.0,18.99,0.0,1.0
PCLN,09/26/2005,19.01,19.36,18.92,18.99,754400.0,18.99,0.0,1.0
PCLN,09/27/2005,19.03,19.13,18.77,18.87,444200.0,18.87,0.0,1.0
PCLN,09/28/2005,18.9,19.0,18.58,18.68,438000.0,18.68,0.0,1.0
PCLN,09/29/2005,18.57,19.1,18.57,19.04,472200.0,19.04,0.0,1.0
PCLN,09/30/2005,19.15,19.39,18.96,19.32,382200.0,19.32,0.0,1.0
PCLN,10/03/2005,19.48,19.97,19.23,19.6,544800.0,19.6,0.0,1.0
PCLN,10/04/2005,19.72,19.96,19.52,19.52,403000.0,19.52,0.0,1.0
PCLN,10/05/2005,19.53,19.56,19.36,19.47,592800.0,19.47,0.0,1.0
PCLN,10/06/2005,19.48,19.5,19.2,19.31,356800.0,19.31,0.0,1.0
PCLN,10/07/2005,19.38,19.51,19.23,19.32,283300.0,19.32,0.0,1.0
PCLN,10/10/2005,19.31,19.45,18.7,19.15,271300.0,19.15,0.0,1.0
PCLN,10/11/2005,19.2,19.39,19.01,19.13,333800.0,19.13,0.0,1.0
PCLN,10/12/2005,19.1,19.14,18.76,18.77,412500.0,18.77,0.0,1.0
PCLN,10/13/2005,18.75,18.9,18.6,18.74,333300.0,18.74,0.0,1.0
PCLN,10/14/2005,18.75,18.9,18.57,18.82,217000.0,18.82,0.0,1.0
PCLN,10/17/2005,18.86,19.08,18.69,18.87,181400.0,18.87,0.0,1.0
PCLN,10/18/2005,18.85,18.95,18.55,18.58,174000.0,18.58,0.0,1.0
PCLN,10/19/2005,19.49,19.92,19.15,19.85,936000.0,19.85,0.0,1.0
PCLN,10/20/2005,20.0,20.3,19.57,19.77,564500.0,19.77,0.0,1.0
PCLN,10/21/2005,19.81,20.63,19.81,20.32,1133400.0,20.32,0.0,1.0
PCLN,10/24/2005,20.35,20.48,20.13,20.25,333200.0,20.25,0.0,1.0
PCLN,10/25/2005,20.2,20.21,19.68,19.76,494600.0,19.76,0.0,1.0
PCLN,10/26/2005,19.75,19.75,18.75,18.84,885900.0,18.84,0.0,1.0
PCLN,10/27/2005,18.75,18.75,18.29,18.56,919900.0,18.56,0.0,1.0
PCLN,10/28/2005,18.61,18.82,18.2,18.63,734000.0,18.63,0.0,1.0
PCLN,10/31/2005,18.94,19.54,18.84,18.97,709400.0,18.97,0.0,1.0
PCLN,11/01/2005,19.03,19.59,19.01,19.54,432200.0,19.54,0.0,1.0
PCLN,11/02/2005,19.41,19.78,19.02,19.5,1071700.0,19.5,0.0,1.0
PCLN,11/03/2005,23.41,25.03,22.8,24.6,7501800.0,24.6,0.0,1.0
PCLN,11/04/2005,24.43,24.5,23.76,24.48,1116600.0,24.48,0.0,1.0
PCLN,11/07/2005,24.11,24.9,23.78,24.51,781800.0,24.51,0.0,1.0
PCLN,11/08/2005,24.5,24.5,24.01,24.03,395000.0,24.03,0.0,1.0
PCLN,11/09/2005,24.01,24.01,23.42,23.55,394500.0,23.55,0.0,1.0
PCLN,11/10/2005,23.4,23.51,23.0,23.48,625300.0,23.48,0.0,1.0
PCLN,11/11/2005,23.4,23.92,23.36,23.62,324600.0,23.62,0.0,1.0
PCLN,11/14/2005,23.79,23.79,23.18,23.61,320400.0,23.61,0.0,1.0
PCLN,11/15/2005,23.61,23.74,22.93,22.99,372700.0,22.99,0.0,1.0
PCLN,11/16/2005,22.97,23.25,22.92,23.18,350800.0,23.18,0.0,1.0
PCLN,11/17/2005,23.38,23.45,23.12,23.45,514400.0,23.45,0.0,1.0
PCLN,11/18/2005,23.51,23.84,23.14,23.15,686000.0,23.15,0.0,1.0
PCLN,11/21/2005,23.1,24.0,23.1,23.9,659600.0,23.9,0.0,1.0
PCLN,11/22/2005,23.72,24.24,23.66,24.06,426400.0,24.06,0.0,1.0
PCLN,11/23/2005,23.98,24.28,23.97,24.01,287600.0,24.01,0.0,1.0
PCLN,11/25/2005,23.91,24.09,23.81,23.99,86800.0,23.99,0.0,1.0
PCLN,11/28/2005,24.13,24.13,23.74,23.76,355700.0,23.76,0.0,1.0
PCLN,11/29/2005,23.76,23.83,23.51,23.54,599900.0,23.54,0.0,1.0
PCLN,11/30/2005,23.51,24.1,23.27,24.02,597200.0,24.02,0.0,1.0
PCLN,12/01/2005,23.96,24.69,23.91,24.57,612300.0,24.57,0.0,1.0
PCLN,12/02/2005,24.5,24.67,24.3,24.42,388800.0,24.42,0.0,1.0
PCLN,12/05/2005,24.28,24.54,24.08,24.18,375800.0,24.18,0.0,1.0
PCLN,12/06/2005,24.1,24.84,24.1,24.6,480800.0,24.6,0.0,1.0
PCLN,12/07/2005,24.62,24.62,24.15,24.16,229300.0,24.16,0.0,1.0
PCLN,12/08/2005,24.25,24.3,23.58,24.01,316600.0,24.01,0.0,1.0
PCLN,12/09/2005,23.88,24.22,23.76,23.95,255300.0,23.95,0.0,1.0
PCLN,12/12/2005,24.01,24.63,23.8,24.37,388000.0,24.37,0.0,1.0
PCLN,12/13/2005,24.31,24.31,23.58,23.82,471400.0,23.82,0.0,1.0
PCLN,12/14/2005,23.8,23.93,23.25,23.7,266900.0,23.7,0.0,1.0
PCLN,12/15/2005,23.59,23.79,23.07,23.58,340400.0,23.58,0.0,1.0
PCLN,12/16/2005,23.59,23.8,23.28,23.54,341000.0,23.54,0.0,1.0
PCLN,12/19/2005,23.48,23.81,23.31,23.39,280900.0,23.39,0.0,1.0
PCLN,12/20/2005,23.28,23.28,22.61,23.09,387700.0,23.09,0.0,1.0
PCLN,12/21/2005,23.17,23.21,22.9,23.1,286200.0,23.1,0.0,1.0
PCLN,12/22/2005,23.04,23.39,23.04,23.14,208000.0,23.14,0.0,1.0
PCLN,12/23/2005,23.04,23.25,22.81,22.96,156800.0,22.96,0.0,1.0
PCLN,12/27/2005,22.9,23.21,22.5,22.72,219300.0,22.72,0.0,1.0
PCLN,12/28/2005,22.82,22.96,22.69,22.81,187300.0,22.81,0.0,1.0
PCLN,12/29/2005,22.73,22.93,22.51,22.75,204600.0,22.75,0.0,1.0
PCLN,12/30/2005,22.55,22.73,22.25,22.32,309500.0,22.32,0.0,1.0
PCLN,01/03/2006,22.32,22.78,22.12,22.68,467100.0,22.68,0.0,1.0
PCLN,01/04/2006,22.75,22.98,22.58,22.76,366500.0,22.76,0.0,1.0
PCLN,01/05/2006,22.94,23.01,22.7,23.01,280000.0,23.01,0.0,1.0
PCLN,01/06/2006,23.04,23.17,22.77,23.14,390500.0,23.14,0.0,1.0
PCLN,01/09/2006,23.2,23.24,22.92,23.13,236200.0,23.13,0.0,1.0
PCLN,01/10/2006,23.13,23.14,22.65,22.97,317600.0,22.97,0.0,1.0
PCLN,01/11/2006,22.9,22.92,22.41,22.58,387900.0,22.58,0.0,1.0
PCLN,01/12/2006,22.5,22.54,22.07,22.19,296700.0,22.19,0.0,1.0
PCLN,01/13/2006,22.41,22.47,22.2,22.31,205600.0,22.31,0.0,1.0
PCLN,01/17/2006,22.37,22.49,22.05,22.4,285800.0,22.4,0.0,1.0
PCLN,01/18/2006,22.18,22.4,21.82,21.92,365100.0,21.92,0.0,1.0
PCLN,01/19/2006,22.06,22.11,21.65,21.83,298000.0,21.83,0.0,1.0
PCLN,01/20/2006,21.86,21.86,21.13,21.3,507600.0,21.3,0.0,1.0
PCLN,01/23/2006,21.27,21.52,21.15,21.39,495800.0,21.39,0.0,1.0
PCLN,01/24/2006,21.33,21.95,21.26,21.84,650200.0,21.84,0.0,1.0
PCLN,01/25/2006,21.74,21.88,21.5,21.62,330500.0,21.62,0.0,1.0
PCLN,01/26/2006,21.7,22.03,21.53,21.96,194200.0,21.96,0.0,1.0
PCLN,01/27/2006,22.07,22.28,21.67,21.73,206100.0,21.73,0.0,1.0
PCLN,01/30/2006,21.58,21.97,21.58,21.75,213300.0,21.75,0.0,1.0
PCLN,01/31/2006,21.7,22.05,21.32,22.05,368500.0,22.05,0.0,1.0
PCLN,02/01/2006,21.85,22.01,21.59,21.9,343600.0,21.9,0.0,1.0
PCLN,02/02/2006,21.85,21.9,21.2,21.7,469700.0,21.7,0.0,1.0
PCLN,02/03/2006,21.5,21.78,21.18,21.71,224100.0,21.71,0.0,1.0
PCLN,02/06/2006,21.78,21.78,21.3,21.49,359300.0,21.49,0.0,1.0
PCLN,02/07/2006,21.52,21.6,21.06,21.06,466200.0,21.06,0.0,1.0
PCLN,02/08/2006,21.22,21.78,21.14,21.7,330800.0,21.7,0.0,1.0
PCLN,02/09/2006,21.79,22.15,21.34,21.48,467300.0,21.48,0.0,1.0
PCLN,02/10/2006,21.61,22.02,21.27,21.97,421800.0,21.97,0.0,1.0
PCLN,02/13/2006,22.0,22.15,21.6,21.79,425000.0,21.79,0.0,1.0
PCLN,02/14/2006,21.93,23.03,21.8,22.76,796300.0,22.76,0.0,1.0
PCLN,02/15/2006,22.78,23.1,22.5,23.03,538500.0,23.03,0.0,1.0
PCLN,02/16/2006,22.51,22.66,22.08,22.35,1345400.0,22.35,0.0,1.0
PCLN,02/17/2006,23.15,23.86,22.9,23.41,2035400.0,23.41,0.0,1.0
PCLN,02/21/2006,23.62,23.62,22.79,22.96,936100.0,22.96,0.0,1.0
PCLN,02/22/2006,22.94,23.29,22.55,23.02,755100.0,23.02,0.0,1.0
PCLN,02/23/2006,22.94,23.51,22.91,23.36,417600.0,23.36,0.0,1.0
PCLN,02/24/2006,23.26,23.99,23.01,23.9,874100.0,23.9,0.0,1.0
PCLN,02/27/2006,23.86,24.79,23.8,24.77,1080800.0,24.77,0.0,1.0
PCLN,02/28/2006,24.51,24.84,24.21,24.55,1118500.0,24.55,0.0,1.0
PCLN,03/01/2006,24.53,24.98,24.53,24.84,641000.0,24.84,0.0,1.0
PCLN,03/02/2006,24.65,24.97,24.54,24.87,295500.0,24.87,0.0,1.0
PCLN,03/03/2006,24.69,24.91,24.53,24.65,340600.0,24.65,0.0,1.0
PCLN,03/06/2006,24.51,24.6,23.85,23.96,379300.0,23.96,0.0,1.0
PCLN,03/07/2006,23.85,24.04,23.51,23.51,279600.0,23.51,0.0,1.0
PCLN,03/08/2006,23.41,23.74,23.35,23.38,222400.0,23.38,0.0,1.0
PCLN,03/09/2006,23.35,23.68,23.29,23.3,205200.0,23.3,0.0,1.0
PCLN,03/10/2006,23.39,24.18,23.3,23.96,426000.0,23.96,0.0,1.0
PCLN,03/13/2006,23.81,24.17,23.44,23.47,280800.0,23.47,0.0,1.0
PCLN,03/14/2006,23.4,23.97,23.37,23.92,155900.0,23.92,0.0,1.0
PCLN,03/15/2006,23.94,24.08,23.75,24.01,118300.0,24.01,0.0,1.0
PCLN,03/16/2006,24.08,24.19,23.6,23.75,188300.0,23.75,0.0,1.0
PCLN,03/17/2006,23.85,24.06,23.67,23.97,347800.0,23.97,0.0,1.0
PCLN,03/20/2006,23.87,24.09,23.85,24.01,260400.0,24.01,0.0,1.0
PCLN,03/21/2006,23.94,24.03,23.14,23.16,396000.0,23.16,0.0,1.0
