Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
PCP,07/01/2005,77.9,77.91,76.99,77.0,396500.0,38.1,0.0,1.0
PCP,07/05/2005,76.83,80.95,76.12,80.48,678900.0,39.83,0.0,1.0
PCP,07/06/2005,80.73,81.37,78.55,79.34,504500.0,39.26,0.0,1.0
PCP,07/07/2005,79.27,79.29,77.6,78.94,276600.0,39.06,0.0,1.0
PCP,07/08/2005,79.05,82.11,79.05,82.06,662900.0,40.61,0.0,1.0
PCP,07/11/2005,82.0,82.55,81.63,81.98,659100.0,40.57,0.0,1.0
PCP,07/12/2005,82.0,82.0,80.9,81.05,326100.0,40.11,0.0,1.0
PCP,07/13/2005,81.13,81.38,80.5,80.8,229100.0,39.98,0.0,1.0
PCP,07/14/2005,80.8,81.21,79.58,79.9,482000.0,39.54,0.0,1.0
PCP,07/15/2005,79.83,81.35,79.82,80.97,474400.0,40.07,0.0,1.0
PCP,07/18/2005,80.58,80.58,79.75,80.19,384000.0,39.68,0.0,1.0
PCP,07/19/2005,83.95,88.01,83.95,87.15,1578800.0,43.13,0.0,1.0
PCP,07/20/2005,86.5,90.98,86.5,90.75,917500.0,44.91,0.0,1.0
PCP,07/21/2005,90.67,90.67,88.56,88.66,645200.0,43.87,0.0,1.0
PCP,07/22/2005,88.91,89.87,88.86,89.63,322400.0,44.35,0.0,1.0
PCP,07/25/2005,89.88,90.01,88.74,89.06,371800.0,44.07,0.0,1.0
PCP,07/26/2005,90.06,90.06,87.47,87.69,428700.0,43.39,0.0,1.0
PCP,07/27/2005,88.5,89.54,88.21,89.43,432600.0,44.25,0.0,1.0
PCP,07/28/2005,89.61,90.24,88.77,90.2,275800.0,44.64,0.0,1.0
PCP,07/29/2005,89.95,90.48,89.65,89.98,342900.0,44.53,0.0,1.0
PCP,08/01/2005,88.03,90.7,88.03,89.94,305700.0,44.51,0.0,1.0
PCP,08/02/2005,89.93,91.28,89.93,91.01,330200.0,45.04,0.0,1.0
PCP,08/03/2005,91.1,91.21,90.75,91.2,285200.0,45.13,0.0,1.0
PCP,08/04/2005,91.1,91.27,90.47,90.95,313900.0,45.01,0.0,1.0
PCP,08/05/2005,90.9,90.9,90.24,90.65,331100.0,44.86,0.0,1.0
PCP,08/08/2005,90.9,91.94,90.84,91.2,226400.0,45.13,0.0,1.0
PCP,08/09/2005,91.4,92.0,90.79,91.25,331900.0,45.15,0.0,1.0
PCP,08/10/2005,91.42,91.75,90.68,91.3,385600.0,45.18,0.0,1.0
PCP,08/11/2005,91.26,92.57,91.05,92.57,211900.0,45.81,0.0,1.0
PCP,08/12/2005,91.8,92.79,90.76,91.86,229700.0,45.46,0.0,1.0
PCP,08/15/2005,91.2,92.26,91.09,91.85,269700.0,45.45,0.0,1.0
PCP,08/16/2005,91.25,91.53,90.2,90.51,291400.0,44.79,0.0,1.0
PCP,08/17/2005,90.5,91.95,90.46,91.5,267000.0,45.28,0.0,1.0
PCP,08/18/2005,90.75,91.6,90.38,91.45,298800.0,45.25,0.0,1.0
PCP,08/19/2005,91.4,92.85,91.37,92.81,290300.0,45.93,0.0,1.0
PCP,08/22/2005,93.35,93.95,93.0,93.8,473800.0,46.42,0.0,1.0
PCP,08/23/2005,93.8,94.0,91.28,91.74,529000.0,45.4,0.0,1.0
PCP,08/24/2005,91.64,91.65,89.71,89.82,568700.0,44.45,0.0,1.0
PCP,08/25/2005,89.77,90.94,89.71,90.02,273500.0,44.55,0.0,1.0
PCP,08/26/2005,90.98,97.41,90.98,96.75,1423800.0,47.88,0.0,1.0
PCP,08/29/2005,96.51,98.16,94.78,97.88,762400.0,48.44,0.0,1.0
PCP,08/30/2005,97.88,97.98,96.83,96.99,460300.0,48.0,0.0,1.0
PCP,08/31/2005,97.23,97.73,96.19,96.68,656600.0,47.84,0.0,1.0
PCP,09/01/2005,97.35,98.28,96.81,97.04,570800.0,48.02,0.0,1.0
PCP,09/02/2005,96.0,96.54,95.62,95.99,568700.0,47.5,0.0,1.0
PCP,09/06/2005,95.99,96.72,95.97,96.5,426800.0,47.75,0.0,1.0
PCP,09/07/2005,97.25,97.78,96.99,97.32,301700.0,48.16,0.0,1.0
PCP,09/08/2005,97.32,97.32,96.28,96.57,272500.0,47.79,0.0,1.0
PCP,09/09/2005,48.2,49.15,47.82,49.1,368400.0,48.59,0.0,2.0
PCP,09/12/2005,49.1,49.71,48.9,49.54,878300.0,49.03,0.0,1.0
PCP,09/13/2005,49.7,50.29,49.45,49.92,1131500.0,49.41,0.0,1.0
PCP,09/14/2005,50.02,50.83,49.59,50.13,1306100.0,49.64,0.03,1.0
PCP,09/15/2005,49.2,50.08,49.17,49.77,1279500.0,49.29,0.0,1.0
PCP,09/16/2005,50.4,51.43,50.33,50.78,1763900.0,50.29,0.0,1.0
PCP,09/19/2005,50.88,50.89,49.54,50.07,661000.0,49.58,0.0,1.0
PCP,09/20/2005,50.32,50.75,48.6,48.96,816400.0,48.48,0.0,1.0
PCP,09/21/2005,49.0,49.0,47.79,48.4,1759700.0,47.93,0.0,1.0
PCP,09/22/2005,48.46,49.43,48.45,49.32,686100.0,48.84,0.0,1.0
PCP,09/23/2005,49.3,50.22,48.99,50.0,850100.0,49.51,0.0,1.0
PCP,09/26/2005,50.9,53.91,50.87,52.22,1575700.0,51.71,0.0,1.0
PCP,09/27/2005,52.3,52.56,51.25,51.63,489400.0,51.13,0.0,1.0
PCP,09/28/2005,51.85,52.22,51.31,51.75,553000.0,51.25,0.0,1.0
PCP,09/29/2005,51.76,51.94,50.96,51.9,339300.0,51.4,0.0,1.0
PCP,09/30/2005,51.9,53.19,51.59,53.1,786500.0,52.58,0.0,1.0
PCP,10/03/2005,52.95,53.26,52.27,52.9,693000.0,52.39,0.0,1.0
PCP,10/04/2005,52.98,53.45,51.65,51.74,700900.0,51.24,0.0,1.0
PCP,10/05/2005,51.87,52.26,50.24,51.01,801200.0,50.51,0.0,1.0
PCP,10/06/2005,51.21,51.47,49.86,50.21,580300.0,49.72,0.0,1.0
PCP,10/07/2005,50.58,50.77,50.01,50.27,397500.0,49.78,0.0,1.0
PCP,10/10/2005,50.5,50.7,49.52,49.55,872000.0,49.07,0.0,1.0
PCP,10/11/2005,49.55,51.07,48.77,50.73,998100.0,50.24,0.0,1.0
PCP,10/12/2005,50.73,51.17,48.93,49.41,663800.0,48.93,0.0,1.0
PCP,10/13/2005,49.4,49.5,47.57,48.45,825000.0,47.98,0.0,1.0
PCP,10/14/2005,49.15,50.95,49.12,50.82,1153200.0,50.33,0.0,1.0
PCP,10/17/2005,51.1,52.34,50.59,52.16,1183200.0,51.65,0.0,1.0
PCP,10/18/2005,52.41,52.41,47.01,49.85,3653100.0,49.37,0.0,1.0
PCP,10/19/2005,49.7,50.43,48.84,50.17,1114700.0,49.68,0.0,1.0
PCP,10/20/2005,50.18,50.18,47.4,48.04,1277500.0,47.57,0.0,1.0
PCP,10/21/2005,48.34,48.53,47.79,47.93,1116000.0,47.46,0.0,1.0
PCP,10/24/2005,47.2,48.9,46.41,48.4,1356900.0,47.93,0.0,1.0
PCP,10/25/2005,48.21,48.21,47.44,48.12,610300.0,47.65,0.0,1.0
PCP,10/26/2005,47.77,48.38,47.03,47.19,444900.0,46.73,0.0,1.0
PCP,10/27/2005,47.1,47.1,45.59,45.99,1599300.0,45.54,0.0,1.0
PCP,10/28/2005,46.6,47.38,46.02,47.26,1047300.0,46.8,0.0,1.0
PCP,10/31/2005,47.26,48.12,46.86,47.36,855900.0,46.9,0.0,1.0
PCP,11/01/2005,47.36,48.37,47.08,47.7,876600.0,47.24,0.0,1.0
PCP,11/02/2005,47.71,49.33,47.22,49.2,1034800.0,48.72,0.0,1.0
PCP,11/03/2005,49.41,50.05,49.29,49.71,871300.0,49.23,0.0,1.0
PCP,11/04/2005,49.9,50.34,48.64,49.08,603700.0,48.6,0.0,1.0
PCP,11/07/2005,49.6,49.64,48.42,49.57,430200.0,49.09,0.0,1.0
PCP,11/08/2005,49.32,49.32,48.44,48.55,400100.0,48.08,0.0,1.0
PCP,11/09/2005,48.45,48.92,46.96,47.6,993200.0,47.14,0.0,1.0
PCP,11/10/2005,47.6,48.33,46.58,48.21,1004900.0,47.74,0.0,1.0
PCP,11/11/2005,48.05,48.28,47.45,47.58,303000.0,47.12,0.0,1.0
PCP,11/14/2005,47.62,47.92,47.29,47.9,707200.0,47.43,0.0,1.0
PCP,11/15/2005,47.91,49.26,47.84,48.78,965400.0,48.31,0.0,1.0
PCP,11/16/2005,47.5,48.24,47.22,48.21,773600.0,47.74,0.0,1.0
