Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
PFG,07/01/2005,42.0,42.32,42.0,42.32,561600.0,33.8,0.0,1.0
PFG,07/05/2005,42.15,42.96,42.12,42.82,768400.0,34.19,0.0,1.0
PFG,07/06/2005,42.6,43.07,42.51,42.71,618300.0,34.11,0.0,1.0
PFG,07/07/2005,42.18,42.93,41.8,42.9,603800.0,34.26,0.0,1.0
PFG,07/08/2005,42.87,43.62,42.75,43.49,696300.0,34.73,0.0,1.0
PFG,07/11/2005,43.43,43.87,43.34,43.56,866300.0,34.79,0.0,1.0
PFG,07/12/2005,43.43,43.84,43.27,43.75,929800.0,34.94,0.0,1.0
PFG,07/13/2005,43.68,44.03,43.68,43.88,715500.0,35.04,0.0,1.0
PFG,07/14/2005,43.8,44.28,43.51,43.67,1208200.0,34.87,0.0,1.0
PFG,07/15/2005,43.67,43.9,43.49,43.84,623800.0,35.01,0.0,1.0
PFG,07/18/2005,43.75,44.06,43.48,43.85,467800.0,35.02,0.0,1.0
PFG,07/19/2005,43.89,44.48,43.89,44.01,981800.0,35.14,0.0,1.0
PFG,07/20/2005,44.02,44.37,43.88,44.12,695200.0,35.23,0.0,1.0
PFG,07/21/2005,44.32,44.81,43.86,44.13,747400.0,35.24,0.0,1.0
PFG,07/22/2005,44.14,44.15,43.41,43.99,1054500.0,35.13,0.0,1.0
PFG,07/25/2005,44.0,44.36,43.92,43.97,591700.0,35.11,0.0,1.0
PFG,07/26/2005,44.17,44.28,43.58,43.58,958100.0,34.8,0.0,1.0
PFG,07/27/2005,43.77,44.47,43.77,44.33,773200.0,35.4,0.0,1.0
PFG,07/28/2005,44.53,44.8,44.46,44.56,737600.0,35.58,0.0,1.0
PFG,07/29/2005,44.4,44.63,43.94,43.95,734100.0,35.1,0.0,1.0
PFG,08/01/2005,43.94,44.24,43.73,43.91,781700.0,35.06,0.0,1.0
PFG,08/02/2005,43.91,44.55,43.35,44.48,1591000.0,35.52,0.0,1.0
PFG,08/03/2005,44.99,45.59,44.54,45.34,1621000.0,36.21,0.0,1.0
PFG,08/04/2005,45.36,45.5,44.98,45.19,1112600.0,36.09,0.0,1.0
PFG,08/05/2005,45.01,45.28,44.57,44.61,1063700.0,35.62,0.0,1.0
PFG,08/08/2005,44.85,45.24,44.47,44.62,989800.0,35.63,0.0,1.0
PFG,08/09/2005,44.82,45.74,44.82,45.6,1126100.0,36.41,0.0,1.0
PFG,08/10/2005,45.7,46.41,45.56,45.72,909800.0,36.51,0.0,1.0
PFG,08/11/2005,45.69,46.24,45.52,46.2,813100.0,36.89,0.0,1.0
PFG,08/12/2005,46.2,46.49,45.78,45.89,771500.0,36.65,0.0,1.0
PFG,08/15/2005,45.9,46.35,45.87,46.08,747000.0,36.8,0.0,1.0
PFG,08/16/2005,46.11,46.25,45.86,45.86,582100.0,36.62,0.0,1.0
PFG,08/17/2005,45.76,46.14,45.61,45.94,709900.0,36.69,0.0,1.0
