Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
PHM,07/01/2005,84.55,84.74,83.05,84.5,1386600.0,39.89,0.0,1.0
PHM,07/05/2005,83.85,85.47,83.11,85.34,1065000.0,40.28,0.0,1.0
PHM,07/06/2005,85.44,86.64,84.18,84.41,1038000.0,39.84,0.0,1.0
PHM,07/07/2005,84.41,88.7,84.4,88.44,3110500.0,41.75,0.0,1.0
PHM,07/08/2005,88.5,89.83,88.25,89.54,1651600.0,42.26,0.0,1.0
PHM,07/11/2005,90.2,91.72,89.16,91.51,1830500.0,43.19,0.0,1.0
PHM,07/12/2005,91.3,91.96,90.56,91.95,1186700.0,43.4,0.0,1.0
PHM,07/13/2005,91.85,92.55,91.36,92.35,1085900.0,43.59,0.0,1.0
PHM,07/14/2005,93.15,94.5,90.48,90.75,1757700.0,42.84,0.0,1.0
PHM,07/15/2005,91.13,93.25,91.1,93.15,1669900.0,43.97,0.0,1.0
PHM,07/18/2005,93.14,93.6,92.03,93.14,1361300.0,43.96,0.0,1.0
PHM,07/19/2005,93.5,94.32,92.6,94.0,2276900.0,44.37,0.0,1.0
PHM,07/20/2005,94.0,95.77,93.71,95.1,1422000.0,44.89,0.0,1.0
PHM,07/21/2005,94.14,94.15,91.2,91.7,2270300.0,43.28,0.0,1.0
PHM,07/22/2005,92.25,93.57,91.67,93.49,1234500.0,44.13,0.0,1.0
PHM,07/25/2005,93.7,93.79,90.03,90.19,2106400.0,42.57,0.0,1.0
PHM,07/26/2005,90.43,91.75,89.23,91.71,1903400.0,43.29,0.0,1.0
PHM,07/27/2005,91.71,92.66,89.85,92.65,2124800.0,43.73,0.0,1.0
PHM,07/28/2005,94.4,96.45,93.15,95.85,3144300.0,45.24,0.0,1.0
PHM,07/29/2005,95.9,96.0,93.4,93.62,1827800.0,44.19,0.0,1.0
PHM,08/01/2005,91.67,94.45,91.67,94.23,1531800.0,44.48,0.0,1.0
PHM,08/02/2005,94.23,95.0,93.44,94.87,1419400.0,44.78,0.0,1.0
PHM,08/03/2005,94.87,95.0,93.56,94.04,1130400.0,44.39,0.0,1.0
PHM,08/04/2005,93.84,94.25,92.43,92.68,1594500.0,43.75,0.0,1.0
PHM,08/05/2005,91.5,91.51,87.41,89.95,3734700.0,42.46,0.0,1.0
PHM,08/08/2005,89.95,90.51,86.32,86.75,3519000.0,40.95,0.0,1.0
PHM,08/09/2005,87.25,88.32,86.38,87.64,2377600.0,41.37,0.0,1.0
PHM,08/10/2005,88.25,89.48,87.1,87.59,1705300.0,41.34,0.0,1.0
PHM,08/11/2005,87.75,88.23,87.05,88.08,1252300.0,41.58,0.0,1.0
PHM,08/12/2005,87.4,88.2,86.81,88.05,1160700.0,41.56,0.0,1.0
PHM,08/15/2005,88.04,88.37,86.56,88.03,1436700.0,41.55,0.0,1.0
PHM,08/16/2005,88.09,88.96,85.8,86.48,1699100.0,40.82,0.0,1.0
PHM,08/17/2005,86.4,86.4,84.6,85.25,2641300.0,40.24,0.0,1.0
PHM,08/18/2005,85.15,85.28,83.96,84.63,1985400.0,39.95,0.0,1.0
PHM,08/19/2005,84.88,84.88,83.67,84.47,1337700.0,39.87,0.0,1.0
PHM,08/22/2005,84.6,85.21,83.85,84.16,1405300.0,39.72,0.0,1.0
PHM,08/23/2005,84.17,84.95,82.14,83.48,1763000.0,39.4,0.0,1.0
PHM,08/24/2005,83.48,87.07,82.59,84.84,2742800.0,40.05,0.0,1.0
PHM,08/25/2005,85.6,86.35,83.48,83.81,2083300.0,39.56,0.0,1.0
PHM,08/26/2005,84.0,84.74,82.42,83.02,1852200.0,39.19,0.0,1.0
PHM,08/29/2005,82.4,83.64,81.92,82.87,1682200.0,39.12,0.0,1.0
PHM,08/30/2005,82.55,84.65,82.53,83.18,1646800.0,39.26,0.0,1.0
PHM,08/31/2005,82.95,86.4,82.94,86.2,1749900.0,40.69,0.0,1.0
PHM,09/01/2005,86.14,87.4,84.31,86.03,1941000.0,40.61,0.0,1.0
PHM,09/02/2005,43.01,43.6,42.25,42.75,937400.0,40.36,0.0,2.0
PHM,09/06/2005,43.0,44.24,43.0,44.1,2732200.0,41.63,0.0,1.0
PHM,09/07/2005,44.2,44.43,43.74,44.39,1963200.0,41.91,0.0,1.0
PHM,09/08/2005,43.19,43.83,42.7,43.83,4318800.0,41.38,0.0,1.0
PHM,09/09/2005,44.4,45.74,44.4,45.71,3903200.0,43.15,0.0,1.0
PHM,09/12/2005,45.6,46.0,45.29,45.61,2183200.0,43.06,0.0,1.0
PHM,09/13/2005,45.8,45.97,45.16,45.57,1981900.0,43.02,0.0,1.0
PHM,09/14/2005,45.1,45.92,44.92,45.56,2517000.0,43.01,0.0,1.0
PHM,09/15/2005,45.56,46.25,45.56,46.0,2490900.0,43.43,0.0,1.0
PHM,09/16/2005,46.1,46.15,43.8,43.94,5789200.0,41.48,0.0,1.0
PHM,09/19/2005,44.27,44.38,43.18,43.9,3484100.0,41.44,0.0,1.0
PHM,09/20/2005,43.9,44.55,41.9,41.97,5538200.0,39.62,0.0,1.0
PHM,09/21/2005,41.98,42.61,41.88,42.01,3671900.0,39.66,0.0,1.0
PHM,09/22/2005,42.1,43.34,41.87,43.1,3778800.0,40.73,0.04,1.0
PHM,09/23/2005,43.09,43.74,42.42,43.36,2831600.0,40.97,0.0,1.0
PHM,09/26/2005,43.61,43.95,42.52,42.66,2055800.0,40.31,0.0,1.0
PHM,09/27/2005,42.85,43.95,41.51,42.66,3156200.0,40.31,0.0,1.0
PHM,09/28/2005,42.4,42.7,40.79,41.82,2790500.0,39.52,0.0,1.0
PHM,09/29/2005,41.71,42.59,41.26,42.55,2690500.0,40.21,0.0,1.0
PHM,09/30/2005,42.44,43.54,42.44,42.92,2559300.0,40.56,0.0,1.0
PHM,10/03/2005,42.92,43.55,42.12,43.18,2330400.0,40.8,0.0,1.0
PHM,10/04/2005,43.01,43.01,41.17,41.19,3203600.0,38.92,0.0,1.0
PHM,10/05/2005,41.21,41.21,38.17,39.0,6459400.0,36.85,0.0,1.0
PHM,10/06/2005,39.0,39.08,37.45,37.9,5480000.0,35.81,0.0,1.0
PHM,10/07/2005,38.09,38.56,37.47,37.77,4634300.0,35.69,0.0,1.0
PHM,10/10/2005,37.86,37.98,36.13,36.4,5609700.0,34.39,0.0,1.0
PHM,10/11/2005,37.3,37.7,36.42,36.85,4972300.0,34.82,0.0,1.0
PHM,10/12/2005,36.85,37.05,35.79,36.24,4025100.0,34.24,0.0,1.0
PHM,10/13/2005,36.25,36.59,35.47,36.41,3773300.0,34.4,0.0,1.0
PHM,10/14/2005,36.85,37.42,36.41,36.91,3211900.0,34.88,0.0,1.0
PHM,10/17/2005,36.75,37.54,36.35,37.01,2824800.0,34.97,0.0,1.0
PHM,10/18/2005,36.25,36.75,34.87,35.18,5116800.0,33.24,0.0,1.0
PHM,10/19/2005,34.9,37.37,34.25,37.32,7217300.0,35.26,0.0,1.0
PHM,10/20/2005,37.31,38.2,36.7,37.04,5722500.0,35.0,0.0,1.0
PHM,10/21/2005,37.29,37.88,36.53,36.55,4391700.0,34.54,0.0,1.0
PHM,10/24/2005,36.8,37.61,36.25,37.23,3460100.0,35.18,0.0,1.0
PHM,10/25/2005,37.48,37.79,36.9,37.43,2756600.0,35.37,0.0,1.0
PHM,10/26/2005,37.43,37.44,36.38,36.4,2305300.0,34.39,0.0,1.0
PHM,10/27/2005,36.9,37.01,35.03,35.93,3984100.0,33.95,0.0,1.0
PHM,10/28/2005,35.93,36.61,35.3,36.28,4329800.0,34.28,0.0,1.0
PHM,10/31/2005,36.75,38.3,36.6,37.79,3530100.0,35.71,0.0,1.0
PHM,11/01/2005,37.5,39.11,37.1,39.01,3827900.0,36.86,0.0,1.0
PHM,11/02/2005,39.01,41.4,39.01,40.94,4023400.0,38.68,0.0,1.0
PHM,11/03/2005,41.95,41.95,40.25,40.61,3815700.0,38.37,0.0,1.0
PHM,11/04/2005,40.56,40.79,39.46,40.29,2347200.0,38.07,0.0,1.0
PHM,11/07/2005,40.93,41.5,40.15,41.47,2551700.0,39.19,0.0,1.0
PHM,11/08/2005,38.75,38.95,36.69,37.77,7496100.0,35.69,0.0,1.0
PHM,11/09/2005,37.5,38.36,36.91,37.07,3986300.0,35.03,0.0,1.0
PHM,11/10/2005,37.23,38.66,37.07,38.5,2515100.0,36.38,0.0,1.0
PHM,11/11/2005,38.5,39.4,38.17,38.5,1680100.0,36.38,0.0,1.0
PHM,11/14/2005,38.4,38.9,38.15,38.69,1608900.0,36.56,0.0,1.0
PHM,11/15/2005,38.7,39.3,38.08,38.57,2119400.0,36.45,0.0,1.0
PHM,11/16/2005,38.81,39.3,37.71,39.15,2817100.0,36.99,0.0,1.0
PHM,11/17/2005,39.15,41.3,38.78,41.06,3726300.0,38.8,0.0,1.0
PHM,11/18/2005,41.6,41.6,40.22,40.75,2478200.0,38.51,0.0,1.0
PHM,11/21/2005,40.85,41.95,40.75,41.81,1697900.0,39.51,0.0,1.0
PHM,11/22/2005,41.78,42.96,41.04,42.82,2932500.0,40.46,0.0,1.0
PHM,11/23/2005,42.79,43.31,42.52,43.0,1915300.0,40.63,0.0,1.0
PHM,11/25/2005,42.94,43.23,42.63,43.2,546100.0,40.82,0.0,1.0
PHM,11/28/2005,43.21,43.21,41.47,41.55,2270900.0,39.26,0.0,1.0
PHM,11/29/2005,41.75,43.25,41.46,41.85,3895700.0,39.54,0.0,1.0
PHM,11/30/2005,41.95,42.4,41.61,41.63,1493600.0,39.34,0.0,1.0
PHM,12/01/2005,42.25,42.49,41.68,42.16,1778800.0,39.84,0.0,1.0
PHM,12/02/2005,42.17,42.65,41.96,42.51,1633700.0,40.17,0.0,1.0
PHM,12/05/2005,42.03,42.48,41.99,42.47,1378100.0,40.13,0.0,1.0
PHM,12/06/2005,42.48,43.06,42.31,42.34,1624300.0,40.01,0.0,1.0
