Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SBUX,07/01/2005,51.73,51.89,50.85,51.05,2432500.0,11.8,0.0,1.0
SBUX,07/05/2005,51.66,52.29,51.01,51.98,2811400.0,12.01,0.0,1.0
SBUX,07/06/2005,51.9,52.1,50.34,50.58,4472000.0,11.69,0.0,1.0
SBUX,07/07/2005,49.8,50.35,49.28,50.19,4259400.0,11.6,0.0,1.0
SBUX,07/08/2005,50.18,51.93,50.02,51.78,3750400.0,11.97,0.0,1.0
SBUX,07/11/2005,52.0,52.19,51.52,52.03,2068500.0,12.03,0.0,1.0
SBUX,07/12/2005,51.74,52.04,51.08,51.96,1986500.0,12.01,0.0,1.0
SBUX,07/13/2005,51.78,52.0,51.5,51.71,2364100.0,11.95,0.0,1.0
SBUX,07/14/2005,52.34,52.54,51.83,52.46,2504900.0,12.12,0.0,1.0
SBUX,07/15/2005,52.69,53.0,52.5,52.7,2490200.0,12.18,0.0,1.0
SBUX,07/18/2005,52.43,52.51,52.13,52.35,1859400.0,12.1,0.0,1.0
SBUX,07/19/2005,52.21,52.49,51.4,51.61,2931200.0,11.93,0.0,1.0
SBUX,07/20/2005,51.5,52.22,51.32,52.03,2668400.0,12.03,0.0,1.0
SBUX,07/21/2005,51.85,52.03,51.01,51.62,2075900.0,11.93,0.0,1.0
SBUX,07/22/2005,51.58,52.03,51.23,51.32,2381500.0,11.86,0.0,1.0
SBUX,07/25/2005,51.01,51.24,50.16,50.45,3223500.0,11.66,0.0,1.0
SBUX,07/26/2005,50.5,50.75,50.15,50.39,3247800.0,11.65,0.0,1.0
SBUX,07/27/2005,50.39,50.75,49.9,50.35,4423800.0,11.64,0.0,1.0
SBUX,07/28/2005,53.56,54.39,52.3,52.68,12956400.0,12.18,0.0,1.0
SBUX,07/29/2005,53.07,53.25,52.54,52.55,3247600.0,12.15,0.0,1.0
SBUX,08/01/2005,52.55,52.77,52.01,52.19,2795200.0,12.06,0.0,1.0
SBUX,08/02/2005,52.04,52.65,51.98,52.11,2457600.0,12.04,0.0,1.0
SBUX,08/03/2005,51.83,52.22,51.75,51.9,2630500.0,12.0,0.0,1.0
SBUX,08/04/2005,51.95,52.3,50.88,50.98,2038900.0,11.78,0.0,1.0
SBUX,08/05/2005,50.85,51.08,50.53,50.54,1449000.0,11.68,0.0,1.0
SBUX,08/08/2005,50.39,51.15,50.39,50.99,2346900.0,11.79,0.0,1.0
SBUX,08/09/2005,51.05,51.84,50.96,51.77,3029600.0,11.97,0.0,1.0
SBUX,08/10/2005,52.0,52.43,51.33,51.37,2333400.0,11.87,0.0,1.0
SBUX,08/11/2005,51.32,52.65,51.3,52.38,3079600.0,12.11,0.0,1.0
SBUX,08/12/2005,51.7,52.05,51.56,52.03,2836700.0,12.03,0.0,1.0
SBUX,08/15/2005,51.64,52.43,51.59,52.24,1582800.0,12.07,0.0,1.0
SBUX,08/16/2005,52.15,52.28,51.09,51.09,2514200.0,11.81,0.0,1.0
SBUX,08/17/2005,51.2,51.65,51.07,51.33,1496400.0,11.86,0.0,1.0
SBUX,08/18/2005,51.0,51.46,50.98,51.15,1219000.0,11.82,0.0,1.0
SBUX,08/19/2005,50.95,51.53,50.92,51.1,1475100.0,11.81,0.0,1.0
SBUX,08/22/2005,51.12,51.5,50.24,50.64,1846600.0,11.7,0.0,1.0
SBUX,08/23/2005,50.62,50.75,50.03,50.24,2106400.0,11.61,0.0,1.0
SBUX,08/24/2005,50.05,50.28,49.37,49.42,2841300.0,11.42,0.0,1.0
SBUX,08/25/2005,49.6,49.82,49.11,49.43,2498600.0,11.42,0.0,1.0
SBUX,08/26/2005,49.2,49.55,48.85,49.42,2178100.0,11.42,0.0,1.0
SBUX,08/29/2005,49.05,49.43,48.87,49.21,1702100.0,11.37,0.0,1.0
SBUX,08/30/2005,49.0,49.11,48.13,48.57,3641600.0,11.23,0.0,1.0
SBUX,08/31/2005,48.7,49.13,48.0,49.03,4033200.0,11.33,0.0,1.0
SBUX,09/01/2005,49.8,50.03,48.65,48.69,4906100.0,11.25,0.0,1.0
SBUX,09/02/2005,48.99,49.07,48.24,48.3,1881200.0,11.16,0.0,1.0
SBUX,09/06/2005,48.35,48.91,48.23,48.54,2352500.0,11.22,0.0,1.0
SBUX,09/07/2005,48.43,48.63,47.93,48.27,3003700.0,11.16,0.0,1.0
SBUX,09/08/2005,48.05,48.36,47.58,48.21,2065300.0,11.14,0.0,1.0
SBUX,09/09/2005,48.47,48.55,48.12,48.39,1884400.0,11.18,0.0,1.0
SBUX,09/12/2005,48.21,48.72,48.21,48.46,3758900.0,11.2,0.0,1.0
SBUX,09/13/2005,48.3,48.47,47.88,47.96,3275500.0,11.08,0.0,1.0
