Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SCG,07/01/2005,42.9,43.04,42.7,42.77,409300.0,27.13,0.0,1.0
SCG,07/05/2005,42.78,43.09,42.42,43.01,384000.0,27.28,0.0,1.0
SCG,07/06/2005,43.01,43.08,42.5,42.55,259000.0,26.99,0.0,1.0
SCG,07/07/2005,42.0,42.8,42.0,42.7,211100.0,27.08,0.0,1.0
SCG,07/08/2005,42.7,43.29,42.69,43.24,217400.0,27.43,0.0,1.0
SCG,07/11/2005,43.3,43.42,43.04,43.39,198100.0,27.52,0.0,1.0
SCG,07/12/2005,43.39,43.48,43.18,43.4,161700.0,27.53,0.0,1.0
SCG,07/13/2005,43.39,43.58,43.15,43.37,204600.0,27.51,0.0,1.0
SCG,07/14/2005,43.62,43.65,42.64,42.79,243500.0,27.14,0.0,1.0
SCG,07/15/2005,42.7,43.0,42.48,42.97,324400.0,27.25,0.0,1.0
SCG,07/18/2005,42.94,43.09,42.56,42.65,168500.0,27.05,0.0,1.0
SCG,07/19/2005,42.71,42.87,42.45,42.74,231800.0,27.11,0.0,1.0
SCG,07/20/2005,42.65,42.77,42.41,42.7,221300.0,27.08,0.0,1.0
SCG,07/21/2005,42.69,42.74,42.09,42.35,482600.0,26.86,0.0,1.0
SCG,07/22/2005,42.15,42.58,42.1,42.58,347100.0,27.01,0.0,1.0
SCG,07/25/2005,42.45,42.48,42.0,42.04,620500.0,26.66,0.0,1.0
SCG,07/26/2005,42.08,42.2,41.56,41.75,619000.0,26.48,0.0,1.0
SCG,07/27/2005,41.82,42.04,41.71,41.9,358100.0,26.58,0.0,1.0
SCG,07/28/2005,41.89,42.02,41.62,42.01,567900.0,26.65,0.0,1.0
SCG,07/29/2005,42.02,42.23,41.96,42.03,422200.0,26.66,0.0,1.0
SCG,08/01/2005,42.0,42.02,41.3,41.35,384800.0,26.23,0.0,1.0
SCG,08/02/2005,41.37,41.72,41.33,41.61,510400.0,26.39,0.0,1.0
SCG,08/03/2005,41.53,42.24,41.53,41.96,432500.0,26.61,0.0,1.0
SCG,08/04/2005,41.95,41.96,41.62,41.63,307800.0,26.4,0.0,1.0
SCG,08/05/2005,41.6,41.64,40.65,41.13,407600.0,26.09,0.0,1.0
SCG,08/08/2005,41.17,41.36,40.45,40.46,242500.0,25.66,0.0,1.0
SCG,08/09/2005,40.55,40.7,40.25,40.4,289900.0,25.62,0.0,1.0
SCG,08/10/2005,40.45,41.1,40.45,40.58,421200.0,25.74,0.0,1.0
SCG,08/11/2005,40.62,41.07,40.62,40.79,297100.0,25.87,0.0,1.0
SCG,08/12/2005,40.79,40.9,40.42,40.6,297000.0,25.75,0.0,1.0
SCG,08/15/2005,40.59,41.0,40.58,40.9,240300.0,25.94,0.0,1.0
SCG,08/16/2005,40.82,40.98,40.2,40.25,185000.0,25.53,0.0,1.0
SCG,08/17/2005,40.3,40.49,39.9,40.2,250300.0,25.5,0.0,1.0
SCG,08/18/2005,41.0,41.15,40.45,40.86,557600.0,25.92,0.0,1.0
SCG,08/19/2005,41.0,41.31,40.9,41.26,346700.0,26.17,0.0,1.0
SCG,08/22/2005,41.35,41.78,41.14,41.45,348500.0,26.29,0.0,1.0
SCG,08/23/2005,41.34,41.88,41.34,41.73,277100.0,26.47,0.0,1.0
SCG,08/24/2005,41.7,41.95,41.15,41.16,339000.0,26.11,0.0,1.0
SCG,08/25/2005,41.24,41.56,41.21,41.54,226800.0,26.35,0.0,1.0
SCG,08/26/2005,41.65,41.67,41.22,41.55,252700.0,26.35,0.0,1.0
SCG,08/29/2005,41.36,42.02,41.14,42.02,346100.0,26.65,0.0,1.0
SCG,08/30/2005,42.02,42.23,41.48,41.94,262500.0,26.6,0.0,1.0
SCG,08/31/2005,41.94,42.4,41.74,42.39,341300.0,26.89,0.0,1.0
SCG,09/01/2005,42.45,42.87,42.13,42.78,301100.0,27.13,0.0,1.0
SCG,09/02/2005,42.79,42.88,42.51,42.68,196500.0,27.07,0.0,1.0
SCG,09/06/2005,42.74,42.97,42.6,42.79,261900.0,27.14,0.0,1.0
SCG,09/07/2005,42.54,42.75,41.88,42.02,476500.0,26.9,0.39,1.0
SCG,09/08/2005,42.03,42.35,41.92,42.3,319200.0,27.08,0.0,1.0
SCG,09/09/2005,42.3,42.7,42.09,42.66,347000.0,27.31,0.0,1.0
SCG,09/12/2005,42.53,42.75,42.18,42.69,279500.0,27.33,0.0,1.0
SCG,09/13/2005,42.77,42.86,42.43,42.74,329000.0,27.36,0.0,1.0
SCG,09/14/2005,42.68,42.85,42.52,42.77,224000.0,27.38,0.0,1.0
SCG,09/15/2005,42.64,42.92,42.53,42.74,347900.0,27.36,0.0,1.0
SCG,09/16/2005,42.91,43.33,42.72,43.32,469900.0,27.73,0.0,1.0
SCG,09/19/2005,43.25,43.49,42.75,42.91,355100.0,27.47,0.0,1.0
SCG,09/20/2005,43.08,43.22,42.38,42.46,337100.0,27.18,0.0,1.0
SCG,09/21/2005,42.35,42.45,41.55,41.76,355200.0,26.73,0.0,1.0
SCG,09/22/2005,41.76,41.76,40.91,41.19,400000.0,26.37,0.0,1.0
SCG,09/23/2005,41.2,41.37,40.71,41.24,348700.0,26.4,0.0,1.0
SCG,09/26/2005,41.52,41.83,41.31,41.77,254100.0,26.74,0.0,1.0
SCG,09/27/2005,41.92,42.15,41.46,41.74,259600.0,26.72,0.0,1.0
SCG,09/28/2005,41.97,42.27,41.89,42.01,283600.0,26.89,0.0,1.0
SCG,09/29/2005,42.06,42.4,41.86,42.0,407700.0,26.89,0.0,1.0
SCG,09/30/2005,42.16,42.35,41.91,42.24,360700.0,27.04,0.0,1.0
SCG,10/03/2005,42.4,42.8,42.35,42.79,342300.0,27.39,0.0,1.0
SCG,10/04/2005,42.91,43.37,42.55,42.6,444100.0,27.27,0.0,1.0
SCG,10/05/2005,42.6,42.61,41.46,41.47,622600.0,26.55,0.0,1.0
SCG,10/06/2005,41.55,41.65,40.62,41.12,547500.0,26.32,0.0,1.0
SCG,10/07/2005,41.22,41.45,40.99,41.1,385100.0,26.31,0.0,1.0
SCG,10/10/2005,41.1,41.18,40.46,40.48,253600.0,25.91,0.0,1.0
SCG,10/11/2005,40.56,40.73,40.22,40.24,275800.0,25.76,0.0,1.0
SCG,10/12/2005,40.14,40.28,39.45,39.55,523800.0,25.32,0.0,1.0
SCG,10/13/2005,39.4,39.47,38.48,38.73,488600.0,24.79,0.0,1.0
SCG,10/14/2005,38.9,38.93,38.38,38.9,304900.0,24.9,0.0,1.0
SCG,10/17/2005,38.9,39.25,38.73,39.09,236500.0,25.02,0.0,1.0
SCG,10/18/2005,39.13,39.24,38.22,38.36,535600.0,24.56,0.0,1.0
SCG,10/19/2005,38.15,38.85,37.79,38.8,452400.0,24.84,0.0,1.0
SCG,10/20/2005,38.84,38.97,38.01,38.23,522000.0,24.47,0.0,1.0
SCG,10/21/2005,38.28,38.99,38.18,38.84,423800.0,24.86,0.0,1.0
