Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SHW,07/01/2005,47.2,47.32,46.91,47.13,1000600.0,39.52,0.0,1.0
SHW,07/05/2005,47.0,47.34,46.64,47.12,518200.0,39.51,0.0,1.0
SHW,07/06/2005,47.0,47.02,46.07,46.27,789300.0,38.8,0.0,1.0
SHW,07/07/2005,46.02,46.35,45.34,46.34,851400.0,38.86,0.0,1.0
SHW,07/08/2005,46.34,47.3,46.32,47.16,869900.0,39.55,0.0,1.0
SHW,07/11/2005,47.55,47.97,47.35,47.81,551800.0,40.09,0.0,1.0
SHW,07/12/2005,47.7,47.85,47.37,47.41,907900.0,39.76,0.0,1.0
SHW,07/13/2005,47.31,47.54,47.06,47.25,795800.0,39.62,0.0,1.0
SHW,07/14/2005,47.5,48.02,47.21,48.02,826800.0,40.27,0.0,1.0
SHW,07/15/2005,48.02,48.25,47.79,48.0,1104000.0,40.25,0.0,1.0
SHW,07/18/2005,48.0,48.32,47.77,48.0,809600.0,40.25,0.0,1.0
SHW,07/19/2005,48.2,48.26,47.8,47.84,1152900.0,40.12,0.0,1.0
SHW,07/20/2005,47.88,48.63,47.55,48.63,1526500.0,40.78,0.0,1.0
SHW,07/21/2005,48.75,48.79,47.88,48.31,1081400.0,40.51,0.0,1.0
SHW,07/22/2005,48.31,48.45,47.91,48.42,509200.0,40.6,0.0,1.0
SHW,07/25/2005,48.63,48.63,47.74,47.78,564400.0,40.07,0.0,1.0
SHW,07/26/2005,48.05,48.05,47.51,47.74,734600.0,40.03,0.0,1.0
SHW,07/27/2005,48.0,48.06,47.15,47.4,962400.0,39.75,0.0,1.0
SHW,07/28/2005,47.65,48.0,47.59,47.64,570500.0,39.95,0.0,1.0
SHW,07/29/2005,47.7,48.02,47.61,47.61,482600.0,39.92,0.0,1.0
SHW,08/01/2005,48.1,48.49,48.02,48.36,774300.0,40.55,0.0,1.0
SHW,08/02/2005,48.5,48.84,48.09,48.19,527300.0,40.41,0.0,1.0
SHW,08/03/2005,48.29,48.29,47.77,47.88,493000.0,40.15,0.0,1.0
SHW,08/04/2005,47.95,47.98,47.18,47.32,426800.0,39.68,0.0,1.0
SHW,08/05/2005,47.44,47.49,47.0,47.11,413400.0,39.5,0.0,1.0
SHW,08/08/2005,47.23,47.23,46.61,46.74,356100.0,39.19,0.0,1.0
SHW,08/09/2005,47.05,47.33,46.9,47.21,569300.0,39.59,0.0,1.0
SHW,08/10/2005,47.67,47.91,46.9,47.07,512500.0,39.47,0.0,1.0
SHW,08/11/2005,47.06,47.24,46.63,47.1,436800.0,39.5,0.0,1.0
SHW,08/12/2005,47.2,47.4,46.85,47.25,367700.0,39.62,0.0,1.0
SHW,08/15/2005,47.42,47.42,47.0,47.09,267300.0,39.49,0.0,1.0
SHW,08/16/2005,47.24,47.24,45.85,45.87,442300.0,38.46,0.0,1.0
SHW,08/17/2005,45.86,46.73,45.63,46.47,607400.0,39.14,0.2,1.0
SHW,08/18/2005,46.54,46.96,46.22,46.55,594800.0,39.21,0.0,1.0
SHW,08/19/2005,46.65,46.67,46.13,46.25,655700.0,38.95,0.0,1.0
