Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SO,07/01/2005,34.9,35.12,34.75,35.08,1821900.0,21.97,0.0,1.0
SO,07/05/2005,35.02,35.25,34.72,35.16,1320900.0,22.02,0.0,1.0
SO,07/06/2005,35.03,35.19,34.58,34.6,1999000.0,21.67,0.0,1.0
SO,07/07/2005,34.5,34.99,34.3,34.94,2166800.0,21.88,0.0,1.0
SO,07/08/2005,35.0,35.75,34.83,35.61,2470300.0,22.3,0.0,1.0
SO,07/11/2005,35.61,35.93,35.5,35.92,1760100.0,22.5,0.0,1.0
SO,07/12/2005,35.65,35.85,35.45,35.66,2548500.0,22.34,0.0,1.0
SO,07/13/2005,35.66,35.85,35.56,35.62,1910000.0,22.31,0.0,1.0
SO,07/14/2005,35.79,35.9,35.14,35.46,1981800.0,22.21,0.0,1.0
SO,07/15/2005,35.35,35.61,35.1,35.57,2471500.0,22.28,0.0,1.0
SO,07/18/2005,35.25,35.45,35.25,35.3,1473900.0,22.11,0.0,1.0
SO,07/19/2005,35.37,35.47,35.18,35.37,1643000.0,22.15,0.0,1.0
SO,07/20/2005,35.1,35.41,35.0,35.4,1755600.0,22.17,0.0,1.0
SO,07/21/2005,35.29,35.36,34.82,34.88,3250600.0,21.85,0.0,1.0
SO,07/22/2005,34.95,35.4,34.95,35.34,1698000.0,22.13,0.0,1.0
SO,07/25/2005,35.34,35.53,35.21,35.21,1199200.0,22.05,0.0,1.0
SO,07/26/2005,35.11,35.85,35.1,35.2,2189600.0,22.05,0.0,1.0
SO,07/27/2005,35.17,35.41,35.13,35.35,2491800.0,22.14,0.0,1.0
SO,07/28/2005,35.15,35.3,34.85,35.14,1947900.0,22.24,0.37,1.0
SO,07/29/2005,35.17,35.31,34.95,34.99,1496900.0,22.15,0.0,1.0
SO,08/01/2005,35.1,35.15,34.51,34.65,2050300.0,21.93,0.0,1.0
SO,08/02/2005,34.65,35.09,34.62,35.03,3002300.0,22.17,0.0,1.0
SO,08/03/2005,34.83,35.31,34.8,35.11,1762600.0,22.22,0.0,1.0
SO,08/04/2005,34.93,35.08,34.76,34.87,1314000.0,22.07,0.0,1.0
SO,08/05/2005,34.69,34.74,34.07,34.22,2551000.0,21.66,0.0,1.0
SO,08/08/2005,34.4,34.5,33.61,33.83,3142900.0,21.41,0.0,1.0
SO,08/09/2005,33.82,34.24,33.8,34.16,2238400.0,21.62,0.0,1.0
SO,08/10/2005,34.16,34.64,33.87,34.03,1785200.0,21.54,0.0,1.0
SO,08/11/2005,34.0,34.43,33.95,34.31,1422700.0,21.72,0.0,1.0
SO,08/12/2005,34.31,34.4,33.92,34.19,1189600.0,21.64,0.0,1.0
SO,08/15/2005,34.07,34.38,34.05,34.26,1000300.0,21.69,0.0,1.0
SO,08/16/2005,34.07,34.36,33.7,33.76,1389300.0,21.37,0.0,1.0
SO,08/17/2005,33.65,33.8,33.24,33.47,1928900.0,21.19,0.0,1.0
SO,08/18/2005,33.4,33.73,33.26,33.6,1134800.0,21.27,0.0,1.0
SO,08/19/2005,33.76,33.95,33.64,33.69,1497400.0,21.32,0.0,1.0
