Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SRE,07/01/2005,41.35,41.83,41.31,41.82,839000.0,29.67,0.0,1.0
SRE,07/05/2005,41.82,42.1,41.71,41.82,1274700.0,29.67,0.0,1.0
SRE,07/06/2005,41.82,42.0,41.29,41.64,1236500.0,29.54,0.0,1.0
SRE,07/07/2005,41.0,41.96,40.98,41.88,891600.0,29.72,0.0,1.0
SRE,07/08/2005,41.75,42.03,41.65,42.0,813200.0,29.8,0.0,1.0
SRE,07/11/2005,42.1,42.57,41.9,42.33,740500.0,30.03,0.0,1.0
SRE,07/12/2005,42.25,42.77,42.15,42.6,885600.0,30.23,0.0,1.0
SRE,07/13/2005,42.61,42.67,42.31,42.55,515100.0,30.19,0.0,1.0
SRE,07/14/2005,42.6,42.93,42.2,42.26,1242800.0,29.98,0.0,1.0
SRE,07/15/2005,42.27,42.62,42.23,42.34,849400.0,30.04,0.0,1.0
SRE,07/18/2005,42.34,42.5,42.23,42.24,524600.0,29.97,0.0,1.0
SRE,07/19/2005,42.29,42.48,42.24,42.34,643200.0,30.04,0.0,1.0
SRE,07/20/2005,42.1,42.7,42.1,42.62,654500.0,30.24,0.0,1.0
SRE,07/21/2005,42.52,42.52,41.75,41.99,991300.0,29.8,0.0,1.0
SRE,07/22/2005,41.99,42.31,41.9,42.27,659500.0,29.99,0.0,1.0
SRE,07/25/2005,42.18,42.72,42.02,42.05,659100.0,29.84,0.0,1.0
SRE,07/26/2005,41.93,42.27,41.93,42.15,668400.0,29.9,0.0,1.0
SRE,07/27/2005,42.15,42.38,41.75,42.03,813000.0,29.83,0.0,1.0
SRE,07/28/2005,42.06,42.5,41.98,42.35,538000.0,30.05,0.0,1.0
SRE,07/29/2005,42.25,42.68,42.25,42.5,652600.0,30.16,0.0,1.0
SRE,08/01/2005,42.6,42.65,41.75,42.02,1205300.0,29.82,0.0,1.0
SRE,08/02/2005,42.27,42.96,42.17,42.9,1074500.0,30.43,0.0,1.0
SRE,08/03/2005,42.67,43.73,42.6,43.18,1110400.0,30.64,0.0,1.0
SRE,08/04/2005,43.02,43.08,42.52,42.85,1285800.0,30.41,0.0,1.0
SRE,08/05/2005,42.75,42.76,41.82,42.0,1484300.0,29.8,0.0,1.0
SRE,08/08/2005,42.01,42.2,41.02,41.1,1159800.0,29.16,0.0,1.0
SRE,08/09/2005,41.7,42.08,41.51,41.99,1334500.0,29.8,0.0,1.0
SRE,08/10/2005,42.18,42.51,41.89,42.1,1130000.0,29.88,0.0,1.0
SRE,08/11/2005,42.1,42.59,42.05,42.5,814700.0,30.16,0.0,1.0
SRE,08/12/2005,42.35,42.48,41.95,42.14,608400.0,29.9,0.0,1.0
SRE,08/15/2005,42.05,42.59,42.05,42.49,799100.0,30.15,0.0,1.0
SRE,08/16/2005,42.49,42.55,41.98,41.99,876400.0,29.8,0.0,1.0
SRE,08/17/2005,42.0,42.65,42.0,42.52,2691500.0,30.17,0.0,1.0
SRE,08/18/2005,42.75,44.05,42.5,43.44,2552200.0,30.83,0.0,1.0
SRE,08/19/2005,43.44,43.67,43.03,43.5,1037000.0,30.87,0.0,1.0
SRE,08/22/2005,43.69,44.25,43.67,44.24,1003800.0,31.39,0.0,1.0
SRE,08/23/2005,44.1,44.5,44.06,44.29,1209100.0,31.43,0.0,1.0
SRE,08/24/2005,44.15,44.52,43.99,44.0,1083500.0,31.22,0.0,1.0
SRE,08/25/2005,44.19,44.35,43.9,44.22,1025600.0,31.38,0.0,1.0
SRE,08/26/2005,44.25,44.25,43.87,43.99,766700.0,31.21,0.0,1.0
SRE,08/29/2005,43.8,44.21,43.4,44.18,959500.0,31.35,0.0,1.0
SRE,08/30/2005,44.0,44.38,43.76,44.25,1272200.0,31.4,0.0,1.0
SRE,08/31/2005,44.25,44.89,43.96,44.82,1795000.0,31.8,0.0,1.0
SRE,09/01/2005,44.8,45.53,44.55,45.5,1101500.0,32.29,0.0,1.0
SRE,09/02/2005,45.49,45.67,45.09,45.14,1123400.0,32.03,0.0,1.0
SRE,09/06/2005,45.15,45.66,45.1,45.18,1042700.0,32.05,0.0,1.0
SRE,09/07/2005,45.29,45.79,45.02,45.78,1047800.0,32.48,0.0,1.0
SRE,09/08/2005,45.38,45.59,44.97,44.98,1329300.0,31.92,0.0,1.0
SRE,09/09/2005,45.15,46.07,45.0,45.7,923600.0,32.43,0.0,1.0
SRE,09/12/2005,45.77,45.89,45.27,45.3,911500.0,32.14,0.0,1.0
SRE,09/13/2005,45.05,45.29,44.82,44.83,916200.0,31.81,0.0,1.0
SRE,09/14/2005,45.02,45.94,44.84,45.9,1151800.0,32.57,0.0,1.0
SRE,09/15/2005,45.8,46.38,45.61,45.95,644100.0,32.6,0.0,1.0
SRE,09/16/2005,46.13,46.91,45.75,46.76,1658000.0,33.18,0.0,1.0
SRE,09/19/2005,46.77,47.24,46.52,46.73,763700.0,33.16,0.0,1.0
SRE,09/20/2005,46.75,46.82,45.92,45.92,962600.0,32.58,0.0,1.0
SRE,09/21/2005,46.14,46.2,45.13,45.49,1128900.0,32.28,0.0,1.0
SRE,09/22/2005,45.54,45.7,44.6,45.35,1022400.0,32.18,0.0,1.0
SRE,09/23/2005,45.4,45.57,45.15,45.5,521700.0,32.29,0.0,1.0
SRE,09/26/2005,45.5,45.9,45.38,45.66,835200.0,32.4,0.0,1.0
SRE,09/27/2005,45.37,45.49,45.01,45.41,881300.0,32.43,0.29,1.0
SRE,09/28/2005,45.57,46.69,45.57,45.99,1167500.0,32.84,0.0,1.0
SRE,09/29/2005,45.76,46.93,45.58,46.8,648500.0,33.42,0.0,1.0
SRE,09/30/2005,46.63,47.43,46.63,47.06,797800.0,33.6,0.0,1.0
SRE,10/03/2005,46.9,47.6,46.9,47.49,796200.0,33.92,0.0,1.0
SRE,10/04/2005,47.3,47.86,46.37,46.46,1150700.0,33.18,0.0,1.0
SRE,10/05/2005,46.45,46.63,44.8,44.87,1293600.0,32.04,0.0,1.0
SRE,10/06/2005,44.87,45.19,42.88,43.43,1721200.0,31.01,0.0,1.0
SRE,10/07/2005,43.64,44.05,43.49,43.97,913300.0,31.4,0.0,1.0
SRE,10/10/2005,43.97,43.97,43.1,43.45,1005300.0,31.02,0.0,1.0
SRE,10/11/2005,43.67,44.33,43.61,43.62,935400.0,31.15,0.0,1.0
SRE,10/12/2005,43.4,44.0,42.91,43.15,1146900.0,30.82,0.0,1.0
SRE,10/13/2005,43.02,43.43,42.42,42.8,1902100.0,30.56,0.0,1.0
SRE,10/14/2005,43.03,43.37,42.59,42.94,600400.0,30.66,0.0,1.0
SRE,10/17/2005,42.95,43.93,42.65,43.29,821200.0,30.92,0.0,1.0
SRE,10/18/2005,43.38,43.44,42.3,42.72,1033200.0,30.5,0.0,1.0
SRE,10/19/2005,42.72,42.72,41.1,42.69,1377900.0,30.48,0.0,1.0
SRE,10/20/2005,42.69,43.06,41.1,41.44,902800.0,29.59,0.0,1.0
SRE,10/21/2005,41.52,42.09,41.25,41.46,946700.0,29.6,0.0,1.0
SRE,10/24/2005,41.6,42.92,41.23,42.88,1010200.0,30.62,0.0,1.0
SRE,10/25/2005,42.67,43.38,42.52,43.03,850000.0,30.73,0.0,1.0
SRE,10/26/2005,42.82,43.36,42.16,42.5,1100800.0,30.35,0.0,1.0
SRE,10/27/2005,42.35,42.87,41.73,42.25,894900.0,30.17,0.0,1.0
SRE,10/28/2005,42.5,43.19,42.45,43.04,837600.0,30.74,0.0,1.0
SRE,10/31/2005,43.25,44.53,43.22,44.3,1275300.0,31.63,0.0,1.0
SRE,11/01/2005,44.1,44.16,43.0,43.15,1415700.0,30.82,0.0,1.0
SRE,11/02/2005,43.95,44.93,42.79,43.0,1811700.0,30.71,0.0,1.0
SRE,11/03/2005,42.95,43.17,42.16,43.03,1436600.0,30.73,0.0,1.0
SRE,11/04/2005,43.55,43.55,42.46,42.8,756200.0,30.56,0.0,1.0
SRE,11/07/2005,43.0,43.43,42.57,42.96,920400.0,30.68,0.0,1.0
SRE,11/08/2005,42.79,43.35,42.56,43.1,931500.0,30.78,0.0,1.0
SRE,11/09/2005,43.1,44.16,43.08,43.88,773400.0,31.34,0.0,1.0
SRE,11/10/2005,43.88,44.11,43.07,43.81,910500.0,31.29,0.0,1.0
SRE,11/11/2005,43.79,43.79,42.97,43.23,580900.0,30.87,0.0,1.0
SRE,11/14/2005,43.05,43.26,42.78,43.05,890100.0,30.74,0.0,1.0
SRE,11/15/2005,43.15,43.4,42.43,42.45,1066300.0,30.32,0.0,1.0
SRE,11/16/2005,42.07,42.57,41.86,42.43,1525700.0,30.3,0.0,1.0
SRE,11/17/2005,41.85,43.14,41.85,42.6,1869700.0,30.41,0.0,1.0
SRE,11/18/2005,42.65,42.98,41.94,42.34,1458600.0,30.24,0.0,1.0
SRE,11/21/2005,42.29,43.11,42.27,43.1,1207500.0,30.78,0.0,1.0
SRE,11/22/2005,42.95,43.77,42.54,43.72,1237000.0,31.22,0.0,1.0
SRE,11/23/2005,43.65,43.76,43.16,43.41,1666600.0,30.99,0.0,1.0
SRE,11/25/2005,43.61,43.65,43.29,43.5,607200.0,31.06,0.0,1.0
SRE,11/28/2005,43.39,43.71,43.17,43.52,1487800.0,31.07,0.0,1.0
SRE,11/29/2005,44.13,44.67,44.1,44.28,1782200.0,31.62,0.0,1.0
SRE,11/30/2005,44.28,44.92,43.94,43.95,1959600.0,31.39,0.0,1.0
SRE,12/01/2005,44.2,44.45,43.88,44.21,1354600.0,31.57,0.0,1.0
SRE,12/02/2005,44.22,44.56,44.04,44.54,1062200.0,31.81,0.0,1.0
SRE,12/05/2005,44.45,44.93,44.27,44.82,1167400.0,32.0,0.0,1.0
SRE,12/06/2005,44.9,45.11,44.6,44.64,933600.0,31.88,0.0,1.0
SRE,12/07/2005,44.64,44.73,43.94,44.25,1482200.0,31.6,0.0,1.0
SRE,12/08/2005,44.58,45.09,44.26,44.99,1469000.0,32.12,0.0,1.0
SRE,12/09/2005,45.19,45.75,45.06,45.51,898300.0,32.49,0.0,1.0
SRE,12/12/2005,45.75,46.04,44.95,45.02,724300.0,32.15,0.0,1.0
SRE,12/13/2005,45.04,45.76,45.03,45.6,755900.0,32.56,0.0,1.0
SRE,12/14/2005,45.75,46.67,45.75,46.5,1058300.0,33.2,0.0,1.0
SRE,12/15/2005,46.45,46.54,46.05,46.48,854100.0,33.19,0.0,1.0
SRE,12/16/2005,46.55,46.71,46.4,46.57,1292700.0,33.26,0.0,1.0
SRE,12/19/2005,46.32,46.53,45.49,45.83,908700.0,32.73,0.0,1.0
SRE,12/20/2005,45.53,45.89,45.35,45.83,885000.0,32.94,0.29,1.0
SRE,12/21/2005,45.83,45.99,45.37,45.58,1233200.0,32.76,0.0,1.0
SRE,12/22/2005,45.62,45.88,45.2,45.26,692500.0,32.52,0.0,1.0
SRE,12/23/2005,45.42,45.45,45.11,45.14,478700.0,32.44,0.0,1.0
SRE,12/27/2005,45.16,45.29,44.85,44.91,751600.0,32.27,0.0,1.0
SRE,12/28/2005,44.85,45.06,44.59,44.87,782700.0,32.25,0.0,1.0
SRE,12/29/2005,44.86,45.08,44.69,44.75,433800.0,32.16,0.0,1.0
SRE,12/30/2005,44.6,44.96,44.37,44.84,723800.0,32.22,0.0,1.0
