Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
SYMC,07/01/2005,21.8,21.89,21.07,21.22,18977700.0,20.04,0.0,1.0
SYMC,07/05/2005,21.19,21.96,21.1,21.88,12440100.0,20.66,0.0,1.0
SYMC,07/06/2005,21.82,21.83,21.44,21.49,13170000.0,20.29,0.0,1.0
SYMC,07/07/2005,21.25,21.4,20.96,21.34,15709200.0,20.15,0.0,1.0
SYMC,07/08/2005,21.55,22.05,21.51,21.97,15927100.0,20.74,0.0,1.0
SYMC,07/11/2005,22.09,22.62,21.98,22.61,16375100.0,21.35,0.0,1.0
SYMC,07/12/2005,22.73,23.53,22.58,23.45,22944200.0,22.14,0.0,1.0
SYMC,07/13/2005,23.7,24.2,23.6,24.1,27465900.0,22.76,0.0,1.0
SYMC,07/14/2005,24.19,24.23,23.52,23.8,20121600.0,22.47,0.0,1.0
SYMC,07/15/2005,23.96,24.05,23.7,23.85,12864100.0,22.52,0.0,1.0
SYMC,07/18/2005,23.85,23.85,23.39,23.56,9474600.0,22.25,0.0,1.0
SYMC,07/19/2005,23.76,24.18,23.45,23.94,12813000.0,22.6,0.0,1.0
SYMC,07/20/2005,23.87,24.38,22.74,24.34,10474700.0,22.98,0.0,1.0
SYMC,07/21/2005,24.15,24.19,23.5,23.9,11742700.0,22.57,0.0,1.0
SYMC,07/22/2005,23.86,23.93,23.45,23.61,7802600.0,22.29,0.0,1.0
SYMC,07/25/2005,23.62,24.01,23.41,23.57,9468900.0,22.25,0.0,1.0
SYMC,07/26/2005,23.71,23.82,23.1,23.1,10949100.0,21.81,0.0,1.0
SYMC,07/27/2005,23.29,23.61,23.1,23.3,9605500.0,22.0,0.0,1.0
SYMC,07/28/2005,23.45,23.96,23.18,23.79,14605600.0,22.46,0.0,1.0
SYMC,07/29/2005,22.54,22.56,21.21,21.95,50622100.0,20.73,0.0,1.0
SYMC,08/01/2005,22.0,22.18,21.42,21.45,19844900.0,20.25,0.0,1.0
SYMC,08/02/2005,21.46,21.77,21.44,21.69,18725100.0,20.48,0.0,1.0
SYMC,08/03/2005,21.68,22.18,21.62,22.08,18779900.0,20.85,0.0,1.0
SYMC,08/04/2005,21.91,22.17,21.71,21.81,14709900.0,20.59,0.0,1.0
SYMC,08/05/2005,21.92,22.13,21.85,22.05,11427000.0,20.82,0.0,1.0
SYMC,08/08/2005,22.06,22.21,21.76,21.98,12362500.0,20.75,0.0,1.0
SYMC,08/09/2005,22.14,22.36,22.0,22.27,13788900.0,21.03,0.0,1.0
SYMC,08/10/2005,22.35,22.47,21.85,21.98,19935000.0,20.75,0.0,1.0
SYMC,08/11/2005,21.9,22.3,21.8,21.95,12608200.0,20.73,0.0,1.0
SYMC,08/12/2005,21.81,21.84,21.44,21.76,15766200.0,20.55,0.0,1.0
SYMC,08/15/2005,21.65,21.86,21.26,21.61,10217600.0,20.4,0.0,1.0
SYMC,08/16/2005,21.63,21.71,21.27,21.39,10615400.0,20.2,0.0,1.0
SYMC,08/17/2005,21.42,21.91,21.37,21.6,12587900.0,20.39,0.0,1.0
SYMC,08/18/2005,21.5,21.63,21.22,21.27,16416700.0,20.08,0.0,1.0
SYMC,08/19/2005,21.08,21.33,21.07,21.2,13132200.0,20.02,0.0,1.0
SYMC,08/22/2005,21.2,21.4,20.85,20.98,10698400.0,19.81,0.0,1.0
SYMC,08/23/2005,20.99,21.01,20.13,20.53,21549900.0,19.38,0.0,1.0
SYMC,08/24/2005,20.4,20.49,20.07,20.15,19490700.0,19.03,0.0,1.0
SYMC,08/25/2005,20.2,20.25,19.89,20.01,16628600.0,18.89,0.0,1.0
SYMC,08/26/2005,19.97,20.5,19.63,20.33,17275500.0,19.2,0.0,1.0
SYMC,08/29/2005,20.15,20.47,20.09,20.27,14068400.0,19.14,0.0,1.0
SYMC,08/30/2005,20.21,20.48,20.1,20.47,12219200.0,19.33,0.0,1.0
SYMC,08/31/2005,20.57,21.01,20.54,20.97,16864900.0,19.8,0.0,1.0
SYMC,09/01/2005,20.86,21.01,20.74,20.85,11260400.0,19.69,0.0,1.0
SYMC,09/02/2005,20.94,21.25,20.87,21.16,10178800.0,19.98,0.0,1.0
SYMC,09/06/2005,21.11,21.74,21.0,21.72,14035000.0,20.51,0.0,1.0
SYMC,09/07/2005,21.65,21.9,21.51,21.9,12187000.0,20.68,0.0,1.0
SYMC,09/08/2005,22.0,22.39,21.95,22.25,13647700.0,21.01,0.0,1.0
SYMC,09/09/2005,22.25,22.61,22.06,22.55,11609800.0,21.29,0.0,1.0
SYMC,09/12/2005,22.1,22.52,22.02,22.18,11819300.0,20.94,0.0,1.0
SYMC,09/13/2005,22.03,22.33,21.99,22.22,9716200.0,20.98,0.0,1.0
