Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
TAP,07/01/2005,62.01,62.2,61.01,61.59,442900.0,24.64,0.0,1.0
TAP,07/05/2005,61.4,61.41,60.83,60.97,374700.0,24.39,0.0,1.0
TAP,07/06/2005,61.15,61.15,60.13,60.31,363600.0,24.13,0.0,1.0
TAP,07/07/2005,59.51,60.34,59.35,60.18,720600.0,24.07,0.0,1.0
TAP,07/08/2005,60.38,62.76,60.37,62.37,860400.0,24.95,0.0,1.0
TAP,07/11/2005,62.95,62.95,62.0,62.7,583000.0,25.08,0.0,1.0
TAP,07/12/2005,62.81,62.81,62.09,62.37,472200.0,24.95,0.0,1.0
TAP,07/13/2005,62.37,64.97,61.84,64.73,1879800.0,25.9,0.0,1.0
TAP,07/14/2005,64.74,64.74,63.1,63.35,1241800.0,25.34,0.0,1.0
TAP,07/15/2005,63.36,63.65,62.36,63.31,721600.0,25.33,0.0,1.0
TAP,07/18/2005,63.15,63.42,62.9,63.05,409700.0,25.22,0.0,1.0
TAP,07/19/2005,63.35,63.8,62.73,63.0,323900.0,25.2,0.0,1.0
TAP,07/20/2005,63.0,63.65,62.8,63.55,433800.0,25.42,0.0,1.0
TAP,07/21/2005,63.7,63.88,62.93,63.24,414500.0,25.3,0.0,1.0
TAP,07/22/2005,63.52,63.65,62.76,63.58,410500.0,25.43,0.0,1.0
TAP,07/25/2005,63.62,63.8,62.79,62.79,274400.0,25.12,0.0,1.0
TAP,07/26/2005,62.8,62.8,62.16,62.2,380200.0,24.88,0.0,1.0
TAP,07/27/2005,62.2,62.9,61.46,61.69,806000.0,24.68,0.0,1.0
TAP,07/28/2005,61.69,63.16,61.23,63.0,711100.0,25.2,0.0,1.0
TAP,07/29/2005,62.99,63.17,62.67,62.7,980500.0,25.08,0.0,1.0
TAP,08/01/2005,62.7,63.82,62.28,63.82,924600.0,25.53,0.0,1.0
TAP,08/02/2005,60.7,67.18,60.7,65.17,2733000.0,26.07,0.0,1.0
