Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
TE,07/01/2005,18.91,19.05,18.87,19.0,962900.0,11.54,0.0,1.0
TE,07/05/2005,19.0,19.26,18.9,19.21,1148500.0,11.66,0.0,1.0
TE,07/06/2005,19.19,19.21,19.02,19.04,808400.0,11.56,0.0,1.0
TE,07/07/2005,18.95,19.23,18.5,19.2,1051900.0,11.66,0.0,1.0
TE,07/08/2005,19.14,19.3,19.07,19.19,839900.0,11.65,0.0,1.0
TE,07/11/2005,19.18,19.19,19.03,19.1,1046300.0,11.6,0.0,1.0
TE,07/12/2005,19.02,19.17,18.89,19.15,902100.0,11.63,0.0,1.0
TE,07/13/2005,19.08,19.13,18.93,19.1,600200.0,11.6,0.0,1.0
TE,07/14/2005,19.15,19.25,18.73,19.05,1686000.0,11.57,0.0,1.0
TE,07/15/2005,19.05,19.05,18.79,18.9,924600.0,11.48,0.0,1.0
TE,07/18/2005,18.8,18.99,18.8,18.84,574800.0,11.44,0.0,1.0
TE,07/19/2005,18.91,19.04,18.81,18.96,841200.0,11.51,0.0,1.0
TE,07/20/2005,18.96,19.13,18.82,19.11,705600.0,11.6,0.0,1.0
TE,07/21/2005,19.1,19.11,18.74,18.75,1075600.0,11.38,0.0,1.0
TE,07/22/2005,18.75,18.99,18.72,18.96,680500.0,11.51,0.0,1.0
TE,07/25/2005,18.98,19.09,18.91,19.01,649200.0,11.54,0.0,1.0
TE,07/26/2005,19.0,19.09,18.91,18.92,937000.0,11.49,0.0,1.0
TE,07/27/2005,19.03,19.14,19.0,19.1,707600.0,11.6,0.0,1.0
TE,07/28/2005,19.11,19.11,18.74,18.92,1471800.0,11.49,0.0,1.0
TE,07/29/2005,18.86,19.13,18.86,18.96,1583500.0,11.51,0.0,1.0
TE,08/01/2005,18.97,19.09,18.8,18.82,1093500.0,11.43,0.0,1.0
TE,08/02/2005,18.87,19.0,18.83,18.99,1134500.0,11.53,0.0,1.0
TE,08/03/2005,18.76,18.96,18.72,18.79,920300.0,11.52,0.19,1.0
TE,08/04/2005,18.79,18.88,18.66,18.73,894000.0,11.49,0.0,1.0
TE,08/05/2005,18.76,18.81,18.42,18.61,1712200.0,11.41,0.0,1.0
TE,08/08/2005,18.6,18.63,17.89,17.97,1713800.0,11.02,0.0,1.0
TE,08/09/2005,18.03,18.25,17.71,17.91,1278900.0,10.98,0.0,1.0
TE,08/10/2005,18.03,18.22,17.75,17.84,677200.0,10.94,0.0,1.0
TE,08/11/2005,17.87,18.03,17.86,18.02,492600.0,11.05,0.0,1.0
TE,08/12/2005,18.0,18.0,17.72,17.9,474000.0,10.98,0.0,1.0
TE,08/15/2005,17.96,18.0,17.77,17.9,644200.0,10.98,0.0,1.0
TE,08/16/2005,17.95,18.01,17.65,17.66,577900.0,10.83,0.0,1.0
TE,08/17/2005,17.56,17.73,17.15,17.57,1578800.0,10.78,0.0,1.0
TE,08/18/2005,17.57,17.65,17.49,17.51,864900.0,10.74,0.0,1.0
