Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
TMO,07/01/2005,26.9,27.0,26.64,26.8,642800.0,26.18,0.0,1.0
TMO,07/05/2005,26.79,26.85,26.41,26.73,756500.0,26.11,0.0,1.0
TMO,07/06/2005,26.81,27.34,26.69,27.06,1027900.0,26.44,0.0,1.0
TMO,07/07/2005,26.61,26.81,26.32,26.7,627300.0,26.08,0.0,1.0
TMO,07/08/2005,26.7,27.09,26.59,27.02,755100.0,26.4,0.0,1.0
TMO,07/11/2005,27.14,27.36,27.01,27.3,769400.0,26.67,0.0,1.0
TMO,07/12/2005,28.0,28.5,27.68,27.98,1764800.0,27.33,0.0,1.0
TMO,07/13/2005,28.05,28.06,27.68,27.89,653000.0,27.25,0.0,1.0
TMO,07/14/2005,28.1,28.25,27.77,27.77,654400.0,27.13,0.0,1.0
TMO,07/15/2005,27.75,27.75,27.55,27.62,669800.0,26.98,0.0,1.0
TMO,07/18/2005,27.5,27.84,27.5,27.6,488700.0,26.96,0.0,1.0
TMO,07/19/2005,27.74,27.89,27.58,27.71,418800.0,27.07,0.0,1.0
TMO,07/20/2005,27.81,29.29,27.8,29.2,1700200.0,28.53,0.0,1.0
TMO,07/21/2005,29.2,29.51,28.91,29.16,1004800.0,28.49,0.0,1.0
TMO,07/22/2005,29.45,29.67,29.04,29.17,1322600.0,28.5,0.0,1.0
TMO,07/25/2005,29.22,29.38,29.08,29.11,754100.0,28.44,0.0,1.0
TMO,07/26/2005,29.12,29.77,29.07,29.7,1529600.0,29.01,0.0,1.0
TMO,07/27/2005,30.0,30.49,30.0,30.2,1528100.0,29.5,0.0,1.0
TMO,07/28/2005,30.12,30.27,29.69,30.21,1119400.0,29.51,0.0,1.0
TMO,07/29/2005,30.08,30.33,29.79,29.86,952100.0,29.17,0.0,1.0
TMO,08/01/2005,29.75,29.77,29.45,29.55,823700.0,28.87,0.0,1.0
TMO,08/02/2005,29.61,29.69,29.26,29.49,818200.0,28.81,0.0,1.0
TMO,08/03/2005,29.53,29.6,29.16,29.28,1057700.0,28.6,0.0,1.0
TMO,08/04/2005,29.18,29.45,29.17,29.2,572000.0,28.53,0.0,1.0
TMO,08/05/2005,29.22,29.37,28.97,29.11,335200.0,28.44,0.0,1.0
TMO,08/08/2005,29.15,29.19,28.54,28.6,437100.0,27.94,0.0,1.0
TMO,08/09/2005,28.7,29.05,28.68,28.9,635300.0,28.23,0.0,1.0
TMO,08/10/2005,29.05,29.48,28.75,28.94,608900.0,28.27,0.0,1.0
TMO,08/11/2005,28.97,29.2,28.94,29.12,328800.0,28.45,0.0,1.0
TMO,08/12/2005,29.08,29.19,28.45,28.77,574300.0,28.11,0.0,1.0
TMO,08/15/2005,28.85,29.08,28.75,28.96,357900.0,28.29,0.0,1.0
TMO,08/16/2005,28.97,29.01,28.52,28.71,697100.0,28.05,0.0,1.0
TMO,08/17/2005,28.68,28.87,28.61,28.75,612300.0,28.09,0.0,1.0
TMO,08/18/2005,28.72,28.77,28.38,28.42,476900.0,27.76,0.0,1.0
