Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
T,07/01/2005,23.88,24.13,23.83,23.93,10974500.0,13.91,0.0,1.0
T,07/05/2005,23.92,24.28,23.86,24.1,11079600.0,14.01,0.0,1.0
T,07/06/2005,23.84,23.88,23.56,23.61,10154300.0,13.92,0.32,1.0
T,07/07/2005,23.47,23.52,23.2,23.36,8297400.0,13.77,0.0,1.0
T,07/08/2005,23.36,23.68,23.31,23.57,9528500.0,13.89,0.0,1.0
T,07/11/2005,23.74,23.82,23.61,23.79,11227400.0,14.02,0.0,1.0
T,07/12/2005,23.71,23.91,23.65,23.88,15167900.0,14.08,0.0,1.0
T,07/13/2005,23.85,23.96,23.8,23.89,8148400.0,14.08,0.0,1.0
T,07/14/2005,23.99,24.12,23.92,24.1,10921400.0,14.21,0.0,1.0
T,07/15/2005,24.1,24.17,24.01,24.12,9382800.0,14.22,0.0,1.0
T,07/18/2005,24.04,24.05,23.75,23.84,7874000.0,14.05,0.0,1.0
T,07/19/2005,23.85,24.04,23.58,23.79,7811900.0,14.02,0.0,1.0
T,07/20/2005,23.78,23.85,23.58,23.8,11960900.0,14.03,0.0,1.0
T,07/21/2005,23.95,23.98,23.56,23.71,12169200.0,13.98,0.0,1.0
T,07/22/2005,23.77,23.95,23.6,23.72,10228200.0,13.98,0.0,1.0
T,07/25/2005,23.84,24.06,23.72,23.83,10248600.0,14.05,0.0,1.0
T,07/26/2005,23.9,24.16,23.85,24.04,12273500.0,14.17,0.0,1.0
T,07/27/2005,24.12,24.31,24.08,24.31,12264800.0,14.33,0.0,1.0
T,07/28/2005,24.42,24.78,24.41,24.73,18047000.0,14.58,0.0,1.0
T,07/29/2005,24.58,24.72,24.45,24.45,11899000.0,14.41,0.0,1.0
T,08/01/2005,24.59,24.63,24.33,24.47,9129000.0,14.42,0.0,1.0
T,08/02/2005,24.47,24.88,24.47,24.66,12705500.0,14.54,0.0,1.0
T,08/03/2005,24.66,24.97,24.6,24.97,9917300.0,14.72,0.0,1.0
T,08/04/2005,24.85,24.92,24.63,24.74,8967200.0,14.58,0.0,1.0
T,08/05/2005,24.74,24.75,24.43,24.61,8525100.0,14.51,0.0,1.0
T,08/08/2005,24.62,24.64,24.39,24.47,7823800.0,14.42,0.0,1.0
T,08/09/2005,24.59,24.68,24.44,24.54,8492600.0,14.46,0.0,1.0
T,08/10/2005,24.64,24.93,24.57,24.65,10421700.0,14.53,0.0,1.0
T,08/11/2005,24.66,24.78,24.51,24.74,7100100.0,14.58,0.0,1.0
T,08/12/2005,24.74,24.77,24.35,24.46,10561100.0,14.42,0.0,1.0
T,08/15/2005,24.4,24.52,24.23,24.46,8594700.0,14.42,0.0,1.0
T,08/16/2005,24.53,24.53,24.04,24.26,10278700.0,14.3,0.0,1.0
T,08/17/2005,24.49,24.49,24.09,24.21,6909700.0,14.27,0.0,1.0
T,08/18/2005,24.08,24.15,23.96,24.05,7425000.0,14.18,0.0,1.0
T,08/19/2005,24.1,24.15,24.0,24.14,7342500.0,14.23,0.0,1.0
T,08/22/2005,24.14,24.25,24.0,24.03,7768100.0,14.16,0.0,1.0
T,08/23/2005,24.11,24.3,24.0,24.2,7361400.0,14.26,0.0,1.0
T,08/24/2005,24.18,24.23,23.88,23.91,8935300.0,14.09,0.0,1.0
T,08/25/2005,23.91,24.07,23.77,23.88,8583400.0,14.08,0.0,1.0
T,08/26/2005,23.85,23.91,23.58,23.71,7593800.0,13.98,0.0,1.0
T,08/29/2005,23.6,23.89,23.56,23.83,5941400.0,14.05,0.0,1.0
T,08/30/2005,23.73,23.83,23.59,23.81,6921000.0,14.03,0.0,1.0
T,08/31/2005,23.77,24.08,23.62,24.08,10452900.0,14.19,0.0,1.0
T,09/01/2005,24.03,24.16,23.9,24.02,8933700.0,14.16,0.0,1.0
T,09/02/2005,24.11,24.11,23.87,23.87,6990900.0,14.07,0.0,1.0
T,09/06/2005,24.0,24.24,23.96,24.24,8700400.0,14.29,0.0,1.0
T,09/07/2005,24.17,24.2,24.0,24.08,8884100.0,14.19,0.0,1.0
T,09/08/2005,24.13,24.13,23.93,24.01,7885300.0,14.15,0.0,1.0
T,09/09/2005,23.99,24.12,23.94,24.05,9393000.0,14.18,0.0,1.0
T,09/12/2005,23.99,24.02,23.82,23.82,12209700.0,14.04,0.0,1.0
T,09/13/2005,23.88,23.89,23.67,23.79,11556500.0,14.02,0.0,1.0
T,09/14/2005,23.79,23.92,23.6,23.69,9645000.0,13.96,0.0,1.0
T,09/15/2005,23.8,24.04,23.68,23.91,10225400.0,14.09,0.0,1.0
T,09/16/2005,24.02,24.36,23.87,24.23,19192600.0,14.28,0.0,1.0
T,09/19/2005,24.02,24.18,24.0,24.06,12688900.0,14.18,0.0,1.0
T,09/20/2005,24.11,24.24,24.05,24.08,11790500.0,14.19,0.0,1.0
T,09/21/2005,24.02,24.16,23.94,23.94,11758800.0,14.11,0.0,1.0
T,09/22/2005,23.97,24.04,23.7,23.83,10009600.0,14.05,0.0,1.0
T,09/23/2005,23.8,24.0,23.75,23.77,8820100.0,14.01,0.0,1.0
T,09/26/2005,23.91,23.93,23.59,23.84,8434200.0,14.05,0.0,1.0
T,09/27/2005,23.85,23.85,23.6,23.64,8169500.0,13.93,0.0,1.0
T,09/28/2005,23.73,24.03,23.6,23.9,10360300.0,14.09,0.0,1.0
T,09/29/2005,23.87,23.9,23.5,23.72,16578300.0,13.98,0.0,1.0
T,09/30/2005,23.63,24.1,23.6,23.97,13980600.0,14.13,0.0,1.0
T,10/03/2005,23.92,24.14,23.8,23.96,12843400.0,14.12,0.0,1.0
T,10/04/2005,24.08,24.08,23.92,23.96,11955500.0,14.12,0.0,1.0
T,10/05/2005,23.61,23.69,23.25,23.32,17215100.0,13.94,0.32,1.0
T,10/06/2005,23.33,23.57,23.0,23.09,14611800.0,13.8,0.0,1.0
T,10/07/2005,23.15,23.21,22.75,22.75,14824600.0,13.59,0.0,1.0
T,10/10/2005,23.11,23.78,22.67,22.76,9411300.0,13.6,0.0,1.0
T,10/11/2005,22.74,22.77,22.46,22.56,12264400.0,13.48,0.0,1.0
T,10/12/2005,22.46,22.54,22.3,22.31,11519200.0,13.33,0.0,1.0
T,10/13/2005,22.29,22.37,21.75,22.25,13386900.0,13.3,0.0,1.0
T,10/14/2005,22.25,22.36,22.04,22.2,14806700.0,13.27,0.0,1.0
T,10/17/2005,22.13,22.25,22.0,22.2,12171400.0,13.27,0.0,1.0
T,10/18/2005,22.19,22.25,22.07,22.1,10878500.0,13.21,0.0,1.0
T,10/19/2005,22.1,22.59,22.1,22.41,16111100.0,13.39,0.0,1.0
T,10/20/2005,22.95,23.14,22.53,22.54,21436800.0,13.47,0.0,1.0
T,10/21/2005,23.0,23.25,22.9,23.0,22884100.0,13.74,0.0,1.0
T,10/24/2005,23.2,23.6,23.13,23.59,20736400.0,14.1,0.0,1.0
T,10/25/2005,23.52,23.78,23.48,23.69,13466500.0,14.16,0.0,1.0
T,10/26/2005,23.7,23.83,23.62,23.65,12297800.0,14.13,0.0,1.0
T,10/27/2005,23.65,23.75,23.59,23.7,11232900.0,14.16,0.0,1.0
T,10/28/2005,23.55,23.96,23.51,23.89,11557900.0,14.28,0.0,1.0
T,10/31/2005,23.85,24.0,23.72,23.85,17243100.0,14.25,0.0,1.0
T,11/01/2005,23.86,23.86,23.6,23.78,18368700.0,14.21,0.0,1.0
T,11/02/2005,23.88,23.97,23.79,23.91,11023500.0,14.29,0.0,1.0
T,11/03/2005,24.05,24.05,23.36,23.52,22700600.0,14.06,0.0,1.0
T,11/04/2005,23.6,23.74,23.35,23.66,10434000.0,14.14,0.0,1.0
T,11/07/2005,23.64,23.68,23.35,23.41,12785300.0,13.99,0.0,1.0
T,11/08/2005,23.4,23.69,23.35,23.6,10880300.0,14.1,0.0,1.0
T,11/09/2005,23.54,23.74,23.48,23.6,9526600.0,14.1,0.0,1.0
T,11/10/2005,23.6,23.97,23.58,23.89,10862800.0,14.28,0.0,1.0
T,11/11/2005,23.86,24.0,23.83,23.95,14804500.0,14.31,0.0,1.0
T,11/14/2005,24.0,24.1,23.9,23.95,11626100.0,14.31,0.0,1.0
T,11/15/2005,23.95,24.09,23.76,23.89,20624900.0,14.28,0.0,1.0
T,11/16/2005,23.89,24.05,23.75,23.82,15785700.0,14.23,0.0,1.0
T,11/17/2005,23.75,24.25,23.75,24.17,10744100.0,14.44,0.0,1.0
T,11/18/2005,24.28,24.58,24.25,24.38,19830400.0,14.57,0.0,1.0
T,11/21/2005,24.34,24.47,24.0,24.37,18553000.0,14.56,0.0,1.0
T,11/22/2005,24.39,24.86,24.39,24.77,20685700.0,14.8,0.0,1.0
T,11/23/2005,24.68,24.83,24.66,24.68,12159900.0,14.75,0.0,1.0
T,11/25/2005,24.68,24.99,24.66,24.77,5196200.0,14.8,0.0,1.0
T,11/28/2005,24.95,25.37,24.77,25.08,24088700.0,14.99,0.0,1.0
T,11/29/2005,25.25,25.5,25.02,25.05,16684100.0,14.97,0.0,1.0
T,11/30/2005,24.95,25.35,24.8,24.91,19505200.0,14.89,0.0,1.0
T,12/01/2005,25.15,25.52,25.0,25.3,13957900.0,15.12,0.0,1.0
T,12/02/2005,25.3,25.34,25.0,25.07,14099400.0,14.98,0.0,1.0
T,12/05/2005,25.07,25.46,25.06,25.29,18996700.0,15.11,0.0,1.0
T,12/06/2005,25.6,25.6,25.15,25.2,17927700.0,15.06,0.0,1.0
T,12/07/2005,25.11,25.25,24.88,25.09,10262900.0,14.99,0.0,1.0
T,12/08/2005,25.03,25.16,24.69,24.85,12886600.0,14.85,0.0,1.0
T,12/09/2005,25.0,25.04,24.77,24.9,7720000.0,14.88,0.0,1.0
T,12/12/2005,24.88,24.97,24.73,24.86,9141900.0,14.86,0.0,1.0
T,12/13/2005,24.7,25.15,24.64,25.02,13201300.0,14.95,0.0,1.0
T,12/14/2005,25.01,25.03,24.73,24.87,10324500.0,14.86,0.0,1.0
T,12/15/2005,24.87,24.9,24.67,24.85,14702600.0,14.85,0.0,1.0
T,12/16/2005,24.97,25.26,24.82,24.96,15666500.0,14.92,0.0,1.0
T,12/19/2005,24.76,24.96,24.7,24.83,10363700.0,14.84,0.0,1.0
T,12/20/2005,24.63,24.75,24.55,24.65,12507800.0,14.73,0.0,1.0
T,12/21/2005,24.55,24.74,24.34,24.45,14071300.0,14.61,0.0,1.0
T,12/22/2005,24.32,24.69,24.31,24.58,11956700.0,14.69,0.0,1.0
T,12/23/2005,24.56,24.77,24.45,24.63,7000100.0,14.72,0.0,1.0
T,12/27/2005,24.8,24.81,24.56,24.63,8322600.0,14.72,0.0,1.0
T,12/28/2005,24.74,24.75,24.6,24.62,10703400.0,14.71,0.0,1.0
T,12/29/2005,24.62,24.85,24.57,24.62,9045600.0,14.71,0.0,1.0
T,12/30/2005,24.46,24.55,24.28,24.49,10990400.0,14.63,0.0,1.0
T,01/03/2006,24.49,24.87,24.24,24.71,16350500.0,14.77,0.0,1.0
T,01/04/2006,24.66,25.06,24.64,24.89,14824800.0,14.87,0.0,1.0
T,01/05/2006,24.91,25.1,24.9,24.95,10802900.0,14.91,0.0,1.0
T,01/06/2006,24.8,25.03,24.6,24.93,11802600.0,15.1,0.33,1.0
T,01/09/2006,24.78,25.12,24.69,25.02,18037700.0,15.15,0.0,1.0
T,01/10/2006,24.95,24.98,24.73,24.87,10713400.0,15.06,0.0,1.0
T,01/11/2006,24.87,25.09,24.76,25.07,11400400.0,15.18,0.0,1.0
T,01/12/2006,25.12,25.2,24.87,24.96,13113000.0,15.11,0.0,1.0
T,01/13/2006,24.98,25.08,24.81,24.99,10137700.0,15.13,0.0,1.0
T,01/17/2006,24.8,24.89,24.62,24.84,9102600.0,15.04,0.0,1.0
T,01/18/2006,24.7,24.87,24.66,24.68,12442900.0,14.94,0.0,1.0
T,01/19/2006,24.82,24.98,24.82,24.9,10346800.0,15.08,0.0,1.0
T,01/20/2006,24.75,24.87,24.61,24.71,13527100.0,14.96,0.0,1.0
T,01/23/2006,24.68,24.75,24.39,24.45,10938100.0,14.81,0.0,1.0
T,01/24/2006,24.5,25.0,24.5,24.66,9999600.0,14.93,0.0,1.0
T,01/25/2006,24.53,25.23,24.52,25.21,15592300.0,15.27,0.0,1.0
T,01/26/2006,25.39,25.66,25.26,25.51,15638100.0,15.45,0.0,1.0
T,01/27/2006,25.62,26.0,25.52,25.89,16098700.0,15.68,0.0,1.0
T,01/30/2006,25.98,26.16,25.85,26.05,13101800.0,15.77,0.0,1.0
T,01/31/2006,26.06,26.21,25.87,25.95,16168800.0,15.71,0.0,1.0
T,02/01/2006,26.0,26.61,25.89,26.55,18626900.0,16.08,0.0,1.0
T,02/02/2006,26.56,26.76,26.3,26.52,14939000.0,16.06,0.0,1.0
T,02/03/2006,26.52,26.93,26.4,26.79,21797800.0,16.22,0.0,1.0
T,02/06/2006,26.8,27.12,26.74,27.05,17962900.0,16.38,0.0,1.0
T,02/07/2006,27.12,27.21,26.77,26.92,14165700.0,16.3,0.0,1.0
T,02/08/2006,26.93,27.14,26.67,27.13,13627600.0,16.43,0.0,1.0
T,02/09/2006,27.3,27.39,27.02,27.13,14174200.0,16.43,0.0,1.0
T,02/10/2006,27.03,27.62,27.01,27.48,16476400.0,16.64,0.0,1.0
T,02/13/2006,27.6,27.82,27.45,27.65,16690800.0,16.74,0.0,1.0
T,02/14/2006,27.66,28.82,27.66,28.29,23060000.0,17.13,0.0,1.0
T,02/15/2006,28.12,28.39,27.93,28.32,14123800.0,17.15,0.0,1.0
T,02/16/2006,28.3,28.65,28.22,28.45,14127900.0,17.23,0.0,1.0
T,02/17/2006,28.5,28.55,28.17,28.28,15812700.0,17.12,0.0,1.0
T,02/21/2006,28.25,28.47,28.13,28.15,13868500.0,17.05,0.0,1.0
T,02/22/2006,28.37,28.37,28.06,28.25,9494100.0,17.11,0.0,1.0
T,02/23/2006,28.14,28.22,27.75,27.94,11205500.0,16.92,0.0,1.0
T,02/24/2006,27.96,28.07,27.42,27.57,13175100.0,16.69,0.0,1.0
T,02/27/2006,27.52,27.98,27.48,27.77,11821000.0,16.82,0.0,1.0
T,02/28/2006,27.65,27.77,27.54,27.59,10429500.0,16.71,0.0,1.0
T,03/01/2006,27.6,28.18,27.6,28.09,13455300.0,17.01,0.0,1.0
T,03/02/2006,28.09,28.39,27.96,28.28,14677300.0,17.12,0.0,1.0
T,03/03/2006,28.19,28.2,27.85,27.99,10971000.0,16.95,0.0,1.0
T,03/06/2006,27.34,27.7,26.78,27.02,62623900.0,16.36,0.0,1.0
T,03/07/2006,27.02,27.02,26.11,26.53,40720900.0,16.07,0.0,1.0
T,03/08/2006,26.75,26.82,26.34,26.79,21259700.0,16.22,0.0,1.0
T,03/09/2006,26.79,27.14,26.78,26.95,20351500.0,16.32,0.0,1.0
T,03/10/2006,26.99,27.25,26.81,27.23,29054400.0,16.49,0.0,1.0
T,03/13/2006,27.24,27.39,27.07,27.12,21282800.0,16.42,0.0,1.0
T,03/14/2006,27.12,27.41,27.08,27.32,19076100.0,16.54,0.0,1.0
T,03/15/2006,27.3,27.35,27.0,27.31,9808900.0,16.54,0.0,1.0
T,03/16/2006,27.18,27.35,26.88,27.11,18302200.0,16.42,0.0,1.0
T,03/17/2006,27.2,27.25,26.87,27.0,21617800.0,16.35,0.0,1.0
T,03/20/2006,27.0,27.16,26.7,26.82,14822800.0,16.24,0.0,1.0
T,03/21/2006,26.82,26.86,26.59,26.72,16658800.0,16.18,0.0,1.0
T,03/22/2006,26.72,26.95,26.32,26.92,17601400.0,16.3,0.0,1.0
T,03/23/2006,26.92,27.01,26.9,27.0,23436300.0,16.35,0.0,1.0
T,03/24/2006,27.08,27.4,27.08,27.37,28412500.0,16.57,0.0,1.0
T,03/27/2006,27.37,27.42,27.28,27.31,18772800.0,16.54,0.0,1.0
T,03/28/2006,27.25,27.4,26.94,27.02,17855100.0,16.36,0.0,1.0
T,03/29/2006,27.04,27.41,27.04,27.26,12516300.0,16.51,0.0,1.0
T,03/30/2006,27.26,27.37,27.0,27.02,17119700.0,16.36,0.0,1.0
T,03/31/2006,27.1,27.29,27.02,27.04,14832800.0,16.37,0.0,1.0
T,04/03/2006,27.23,27.24,26.93,26.95,15279100.0,16.32,0.0,1.0
T,04/04/2006,27.01,27.25,26.96,27.12,10970600.0,16.42,0.0,1.0
T,04/05/2006,26.98,27.19,26.98,27.09,18130000.0,16.4,0.0,1.0
T,04/06/2006,26.75,26.96,26.33,26.45,17838200.0,16.22,0.33,1.0
T,04/07/2006,26.46,26.53,26.11,26.16,22009100.0,16.04,0.0,1.0
T,04/10/2006,26.01,26.19,25.93,26.03,10113800.0,15.96,0.0,1.0
T,04/11/2006,25.98,26.12,25.54,25.78,16858800.0,15.81,0.0,1.0
T,04/12/2006,25.84,26.0,25.48,25.62,14438600.0,15.71,0.0,1.0
T,04/13/2006,25.58,25.68,25.44,25.58,13632500.0,15.68,0.0,1.0
T,04/17/2006,25.6,25.72,25.34,25.43,7822400.0,15.59,0.0,1.0
T,04/18/2006,25.59,26.02,25.45,25.94,15625700.0,15.91,0.0,1.0
T,04/19/2006,26.0,26.08,25.5,25.75,13620600.0,15.79,0.0,1.0
T,04/20/2006,25.75,25.78,25.34,25.34,15946900.0,15.54,0.0,1.0
T,04/21/2006,25.54,25.65,25.3,25.35,15300200.0,15.54,0.0,1.0
T,04/24/2006,25.35,25.56,25.15,25.53,15170900.0,15.65,0.0,1.0
T,04/25/2006,25.75,26.04,25.45,25.6,24008800.0,15.7,0.0,1.0
T,04/26/2006,25.7,26.35,25.7,26.16,23518800.0,16.04,0.0,1.0
T,04/27/2006,26.16,26.46,26.0,26.38,13090900.0,16.18,0.0,1.0
T,04/28/2006,26.38,26.45,26.12,26.21,14346300.0,16.07,0.0,1.0
T,05/01/2006,26.39,26.46,26.1,26.16,10587900.0,16.04,0.0,1.0
T,05/02/2006,26.25,26.34,26.12,26.16,11649800.0,16.04,0.0,1.0
T,05/03/2006,26.16,26.23,25.87,25.99,9909000.0,15.94,0.0,1.0
T,05/04/2006,26.2,26.2,25.85,25.92,10126000.0,15.89,0.0,1.0
T,05/05/2006,26.05,26.15,25.87,25.97,10324600.0,15.92,0.0,1.0
T,05/08/2006,26.1,26.25,25.95,26.14,12332200.0,16.03,0.0,1.0
T,05/09/2006,26.14,26.34,26.05,26.31,10193700.0,16.13,0.0,1.0
