Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
UA,11/18/2005,31.0,31.0,24.39,25.3,17963300.0,6.33,0.0,1.0
UA,11/21/2005,26.03,26.95,25.5,26.15,4209600.0,6.54,0.0,1.0
UA,11/22/2005,25.5,25.85,22.75,23.5,3219400.0,5.88,0.0,1.0
UA,11/23/2005,23.94,24.1,23.51,23.8,1031700.0,5.95,0.0,1.0
UA,11/25/2005,23.82,24.0,23.5,23.68,291300.0,5.92,0.0,1.0
UA,11/28/2005,23.68,24.2,23.58,23.7,810600.0,5.92,0.0,1.0
UA,11/29/2005,23.56,23.65,21.08,21.35,2030200.0,5.34,0.0,1.0
UA,11/30/2005,21.33,22.71,21.27,22.51,804100.0,5.63,0.0,1.0
UA,12/01/2005,22.84,23.73,22.6,23.15,729600.0,5.79,0.0,1.0
UA,12/02/2005,23.71,25.0,23.25,24.66,1179300.0,6.17,0.0,1.0
UA,12/05/2005,25.12,25.9,24.55,25.66,706700.0,6.42,0.0,1.0
UA,12/06/2005,26.06,26.16,24.52,24.7,577200.0,6.17,0.0,1.0
UA,12/07/2005,24.91,25.65,24.91,25.65,440400.0,6.41,0.0,1.0
UA,12/08/2005,25.5,25.88,25.3,25.5,249100.0,6.38,0.0,1.0
UA,12/09/2005,25.6,25.84,24.8,25.0,199900.0,6.25,0.0,1.0
UA,12/12/2005,25.0,25.58,24.75,25.49,327800.0,6.37,0.0,1.0
UA,12/13/2005,25.76,25.9,25.25,25.59,266100.0,6.4,0.0,1.0
UA,12/14/2005,26.0,27.25,25.87,27.0,1031100.0,6.75,0.0,1.0
UA,12/15/2005,27.0,27.65,26.8,27.39,531300.0,6.85,0.0,1.0
UA,12/16/2005,27.38,27.64,26.51,27.64,1004600.0,6.91,0.0,1.0
UA,12/19/2005,27.59,27.6,25.15,26.49,892700.0,6.62,0.0,1.0
UA,12/20/2005,27.54,28.29,26.85,28.07,1447600.0,7.02,0.0,1.0
UA,12/21/2005,28.14,28.8,27.89,28.55,1235600.0,7.14,0.0,1.0
UA,12/22/2005,28.58,28.83,27.99,28.7,535700.0,7.17,0.0,1.0
UA,12/23/2005,28.7,31.72,28.55,31.22,1889200.0,7.8,0.0,1.0
UA,12/27/2005,31.9,34.92,31.52,33.26,4149200.0,8.31,0.0,1.0
UA,12/28/2005,34.01,36.74,33.7,36.35,3663800.0,9.09,0.0,1.0
UA,12/29/2005,38.95,40.0,38.28,39.86,4522200.0,9.96,0.0,1.0
UA,12/30/2005,39.63,39.74,37.21,38.31,3669400.0,9.58,0.0,1.0
UA,01/03/2006,37.19,37.39,33.18,33.36,4082600.0,8.34,0.0,1.0
UA,01/04/2006,32.74,33.19,31.28,31.6,3764200.0,7.9,0.0,1.0
UA,01/05/2006,32.52,35.7,32.17,35.63,3573300.0,8.91,0.0,1.0
UA,01/06/2006,34.98,36.37,33.65,35.47,2776100.0,8.87,0.0,1.0
UA,01/09/2006,35.93,35.97,34.77,35.83,1061800.0,8.96,0.0,1.0
UA,01/10/2006,36.18,38.49,35.54,37.5,2962300.0,9.38,0.0,1.0
UA,01/11/2006,38.28,38.55,36.5,37.69,1295200.0,9.42,0.0,1.0
UA,01/12/2006,37.14,39.4,37.14,38.51,1549100.0,9.63,0.0,1.0
UA,01/13/2006,38.81,40.34,38.51,39.02,1080900.0,9.76,0.0,1.0
UA,01/17/2006,39.16,39.41,37.05,38.17,931100.0,9.54,0.0,1.0
UA,01/18/2006,36.66,39.55,36.5,38.55,1007700.0,9.64,0.0,1.0
UA,01/19/2006,38.3,39.7,38.2,38.78,625700.0,9.7,0.0,1.0
UA,01/20/2006,38.95,39.25,37.5,38.28,669900.0,9.57,0.0,1.0
UA,01/23/2006,38.2,38.5,36.49,37.32,948200.0,9.33,0.0,1.0
UA,01/24/2006,37.33,37.85,36.55,36.7,742400.0,9.18,0.0,1.0
UA,01/25/2006,36.6,37.75,34.78,36.86,818200.0,9.21,0.0,1.0
UA,01/26/2006,36.86,38.65,36.86,37.55,644500.0,9.39,0.0,1.0
UA,01/27/2006,37.85,39.0,37.3,38.36,409700.0,9.59,0.0,1.0
UA,01/30/2006,38.47,41.9,37.91,40.3,2263500.0,10.07,0.0,1.0
UA,01/31/2006,40.95,41.09,39.6,39.99,677200.0,10.0,0.0,1.0
