Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
VAR,07/01/2005,37.0,37.25,36.57,37.0,806400.0,37.0,0.0,1.0
VAR,07/05/2005,37.0,37.78,37.0,37.48,623500.0,37.48,0.0,1.0
VAR,07/06/2005,37.55,37.65,36.54,36.73,610700.0,36.73,0.0,1.0
VAR,07/07/2005,36.6,37.2,35.9,37.15,1200000.0,37.15,0.0,1.0
VAR,07/08/2005,37.45,37.99,37.25,37.99,577700.0,37.99,0.0,1.0
VAR,07/11/2005,38.0,38.72,37.95,38.49,504200.0,38.49,0.0,1.0
VAR,07/12/2005,38.24,38.73,38.24,38.61,403800.0,38.61,0.0,1.0
VAR,07/13/2005,38.54,38.6,37.57,37.7,436300.0,37.7,0.0,1.0
VAR,07/14/2005,37.45,38.11,37.45,37.75,512900.0,37.75,0.0,1.0
VAR,07/15/2005,37.75,38.15,37.58,37.68,495600.0,37.68,0.0,1.0
VAR,07/18/2005,37.7,37.88,37.35,37.35,373400.0,37.35,0.0,1.0
VAR,07/19/2005,37.41,38.0,37.34,37.99,524700.0,37.99,0.0,1.0
VAR,07/20/2005,37.94,38.5,37.91,38.43,576900.0,38.43,0.0,1.0
VAR,07/21/2005,38.5,38.6,37.98,38.09,458700.0,38.09,0.0,1.0
VAR,07/22/2005,38.01,38.34,37.64,38.24,518400.0,38.24,0.0,1.0
VAR,07/25/2005,38.13,38.54,38.0,38.2,581500.0,38.2,0.0,1.0
VAR,07/26/2005,38.45,39.25,38.08,38.6,1032700.0,38.6,0.0,1.0
VAR,07/27/2005,38.85,40.09,38.6,39.81,1352600.0,39.81,0.0,1.0
VAR,07/28/2005,38.7,39.21,37.55,38.75,2341200.0,38.75,0.0,1.0
VAR,07/29/2005,39.0,39.38,38.7,39.26,1026300.0,39.26,0.0,1.0
VAR,08/01/2005,39.26,40.7,39.16,40.22,963800.0,40.22,0.0,1.0
VAR,08/02/2005,40.15,40.15,39.24,39.62,820500.0,39.62,0.0,1.0
VAR,08/03/2005,39.42,39.94,39.16,39.8,568600.0,39.8,0.0,1.0
VAR,08/04/2005,39.55,40.0,39.42,39.51,663700.0,39.51,0.0,1.0
VAR,08/05/2005,39.5,39.72,38.93,39.05,430900.0,39.05,0.0,1.0
VAR,08/08/2005,39.0,39.2,38.57,38.58,508600.0,38.58,0.0,1.0
VAR,08/09/2005,38.58,38.98,38.5,38.66,414300.0,38.66,0.0,1.0
VAR,08/10/2005,38.83,39.31,38.39,38.81,443400.0,38.81,0.0,1.0
VAR,08/11/2005,38.71,39.48,38.71,39.43,427500.0,39.43,0.0,1.0
VAR,08/12/2005,39.07,39.73,38.97,39.57,361700.0,39.57,0.0,1.0
VAR,08/15/2005,39.45,39.85,39.3,39.52,441000.0,39.52,0.0,1.0
VAR,08/16/2005,39.3,39.73,39.23,39.52,550900.0,39.52,0.0,1.0
VAR,08/17/2005,39.33,39.63,39.11,39.36,410600.0,39.36,0.0,1.0
VAR,08/18/2005,39.12,39.15,38.41,38.62,1758500.0,38.62,0.0,1.0
VAR,08/19/2005,38.92,38.98,38.76,38.8,477200.0,38.8,0.0,1.0
VAR,08/22/2005,38.75,38.78,38.08,38.46,470700.0,38.46,0.0,1.0
VAR,08/23/2005,38.46,38.46,37.88,38.22,741900.0,38.22,0.0,1.0
VAR,08/24/2005,37.97,38.45,37.95,38.09,689800.0,38.09,0.0,1.0
VAR,08/25/2005,38.1,38.8,38.1,38.6,532600.0,38.6,0.0,1.0
VAR,08/26/2005,38.45,38.72,38.43,38.5,374900.0,38.5,0.0,1.0
VAR,08/29/2005,38.3,39.08,38.04,39.05,752000.0,39.05,0.0,1.0
VAR,08/30/2005,38.85,39.38,38.76,39.21,862100.0,39.21,0.0,1.0
VAR,08/31/2005,39.07,39.87,39.0,39.82,855400.0,39.82,0.0,1.0
VAR,09/01/2005,39.75,40.5,39.49,40.23,861800.0,40.23,0.0,1.0
