Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
XYL,10/13/2011,23.5,24.27,23.0,24.25,396800.0,22.87,0.0,1.0
XYL,10/14/2011,24.36,25.49,24.36,25.35,402600.0,23.9,0.0,1.0
XYL,10/17/2011,25.5,25.8,25.16,25.16,583400.0,23.72,0.0,1.0
XYL,10/18/2011,25.06,25.36,24.9,25.24,423500.0,23.8,0.0,1.0
XYL,10/19/2011,25.25,25.35,24.75,24.75,722200.0,23.34,0.0,1.0
XYL,10/20/2011,24.8,25.03,24.33,24.75,549700.0,23.34,0.0,1.0
XYL,10/21/2011,25.0,25.75,24.95,25.54,1764500.0,24.08,0.0,1.0
XYL,10/24/2011,25.5,25.85,25.5,25.77,371300.0,24.3,0.0,1.0
XYL,10/25/2011,25.88,26.08,25.0,25.75,546800.0,24.28,0.0,1.0
XYL,10/26/2011,26.09,26.09,24.86,25.02,657300.0,23.59,0.0,1.0
XYL,10/27/2011,25.25,25.95,25.25,25.62,405400.0,24.16,0.0,1.0
XYL,10/28/2011,25.5,25.82,25.25,25.82,584700.0,24.35,0.0,1.0
XYL,10/31/2011,26.25,26.74,25.25,26.74,15106000.0,25.21,0.0,1.0
XYL,11/01/2011,25.6,28.28,25.15,27.31,6095200.0,25.75,0.0,1.0
XYL,11/02/2011,27.4,27.4,25.79,26.62,2476700.0,25.1,0.0,1.0
XYL,11/03/2011,26.94,27.07,26.38,26.39,1615000.0,24.88,0.0,1.0
XYL,11/04/2011,26.17,26.59,24.88,25.19,1923300.0,23.75,0.0,1.0
XYL,11/07/2011,24.91,25.48,24.37,24.6,2703500.0,23.2,0.0,1.0
XYL,11/08/2011,25.1,25.34,24.76,24.94,2024100.0,23.52,0.0,1.0
XYL,11/09/2011,24.35,25.0,23.84,23.89,1570900.0,22.53,0.0,1.0
XYL,11/10/2011,24.48,24.71,23.52,23.65,1166000.0,22.3,0.0,1.0
XYL,11/11/2011,23.88,24.09,23.63,23.79,1266200.0,22.43,0.0,1.0
XYL,11/14/2011,23.58,24.1,23.49,23.93,1339000.0,22.66,0.1,1.0
XYL,11/15/2011,23.94,24.36,23.82,23.99,1657700.0,22.72,0.0,1.0
XYL,11/16/2011,23.95,24.6,23.78,24.12,1804600.0,22.84,0.0,1.0
XYL,11/17/2011,24.0,24.19,23.66,23.85,1279200.0,22.58,0.0,1.0
XYL,11/18/2011,23.88,24.14,23.72,23.93,1426200.0,22.66,0.0,1.0
XYL,11/21/2011,23.7,23.81,23.34,23.62,1282100.0,22.37,0.0,1.0
XYL,11/22/2011,25.02,26.14,22.67,23.63,2126400.0,22.37,0.0,1.0
XYL,11/23/2011,23.27,23.75,22.88,23.68,1009700.0,22.42,0.0,1.0
XYL,11/25/2011,23.45,23.45,22.88,23.0,991100.0,21.78,0.0,1.0
XYL,11/28/2011,23.66,24.18,23.14,23.49,1567300.0,22.24,0.0,1.0
XYL,11/29/2011,23.51,23.6,23.17,23.27,1222400.0,22.03,0.0,1.0
XYL,11/30/2011,24.06,24.2,23.33,23.9,2320800.0,22.63,0.0,1.0
XYL,12/01/2011,23.81,24.36,23.65,24.27,1046700.0,22.98,0.0,1.0
XYL,12/02/2011,25.48,25.48,24.22,24.25,1208900.0,22.96,0.0,1.0
XYL,12/05/2011,24.57,25.15,24.41,25.09,930900.0,23.76,0.0,1.0
XYL,12/06/2011,25.02,25.07,24.51,24.83,662800.0,23.51,0.0,1.0
XYL,12/07/2011,24.72,24.83,23.86,24.57,951200.0,23.27,0.0,1.0
XYL,12/08/2011,24.45,24.55,23.8,23.88,938700.0,22.61,0.0,1.0
