Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,12.0,10.0,47.62999999999999,-635.03,1000.77,83.33333333333334,9.0,8.0,88.88888888888889,3.0,2.0,66.66666666666666
01/31/2007--01/26/2008,14.0,11.0,-5.800000000000011,-189.78999999999996,1855.52,78.57142857142857,9.0,8.0,88.88888888888889,5.0,3.0,60.0
03/02/2007--02/25/2008,15.0,12.0,76.64999999999999,-994.29,1937.97,80.0,10.0,9.0,90.0,5.0,3.0,60.0
04/01/2007--03/26/2008,18.0,15.0,329.61,-1705.77,2190.9300000000003,83.33333333333334,12.0,11.0,91.66666666666666,6.0,4.0,66.66666666666666
05/01/2007--04/25/2008,22.0,18.0,437.7,-1623.57,2900.02,81.81818181818183,15.0,13.0,86.66666666666667,7.0,5.0,71.42857142857143
05/31/2007--05/25/2008,23.0,19.0,508.5,-1780.27,2970.82,82.6086956521739,16.0,14.0,87.5,7.0,5.0,71.42857142857143
06/30/2007--06/24/2008,26.0,20.0,150.15,-1954.17,2796.92,76.92307692307693,16.0,14.0,87.5,10.0,6.0,60.0
07/30/2007--07/24/2008,26.0,20.0,150.15,-1958.58,2792.51,76.92307692307693,16.0,14.0,87.5,10.0,6.0,60.0
08/29/2007--08/23/2008,25.0,20.0,766.1500000000002,-1958.58,3408.5099999999998,80.0,16.0,14.0,87.5,9.0,6.0,66.66666666666666
09/28/2007--09/22/2008,20.0,15.0,355.58000000000004,-2082.18,2424.41,75.0,12.0,10.0,83.33333333333334,8.0,5.0,62.5
10/28/2007--10/22/2008,18.0,13.0,96.03000000000011,-2221.0199999999995,2041.3600000000001,72.22222222222221,10.0,9.0,90.0,8.0,4.0,50.0
11/27/2007--11/21/2008,20.0,15.0,262.1500000000001,-1974.2700000000002,2212.88,75.0,12.0,11.0,91.66666666666666,8.0,4.0,50.0
