Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,13.0,11.0,227.85000000000002,1134.3399999999995,4247.870000000001,84.61538461538461,8.0,6.0,75.0,5.0,5.0,100.0
01/31/2007--01/26/2008,14.0,11.0,-444.9,1796.7599999999993,4910.290000000001,78.57142857142857,8.0,6.0,75.0,6.0,5.0,83.33333333333334
03/02/2007--02/25/2008,17.0,13.0,-697.0899999999999,2747.8499999999995,6267.630000000001,76.47058823529412,9.0,6.0,66.66666666666666,8.0,7.0,87.5
04/01/2007--03/26/2008,23.0,16.0,-1608.4899999999998,4988.219999999999,8508.0,69.56521739130434,10.0,6.0,60.0,13.0,10.0,76.92307692307693
05/01/2007--04/25/2008,23.0,16.0,-1608.4899999999998,4610.86,8130.640000000001,69.56521739130434,10.0,6.0,60.0,13.0,10.0,76.92307692307693
05/31/2007--05/25/2008,23.0,16.0,-1608.4899999999998,4610.86,8130.640000000001,69.56521739130434,10.0,6.0,60.0,13.0,10.0,76.92307692307693
06/30/2007--06/24/2008,24.0,17.0,-1510.2799999999997,4683.29,8228.85,70.83333333333334,10.0,6.0,60.0,14.0,11.0,78.57142857142857
07/30/2007--07/24/2008,22.0,15.0,-1699.3600000000001,4683.29,8039.770000000001,68.18181818181817,10.0,6.0,60.0,12.0,9.0,75.0
08/29/2007--08/23/2008,20.0,13.0,-1845.6099999999997,3155.9300000000003,6135.120000000001,65.0,8.0,4.0,50.0,12.0,9.0,75.0
09/28/2007--09/22/2008,20.0,12.0,-2550.52,269.0399999999996,3186.4300000000003,60.0,7.0,3.0,42.857142857142854,13.0,9.0,69.23076923076923
10/28/2007--10/22/2008,18.0,10.0,-2734.0999999999995,6119.72,8265.6,55.55555555555556,6.0,2.0,33.33333333333333,12.0,8.0,66.66666666666666
11/27/2007--11/21/2008,17.0,9.0,-2856.81,6996.54,7971.26,52.94117647058824,5.0,1.0,20.0,12.0,8.0,66.66666666666666
