Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
NKE,01/03/2007,98.0,99.71,96.81,97.67,2162400.0,21.56,0.0,1.0
NKE,01/04/2007,97.67,98.97,96.86,98.67,1885700.0,21.78,0.0,1.0
NKE,01/05/2007,98.1,99.41,97.7,98.83,1874600.0,21.82,0.0,1.0
NKE,01/08/2007,98.5,98.99,97.63,98.53,1263700.0,21.75,0.0,1.0
NKE,01/09/2007,98.53,99.94,98.36,99.76,1895900.0,22.02,0.0,1.0
NKE,01/10/2007,99.24,99.85,98.9,99.76,1626600.0,22.02,0.0,1.0
NKE,01/11/2007,99.9,100.35,99.43,99.98,1789500.0,22.07,0.0,1.0
NKE,01/12/2007,99.55,100.02,99.32,99.76,1162100.0,22.02,0.0,1.0
NKE,01/16/2007,99.5,99.99,99.21,99.97,1158100.0,22.07,0.0,1.0
NKE,01/17/2007,99.8,99.9,99.05,99.82,1345300.0,22.04,0.0,1.0
NKE,01/18/2007,99.82,100.25,99.0,99.67,2043900.0,22.0,0.0,1.0
NKE,01/19/2007,100.0,100.19,99.48,99.94,1390400.0,22.06,0.0,1.0
NKE,01/22/2007,100.15,100.15,97.45,97.7,2439300.0,21.57,0.0,1.0
NKE,01/23/2007,97.7,98.3,96.21,96.76,1699300.0,21.36,0.0,1.0
NKE,01/24/2007,96.8,97.28,96.59,96.84,1108900.0,21.38,0.0,1.0
NKE,01/25/2007,97.1,97.67,95.83,95.84,1267700.0,21.16,0.0,1.0
NKE,01/26/2007,96.0,96.66,94.92,95.2,1372700.0,21.02,0.0,1.0
NKE,01/29/2007,95.36,96.62,95.35,96.32,2038500.0,21.26,0.0,1.0
NKE,01/30/2007,96.5,97.79,96.5,97.75,2469100.0,21.58,0.0,1.0
NKE,01/31/2007,97.75,99.25,97.5,98.81,2152100.0,21.81,0.0,1.0
NKE,02/01/2007,98.62,101.03,98.44,100.68,3092100.0,22.23,0.0,1.0
NKE,02/02/2007,101.0,101.42,99.81,100.2,1368000.0,22.12,0.0,1.0
NKE,02/05/2007,99.6,100.32,98.45,99.42,1473300.0,21.95,0.0,1.0
NKE,02/06/2007,99.42,101.28,99.42,101.17,1436400.0,22.33,0.0,1.0
NKE,02/07/2007,101.86,103.0,101.42,102.9,2511500.0,22.72,0.0,1.0
NKE,02/08/2007,102.7,103.7,102.24,103.39,1938000.0,22.82,0.0,1.0
NKE,02/09/2007,103.07,104.13,103.07,103.6,2072400.0,22.87,0.0,1.0
NKE,02/12/2007,103.61,104.42,103.23,104.37,2503600.0,23.04,0.0,1.0
NKE,02/13/2007,104.37,105.57,103.43,105.2,2275500.0,23.22,0.0,1.0
NKE,02/14/2007,105.2,105.78,104.95,105.38,1669700.0,23.26,0.0,1.0
NKE,02/15/2007,105.18,105.7,104.8,105.51,1417700.0,23.29,0.0,1.0
NKE,02/16/2007,106.5,107.51,105.68,106.3,1896700.0,23.47,0.0,1.0
NKE,02/20/2007,106.3,107.1,105.64,106.81,1832600.0,23.58,0.0,1.0
NKE,02/21/2007,106.79,107.37,106.51,107.11,1383200.0,23.65,0.0,1.0
NKE,02/22/2007,106.9,108.3,106.64,108.23,1431400.0,23.89,0.0,1.0
NKE,02/23/2007,108.23,108.23,107.18,108.04,904000.0,23.85,0.0,1.0
NKE,02/26/2007,108.9,108.9,107.2,107.83,1656100.0,23.81,0.0,1.0
NKE,02/27/2007,107.44,107.84,103.25,103.97,2355500.0,22.95,0.0,1.0
NKE,02/28/2007,104.75,105.11,103.29,104.47,2234000.0,23.06,0.0,1.0
NKE,03/01/2007,103.1,105.97,102.17,105.29,2117100.0,23.24,0.0,1.0
NKE,03/02/2007,105.2,105.89,103.86,103.86,1415600.0,22.93,0.0,1.0
NKE,03/05/2007,103.87,104.26,102.46,102.46,1496900.0,22.62,0.0,1.0
NKE,03/06/2007,102.95,105.5,102.81,105.1,1607900.0,23.2,0.0,1.0
NKE,03/07/2007,104.7,105.51,103.54,104.22,2361200.0,23.01,0.0,1.0
NKE,03/08/2007,105.2,106.39,104.5,104.6,1597800.0,23.17,0.37,1.0
NKE,03/09/2007,105.35,106.28,104.9,105.85,1323600.0,23.45,0.0,1.0
NKE,03/12/2007,105.7,106.1,105.2,105.6,1099300.0,23.4,0.0,1.0
NKE,03/13/2007,105.01,105.4,102.91,104.6,1394400.0,23.17,0.0,1.0
NKE,03/14/2007,104.61,105.14,102.75,104.82,1690100.0,23.22,0.0,1.0
NKE,03/15/2007,104.75,106.26,104.75,105.66,1468900.0,23.41,0.0,1.0
NKE,03/16/2007,106.25,107.71,105.66,107.47,2411600.0,23.81,0.0,1.0
NKE,03/19/2007,107.8,108.61,107.46,108.32,1443600.0,24.0,0.0,1.0
NKE,03/20/2007,108.32,109.34,107.99,109.25,1093400.0,24.2,0.0,1.0
NKE,03/21/2007,109.24,110.1,108.16,108.85,1914500.0,24.12,0.0,1.0
NKE,03/22/2007,108.79,108.98,106.83,108.6,3212200.0,24.06,0.0,1.0
NKE,03/23/2007,106.9,109.27,105.01,109.05,4377200.0,24.16,0.0,1.0
NKE,03/26/2007,109.04,109.4,107.42,108.79,1449900.0,24.1,0.0,1.0
