Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01-01-2013--12-27-2013,1,25,16,64,28328.8,28.3288,25.8695056826,12,9,75,13,7,53.8461538462
01-31-2013--01-26-2014,2,26,16,61.5384615385,28285.68,28.28568,19.498997996,13,9,69.2307692308,13,7,53.8461538462
03-02-2013--02-25-2014,3,28,18,64.2857142857,29150.02,29.15002,20.8736594298,15,11,73.3333333333,13,7,53.8461538462
04-01-2013--03-27-2014,4,26,17,65.3846153846,22321.32,22.32132,18.2826017302,12,8,66.6666666667,14,9,64.2857142857
05-01-2013--04-26-2014,5,21,12,57.1428571429,6253.37,6.25337,17.6964872378,8,4,50,13,8,61.5384615385
05-31-2013--05-26-2014,6,23,13,56.5217391304,364.55,0.36455,16.4611948974,11,6,54.5454545455,12,7,58.3333333333
06-30-2013--06-25-2014,7,18,9,50,-11640.83,-11.64083,21.207238473,11,6,54.5454545455,7,3,42.8571428571
07-30-2013--07-25-2014,8,17,8,47.0588235294,-8761.9,-8.7619,17.2799962038,10,5,50,7,3,42.8571428571
08-29-2013--08-24-2014,9,18,9,50,-8607.98,-8.60798,21.3315465676,10,5,50,8,4,50
09-28-2013--09-23-2014,10,19,8,42.1052631579,-14803.48,-14.80348,17.8560799952,10,5,50,9,3,33.3333333333
10-28-2013--10-23-2014,11,18,9,50,-3964.96,-3.96496,10.6111331782,10,5,50,8,4,50
11-27-2013--11-22-2014,12,19,9,47.3684210526,-6552.07,-6.55207,14.1121908127,10,5,50,9,4,44.4444444444
12-27-2013--12-22-2014,13,18,9,50,-9662.78,-9.66278,12.8504990617,8,5,62.5,10,4,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01-01-2013--12-27-2013,1,22,10,45.4545454545,12441.52,12.44152,25.8695056826,15,8,53.3333333333,7,2,28.5714285714
01-31-2013--01-26-2014,2,25,10,40,3489.34,3.48934,19.498997996,18,8,44.4444444444,7,2,28.5714285714
03-02-2013--02-25-2014,3,27,11,40.7407407407,7094.49,7.09449,20.8736594298,19,9,47.3684210526,8,2,25
04-01-2013--03-27-2014,4,32,13,40.625,10555.11,10.55511,18.2826017302,19,9,47.3684210526,13,4,30.7692307692
05-01-2013--04-26-2014,5,30,11,36.6666666667,-1280.8,-1.2808,17.6964872378,17,8,47.0588235294,13,3,23.0769230769
05-31-2013--05-26-2014,6,31,12,38.7096774194,6463.96,6.46396,16.4611948974,18,9,50,13,3,23.0769230769
06-30-2013--06-25-2014,7,26,12,46.1538461538,12097.18,12.09718,21.207238473,18,10,55.5555555556,8,2,25
07-30-2013--07-25-2014,8,25,12,48,11365.61,11.36561,17.2799962038,17,10,58.8235294118,8,2,25
08-29-2013--08-24-2014,9,24,12,50,10330.89,10.33089,21.3315465676,15,9,60,9,3,33.3333333333
09-28-2013--09-23-2014,10,26,12,46.1538461538,9454.19,9.45419,17.8560799952,16,9,56.25,10,3,30
10-28-2013--10-23-2014,11,26,11,42.3076923077,6900.49,6.90049,10.6111331782,14,7,50,12,4,33.3333333333
11-27-2013--11-22-2014,12,28,10,35.7142857143,-1345.41,-1.34541,14.1121908127,16,6,37.5,12,4,33.3333333333
12-27-2013--12-22-2014,13,28,11,39.2857142857,6547.88,6.54788,12.8504990617,17,7,41.1764705882,11,4,36.3636363636
