Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,1,4.0,3.0,75.0,-2327.9500000000003,-2.32795,4.456391030628834,3.0,3.0,100.0,1.0,0.0,0.0
01/31/2007--01/26/2008,2,5.0,4.0,80.0,5693.33,5.69333,-7.450434782608702,3.0,3.0,100.0,2.0,1.0,50.0
03/02/2007--02/25/2008,3,9.0,6.0,66.66666666666666,15440.300000000001,15.4403,-0.9663229249296712,7.0,5.0,71.42857142857143,2.0,1.0,50.0
04/01/2007--03/26/2008,4,15.0,9.0,60.0,19862.66,19.862659999999998,-6.302757456387176,11.0,7.0,63.63636363636363,4.0,2.0,50.0
05/01/2007--04/25/2008,5,18.0,8.0,44.44444444444444,5104.320000000002,5.104320000000002,-6.100760072644107,14.0,7.0,50.0,4.0,1.0,25.0
05/31/2007--05/25/2008,6,21.0,11.0,52.38095238095239,7663.710000000003,7.663710000000003,-10.226976258805118,17.0,10.0,58.82352941176471,4.0,1.0,25.0
06/30/2007--06/24/2008,7,25.0,14.0,56.00000000000001,12465.140000000003,12.465140000000003,-13.571381513933723,20.0,12.0,60.0,5.0,2.0,40.0
07/30/2007--07/24/2008,8,28.0,15.0,53.57142857142857,11249.100000000002,11.249100000000002,-14.839191206405205,20.0,12.0,60.0,8.0,3.0,37.5
08/29/2007--08/23/2008,9,30.0,16.0,53.333333333333336,7548.610000000002,7.548610000000003,-11.621400300259316,22.0,13.0,59.09090909090909,8.0,3.0,37.5
09/28/2007--09/22/2008,10,30.0,16.0,53.333333333333336,8512.43,8.51243,-20.605583955957538,21.0,12.0,57.14285714285714,9.0,4.0,44.44444444444444
10/28/2007--10/22/2008,11,29.0,16.0,55.172413793103445,-19139.56,-19.139560000000003,-41.250892104067994,21.0,11.0,52.38095238095239,8.0,5.0,62.5
11/27/2007--11/21/2008,12,33.0,15.0,45.45454545454545,-32500.24,-32.500240000000005,-44.223890018938064,24.0,11.0,45.83333333333333,9.0,4.0,44.44444444444444
12/27/2007--12/21/2008,13,32.0,16.0,50.0,10853.880000000001,10.85388,-40.27900047402993,22.0,10.0,45.45454545454545,10.0,6.0,60.0
01/26/2008--01/20/2009,14,31.0,15.0,48.38709677419355,-9980.290000000005,-9.980290000000004,-40.42443064182196,23.0,10.0,43.47826086956522,8.0,5.0,62.5
02/25/2008--02/19/2009,15,27.0,12.0,44.44444444444444,-43250.850000000006,-43.25085000000001,-43.07070559965048,20.0,8.0,40.0,7.0,4.0,57.14285714285714
03/26/2008--03/21/2009,16,27.0,12.0,44.44444444444444,3647.570000000002,3.647570000000002,-42.409909909909906,18.0,8.0,44.44444444444444,9.0,4.0,44.44444444444444
04/25/2008--04/20/2009,17,24.0,10.0,41.66666666666667,-7130.110000000002,-7.130110000000002,-40.236389684813744,15.0,6.0,40.0,9.0,4.0,44.44444444444444
05/25/2008--05/20/2009,18,18.0,8.0,44.44444444444444,7740.639999999999,7.74064,-34.72522717438338,11.0,5.0,45.45454545454545,7.0,3.0,42.857142857142854
06/24/2008--06/19/2009,19,17.0,8.0,47.05882352941176,24295.8,24.295799999999996,-29.842213583352382,12.0,6.0,50.0,5.0,2.0,40.0
07/24/2008--07/19/2009,20,16.0,6.0,37.5,-6922.6500000000015,-6.922650000000001,-25.001991873157525,10.0,4.0,40.0,6.0,2.0,33.33333333333333
08/23/2008--08/18/2009,21,17.0,7.0,41.17647058823529,52542.92999999999,52.542929999999984,-21.957942821138847,12.0,6.0,50.0,5.0,1.0,20.0
09/22/2008--09/17/2009,22,20.0,8.0,40.0,64423.87,64.42387000000001,-11.961367013372953,15.0,7.0,46.666666666666664,5.0,1.0,20.0
10/22/2008--10/17/2009,23,20.0,8.0,40.0,-5394.629999999999,-5.3946299999999985,20.254003313086695,16.0,7.0,43.75,4.0,1.0,25.0
11/21/2008--11/16/2009,24,17.0,8.0,47.05882352941176,8302.470000000001,8.302470000000001,39.851609657947684,14.0,8.0,57.14285714285714,3.0,0.0,0.0
12/21/2008--12/16/2009,25,18.0,9.0,50.0,7107.82,7.107819999999999,28.095566276131397,15.0,9.0,60.0,3.0,0.0,0.0
01/20/2009--01/15/2010,26,21.0,10.0,47.61904761904761,27255.609999999997,27.255609999999997,41.04505399031899,18.0,10.0,55.55555555555556,3.0,0.0,0.0
02/19/2009--02/14/2010,27,20.0,9.0,45.0,4209.029999999995,4.209029999999995,38.19214387127308,18.0,9.0,50.0,2.0,0.0,0.0
03/21/2009--03/16/2010,28,22.0,11.0,50.0,49366.030000000006,49.36603,41.54912451361868,20.0,11.0,55.00000000000001,2.0,0.0,0.0
04/20/2009--04/15/2010,29,21.0,11.0,52.38095238095239,58876.22,58.87622,45.379359942466735,19.0,11.0,57.89473684210527,2.0,0.0,0.0
05/20/2009--05/15/2010,30,17.0,9.0,52.94117647058824,333.4700000000003,0.33347000000000027,25.831399845320952,16.0,9.0,56.25,1.0,0.0,0.0
06/19/2009--06/14/2010,31,17.0,9.0,52.94117647058824,25434.729999999996,25.434729999999995,18.979791395045627,17.0,9.0,52.94117647058824,0.0,0.0
07/19/2009--07/14/2010,32,21.0,12.0,57.14285714285714,45541.89,45.54189,15.263163427273966,20.0,12.0,60.0,1.0,0.0,0.0
08/18/2009--08/13/2010,33,24.0,13.0,54.166666666666664,40061.67,40.06167,9.304672519931374,23.0,13.0,56.52173913043478,1.0,0.0,0.0
09/17/2009--09/12/2010,34,20.0,10.0,50.0,24689.940000000002,24.689940000000004,4.53070792311298,18.0,10.0,55.55555555555556,2.0,0.0,0.0
10/17/2009--10/12/2010,35,22.0,12.0,54.54545454545454,58505.4,58.505399999999995,6.576190909918934,20.0,12.0,60.0,2.0,0.0,0.0
11/16/2009--11/11/2010,36,22.0,13.0,59.09090909090909,51647.84,51.64784,9.374157000269772,20.0,13.0,65.0,2.0,0.0,0.0
12/16/2009--12/11/2010,37,22.0,12.0,54.54545454545454,9136.16,9.13616,11.621233859397426,20.0,12.0,60.0,2.0,0.0,0.0
01/15/2010--01/10/2011,38,19.0,12.0,63.1578947368421,10532.160000000003,10.532160000000003,11.738824357620558,17.0,12.0,70.58823529411765,2.0,0.0,0.0
02/14/2010--02/09/2011,39,24.0,16.0,66.66666666666666,55438.39,55.438390000000005,20.529433205759076,22.0,16.0,72.72727272727273,2.0,0.0,0.0
03/16/2010--03/11/2011,40,25.0,16.0,64.0,16321.81,16.32181,12.395842281590935,23.0,16.0,69.56521739130434,2.0,0.0,0.0
04/15/2010--04/10/2011,41,26.0,17.0,65.38461538461539,19134.55,19.13455,9.539121114683821,24.0,17.0,70.83333333333334,2.0,0.0,0.0
05/15/2010--05/10/2011,42,31.0,19.0,61.29032258064516,24077.97,24.07797,19.236507240017552,29.0,19.0,65.51724137931035,2.0,0.0,0.0
06/14/2010--06/09/2011,43,32.0,19.0,59.375,18049.19,18.04919,18.163803888264894,30.0,19.0,63.33333333333333,2.0,0.0,0.0
07/14/2010--07/09/2011,44,27.0,18.0,66.66666666666666,14912.899999999998,14.912899999999999,22.570701589588797,25.0,18.0,72.0,2.0,0.0,0.0
08/13/2010--08/08/2011,45,25.0,16.0,64.0,1921.0799999999995,1.9210799999999992,3.646939340781094,22.0,16.0,72.72727272727273,3.0,0.0,0.0
09/12/2010--09/07/2011,46,35.0,20.0,57.14285714285714,21399.219999999994,21.399219999999993,6.7157558552164724,31.0,19.0,61.29032258064516,4.0,1.0,25.0
10/12/2010--10/07/2011,47,41.0,22.0,53.65853658536586,12329.73999999999,12.32973999999999,-1.1110161524656108,35.0,20.0,57.14285714285714,6.0,2.0,33.33333333333333
11/11/2010--11/06/2011,48,43.0,23.0,53.48837209302325,10240.160000000005,10.240160000000005,3.161918855592542,37.0,21.0,56.75675675675676,6.0,2.0,33.33333333333333
12/11/2010--12/06/2011,49,46.0,25.0,54.347826086956516,29640.52,29.64052,1.3648041104688526,40.0,23.0,57.49999999999999,6.0,2.0,33.33333333333333
01/10/2011--01/05/2012,50,46.0,21.0,45.65217391304348,16703.31,16.703310000000002,0.834777130256724,40.0,19.0,47.5,6.0,2.0,33.33333333333333
