Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,Strategy vs Market,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
02/04/2012--01/29/2013,63,9,5,55.5555555556,36336.58,36.33658,12.0565265898,1,4,3,75,5,2,40
12/06/2011--11/30/2012,61,11,8,72.7272727273,33421.7,33.4217,12.5891018533,1,7,5,71.4285714286,4,3,75
04/29/2013--04/24/2014,78,14,8,57.1428571429,23541.73,23.54173,17.9096045198,1,5,2,40,9,6,66.6666666667
06/09/2011--06/03/2012,55,13,10,76.9230769231,22389.12,22.38912,-0.9582689335,1,7,5,71.4285714286,6,5,83.3333333333
07/09/2011--07/03/2012,56,12,9,75,22389.12,22.38912,4.1236644692,1,7,5,71.4285714286,5,4,80
12/25/2013--12/20/2014,86,16,9,56.25,20706.2,20.7062,12.3276495064,1,9,6,66.6666666667,7,3,42.8571428571
08/02/2012--07/28/2013,69,17,12,70.5882352941,19921.89,19.92189,23.7631733021,0,9,7,77.7777777778,8,5,62.5
09/01/2012--08/27/2013,70,15,11,73.3333333333,19595.77,19.59577,15.8122385308,1,7,6,85.7142857143,8,5,62.5
01/26/2008--01/20/2009,14,9,5,55.5555555556,17399.43,17.39943,-40.4244306418,1,6,4,66.6666666667,3,1,33.3333333333
09/07/2011--09/01/2012,58,11,8,72.7272727273,17396.76,17.39676,17.3497381328,1,6,4,66.6666666667,5,4,80
03/30/2013--03/25/2014,77,17,10,58.8235294118,16951.43,16.95143,19.3912207626,0,7,4,57.1428571429,10,6,60
10/07/2011--10/01/2012,59,11,8,72.7272727273,16467.26,16.46726,24.7472128597,0,6,4,66.6666666667,5,4,80
11/06/2011--10/31/2012,60,11,8,72.7272727273,16467.26,16.46726,11.9515285918,1,6,4,66.6666666667,5,4,80
01/29/2013--01/24/2014,75,19,11,57.8947368421,15913.53,15.91353,18.7375547591,0,8,5,62.5,11,6,54.5454545455
04/10/2011--04/04/2012,53,12,9,75,15699.42,15.69942,5.5865921788,1,8,6,75,4,3,75
02/25/2008--02/19/2009,15,9,5,55.5555555556,14190.1,14.1901,-43.0707055997,1,5,3,60,4,2,50
03/26/2008--03/21/2009,16,9,5,55.5555555556,14190.1,14.1901,-42.4099099099,1,5,3,60,4,2,50
10/01/2012--09/26/2013,71,14,10,71.4285714286,13983.49,13.98349,17.5586269008,0,6,5,83.3333333333,8,5,62.5
12/11/2010--12/06/2011,49,14,9,64.2857142857,13792.81,13.79281,1.3648041105,1,10,6,60,4,3,75
11/21/2008--11/16/2009,24,5,4,80,13645.04,13.64504,39.8516096579,0,3,3,100,2,1,50
05/29/2013--05/24/2014,79,12,4,33.3333333333,13511.36,13.51136,15.2100229996,0,7,2,28.5714285714,5,2,40
12/27/2007--12/21/2008,13,7,4,57.1428571429,13503.01,13.50301,-40.279000474,1,5,3,60,2,1,50
01/05/2012--12/30/2012,62,13,8,61.5384615385,13438.18,13.43818,9.3642611684,1,8,6,75,5,2,40
05/10/2011--05/04/2012,54,11,8,72.7272727273,13132.03,13.13203,0.8316773386,1,7,5,71.4285714286,4,3,75
05/25/2008--05/20/2009,18,5,3,60,12649.62,12.64962,-34.7252271744,1,3,2,66.6666666667,2,1,50
02/09/2011--02/04/2012,51,12,8,66.6666666667,11684.85,11.68485,1.7169555981,1,8,5,62.5,4,3,75
03/11/2011--03/05/2012,52,12,8,66.6666666667,11684.85,11.68485,4.5169672883,1,8,5,62.5,4,3,75
06/30/2007--06/24/2008,7,7,5,71.4285714286,11664.79,11.66479,-13.5713815139,1,3,2,66.6666666667,4,3,75
07/30/2007--07/24/2008,8,7,5,71.4285714286,11664.79,11.66479,-14.8391912064,1,3,2,66.6666666667,4,3,75
08/29/2007--08/23/2008,9,7,5,71.4285714286,11664.79,11.66479,-11.6214003003,1,3,2,66.6666666667,4,3,75
09/28/2007--09/22/2008,10,6,4,66.6666666667,11664.79,11.66479,-20.605583956,1,3,2,66.6666666667,3,2,66.6666666667
09/22/2008--09/17/2009,22,6,4,66.6666666667,11374.35,11.37435,-11.9613670134,1,4,3,75,2,1,50
10/22/2008--10/17/2009,23,7,4,57.1428571429,11374.35,11.37435,20.2540033131,0,5,3,60,2,1,50
06/24/2008--06/19/2009,19,5,3,60,10947.55,10.94755,-29.8422135834,1,3,2,66.6666666667,2,1,50
07/24/2008--07/19/2009,20,5,3,60,10947.55,10.94755,-25.0019918732,1,3,2,66.6666666667,2,1,50
08/23/2008--08/18/2009,21,5,3,60,10947.55,10.94755,-21.9579428211,1,3,2,66.6666666667,2,1,50
10/26/2013--10/21/2014,84,16,7,43.75,9745.11,9.74511,10.1231345401,0,10,5,50,6,2,33.3333333333
11/25/2013--11/20/2014,85,17,8,47.0588235294,8949.29,8.94929,13.8127664286,0,11,6,54.5454545455,6,2,33.3333333333
03/02/2007--02/25/2008,3,3,3,100,8490.65,8.49065,-0.9663229249,1,1,1,100,2,2,100
04/01/2007--03/26/2008,4,3,3,100,8490.65,8.49065,-6.3027574564,1,1,1,100,2,2,100
05/01/2007--04/25/2008,5,3,3,100,8490.65,8.49065,-6.1007600726,1,1,1,100,2,2,100
05/31/2007--05/25/2008,6,4,3,75,8275.73,8.27573,-10.2269762588,1,1,1,100,3,2,66.6666666667
10/28/2007--10/22/2008,11,6,4,66.6666666667,8253.06,8.25306,-41.2508921041,1,3,2,66.6666666667,3,2,66.6666666667
05/04/2012--04/29/2013,66,13,6,46.1538461538,7332.39,7.33239,16.2773722628,0,8,5,62.5,5,1,20
08/27/2013--08/22/2014,82,17,8,47.0588235294,7062.56,7.06256,21.9555501133,0,10,5,50,7,3,42.8571428571
09/26/2013--09/21/2014,83,14,6,42.8571428571,6332.84,6.33284,18.2745005598,0,10,5,50,4,1,25
12/21/2008--12/16/2009,25,2,2,100,6222.41,6.22241,28.0955662761,0,2,2,100,0,0,
11/27/2007--11/21/2008,12,8,4,50,6067.97,6.06797,-44.2238900189,1,5,2,40,3,2,66.6666666667
06/28/2013--06/23/2014,80,17,8,47.0588235294,5966.43,5.96643,22.1044757512,0,10,5,50,7,3,42.8571428571
10/31/2012--10/26/2013,72,16,10,62.5,5872.14,5.87214,24.4782454899,0,5,4,80,11,6,54.5454545455
11/30/2012--11/25/2013,73,16,11,68.75,5872.14,5.87214,27.0655270655,0,6,5,83.3333333333,10,6,60
04/04/2012--03/30/2013,65,5,4,80,5681.32,5.68132,12.0191620192,0,2,1,50,3,3,100
01/31/2007--01/26/2008,2,2,2,100,4953.79,4.95379,-7.4504347826,1,0,0,2,2,100,
10/12/2010--10/07/2011,47,14,8,57.1428571429,4900.26,4.90026,-1.1110161525,1,11,6,54.5454545455,3,2,66.6666666667
11/11/2010--11/06/2011,48,14,8,57.1428571429,4900.26,4.90026,3.1619188556,1,11,6,54.5454545455,3,2,66.6666666667
12/30/2012--12/25/2013,74,15,10,66.6666666667,4858.27,4.85827,28.4530580718,0,5,4,80,10,6,60
01/10/2011--01/05/2012,50,15,9,60,3582.85,3.58285,0.8347771303,1,11,6,54.5454545455,4,3,75
01/01/2007--12/27/2007,1,1,1,100,3152.1,3.1521,4.4563910306,0,0,0,1,1,100,
04/20/2009--04/15/2010,29,4,3,75,1942.09,1.94209,45.3793599425,0,2,2,100,2,1,50
05/20/2009--05/15/2010,30,4,3,75,1942.09,1.94209,25.8313998453,0,2,2,100,2,1,50
06/19/2009--06/14/2010,31,4,3,75,1942.09,1.94209,18.979791395,0,2,2,100,2,1,50
09/12/2010--09/07/2011,46,13,6,46.1538461538,1450.82,1.45082,6.7157558552,0,11,5,45.4545454545,2,1,50
08/08/2011--08/02/2012,57,16,10,62.5,1167.94,1.16794,21.7174416533,0,10,5,50,6,5,83.3333333333
01/20/2009--01/15/2010,26,3,2,66.6666666667,757.21,0.75721,41.0450539903,0,1,1,100,2,1,50
02/28/2013--02/23/2014,76,18,10,55.5555555556,374.67,0.37467,21.2914715388,0,7,4,57.1428571429,11,6,54.5454545455
02/19/2009--02/14/2010,27,3,2,66.6666666667,-334.59,-0.33459,38.1921438713,0,1,1,100,2,1,50
04/25/2008--04/20/2009,17,8,4,50,-581.59,-0.58159,-40.2363896848,1,4,2,50,4,2,50
03/21/2009--03/16/2010,28,4,2,50,-770.55,-0.77055,41.5491245136,0,2,1,50,2,1,50
03/05/2012--02/28/2013,64,12,6,50,-831.53,-0.83153,10.8665447898,0,6,4,66.6666666667,6,2,33.3333333333
07/28/2013--07/23/2014,81,17,7,41.1764705882,-2440.25,-2.44025,17.8243074915,0,10,4,40,7,3,42.8571428571
07/14/2010--07/09/2011,44,10,5,50,-3159.08,-3.15908,22.5707015896,0,9,5,55.5555555556,1,0,0
07/03/2012--06/28/2013,68,21,12,57.1428571429,-4060.35,-4.06035,16.7438069455,0,12,7,58.3333333333,9,5,55.5555555556
08/13/2010--08/08/2011,45,9,4,44.4444444444,-4120.05,-4.12005,3.6469393408,0,8,4,50,1,0,0
06/03/2012--05/29/2013,67,18,9,50,-6805.79,-6.80579,28.9773614364,0,12,8,66.6666666667,6,1,16.6666666667
08/18/2009--08/13/2010,33,9,5,55.5555555556,-7614.68,-7.61468,9.3046725199,0,7,4,57.1428571429,2,1,50
09/17/2009--09/12/2010,34,8,4,50,-7968.61,-7.96861,4.5307079231,0,6,3,50,2,1,50
10/17/2009--10/12/2010,35,8,4,50,-7968.61,-7.96861,6.5761909099,0,6,3,50,2,1,50
11/16/2009--11/11/2010,36,8,4,50,-7968.61,-7.96861,9.3741570003,0,6,3,50,2,1,50
07/19/2009--07/14/2010,32,7,4,57.1428571429,-8135.61,-8.13561,15.2631634273,0,5,3,60,2,1,50
05/15/2010--05/10/2011,42,12,5,41.6666666667,-9106.22,-9.10622,19.23650724,0,12,5,41.6666666667,0,0,
01/15/2010--01/10/2011,38,7,3,42.8571428571,-11864.95,-11.86495,11.7388243576,0,7,3,42.8571428571,0,0,
12/16/2009--12/11/2010,37,8,4,50,-12493.41,-12.49341,11.6212338594,0,7,3,42.8571428571,1,1,100
06/14/2010--06/09/2011,43,14,6,42.8571428571,-13102.99,-13.10299,18.1638038883,0,13,6,46.1538461538,1,0,0
02/14/2010--02/09/2011,39,10,3,30,-13423.06,-13.42306,20.5294332058,0,10,3,30,0,0,
03/16/2010--03/11/2011,40,10,4,40,-13779.65,-13.77965,12.3958422816,0,10,4,40,0,0,
04/15/2010--04/10/2011,41,10,4,40,-13779.65,-13.77965,9.5391211147,0,10,4,40,0,0,
,,,,,,,,,,,,,,
,,,,,75.5813953488,,,45.3488372093,,,,,,
