Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01-01-2007--12-27-2007,1,7.0,7.0,100.0,29850.71,29.850709999999996,4.456391030628834,2.0,2.0,100.0,5.0,5.0,100.0
01-31-2007--01-26-2008,2,10.0,10.0,100.0,35948.1,35.9481,-7.450434782608702,2.0,2.0,100.0,8.0,8.0,100.0
03-02-2007--02-25-2008,3,12.0,11.0,91.66666666666666,39665.02,39.66502,-0.9663229249296712,4.0,3.0,75.0,8.0,8.0,100.0
04-01-2007--03-26-2008,4,14.0,13.0,92.85714285714286,63646.78999999999,63.646789999999996,-6.302757456387176,5.0,4.0,80.0,9.0,9.0,100.0
05-01-2007--04-25-2008,5,16.0,14.0,87.5,65807.45,65.80745,-6.100760072644107,7.0,5.0,71.42857142857143,9.0,9.0,100.0
05-31-2007--05-25-2008,6,19.0,14.0,73.68421052631578,65185.80999999999,65.18580999999999,-10.226976258805118,8.0,5.0,62.5,11.0,9.0,81.81818181818183
06-30-2007--06-24-2008,7,21.0,16.0,76.19047619047619,72180.45,72.18045,-13.571381513933723,8.0,5.0,62.5,13.0,11.0,84.61538461538461
07-30-2007--07-24-2008,8,22.0,16.0,72.72727272727273,51097.049999999996,51.097049999999996,-14.839191206405205,9.0,5.0,55.55555555555556,13.0,11.0,84.61538461538461
08-29-2007--08-23-2008,9,23.0,17.0,73.91304347826086,60367.31999999999,60.36731999999999,-11.621400300259316,10.0,6.0,60.0,13.0,11.0,84.61538461538461
09-28-2007--09-22-2008,10,24.0,18.0,75.0,63353.229999999996,63.353229999999996,-20.605583955957538,10.0,6.0,60.0,14.0,12.0,85.71428571428571
10-28-2007--10-22-2008,11,20.0,14.0,70.0,43089.20000000002,43.08920000000002,-41.250892104067994,9.0,5.0,55.55555555555556,11.0,9.0,81.81818181818183
11-27-2007--11-21-2008,12,23.0,15.0,65.21739130434783,35026.08000000001,35.02608000000001,-44.223890018938064,13.0,7.0,53.84615384615385,10.0,8.0,80.0
12-27-2007--12-21-2008,13,23.0,15.0,65.21739130434783,37529.380000000005,37.52938,-40.27900047402993,13.0,7.0,53.84615384615385,10.0,8.0,80.0
01-26-2008--01-20-2009,14,24.0,14.0,58.333333333333336,38258.93,38.25893,-40.42443064182196,15.0,8.0,53.333333333333336,9.0,6.0,66.66666666666666
02-25-2008--02-19-2009,15,24.0,14.0,58.333333333333336,33936.82,33.93682,-43.07070559965048,14.0,8.0,57.14285714285714,10.0,6.0,60.0
03-26-2008--03-21-2009,16,24.0,13.0,54.166666666666664,8080.730000000001,8.08073,-42.409909909909906,14.0,8.0,57.14285714285714,10.0,5.0,50.0
04-25-2008--04-20-2009,17,22.0,12.0,54.54545454545454,-5812.3200000000015,-5.8123200000000015,-40.236389684813744,12.0,7.0,58.333333333333336,10.0,5.0,50.0
05-25-2008--05-20-2009,18,22.0,13.0,59.09090909090909,14962.22,14.962219999999999,-34.72522717438338,12.0,8.0,66.66666666666666,10.0,5.0,50.0
06-24-2008--06-19-2009,19,20.0,11.0,55.00000000000001,10291.27,10.29127,-29.842213583352382,12.0,8.0,66.66666666666666,8.0,3.0,37.5
07-24-2008--07-19-2009,20,20.0,11.0,55.00000000000001,23645.83,23.64583,-25.001991873157525,11.0,8.0,72.72727272727273,9.0,3.0,33.33333333333333
08-23-2008--08-18-2009,21,19.0,10.0,52.63157894736842,16493.479999999996,16.493479999999998,-21.957942821138847,10.0,7.0,70.0,9.0,3.0,33.33333333333333
09-22-2008--09-17-2009,22,20.0,10.0,50.0,12164.329999999998,12.164329999999998,-11.961367013372953,11.0,8.0,72.72727272727273,9.0,2.0,22.22222222222222
10-22-2008--10-17-2009,23,20.0,10.0,50.0,12164.329999999998,12.164329999999998,20.254003313086695,11.0,8.0,72.72727272727273,9.0,2.0,22.22222222222222
11-21-2008--11-16-2009,24,15.0,7.0,46.666666666666664,9757.580000000002,9.757580000000003,39.851609657947684,7.0,6.0,85.71428571428571,8.0,1.0,12.5
12-21-2008--12-16-2009,25,16.0,8.0,50.0,14025.780000000002,14.025780000000001,28.095566276131397,7.0,6.0,85.71428571428571,9.0,2.0,22.22222222222222
01-20-2009--01-15-2010,26,15.0,8.0,53.333333333333336,11369.31,11.369309999999999,41.04505399031899,6.0,6.0,100.0,9.0,2.0,22.22222222222222
02-19-2009--02-14-2010,27,16.0,7.0,43.75,4818.24,4.81824,38.19214387127308,5.0,5.0,100.0,11.0,2.0,18.181818181818183
03-21-2009--03-16-2010,28,16.0,9.0,56.25,23386.67,23.38667,41.54912451361868,7.0,7.0,100.0,9.0,2.0,22.22222222222222
04-20-2009--04-15-2010,29,16.0,9.0,56.25,23386.67,23.38667,45.379359942466735,7.0,7.0,100.0,9.0,2.0,22.22222222222222
05-20-2009--05-15-2010,30,16.0,9.0,56.25,11373.96,11.37396,25.831399845320952,6.0,6.0,100.0,10.0,3.0,30.0
06-19-2009--06-14-2010,31,16.0,10.0,62.5,19313.08,19.313080000000003,18.979791395045627,7.0,7.0,100.0,9.0,3.0,33.33333333333333
07-19-2009--07-14-2010,32,20.0,12.0,60.0,20583.319999999996,20.583319999999997,15.263163427273966,11.0,8.0,72.72727272727273,9.0,4.0,44.44444444444444
08-18-2009--08-13-2010,33,23.0,15.0,65.21739130434783,22956.409999999996,22.956409999999998,9.304672519931374,13.0,10.0,76.92307692307693,10.0,5.0,50.0
09-17-2009--09-12-2010,34,22.0,14.0,63.63636363636363,19414.61,19.414610000000003,4.53070792311298,13.0,9.0,69.23076923076923,9.0,5.0,55.55555555555556
10-17-2009--10-12-2010,35,22.0,14.0,63.63636363636363,19414.61,19.414610000000003,6.576190909918934,13.0,9.0,69.23076923076923,9.0,5.0,55.55555555555556
11-16-2009--11-11-2010,36,23.0,14.0,60.86956521739131,13536.85,13.536850000000001,9.374157000269772,14.0,9.0,64.28571428571429,9.0,5.0,55.55555555555556
12-16-2009--12-11-2010,37,20.0,12.0,60.0,2956.930000000002,2.956930000000002,11.621233859397426,12.0,8.0,66.66666666666666,8.0,4.0,50.0
01-15-2010--01-10-2011,38,20.0,10.0,50.0,-12226.500000000004,-12.226500000000003,11.738824357620558,13.0,7.0,53.84615384615385,7.0,3.0,42.857142857142854
02-14-2010--02-09-2011,39,23.0,13.0,56.52173913043478,-13708.040000000006,-13.708040000000008,20.529433205759076,17.0,10.0,58.82352941176471,6.0,3.0,50.0
03-16-2010--03-11-2011,40,22.0,11.0,50.0,-18466.22,-18.46622,12.395842281590935,15.0,7.0,46.666666666666664,7.0,4.0,57.14285714285714
04-15-2010--04-10-2011,41,25.0,12.0,48.0,-14131.480000000001,-14.131480000000002,9.539121114683821,18.0,8.0,44.44444444444444,7.0,4.0,57.14285714285714
05-15-2010--05-10-2011,42,23.0,12.0,52.17391304347826,-13218.769999999999,-13.21877,19.236507240017552,18.0,9.0,50.0,5.0,3.0,60.0
06-14-2010--06-09-2011,43,26.0,12.0,46.15384615384615,-28242.490000000005,-28.242490000000004,18.163803888264894,19.0,9.0,47.368421052631575,7.0,3.0,42.857142857142854
07-14-2010--07-09-2011,44,22.0,11.0,50.0,-16641.190000000006,-16.641190000000005,22.570701589588797,16.0,9.0,56.25,6.0,2.0,33.33333333333333
08-13-2010--08-08-2011,45,20.0,10.0,50.0,-12294.520000000004,-12.294520000000004,3.646939340781094,13.0,7.0,53.84615384615385,7.0,3.0,42.857142857142854
09-12-2010--09-07-2011,46,23.0,12.0,52.17391304347826,-7295.869999999999,-7.295869999999999,6.7157558552164724,16.0,9.0,56.25,7.0,3.0,42.857142857142854
10-12-2010--10-07-2011,47,25.0,14.0,56.00000000000001,-5631.029999999999,-5.631029999999999,-1.1110161524656108,16.0,9.0,56.25,9.0,5.0,55.55555555555556
11-11-2010--11-06-2011,48,27.0,15.0,55.55555555555556,-9053.55,-9.05355,3.161918855592542,18.0,10.0,55.55555555555556,9.0,5.0,55.55555555555556
12-11-2010--12-06-2011,49,30.0,18.0,60.0,5956.940000000001,5.956940000000001,1.3648041104688526,19.0,11.0,57.89473684210527,11.0,7.0,63.63636363636363
01-10-2011--01-05-2012,50,29.0,18.0,62.06896551724138,19388.51,19.388509999999997,0.834777130256724,19.0,11.0,57.89473684210527,10.0,7.0,70.0
02-09-2011--02-04-2012,51,25.0,17.0,68.0,25957.329999999998,25.95733,1.7169555980615159,16.0,10.0,62.5,9.0,7.0,77.77777777777779
03-11-2011--03-05-2012,52,25.0,17.0,68.0,34649.350000000006,34.649350000000005,4.51696728829104,17.0,11.0,64.70588235294117,8.0,6.0,75.0
04-10-2011--04-04-2012,53,23.0,17.0,73.91304347826086,27637.690000000002,27.637690000000003,5.586592178770953,15.0,11.0,73.33333333333333,8.0,6.0,75.0
05-10-2011--05-04-2012,54,24.0,16.0,66.66666666666666,33506.450000000004,33.50645,0.8316773386325129,14.0,10.0,71.42857142857143,10.0,6.0,60.0
06-09-2011--06-03-2012,55,25.0,18.0,72.0,28741.85000000001,28.741850000000007,-0.9582689335394197,14.0,9.0,64.28571428571429,11.0,9.0,81.81818181818183
07-09-2011--07-03-2012,56,24.0,17.0,70.83333333333334,23254.310000000005,23.254310000000007,4.123664469197551,13.0,8.0,61.53846153846154,11.0,9.0,81.81818181818183
08-08-2011--08-02-2012,57,29.0,16.0,55.172413793103445,-4643.329999999997,-4.643329999999997,21.71744165330481,17.0,9.0,52.94117647058824,12.0,7.0,58.333333333333336
09-07-2011--09-01-2012,58,30.0,17.0,56.666666666666664,-4742.689999999998,-4.742689999999998,17.349738132845612,16.0,9.0,56.25,14.0,8.0,57.14285714285714
10-07-2011--10-01-2012,59,30.0,16.0,53.333333333333336,-7478.250000000001,-7.478250000000002,24.74721285973555,17.0,9.0,52.94117647058824,13.0,7.0,53.84615384615385
11-06-2011--10-31-2012,60,29.0,16.0,55.172413793103445,-109.21000000000515,-0.10921000000000515,11.9515285917947,15.0,8.0,53.333333333333336,14.0,8.0,57.14285714285714
12-06-2011--11-30-2012,61,27.0,14.0,51.85185185185185,-12734.199999999999,-12.734199999999998,12.589101853318546,15.0,8.0,53.333333333333336,12.0,6.0,50.0
01-05-2012--12-30-2012,62,29.0,16.0,55.172413793103445,1294.1300000000035,1.2941300000000036,9.364261168384887,16.0,10.0,62.5,13.0,6.0,46.15384615384615
02-04-2012--01-29-2013,63,29.0,14.0,48.275862068965516,-6671.769999999999,-6.671769999999999,12.056526589810346,15.0,8.0,53.333333333333336,14.0,6.0,42.857142857142854
03-05-2012--02-28-2013,64,28.0,13.0,46.42857142857143,-12788.910000000003,-12.788910000000003,10.86654478976235,14.0,7.0,50.0,14.0,6.0,42.857142857142854
04-04-2012--03-30-2013,65,31.0,14.0,45.16129032258064,-21912.49,-21.912490000000002,12.019162019162,17.0,8.0,47.05882352941176,14.0,6.0,42.857142857142854
05-04-2012--04-29-2013,66,35.0,18.0,51.42857142857142,-22904.160000000003,-22.904160000000005,16.27737226277373,21.0,11.0,52.38095238095239,14.0,7.0,50.0
06-03-2012--05-29-2013,67,32.0,16.0,50.0,-20180.42,-20.180419999999998,28.977361436377834,20.0,11.0,55.00000000000001,12.0,5.0,41.66666666666667
07-03-2012--06-28-2013,68,36.0,20.0,55.55555555555556,-8343.889999999998,-8.343889999999998,16.74380694553604,20.0,11.0,55.00000000000001,16.0,9.0,56.25
08-02-2012--07-28-2013,69,30.0,20.0,66.66666666666666,24892.11,24.892110000000002,23.763173302107752,17.0,11.0,64.70588235294117,13.0,9.0,69.23076923076923
09-01-2012--08-27-2013,70,25.0,17.0,68.0,17601.21,17.601210000000002,15.812238530809056,14.0,9.0,64.28571428571429,11.0,8.0,72.72727272727273
10-01-2012--09-26-2013,71,25.0,17.0,68.0,16839.41,16.83941,17.55862690082788,14.0,9.0,64.28571428571429,11.0,8.0,72.72727272727273
10-31-2012--10-26-2013,72,28.0,17.0,60.71428571428571,15104.1,15.1041,24.47824548991864,14.0,9.0,64.28571428571429,14.0,8.0,57.14285714285714
11-30-2012--11-25-2013,73,27.0,16.0,59.25925925925925,13970.27,13.970270000000001,27.06552706552706,13.0,8.0,61.53846153846154,14.0,8.0,57.14285714285714
12-30-2012--12-25-2013,74,27.0,14.0,51.85185185185185,-5296.0300000000025,-5.296030000000003,28.45305807176463,13.0,6.0,46.15384615384615,14.0,8.0,57.14285714285714
01-29-2013--01-24-2014,75,27.0,14.0,51.85185185185185,-163.41000000000258,-0.16341000000000258,18.737554759060128,13.0,6.0,46.15384615384615,14.0,8.0,57.14285714285714
02-28-2013--02-23-2014,76,29.0,16.0,55.172413793103445,4831.609999999998,4.831609999999998,21.29147153881668,15.0,8.0,53.333333333333336,14.0,8.0,57.14285714285714
