Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/20/2009--01/15/2010,89,59,88983.29,118824.99,120861.33,66.2921348315,73,50,68.4931506849,16,9,56.25
09/22/2008--09/17/2009,92,59,48933.65,62474.28,64975.85,64.1304347826,60,42,70,32,17,53.125
12/21/2008--12/16/2009,89,56,43939.34,81865.24,85540.94,62.9213483146,68,45,66.1764705882,21,11,52.380952381
11/16/2009--11/11/2010,115,79,35524.32,40271.31,44828.19,68.6956521739,89,66,74.1573033708,26,13,50
10/17/2009--10/12/2010,106,73,28425.04,30428.22,35772.19,68.8679245283,82,60,73.1707317073,24,13,54.1666666667
01/29/2013--01/24/2014,132,73,20250.32,20545.37,24800.76,55.303030303,95,56,58.9473684211,37,17,45.9459459459
03/30/2013--03/25/2014,128,69,19755.26,19720.8,22569.56,53.90625,88,51,57.9545454545,40,18,45
08/18/2009--08/13/2010,104,72,12585.16,15844.29,21311.06,69.2307692308,84,59,70.2380952381,20,13,65
03/21/2009--03/16/2010,80,52,12402.07,44732.13,45834.65,65,64,42,65.625,16,10,62.5
07/19/2009--07/14/2010,90,62,10358.59,12004.55,17131.77,68.8888888889,68,48,70.5882352941,22,14,63.6363636364
04/29/2013--04/24/2014,136,70,10137.43,8869.68,14356.62,51.4705882353,92,48,52.1739130435,44,22,50
02/14/2010--02/09/2011,124,78,8767.41,23392.85,35387.66,62.9032258065,100,68,68,24,10,41.6666666667
03/16/2010--03/11/2011,119,76,7548.16,18969.28,36568.96,63.8655462185,93,63,67.7419354839,26,13,50
12/16/2009--12/11/2010,102,67,6914.43,18704.28,33240.06,65.6862745098,76,55,72.3684210526,26,12,46.1538461538
08/23/2008--08/18/2009,86,55,6314.92,9477.58,12112.66,63.9534883721,52,35,67.3076923077,34,20,58.8235294118
12/11/2010--12/06/2011,118,76,6304.85,2363.08,13931.69,64.406779661,88,55,62.5,30,21,70
01/15/2010--01/10/2011,103,66,6163.34,21143.45,35532.62,64.0776699029,80,55,68.75,23,11,47.8260869565
05/15/2010--05/10/2011,126,73,6033.74,16097.28,32645.89,57.9365079365,99,60,60.6060606061,27,13,48.1481481481
10/07/2011--10/01/2012,125,71,5884.58,11315.84,22787.8,56.8,102,57,55.8823529412,23,14,60.8695652174
01/10/2011--01/05/2012,121,73,5761.75,16851.33,23061.17,60.3305785124,92,53,57.6086956522,29,20,68.9655172414
07/14/2010--07/09/2011,120,69,5548.31,19617.51,30542.81,57.5,90,56,62.2222222222,30,13,43.3333333333
04/15/2010--04/10/2011,110,65,5295.02,16396.66,30629.22,59.0909090909,83,52,62.6506024096,27,13,48.1481481481
08/08/2011--08/02/2012,116,69,5192.42,4116.04,18446.51,59.4827586207,93,53,56.9892473118,23,16,69.5652173913
09/07/2011--09/01/2012,106,58,5063.16,6666.79,19435.02,54.7169811321,85,46,54.1176470588,21,12,57.1428571429
04/10/2011--04/04/2012,118,70,4971.13,6719.78,17495.33,59.3220338983,93,54,58.064516129,25,16,64
07/09/2011--07/03/2012,104,62,4922.76,5831.56,18564.47,59.6153846154,80,44,55,24,18,75
05/01/2007--04/25/2008,84,62,4773.87,29288.78,39708.87,73.8095238095,48,36,75,36,26,72.2222222222
08/13/2010--08/08/2011,118,68,4507.77,19211.43,28272.55,57.6271186441,89,56,62.9213483146,29,12,41.3793103448
04/20/2009--04/15/2010,85,57,4340.24,63073.32,63220.5,67.0588235294,69,47,68.115942029,16,10,62.5
08/29/2007--08/23/2008,124,90,4265.62,14639.77,26994.89,72.5806451613,63,42,66.6666666667,61,48,78.6885245902
01/05/2012--12/30/2012,119,69,4050.49,8364.62,17306.62,57.9831932773,87,48,55.1724137931,32,21,65.625
04/01/2007--03/26/2008,61,47,3757.88,11572.08,21666.56,77.0491803279,27,22,81.4814814815,34,25,73.5294117647
06/30/2007--06/24/2008,108,82,3631.33,30590.53,42906.77,75.9259259259,59,45,76.2711864407,49,37,75.5102040816
09/12/2010--09/07/2011,123,71,3502.9,19813.6,32644.25,57.7235772358,94,57,60.6382978723,29,14,48.275862069
05/04/2012--04/29/2013,112,68,3439.68,6139.82,14686.3,60.7142857143,86,51,59.3023255814,26,17,65.3846153846
05/31/2007--05/25/2008,86,63,3425.86,12772.06,23586.4,73.2558139535,50,38,76,36,25,69.4444444444
09/28/2007--09/22/2008,124,87,3254.79,7968.89,20485.61,70.1612903226,58,38,65.5172413793,66,49,74.2424242424
05/20/2009--05/15/2010,86,59,3106.78,5691.99,9117.01,68.6046511628,70,49,70,16,10,62.5
04/04/2012--03/30/2013,105,60,2949.62,3779.02,12445.37,57.1428571429,80,42,52.5,25,18,72
11/06/2011--10/31/2012,125,65,2826.54,6354.89,16408.64,52,101,52,51.4851485149,24,13,54.1666666667
06/09/2011--06/03/2012,103,61,2812.72,5953.44,17735.97,59.2233009709,82,46,56.0975609756,21,15,71.4285714286
09/17/2009--09/12/2010,99,68,2693.2,2474.21,8767.91,68.6868686869,77,55,71.4285714286,22,13,59.0909090909
11/11/2010--11/06/2011,106,64,2166.75,3245.53,10448.79,60.3773584906,78,46,58.9743589744,28,18,64.2857142857
06/14/2010--06/09/2011,132,74,2108.03,15559.25,28102.7,56.0606060606,103,62,60.1941747573,29,12,41.3793103448
05/10/2011--05/04/2012,108,62,2030.91,5392.66,16933.93,57.4074074074,81,45,55.5555555556,27,17,62.962962963
06/19/2009--06/14/2010,77,55,1978.31,3565.79,5832,71.4285714286,61,46,75.4098360656,16,9,56.25
03/11/2011--03/05/2012,108,59,1806.89,3063.67,12340.51,54.6296296296,82,43,52.4390243902,26,16,61.5384615385
10/12/2010--10/07/2011,116,69,1709.33,922.66,12918.22,59.4827586207,86,51,59.3023255814,30,18,60
02/19/2009--02/14/2010,75,45,1475.29,10710.87,12747.23,60,62,37,59.6774193548,13,8,61.5384615385
01/01/2007--12/27/2007,37,28,1418.89,2448.19,8431.4,75.6756756757,21,16,76.1904761905,16,12,75
02/09/2011--02/04/2012,104,57,1218.58,1535.53,10728.38,54.8076923077,75,38,50.6666666667,29,19,65.5172413793
01/31/2007--01/26/2008,40,30,1160.43,451.71,8087,75,21,16,76.1904761905,19,14,73.6842105263
07/30/2007--07/24/2008,120,91,1113.86,25256.4,38199.88,75.8333333333,60,44,73.3333333333,60,47,78.3333333333
03/02/2007--02/25/2008,45,33,979.77,2722.85,10621.8,73.3333333333,21,16,76.1904761905,24,17,70.8333333333
12/06/2011--11/30/2012,134,77,949.56,7933.97,16873.15,57.4626865672,101,55,54.4554455446,33,22,66.6666666667
02/28/2013--02/23/2014,125,66,906.71,-412.03,4278.31,52.8,85,49,57.6470588235,40,17,42.5
04/25/2008--04/20/2009,100,63,759.67,5513.2,7621.95,63,37,22,59.4594594595,63,41,65.0793650794
01/26/2008--01/20/2009,120,78,649.28,8266.51,14123.3,65,58,37,63.7931034483,62,41,66.1290322581
12/27/2007--12/21/2008,112,71,555.34,10923.87,17083.99,63.3928571429,51,30,58.8235294118,61,41,67.2131147541
11/25/2013--11/20/2014,147,80,424.56,4283.88,14838.48,54.4217687075,105,58,55.2380952381,42,22,52.380952381
08/02/2012--07/28/2013,116,68,114.08,781.82,6835.41,58.6206896552,79,46,58.2278481013,37,22,59.4594594595
10/22/2008--10/17/2009,81,48,-923.43,-904.51,4392.87,59.2592592593,51,31,60.7843137255,30,17,56.6666666667
12/25/2013--12/20/2014,139,74,-1051.48,-399.09,11615.04,53.2374100719,101,53,52.4752475248,38,21,55.2631578947
10/31/2012--10/26/2013,101,60,-1069.69,-2070.68,6499.41,59.4059405941,69,44,63.768115942,32,16,50
11/21/2008--11/16/2009,82,48,-1456.88,2965.63,8549.38,58.5365853659,56,33,58.9285714286,26,15,57.6923076923
08/27/2013--08/22/2014,155,84,-1942.32,-129.65,11274.97,54.1935483871,108,61,56.4814814815,47,23,48.9361702128
10/26/2013--10/21/2014,157,82,-2140.69,1600.26,11757.92,52.2292993631,112,60,53.5714285714,45,22,48.8888888889
09/26/2013--09/21/2014,155,81,-2363.16,-1819.73,9594.11,52.2580645161,110,60,54.5454545455,45,21,46.6666666667
12/30/2012--12/25/2013,113,64,-2490.91,-3028.86,2142.88,56.6371681416,80,49,61.25,33,15,45.4545454545
11/30/2012--11/25/2013,107,59,-2500.91,-801.19,4975.68,55.1401869159,75,43,57.3333333333,32,16,50
07/28/2013--07/23/2014,152,80,-2681,-2780.45,8297.01,52.6315789474,107,57,53.2710280374,45,23,51.1111111111
06/28/2013--06/23/2014,134,69,-3316.73,-5914.98,4648.89,51.4925373134,92,46,50,42,23,54.7619047619
07/24/2008--07/19/2009,98,52,-3693.28,442.82,4476.61,53.0612244898,53,27,50.9433962264,45,25,55.5555555556
09/01/2012--08/27/2013,124,74,-5328.92,-5614.82,306.49,59.6774193548,84,49,58.3333333333,40,25,62.5
05/29/2013--05/24/2014,126,61,-6582.36,-10752.3,13.69,48.4126984127,89,41,46.0674157303,37,20,54.0540540541
02/04/2012--01/29/2013,125,73,-7694.35,-7256.04,3151.83,58.4,93,51,54.8387096774,32,22,68.75
03/05/2012--02/28/2013,122,72,-8236.28,-5947.61,2943.85,59.0163934426,91,51,56.043956044,31,21,67.7419354839
06/03/2012--05/29/2013,132,84,-8292.71,-4910.83,3026.96,63.6363636364,102,66,64.7058823529,30,18,60
03/26/2008--03/21/2009,116,75,-8808.34,499.91,5025,64.6551724138,51,33,64.7058823529,65,42,64.6153846154
